Gene	sample	counts
KCNJ14	CM317	1.0526623222759672
KCNJ14	CMCD140	183.7130821744078
KCNJ14	CMCD147	1.0405801793502694
KCNJ14	CMCD152	43
KCNJ14	CMCD154	19.18691298203703
KCNJ14	CMCD159	165.3646226279963
KCNJ14	CMCD161	83.2567697436016
KCNJ14	CMCD174	192.69479398410354
KCNJ14	CMCD196	22.207447843316725
KCNJ14	CMCD198	333.72917731724056
KCNJ14	CMCD203	63.2015480934969
KCNJ14	CMCD211	28.934776992075914
KCNJ14	CMCD227	32.062309598804774
KCNJ14	CMCD240	37.295944419514754
KCNJ14	CMCD259	30
KCNJ14	CMCD270	19.09910406241337
KCNJ14	CMCD275	28.236031439604783
KCNJ14	CMCD282	44.58363540378899
KCNJ14	CMCD286	24.56517199537315
KCNJ14	CMCD287	35
KCNJ14	CMCD294	130.00279818579176
KCNJ14	CMCD327	31.15792845828518
KCNJ14	CMCD335	28.13166129175568
KCNJ14	CMCD337	14.093582538464581
KCNJ14	CMCD357	13.274632733365022
KCNJ14	CMCD398	16.093715273494436
KCNJ14	CMCD403	47.33670043259294
KCNJ14	CMCD422	58.121004554135304
KCNJ14	CMCD426	1.116263931526824
KCNJ14	CMCD71	52.3293392324381
KCNJ14	CMCD72	1.153507591320982
KCNJ14	CMCD76	13.030438349006882
KCNJ14	CMCD88	21.00377819885192
KCNJ14	CMSA256	39
KCNJ14	CMSA316	135.07910201495622
KCNJ14	CMUC110	41
KCNJ14	CMUC192	24.3225832988353
KCNJ14	CMUC199	55.558290732591864
KCNJ14	CMUC200	12.028096937544815
KCNJ14	CMUC208	94.23000831985631
KCNJ14	CMUC231	57
KCNJ14	CMUC234	37
KCNJ14	CMUC285	15.16570968871404
KCNJ14	CMUC291	26.170942764256235
KCNJ14	CMUC295	32.02879663695251
KCNJ14	CMUC299	12.035325980572877
KCNJ14	CMUC301	18.009717116514235
KCNJ14	CMUC307	22.06139850871868
KCNJ14	CMUC313	1.0421599703566413
KCNJ14	CMUC314	1.0565727454715677
KCNJ14	CMUC323	15.359726318463682
KCNJ14	CMUC324	19.01567815529783
KCNJ14	CMUC331	16.14447300354714
KCNJ14	CMUC333	2.046470909936922
