Gene	sample	counts
LAYN	CM317	6.315973933655803
LAYN	CMCD140	77.72476553532638
LAYN	CMCD147	167.53340887539338
LAYN	CMCD152	506
LAYN	CMCD154	584.6959271894442
LAYN	CMCD159	1.0879251488683968
LAYN	CMCD161	185.57231810320837
LAYN	CMCD174	1.0948567840005883
LAYN	CMCD196	28.26402452785765
LAYN	CMCD198	26.7807364513835
LAYN	CMCD203	657.0954603371504
LAYN	CMCD211	578.6955398415183
LAYN	CMCD227	243.3447087499029
LAYN	CMCD240	145.45418323610755
LAYN	CMCD259	289
LAYN	CMCD270	62.32339220366468
LAYN	CMCD275	244.03998601372706
LAYN	CMCD282	61.809130900707466
LAYN	CMCD286	145.5014033572102
LAYN	CMCD287	99
LAYN	CMCD294	1.065596706440916
LAYN	CMCD327	142.72341422827407
LAYN	CMCD335	108.50783641105762
LAYN	CMCD337	303.0120245769885
LAYN	CMCD357	25.528139871855814
LAYN	CMCD398	110.64429250527425
LAYN	CMCD403	138.9886097808048
LAYN	CMCD422	192.40056679989618
LAYN	CMCD426	4.465055726107296
LAYN	CMCD71	175.1020197393121
LAYN	CMCD72	18.456121461135712
LAYN	CMCD76	93.21775126597231
LAYN	CMCD88	190.0341837038983
LAYN	CMSA256	381
LAYN	CMSA316	445.55942604933324
LAYN	CMUC110	294
LAYN	CMUC192	67.90054504258188
LAYN	CMUC199	42.18314666733827
LAYN	CMUC200	298.6977406156962
LAYN	CMUC208	169.4135255963374
LAYN	CMUC231	702
LAYN	CMUC234	273
LAYN	CMUC285	96.04949469518893
LAYN	CMUC291	103.67719633532278
LAYN	CMUC295	118.10618759876236
LAYN	CMUC299	287.84487970203463
LAYN	CMUC301	224.12092411662158
LAYN	CMUC307	196.54700489585733
LAYN	CMUC313	52.107998517832065
LAYN	CMUC314	86.63896512866854
LAYN	CMUC323	55.295014746469256
LAYN	CMUC324	216.1782358707543
LAYN	CMUC331	113.01131102482998
LAYN	CMUC333	100.27707458690918
LAYN	CMUC334	65.98140287802666
LAYN	CMUC346	267.8447092468687
LAYN	CMUC352	227.34184760876116
LAYN	CMUC360	55.075099823267905
LAYN	CMUC363	70.83463560273591
LAYN	CMUC365	99.65237575878787
LAYN	CMUC366	198.65846779242403
LAYN	CMUC368	101
LAYN	CMUC377	186.75472750422466
LAYN	CMUC379	6.435983508692759
LAYN	CMUC380	62.11570063923608
LAYN	CMUC383	44.62348131656146
LAYN	CMUC394	92.69525113244893
LAYN	CMUC419	50.23801557655082
LAYN	CMUC427	280
LAYN	CMUC428	93.5832888473355
LAYN	CMUC431	160.2880959392594
LAYN	CMUC435	78.38009251537356
LAYN	CMUC439	430.7165410894936
LAYN	CMUC89	564
LAYN	CS219	64.16031709741353
LAYN	CS256	217.4918467749145
LAYN	CS257	2.195132133313836
LAYN	CS259	111.17156284623185
LAYN	CS261	29.708103588230795
LAYN	CS266	1.0363781441197382
LAYN	CS270	25.328760238483294
LAYN	CS277	52.6862561685007
LAYN	CS288	49.442448573363116
LAYN	CS290	53.42754731480812
LAYN	CS292	45.63635064024175
LAYN	CS293	20.34496147215305
LAYN	CS301	38.01536929280343
LAYN	CS306	14.555947632027323
LAYN	CS308	25.66414347071472
LAYN	CS315	26.730541052616132
LAYN	CS317	1.074639904418001
LAYN	CS322	30.400614157609308
LAYN	CS327	59.28023418782565
LAYN	CS328	6.3549235586028665
LAYN	CS330	1.0796669003492032
LAYN	CS331	23.44149008185573
LAYN	CS335	32.844899051183255
LAYN	CS338	18.558906176971966
LAYN	CS339	9.396436424752888
LAYN	CS343	89.70540703679437
LAYN	CS344	94.32443647586192
LAYN	CS350	21.501473193620672
LAYN	CS351	47.38975953226819
LAYN	CS361	19.456859002968283
LAYN	CS388	12.421745781719864
LAYN	CS396	43.46356620805075
LAYN	CS405	68.70815015189118
LAYN	CS415	8.632709140955791
LAYN	CS424	18.695382510997703
LAYN	IM293	121.64406694570538
LAYN	IM296	57.74491053570294
LAYN	IM297	1.1019019905718173
LAYN	IM300	419
LAYN	IM305	78.77876810034992
LAYN	IM309	6.426313561755217
LAYN	IM310	49.67236525744264
LAYN	IM311	188.3123495044291
LAYN	IM316	87.44635965146712
LAYN	IM320	29.35584547580732
LAYN	IM330	97.0171536654519
LAYN	IM332	2.063266600498447
LAYN	IM340	36.004773381349466
LAYN	IM348	60.20181291147622
LAYN	IM354	291.08631621791756
LAYN	IM356	12.108363197977473
LAYN	IM364	90.55914113155677
LAYN	IM372	72
LAYN	IM374	55.69387730470539
LAYN	IM376	82.264164814403955
LAYN	IM381	116.42061027108501
LAYN	IM382	50.580875775789664
LAYN	IM385	1215
LAYN	IM390	78.19974906437407
LAYN	IM397	105.17435906498365
LAYN	IM404	334.9377512233827
LAYN	IM409	287.6112708362677
LAYN	IM412	94
LAYN	IM421	101.59378662588837
LAYN	IM425	1.0558354963791774
LAYN	IM432	43.828742836931255
LAYN	IM438	200
LAYN	IM442	147.19783570311617
LAYN	IM445	97.11825041547614
LAYN	IM448	38.887050686814845
LAYN	IM449	173.4316556147768
LAYN	IM451	358.82473483926395
LAYN	IMSA256	142.57811832559668
LAYN	IMSA276	570
LAYN	IMSA286	352
LAYN	IMSA343	148.82500915812682
LAYN	IS_238	183
LAYN	IS238	636.4461518082213
LAYN	IS243	251
LAYN	IS253	287
LAYN	IS283	305
LAYN	IS322	166.7278935178976
LAYN	IS399	132.97574947102757
LAYN	IS418	74.64794060764284
LAYN	IS430	8.693325043963753
LAYN	IS437	98.6470729808181
LAYN	IS444	57.104849233411315
LAYN	R276CMSA	38.41090659990754
LAYN	R286CMSA	168
LAYN	R292CMSA	161.66483461033715
LAYN	R292IMSA	1.0788219939158086
LAYN	R308CMSA	32.13626505787385
LAYN	R316IMSA	118.32678240953645
LAYN	R347CMSA	1.070052450835456
LAYN	R347IMSA	21.347066708475175
LAYN	R371CMSA	125.50296811407507
LAYN	SRR10104064	15.65138484436528
LAYN	SRR10104065	80.4689870079624
LAYN	SRR10104066	23.432155369648495
LAYN	SRR10104067	35.82326784019351
LAYN	SRR10104068	86.40438825324959
LAYN	SRR10104069	32.36825732809371
LAYN	SRR10104070	18.534257211690672
LAYN	SRR10104071	1.1645245250191503
LAYN	SRR10104072	17.188872808755644
LAYN	SRR10104073	25.123969178142236
LAYN	SRR10104074	11.037284927768123
LAYN	SRR10104075	5.8039887585046985
LAYN	SRR10104076	17.476987082010158
LAYN	SRR10104077	7.752323801479389
LAYN	SRR10104078	18.76592746475705
