Gene	sample	counts
LINC01013	CM317	4.208642747639684
LINC01013	CMCD140	22.20708237151483
LINC01013	CMCD147	15.606848865870719
LINC01013	CMCD152	89
LINC01013	CMCD154	15.148489904657842
LINC01013	CMCD159	1.0863042186135794
LINC01013	CMCD161	20.061258961841677
LINC01013	CMCD174	1.092629434806816
LINC01013	CMCD196	3.027569150478107
LINC01013	CMCD198	10.29495742835047
LINC01013	CMCD203	5.016196564226204
LINC01013	CMCD211	89.97841411526127
LINC01013	CMCD227	31.24019909627132
LINC01013	CMCD240	40.91850571297897
LINC01013	CMCD259	45
LINC01013	CMCD270	14.07267138893312
LINC01013	CMCD275	1.008539072196977
LINC01013	CMCD282	13.171090230027557
LINC01013	CMCD286	0.9425038392922207
LINC01013	CMCD287	15
LINC01013	CMCD294	1.0639520056991958
LINC01013	CMCD327	14.07194302185397
LINC01013	CMCD335	10.047054282731729
LINC01013	CMCD337	22.146834932705676
LINC01013	CMCD357	37.78256717489913
LINC01013	CMCD398	10.060023577013604
LINC01013	CMCD403	11.078991047562385
LINC01013	CMCD422	47.09805541455792
LINC01013	CMCD426	1.1140469611806236
LINC01013	CMCD71	18.114953382499305
LINC01013	CMCD72	1.1510750061651915
LINC01013	CMCD76	6.013783283588248
LINC01013	CMCD88	27.00485768423818
LINC01013	CMSA256	11
LINC01013	CMSA316	15.122317671875503
LINC01013	CMUC110	65
LINC01013	CMUC192	9.121144047716525
LINC01013	CMUC199	15.422811081247222
LINC01013	CMUC200	13.030438349006882
LINC01013	CMUC208	79.19330486456009
LINC01013	CMUC231	62
LINC01013	CMUC234	74
LINC01013	CMUC285	24.26704649867456
LINC01013	CMUC291	24.158504864522563
LINC01013	CMUC295	7.006299264333361
LINC01013	CMUC299	8.023416258761547
LINC01013	CMUC301	23.012416315545966
LINC01013	CMUC307	5.013800936420371
LINC01013	CMUC313	4.1681655759690965
LINC01013	CMUC314	1.055846512835873
LINC01013	CMUC323	16.385678510261485
LINC01013	CMUC324	13.011698633761956
LINC01013	CMUC331	8.073259691203187
LINC01013	CMUC333	10.232387540038605
LINC01013	CMUC334	6.090078042954316
LINC01013	CMUC346	12.13019260789262
LINC01013	CMUC352	32.19372689576672
LINC01013	CMUC360	52.074891466530566
LINC01013	CMUC363	12.31650681245194
LINC01013	CMUC365	17.113769798188386
LINC01013	CMUC366	10.033489938746742
LINC01013	CMUC368	43
LINC01013	CMUC377	19.077555983425963
LINC01013	CMUC379	5.354031831551963
LINC01013	CMUC380	5.091382121771299
LINC01013	CMUC383	77.08573422512725
LINC01013	CMUC394	72.54876190548599
LINC01013	CMUC419	9.224543270661458
LINC01013	CMUC427	122
LINC01013	CMUC428	92.58392939306873
LINC01013	CMUC431	24.044606875603332
LINC01013	CMUC435	39.195757551062336
LINC01013	CMUC439	19.122286044048018
LINC01013	CMUC89	61
LINC01013	CS219	32.07928132684468
LINC01013	CS256	12.027478628983056
LINC01013	CS257	8.755417420279716
LINC01013	CS259	43.0664612827745
LINC01013	CS261	4.095292142735711
LINC01013	CS266	11.393586877028076
LINC01013	CS270	17.22116156907398
LINC01013	CS277	42.44875773349028
LINC01013	CS288	30.270471844674326
LINC01013	CS290	34.27171666198351
LINC01013	CS292	15.20969297001494
LINC01013	CS293	8.134788733891313
LINC01013	CS301	4.1069833746350355
LINC01013	CS306	3.1165846370824157
LINC01013	CS308	10.265766152062069
LINC01013	CS315	3.084054847760868
LINC01013	CS317	1.0722984600508352
LINC01013	CS322	36.483074369374094
LINC01013	CS327	92.4379547057034
LINC01013	CS328	7.396406461525793
LINC01013	CS330	18.306648701126413
LINC01013	CS331	1.0187996043213206
LINC01013	CS335	10.096241385447925
LINC01013	CS338	12.369992426176932
LINC01013	CS339	1.1707547739034676
LINC01013	CS343	14.113104767334976
LINC01013	CS344	5.070656280456331
LINC01013	CS350	10.232380192782662
LINC01013	CS351	34.28260441445605
LINC01013	CS361	6.14394236303769
LINC01013	CS388	18.629339083395806
LINC01013	CS396	19.207172131280227
LINC01013	CS405	4.101489819461962
LINC01013	CS415	1.0768988297741249
LINC01013	CS424	11.413841576088407
LINC01013	IM293	16.08533629809698
LINC01013	IM296	1.0674965693084089
LINC01013	IM297	1.098769887658002
LINC01013	IM300	9
LINC01013	IM305	4.0402003417570675
