Gene	sample	counts
LRP4-AS1	CM317	1.052160686909921
LRP4-AS1	CMCD140	34.3200363923411
LRP4-AS1	CMCD147	11.445022501638528
LRP4-AS1	CMCD152	6
LRP4-AS1	CMCD154	21.20788586652098
LRP4-AS1	CMCD159	1.0863042186135794
LRP4-AS1	CMCD161	5.015314740460419
LRP4-AS1	CMCD174	31.686253609397667
LRP4-AS1	CMCD196	12.110276601912428
LRP4-AS1	CMCD198	77.21218071262852
LRP4-AS1	CMCD203	14.045350379833373
LRP4-AS1	CMCD211	2.4101360923730697
LRP4-AS1	CMCD227	2.4663315076003673
LRP4-AS1	CMCD240	9.299660389313402
LRP4-AS1	CMCD259	5
LRP4-AS1	CMCD270	4.020763253980891
LRP4-AS1	CMCD275	14.119547010757676
LRP4-AS1	CMCD282	10.131607869251967
LRP4-AS1	CMCD286	13.195053750091091
LRP4-AS1	CMCD287	27
LRP4-AS1	CMCD294	12.76742406839035
LRP4-AS1	CMCD327	1.0051387872752835
LRP4-AS1	CMCD335	1.0047054282731729
LRP4-AS1	CMCD337	2.0133486302459707
LRP4-AS1	CMCD357	9.190354177678165
LRP4-AS1	CMCD398	4.0240094308054415
LRP4-AS1	CMCD403	3.0215430129715592
LRP4-AS1	CMCD422	1.0020862854161259
LRP4-AS1	CMCD426	1.1140469611806236
LRP4-AS1	CMCD71	9.057476691249652
LRP4-AS1	CMCD72	1.1510750061651915
LRP4-AS1	CMCD76	8.018377711450997
LRP4-AS1	CMCD88	4.000719656924175
LRP4-AS1	CMSA256	5
LRP4-AS1	CMSA316	8.065236091666934
LRP4-AS1	CMUC110	4
LRP4-AS1	CMUC192	5.067302248731403
LRP4-AS1	CMUC199	14.39462367583074
LRP4-AS1	CMUC200	2.004682822924136
LRP4-AS1	CMUC208	5.01223448509874
LRP4-AS1	CMUC231	1
LRP4-AS1	CMUC234	3
LRP4-AS1	CMUC285	3.03338081233432
LRP4-AS1	CMUC291	1.0066043693551068
LRP4-AS1	CMUC295	4.003599579619063
LRP4-AS1	CMUC299	4.011708129380773
LRP4-AS1	CMUC301	7.003778878644424
LRP4-AS1	CMUC307	5.013800936420371
LRP4-AS1	CMUC313	1.0420413939922741
LRP4-AS1	CMUC314	1.055846512835873
LRP4-AS1	CMUC323	5.120524534456713
LRP4-AS1	CMUC324	5.004499474523829
LRP4-AS1	CMUC331	1.0091574614003984
LRP4-AS1	CMUC333	1.0232387540038606
LRP4-AS1	CMUC334	1.0150130071590526
LRP4-AS1	CMUC346	1.0108493839910517
LRP4-AS1	CMUC352	3.0181618964781305
LRP4-AS1	CMUC360	24.034565292244878
LRP4-AS1	CMUC363	6.15825340622597
LRP4-AS1	CMUC365	4.0267693642796205
LRP4-AS1	CMUC366	2.0066979877493485
LRP4-AS1	CMUC368	6
LRP4-AS1	CMUC377	1.0040818938645244
LRP4-AS1	CMUC379	1.0708063663103926
LRP4-AS1	CMUC380	2.03655284870852
LRP4-AS1	CMUC383	17.24286160298899
LRP4-AS1	CMUC394	15.114325396976248
LRP4-AS1	CMUC419	1.0249492522957178
LRP4-AS1	CMUC427	3
LRP4-AS1	CMUC428	4.025388234481249
LRP4-AS1	CMUC431	2.003717239633611
LRP4-AS1	CMUC435	1.0050194243862136
LRP4-AS1	CMUC439	1.0064361075814747
LRP4-AS1	CMUC89	3
LRP4-AS1	CS219	8.01982033171117
LRP4-AS1	CS256	3.006869657245764
LRP4-AS1	CS257	12.03869895288461
