Gene	sample	counts
LRRC49	CM317	26.31655805689918
LRRC49	CMCD140	28.263551103755045
LRRC49	CMCD147	24.973924304406463
LRRC49	CMCD152	135
LRRC49	CMCD154	134.3083908742592
LRRC49	CMCD159	8.703401190947174
LRRC49	CMCD161	36.11137000927298
LRRC49	CMCD174	47.0788417120253
LRRC49	CMCD196	4.03771778969395
LRRC49	CMCD198	4.1201133002128465
LRRC49	CMCD203	180.57585169570544
LRRC49	CMCD211	106.89792610961379
LRRC49	CMCD227	57.5477351773419
LRRC49	CMCD240	62.47070690268721
LRRC49	CMCD259	52
LRRC49	CMCD270	33.17212810840217
LRRC49	CMCD275	27.227601745333185
LRRC49	CMCD282	17.225495496918473
LRRC49	CMCD286	53.85441552831806
LRRC49	CMCD287	40
LRRC49	CMCD294	12.787160477290993
LRRC49	CMCD327	22.112078260718516
LRRC49	CMCD335	25.117554724781858
LRRC49	CMCD337	67.44785929122335
LRRC49	CMCD357	6.126753569245395
LRRC49	CMCD398	35.20500216076908
LRRC49	CMCD403	23.1647682968008
LRRC49	CMCD422	52.10848684163855
LRRC49	CMCD426	10.046375383741415
LRRC49	CMCD71	32.20267029688499
LRRC49	CMCD72	3.4605227739629463
LRRC49	CMCD76	53.1240948074896
LRRC49	CMCD88	53.00953545424532
LRRC49	CMSA256	97
LRRC49	CMSA316	136.08715501506785
LRRC49	CMUC110	130
LRRC49	CMUC192	15.201614561772063
LRRC49	CMUC199	4.115428943154953
LRRC49	CMUC200	67.15687456795854
LRRC49	CMUC208	38.092982086750425
LRRC49	CMUC231	322
LRRC49	CMUC234	63
LRRC49	CMUC285	14.154662376133103
LRRC49	CMUC291	36.23668998127786
LRRC49	CMUC295	63.056693379000244
LRRC49	CMUC299	56.16485457600676
LRRC49	CMUC301	83.04480670392675
LRRC49	CMUC307	41.11442449352117
LRRC49	CMUC313	39.60207887355237
LRRC49	CMUC314	10.565727454715676
LRRC49	CMUC323	15.359726318463682
LRRC49	CMUC324	103.08499210503561
LRRC49	CMUC331	26.2347686307641
LRRC49	CMUC333	66.51030457294998
LRRC49	CMUC334	25.377462645394868
LRRC49	CMUC346	179.91078583374576
LRRC49	CMUC352	54.32061845519072
LRRC49	CMUC360	42.05734895595004
LRRC49	CMUC363	31.824256575142226
LRRC49	CMUC365	45.29653443581267
LRRC49	CMUC366	111.36914103514681
LRRC49	CMUC368	14
LRRC49	CMUC377	71.28809490752661
LRRC49	CMUC379	10.726639181154598
LRRC49	CMUC380	10.182901744137062
LRRC49	CMUC383	7.099190209452959
LRRC49	CMUC394	19.14358447300576
LRRC49	CMUC419	9.227390616101172
LRRC49	CMUC427	67
LRRC49	CMUC428	22.13798230797184
LRRC49	CMUC431	69.1242413738056
LRRC49	CMUC435	29.141316448023506
LRRC49	CMUC439	99.6283588034109
LRRC49	CMUC89	86
LRRC49	CS219	18.045089183647555
LRRC49	CS256	19.043064924992514
LRRC49	CS257	1.097566066656918
LRRC49	CS259	21.03245783577359
LRRC49	CS261	20.488347302228135
LRRC49	CS266	24.873075458873714
LRRC49	CS270	26.341910648022626
LRRC49	CS277	90.73744117908453
LRRC49	CS288	13.11738431538205
LRRC49	CS290	21.169405539829636
LRRC49	CS292	14.19797575474188
LRRC49	CS293	7.120736515253567
LRRC49	CS301	14.384193786466161
LRRC49	CS306	3.1191316354344263
LRRC49	CS308	4.106262955314356
LRRC49	CS315	13.365270526308066
LRRC49	CS317	6.447839426508006
LRRC49	CS322	11.146891857790079
LRRC49	CS327	20.0949946399409
LRRC49	CS328	31.774617793014333
LRRC49	CS330	1.0796669003492032
LRRC49	CS331	14.268733093303487
LRRC49	CS335	27.791837658693524
LRRC49	CS338	14.43470480431153
LRRC49	CS339	2.349109106188222
LRRC49	CS343	27.213999887566832
LRRC49	CS344	53.75478637871701
LRRC49	CS350	54.26562282199503
