Gene	sample	counts
LRRN1	CM317	2.1053246445519345
LRRN1	CMCD140	1.009412539419823
LRRN1	CMCD147	1.0405801793502694
LRRN1	CMCD152	76
LRRN1	CMCD154	26.25577565962962
LRRN1	CMCD159	1.0879251488683968
LRRN1	CMCD161	8.024748890949551
LRRN1	CMCD174	1.0948567840005883
LRRN1	CMCD196	4.03771778969395
LRRN1	CMCD198	1.0300283250532116
LRRN1	CMCD203	42.1343653956646
LRRN1	CMCD211	21.701082744056936
LRRN1	CMCD227	23.841204573470215
LRRN1	CMCD240	49.41712635585705
LRRN1	CMCD259	36
LRRN1	CMCD270	8.041728026279314
LRRN1	CMCD275	9.075867248444395
LRRN1	CMCD282	5.0663222049760215
LRRN1	CMCD286	27.399614917916203
LRRN1	CMCD287	64
LRRN1	CMCD294	1.065596706440916
LRRN1	CMCD327	5.025472331981481
LRRN1	CMCD335	2.0094043779825483
LRRN1	CMCD337	7.0467912692322905
LRRN1	CMCD357	1.0211255948742326
LRRN1	CMCD398	5.029286022967011
LRRN1	CMCD403	34.24357052570553
LRRN1	CMCD422	18.037553137490267
LRRN1	CMCD426	3.3487917945804715
LRRN1	CMCD71	13.082334808109525
LRRN1	CMCD72	1.153507591320982
LRRN1	CMCD76	21.049169640703425
LRRN1	CMCD88	22.003958113082962
LRRN1	CMSA256	49
LRRN1	CMSA316	9.072477001004522
LRRN1	CMUC110	76
LRRN1	CMUC192	13.174732620202455
LRRN1	CMUC199	6.173143414732429
LRRN1	CMUC200	14.03277976046895
LRRN1	CMUC208	12.029362764236975
LRRN1	CMUC231	39
LRRN1	CMUC234	59
LRRN1	CMUC285	6.066283875485616
LRRN1	CMUC291	10.065747217021629
LRRN1	CMUC295	12.01079873885719
LRRN1	CMUC299	35.103034110004224
LRRN1	CMUC301	66.03562942721886
LRRN1	CMUC307	33.092097763078016
LRRN1	CMUC313	1.0421599703566413
LRRN1	CMUC314	7.396009218300973
LRRN1	CMUC323	3.0719452636927365
LRRN1	CMUC324	44.03630730700551
LRRN1	CMUC331	16.14447300354714
LRRN1	CMUC333	9.209119094716149
LRRN1	CMUC334	3.0452955174473844
LRRN1	CMUC346	6.064408511249858
LRRN1	CMUC352	16.09499806079725
LRRN1	CMUC360	5.006827256660719
LRRN1	CMUC363	10.265889217787814
LRRN1	CMUC365	7.046127578904192
LRRN1	CMUC366	13.043232733846022
LRRN1	CMUC368	16
LRRN1	CMUC377	11.044634422292857
LRRN1	CMUC379	1.0726639181154598
LRRN1	CMUC380	28.512124883583777
LRRN1	CMUC383	1.0141700299218512
LRRN1	CMUC394	2.015114155053238
LRRN1	CMUC419	1.0252656240112412
LRRN1	CMUC427	51
LRRN1	CMUC428	6.037631538537774
LRRN1	CMUC431	16.02880959392594
LRRN1	CMUC435	14.068221733528588
LRRN1	CMUC439	4.025388234481249
LRRN1	CMUC89	80
LRRN1	CS219	11.02755450111795
LRRN1	CS256	21.047598074991726
LRRN1	CS257	3.2926981999707543
LRRN1	CS259	14.021638557182396
LRRN1	CS261	5.122086825557034
LRRN1	CS266	1.0363781441197382
LRRN1	CS270	7.092052866775322
LRRN1	CS277	47.807899115861744
LRRN1	CS288	7.063206939051874
LRRN1	CS290	6.048401582808467
LRRN1	CS292	1.0141411253387056
LRRN1	CS293	7.120736515253567
LRRN1	CS301	1.0274424133190114
LRRN1	CS306	1.0397105451448088
LRRN1	CS308	2.053131477657178
LRRN1	CS315	1.0280977327929282
LRRN1	CS317	17.194238470688017
LRRN1	CS322	6.080122831521861
LRRN1	CS327	3.014249195991135
LRRN1	CS328	1.059153926433811
LRRN1	CS330	1.0796669003492032
LRRN1	CS331	1.019195220950249
LRRN1	CS335	10.611428924228436
LRRN1	CS338	1.0310503431651092
LRRN1	CS339	1.174554553094111
LRRN1	CS343	11.08718513937908
LRRN1	CS344	21.29906630100108
LRRN1	CS350	9.214917082980287
LRRN1	CS351	8.066342048045648
LRRN1	CS361	4.096180842730165
LRRN1	CS388	13.456891263529853
LRRN1	CS396	5.053903047447761
LRRN1	CS405	3.0764843351593063
LRRN1	CS415	1.079088642619474
LRRN1	CS424	1.0386323617220947
LRRN1	IM293	10.053228673198792
LRRN1	IM296	1.06935019510561
LRRN1	IM297	1.1019019905718173
LRRN1	IM300	49
LRRN1	IM305	4.03993682565897
LRRN1	IM309	1.0710522602925363
LRRN1	IM310	1.0137217399478091
LRRN1	IM311	6.074591919497713
LRRN1	IM316	11.056436277771706
LRRN1	IM320	1.0484230527074043
LRRN1	IM330	1.0105953506817906
LRRN1	IM332	1.0316333002492235
LRRN1	IM340	1.0589639229808667
LRRN1	IM348	5.189811457885881
LRRN1	IM354	11.079409959851533
LRRN1	IM356	15.135453997471842
LRRN1	IM364	1.0175184396804131
LRRN1	IM372	3
LRRN1	IM374	1.0508278736736867
LRRN1	IM376	1.0156069730173327
LRRN1	IM381	7.086471929544305
LRRN1	IM382	1.032262770934483
LRRN1	IM385	71
LRRN1	IM390	1.0289440666365008
LRRN1	IM397	2.0225838281727624
LRRN1	IM404	19.053345129473865
LRRN1	IM409	7.0394366987897685
LRRN1	IM412	31
LRRN1	IM421	8.127502930071069
LRRN1	IM425	1.0558354963791774
LRRN1	IM432	1.0435414961174108
LRRN1	IM438	87
LRRN1	IM442	1.0439562815823842
LRRN1	IM445	8.093187534623013
LRRN1	IM448	1.0233434391267064
LRRN1	IM449	14.116530108179505
LRRN1	IM451	15.076669531061512
LRRN1	IMSA256	23.093638883723404
LRRN1	IMSA276	57
LRRN1	IMSA286	50
LRRN1	IMSA343	4.049660113146309
LRRN1	IS_238	30
LRRN1	IS238	101.29930712060116
LRRN1	IS243	77
LRRN1	IS253	92
LRRN1	IS283	57
LRRN1	IS322	8.083776655413216
LRRN1	IS399	2.014784082894357
LRRN1	IS418	1.0977638324653358
LRRN1	IS430	2.1733312609909383
LRRN1	IS437	3.252101307059937
LRRN1	IS444	5.191349930310119
LRRN1	R276CMSA	1.0669696277752094
LRRN1	R286CMSA	18
LRRN1	R292CMSA	31.128011633046285
LRRN1	R292IMSA	2.157643987831617
LRRN1	R308CMSA	1.0712088352624616
LRRN1	R316IMSA	2.040116938095456
LRRN1	R347CMSA	19.26094411503821
LRRN1	R347IMSA	1.0673533354237588
LRRN1	R371CMSA	4.016094979650402
LRRN1	SRR10104064	1.1179560603118057
LRRN1	SRR10104065	16.09379740159248
LRRN1	SRR10104066	8.150314911182084
LRRN1	SRR10104067	11.258741321203674
LRRN1	SRR10104068	5.023510944956372
LRRN1	SRR10104069	8.092064332023428
LRRN1	SRR10104070	10.296809562050374
LRRN1	SRR10104071	1.1645245250191503
LRRN1	SRR10104072	6.445827303283367
LRRN1	SRR10104073	4.187328196357039
LRRN1	SRR10104074	5.518642463884062
LRRN1	SRR10104075	5.8039887585046985
LRRN1	SRR10104076	8.224464509181251
LRRN1	SRR10104077	3.3224244863483094
LRRN1	SRR10104078	5.21275762909918
LRRN1	SRR10104079	1.0967600863718163
LRRN1	SRR10104080	2.2593317991167323
LRRN1	SRR10104081	2.0317975226151828
LRRN1	SRR10104082	3.2682357135466473
LRRN1	SRR10104083	2.1362869824664155
LRRN1	SRR10104084	1.0726512519873828
LRRN1	SRR10104085	7.1584155886400636
LRRN1	SRR10104086	6.150547403661286
LRRN1	SRR10104087	14.045172526053959
LRRN1	SRR10104088	19.17317301209827
LRRN1	SRR10104089	3.4346171927985325
LRRN1	SRR10104090	5.132789449724229
LRRN1	SRR10104091	3.1307137965380716
LRRN1	SRR10104092	6.0766810009872545
LRRN1	SRR10104093	3.1068861371654735
LRRN1	SRR10104094	2.070376167835368
LRRN1	SRR10104095	2.114432647751122
LRRN1	SRR10104096	5.770363324641485
LRRN1	SRR10104097	2.136360809523323
LRRN1	SRR10104098	6.180554560776679
