Gene	sample	counts
LYG2	CM317	10.526623222759671
LYG2	CMCD140	1.009412539419823
LYG2	CMCD147	1.0405801793502694
LYG2	CMCD152	1
LYG2	CMCD154	1.00983752537037
LYG2	CMCD159	1.0879251488683968
LYG2	CMCD161	12.037123336424328
LYG2	CMCD174	1.0948567840005883
LYG2	CMCD196	1.0094294474234875
LYG2	CMCD198	15.450424875798173
LYG2	CMCD203	4.01279670434901
LYG2	CMCD211	8.841181858689863
LYG2	CMCD227	4.932663015200735
LYG2	CMCD240	11.188783325854427
LYG2	CMCD259	10
LYG2	CMCD270	1.0052160032849142
LYG2	CMCD275	1.0084296942715996
LYG2	CMCD282	5.0663222049760215
LYG2	CMCD286	10.39295738265787
LYG2	CMCD287	6
LYG2	CMCD294	1.065596706440916
LYG2	CMCD327	1.0050944663962962
LYG2	CMCD335	1.0047021889912742
LYG2	CMCD337	1.0066844670331845
LYG2	CMCD357	1.0211255948742326
LYG2	CMCD398	1.0058572045934022
LYG2	CMCD403	12.08596606789607
LYG2	CMCD422	1.0020862854161259
LYG2	CMCD426	1.116263931526824
LYG2	CMCD71	1.006333446777656
LYG2	CMCD72	1.153507591320982
LYG2	CMCD76	3.0070242343862037
LYG2	CMCD88	1.0001799142310437
LYG2	CMSA256	4
LYG2	CMSA316	1.0080530001116137
LYG2	CMUC110	6
LYG2	CMUC192	1.0134409707848042
LYG2	CMUC199	1.0288572357887382
LYG2	CMUC200	1.002341411462068
LYG2	CMUC208	5.01223448509874
LYG2	CMUC231	5
LYG2	CMUC234	8
LYG2	CMUC285	2.022094625161872
LYG2	CMUC291	1.006574721702163
LYG2	CMUC295	1.0008998949047658
LYG2	CMUC299	2.0058876634288128
LYG2	CMUC301	2.0010796796126926
LYG2	CMUC307	2.005581682610789
LYG2	CMUC313	7.2951197924964895
LYG2	CMUC314	1.0565727454715677
LYG2	CMUC323	1.0239817545642456
LYG2	CMUC324	1.000825166068307
LYG2	CMUC331	6.054177376330178
LYG2	CMUC333	1.023235454968461
LYG2	CMUC334	1.0150985058157946
LYG2	CMUC346	1.0107347518749763
LYG2	CMUC352	1.005937378799828
LYG2	CMUC360	41.0559835046179
LYG2	CMUC363	11.292478139566596
LYG2	CMUC365	1.0065896541291703
LYG2	CMUC366	1.0033255949112325
LYG2	CMUC368	4
LYG2	CMUC377	2.008115349507792
LYG2	CMUC379	1.0726639181154598
LYG2	CMUC380	1.0182901744137063
LYG2	CMUC383	3.042510089765554
LYG2	CMUC394	22.166255705585616
LYG2	CMUC419	1.0252656240112412
LYG2	CMUC427	1
LYG2	CMUC428	1.0062719230896289
LYG2	CMUC431	2.0036011992407423
LYG2	CMUC435	3.0146189428989834
LYG2	CMUC439	1.0063470586203123
LYG2	CMUC89	1
LYG2	CS219	5.012524773235432
LYG2	CS256	1.002266574999606
LYG2	CS257	1.097566066656918
LYG2	CS259	4.006182444909256
LYG2	CS261	3.07325209533422
LYG2	CS266	1.0363781441197382
LYG2	CS270	2.0263008190786636
LYG2	CS277	43.90521347375058
LYG2	CS288	3.027088688165089
LYG2	CS290	1.0080669304680778
LYG2	CS292	2.028282250677411
LYG2	CS293	3.0517442208229575
LYG2	CS301	11.301866546509126
LYG2	CS306	3.1191316354344263
LYG2	CS308	1.026565738828589
LYG2	CS315	2.0561954655858563
LYG2	CS317	72.00087359600606
LYG2	CS322	1.0133538052536437
LYG2	CS327	3.014249195991135
LYG2	CS328	16.946462822940976
LYG2	CS330	44.266342914317335
LYG2	CS331	23.44149008185573
LYG2	CS335	3.031836835493839
LYG2	CS338	2.0621006863302185
LYG2	CS339	1.174554553094111
LYG2	CS343	3.0237777652852036
LYG2	CS344	4.056965009714491
LYG2	CS350	32.764149628374355
LYG2	CS351	5.041463780028531
LYG2	CS361	1.0240452106825413
LYG2	CS388	1.0351454818099886
LYG2	CS396	3.032341828468657
LYG2	CS405	1.0254947783864354
LYG2	CS415	1.079088642619474
LYG2	CS424	1.0386323617220947
LYG2	IM293	2.010645734639758
LYG2	IM296	1.06935019510561
LYG2	IM297	1.1019019905718173
LYG2	IM300	3
LYG2	IM305	1.0099842064147424
LYG2	IM309	24.634201986728332
LYG2	IM310	8.109773919582473
LYG2	IM311	1.0124319865829523
LYG2	IM316	12.061566848478224
LYG2	IM320	1.0484230527074043
LYG2	IM330	6.063572104090744
LYG2	IM332	103.16333002492235
LYG2	IM340	96.36571699125886
LYG2	IM348	1.0379622915771762
LYG2	IM354	1.0072190872592304
LYG2	IM356	63.568906789381735
LYG2	IM364	1.0175184396804131
LYG2	IM372	22
LYG2	IM374	25.219868968168477
LYG2	IM376	11.17167670319066
