Gene	sample	counts
MAEA	CM317	770.1816228180621
MAEA	CMCD140	1027.5822661000952
MAEA	CMCD147	659.6494787308023
MAEA	CMCD152	1750
MAEA	CMCD154	1044.2359040944139
MAEA	CMCD159	545.3247177440168
MAEA	CMCD161	1290.942014194512
MAEA	CMCD174	580.1862298824193
MAEA	CMCD196	1551.124594761617
MAEA	CMCD198	799.9181921828315
MAEA	CMCD203	1181.8159105316938
MAEA	CMCD211	1219.5288627407733
MAEA	CMCD227	1400.0541858144752
MAEA	CMCD240	1686.9583946214511
MAEA	CMCD259	1482
MAEA	CMCD270	1352.9868349645699
MAEA	CMCD275	1149.7345423045538
MAEA	CMCD282	1010.1213045644212
MAEA	CMCD286	1575.866419296593
MAEA	CMCD287	1897
MAEA	CMCD294	608.58054725994
MAEA	CMCD327	1052.380310277222
MAEA	CMCD335	1220.717095351905
MAEA	CMCD337	1084.1882373874553
MAEA	CMCD357	773.0109013891524
MAEA	CMCD398	857.1140087615591
MAEA	CMCD403	1138.114534885954
MAEA	CMCD422	1013.1092345557033
MAEA	CMCD426	650.6034253294841
MAEA	CMCD71	994.3096634394063
MAEA	CMCD72	604.3143782367256
MAEA	CMCD76	1277.9289477625027
MAEA	CMCD88	2003.3603682047806
MAEA	CMSA256	1699
MAEA	CMSA316	981.9424941604493
MAEA	CMUC110	1754
MAEA	CMUC192	894.8855771259658
MAEA	CMUC199	717.674808980704
MAEA	CMUC200	1501.5074343701776
MAEA	CMUC208	1034.52519772438
MAEA	CMUC231	1163
MAEA	CMUC234	1366
MAEA	CMUC285	852.3800082659438
MAEA	CMUC291	1022.7100392647885
MAEA	CMUC295	1565.4074356310537
MAEA	CMUC299	1484.3320078708862
MAEA	CMUC301	1520.8205565056464
MAEA	CMUC307	1111.0582875107543
MAEA	CMUC313	792.9935008281207
MAEA	CMUC314	703.1937775486914
MAEA	CMUC323	775.2474145167464
MAEA	CMUC324	1049.9439897550992
MAEA	CMUC331	935.4889667181693
MAEA	CMUC333	848.2649270692003
MAEA	CMUC334	952.0822007151913
MAEA	CMUC346	909.7644455919466
MAEA	CMUC352	996.9994798032757
MAEA	CMUC360	792.1392144235707
MAEA	CMUC363	657.9067388984745
MAEA	CMUC365	873.8089520486776
MAEA	CMUC366	1048.4996985990347
MAEA	CMUC368	1207
MAEA	CMUC377	1155.6982598380675
MAEA	CMUC379	631.7757561231317
MAEA	CMUC380	762.6890418413407
MAEA	CMUC383	765.7859123680405
MAEA	CMUC394	790.9830291084237
MAEA	CMUC419	859.9324226761072
MAEA	CMUC427	1843
MAEA	CMUC428	1042.5755527306435
MAEA	CMUC431	1087.016602501234
MAEA	CMUC435	1016.074638054462
MAEA	CMUC439	857.4835636594164
MAEA	CMUC89	1355
MAEA	CS219	1494.6940143226693
MAEA	CS256	1327.0318087311305
MAEA	CS257	577.8575497384613
MAEA	CS259	1225.8918281422323
MAEA	CS261	746.3669930135833
MAEA	CS266	761.2987595105124
MAEA	CS270	838.7718693643092
MAEA	CS277	567.269762438461
