Gene	sample	counts
MAP10	CM317	2.104321373819842
MAP10	CMCD140	2.0188256701377116
MAP10	CMCD147	28.092327958567296
MAP10	CMCD152	52
MAP10	CMCD154	16.15838923163503
MAP10	CMCD159	1.0863042186135794
MAP10	CMCD161	18.05513306565751
MAP10	CMCD174	1.092629434806816
MAP10	CMCD196	19.174604619694676
MAP10	CMCD198	1.029495742835047
MAP10	CMCD203	52.16844426795253
MAP10	CMCD211	111.6696389466189
MAP10	CMCD227	74.81205573054447
MAP10	CMCD240	127.40534733359361
MAP10	CMCD259	197
MAP10	CMCD270	20.103816269904456
MAP10	CMCD275	30.25617216590931
MAP10	CMCD282	1.0131607869251968
MAP10	CMCD286	116.87047607223538
MAP10	CMCD287	106
MAP10	CMCD294	8.511616045593566
MAP10	CMCD327	48.24666178921361
MAP10	CMCD335	25.117635706829322
MAP10	CMCD337	24.160183562951648
MAP10	CMCD357	10.211504641864629
MAP10	CMCD398	21.12604951172857
MAP10	CMCD403	28.201068121067888
MAP10	CMCD422	12.025035424993511
MAP10	CMCD426	2.2280939223612473
MAP10	CMCD71	20.127725980554786
MAP10	CMCD72	1.1510750061651915
MAP10	CMCD76	78.17918268664722
MAP10	CMCD88	70.01259399617305
MAP10	CMSA256	98
MAP10	CMSA316	5.0407725572918345
MAP10	CMUC110	119
MAP10	CMUC192	13.174985846701649
MAP10	CMUC199	4.112749621665926
MAP10	CMUC200	39.09131504702064
MAP10	CMUC208	10.02446897019748
MAP10	CMUC231	53
MAP10	CMUC234	130
MAP10	CMUC285	17.189157936561145
MAP10	CMUC291	14.092461170971495
MAP10	CMUC295	45.04049527071446
MAP10	CMUC299	35.102446132081766
MAP10	CMUC301	24.012956155352313
MAP10	CMUC307	23.06348430753371
MAP10	CMUC313	23.966952061822305
MAP10	CMUC314	6.335079077015238
MAP10	CMUC323	9.216944162022084
MAP10	CMUC324	51.045894640143054
MAP10	CMUC331	20.18314922800797
MAP10	CMUC333	26.60420760410037
MAP10	CMUC334	34.51044224340779
MAP10	CMUC346	7.075945687937362
MAP10	CMUC352	26.157403102810463
MAP10	CMUC360	13.018722866632642
MAP10	CMUC363	1.0263755677043285
MAP10	CMUC365	19.127154480328198
MAP10	CMUC366	21.070328871368158
MAP10	CMUC368	134
MAP10	CMUC377	27.11021113434216
MAP10	CMUC379	1.0708063663103926
MAP10	CMUC380	7.127934970479819
MAP10	CMUC383	14.200003673049757
MAP10	CMUC394	7.053351851922249
MAP10	CMUC419	5.124746261478588
MAP10	CMUC427	164
MAP10	CMUC428	63.39986469307967
MAP10	CMUC431	53.0985068502907
MAP10	CMUC435	56.281087765627966
MAP10	CMUC439	19.122286044048018
MAP10	CMUC89	45
MAP10	CS219	25.06193853659741
MAP10	CS256	49.11220440168081
MAP10	CS257	1.0944271775349645
MAP10	CS259	40.061824449092555
MAP10	CS261	5.119115178419638
MAP10	CS266	29.001857505162377
MAP10	CS270	9.117085536568577
MAP10	CS277	28.942334818288828
MAP10	CS288	15.135235922337163
