Gene	sample	counts
MAPK15	CM317	1.0526623222759672
MAPK15	CMCD140	261.43784770973417
MAPK15	CMCD147	49.947848608812926
MAPK15	CMCD152	121
MAPK15	CMCD154	72.70830182666664
MAPK15	CMCD159	184.94727530762745
MAPK15	CMCD161	83.2567697436016
MAPK15	CMCD174	203.64336182410943
MAPK15	CMCD196	160.49928214033451
MAPK15	CMCD198	809.6022634918244
MAPK15	CMCD203	39.124767867402845
MAPK15	CMCD211	82.78561194955053
MAPK15	CMCD227	67.41306120774337
MAPK15	CMCD240	75.52428744951737
MAPK15	CMCD259	22
MAPK15	CMCD270	90.46944029564227
MAPK15	CMCD275	304.54576767002305
MAPK15	CMCD282	153.00293059027587
MAPK15	CMCD286	127.5499315144375
MAPK15	CMCD287	99
MAPK15	CMCD294	174.75785985631023
MAPK15	CMCD327	27.137550592699995
MAPK15	CMCD335	56.26332258351136
MAPK15	CMCD337	29.193849543962347
MAPK15	CMCD357	23.485888682107348
MAPK15	CMCD398	47.275288615889906
MAPK15	CMCD403	81.58027095829847
MAPK15	CMCD422	55.11474569788693
MAPK15	CMCD426	10.046375383741415
MAPK15	CMCD71	111.7030125923198
MAPK15	CMCD72	3.4605227739629463
MAPK15	CMCD76	17.039803994855152
MAPK15	CMCD88	211.03796190275023
MAPK15	CMSA256	118
MAPK15	CMSA316	27.217431003013566
MAPK15	CMUC110	71
MAPK15	CMUC192	93.23656931220198
MAPK15	CMUC199	205.77144715774764
MAPK15	CMUC200	108.25287243790332
MAPK15	CMUC208	127.31075592150799
MAPK15	CMUC231	93
MAPK15	CMUC234	250
MAPK15	CMUC285	12.132567750971232
MAPK15	CMUC291	29.190666929362724
MAPK15	CMUC295	134.1205859172386
MAPK15	CMUC299	41.12069710029066
MAPK15	CMUC301	63.03400990779982
MAPK15	CMUC307	73.2037314152938
MAPK15	CMUC313	1.0421599703566413
MAPK15	CMUC314	4.226290981886271
MAPK15	CMUC323	35.83936140974859
MAPK15	CMUC324	40.033006642732275
MAPK15	CMUC331	17.153502566268838
MAPK15	CMUC333	4.092941819873844
MAPK15	CMUC334	19.2868716105001
MAPK15	CMUC346	141.50286526249667
MAPK15	CMUC352	22.130622333596218
MAPK15	CMUC360	41.0559835046179
MAPK15	CMUC363	32.850845496921
MAPK15	CMUC365	24.158151699100088
MAPK15	CMUC366	47.15630296082793
MAPK15	CMUC368	69
MAPK15	CMUC377	29.117672567862986
MAPK15	CMUC379	35.39790929781017
MAPK15	CMUC380	34.621865930066015
MAPK15	CMUC383	67.94939200476404
MAPK15	CMUC394	126.95219176835398
MAPK15	CMUC419	105.60235927315786
MAPK15	CMUC427	55
MAPK15	CMUC428	28.175613846509613
MAPK15	CMUC431	36.06482158633336
MAPK15	CMUC435	35.17055433382147
MAPK15	CMUC439	65.41255881032029
MAPK15	CMUC89	53
MAPK15	CS219	98.24548555541446
MAPK15	CS256	56.12692819997794
MAPK15	CS257	17.56105706651069
MAPK15	CS259	69.10664717468465
MAPK15	CS261	237.66482870584636
MAPK15	CS266	75.65560452074088
MAPK15	CS270	207.69583395556302
MAPK15	CS277	104.3968409264736
MAPK15	CS288	92.83071977039606
MAPK15	CS290	52.41948038434005
MAPK15	CS292	96.34340690717704
MAPK15	CS293	137.32848993703308
MAPK15	CS301	219.87267645026844
MAPK15	CS306	202.7435563032377
MAPK15	CS308	7.185960171800121
MAPK15	CS315	32.8991274493737
MAPK15	CS317	1.074639904418001
MAPK15	CS322	14.18695327355101
MAPK15	CS327	62.29448338381678
MAPK15	CS328	1.059153926433811
MAPK15	CS330	1.0796669003492032
MAPK15	CS331	27.518270965656725
MAPK15	CS335	33.35020519043223
MAPK15	CS338	16.496805490641748
MAPK15	CS339	3.523663659282333
MAPK15	CS343	24.19022212228163
MAPK15	CS344	15.213618786429342
MAPK15	CS350	43.002946387241344
MAPK15	CS351	73.60537118841654
MAPK15	CS361	12.288542528190494
MAPK15	CS388	6.210872890859932
MAPK15	CS396	9.09702548540597
MAPK15	CS405	46.147265027389594
MAPK15	CS415	17.265418281911582
MAPK15	CS424	14.540853064109324
MAPK15	IM293	123.65471268034513
MAPK15	IM296	99.44956814482173
MAPK15	IM297	46.27988360401633
MAPK15	IM300	167
MAPK15	IM305	108.06831008637745
MAPK15	IM309	1.0710522602925363
MAPK15	IM310	2.0274434798956182
MAPK15	IM311	34.42268754382037
MAPK15	IM316	27.138525409076003
MAPK15	IM320	18.871614948733278
MAPK15	IM330	80.84762805454325
MAPK15	IM332	43.32859861046738
MAPK15	IM340	192.73143398251773
MAPK15	IM348	20.759245831543524
MAPK15	IM354	45.324858926665364
MAPK15	IM356	40.361210659924915
MAPK15	IM364	24.420442552329916
MAPK15	IM372	30
MAPK15	IM374	50.439737936336954
MAPK15	IM376	48.74913470483197
MAPK15	IM381	47.580597241226045
MAPK15	IM382	34.064671440837934
MAPK15	IM385	40
MAPK15	IM390	33.95515419900453
MAPK15	IM397	66.74526632970117
MAPK15	IM404	147.4127228438241
MAPK15	IM409	35.19718349394884
MAPK15	IM412	26
MAPK15	IM421	19.30281945891879
MAPK15	IM425	1.0558354963791774
MAPK15	IM432	36.52395236410938
MAPK15	IM438	56
MAPK15	IM442	40.71429498171298
MAPK15	IM445	18.20967195290178
MAPK15	IM448	1.0233434391267064
MAPK15	IM449	10.08323579155679
MAPK15	IM451	46.2351198952553
MAPK15	IMSA256	70.28498790698427
MAPK15	IMSA276	43
MAPK15	IMSA286	46
MAPK15	IMSA343	10.12415028286577
MAPK15	IS_238	71
MAPK15	IS238	172.92507983213733
MAPK15	IS243	72
MAPK15	IS253	83
MAPK15	IS283	79
MAPK15	IS322	106.09956860229846
MAPK15	IS399	19.140448787496393
MAPK15	IS418	18.66198515191071
MAPK15	IS430	3.259996891486408
MAPK15	IS437	13.008405228239749
MAPK15	IS444	1.038269986062024
MAPK15	R276CMSA	68.2860561776134
MAPK15	R286CMSA	48
MAPK15	R292CMSA	87.35925845403312
MAPK15	R292IMSA	157.50801111170807
MAPK15	R308CMSA	1.0712088352624616
MAPK15	R316IMSA	6.120350814286367
MAPK15	R347CMSA	1.070052450835456
MAPK15	R347IMSA	5.336766677118794
MAPK15	R371CMSA	78.31385210318284
MAPK15	SRR10104064	1.1179560603118057
MAPK15	SRR10104065	1.00586233759953
MAPK15	SRR10104066	1.0187893638977605
MAPK15	SRR10104067	2.047043876582486
MAPK15	SRR10104068	1.0047021889912742
MAPK15	SRR10104069	1.0115080415029285
MAPK15	SRR10104070	1.0296809562050373
MAPK15	SRR10104071	1.1645245250191503
MAPK15	SRR10104072	1.0743045505472277
MAPK15	SRR10104073	1.0468320490892598
MAPK15	SRR10104074	1.1037284927768123
MAPK15	SRR10104075	1.1607977517009396
MAPK15	SRR10104076	1.0280580636476564
MAPK15	SRR10104077	1.1074748287827698
MAPK15	SRR10104078	1.042551525819836
MAPK15	SRR10104079	1.0967600863718163
MAPK15	SRR10104080	1.1296658995583662
MAPK15	SRR10104081	1.0158987613075914
MAPK15	SRR10104082	1.089411904515549
MAPK15	SRR10104083	1.0681434912332077
MAPK15	SRR10104084	1.0726512519873828
MAPK15	SRR10104085	1.0226307983771519
MAPK15	SRR10104086	1.0250912339435476
MAPK15	SRR10104087	1.0032266090038542
MAPK15	SRR10104088	1.0091143690578037
MAPK15	SRR10104089	1.1448723975995108
MAPK15	SRR10104090	1.0265578899448458
MAPK15	SRR10104091	1.0435712655126905
MAPK15	SRR10104092	1.012780166831209
MAPK15	SRR10104093	2.0712574247769826
MAPK15	SRR10104094	2.070376167835368
MAPK15	SRR10104095	1.057216323875561
MAPK15	SRR10104096	1.154072664928297
MAPK15	SRR10104097	1.0681804047616614
MAPK15	SRR10104098	1.0300924267961133
MAPK15	SRR10104099	1.0493908160133256
MAPK15	SRR10104100	1.0295489140959984
MAPK15	SRR10104101	1.0055788173830293
MAPK15	SRR10104102	2.030772423377125
MAPK15	SRR10104103	1.0542185516886984
MAPK15	SRR10104104	2.031091135746632
MAPK15	SRR10104105	1.0872921557787103
MAPK15	SRR10104106	1.1382385722253068
MAPK15	SRR10104107	1.009713181748909
MAPK15	SRR10104108	1.0068767056306842
MAPK15	SRR10104109	1.1285448548113846
MAPK15	SRR10104110	1.1982558131462344
MAPK15	SRR10104111	1.033999484700198
MAPK15	SRR10104112	1.196151394106599
MAPK15	SRR10104113	1.0367667336286073
MAPK15	SRR10104114	1.1797749232980566
MAPK15	SRR10104115	1.1539300414205504
MAPK15	SRR10104116	1.0484838381678343
MAPK15	SRR10104117	1.0397805115928114
MAPK15	SRR10104118	1.1532185893604232
MAPK15	SRR10104119	1.196116023768437
MAPK15	SRR10104120	1.0276522924898637
