Gene	sample	counts
MIR378A	CM317	1.052160686909921
MIR378A	CMCD140	1.0094128350688558
MIR378A	CMCD147	1.0404565910580479
MIR378A	CMCD152	1
MIR378A	CMCD154	5.049496634885947
MIR378A	CMCD159	1.0863042186135794
MIR378A	CMCD161	1.0030629480920839
MIR378A	CMCD174	1.092629434806816
MIR378A	CMCD196	1.0091897168260358
MIR378A	CMCD198	1.029495742835047
MIR378A	CMCD203	6.019435877071445
MIR378A	CMCD211	5.62365088220383
MIR378A	CMCD227	4.110552512667279
MIR378A	CMCD240	5.579796233588041
MIR378A	CMCD259	2
MIR378A	CMCD270	3.0155724404856685
MIR378A	CMCD275	1.008539072196977
MIR378A	CMCD282	1.0131607869251968
MIR378A	CMCD286	4.712519196461104
MIR378A	CMCD287	3
MIR378A	CMCD294	1.0639520056991958
MIR378A	CMCD327	1.0051387872752835
MIR378A	CMCD335	1.0047054282731729
MIR378A	CMCD337	3.020022945368956
MIR378A	CMCD357	1.0211504641864628
MIR378A	CMCD398	3.0180070731040813
MIR378A	CMCD403	1.0071810043238532
MIR378A	CMCD422	1.0020862854161259
MIR378A	CMCD426	1.1140469611806236
MIR378A	CMCD71	1.0063862990277392
MIR378A	CMCD72	1.1510750061651915
MIR378A	CMCD76	10.022972139313746
MIR378A	CMCD88	2.0003598284620874
MIR378A	CMSA256	6
MIR378A	CMSA316	1.0081545114583668
MIR378A	CMUC110	4
MIR378A	CMUC192	1.0134604497462807
MIR378A	CMUC199	2.056374810832963
MIR378A	CMUC200	2.004682822924136
MIR378A	CMUC208	2.004893794039496
MIR378A	CMUC231	5
MIR378A	CMUC234	1
MIR378A	CMUC285	1.0111269374447733
MIR378A	CMUC291	1.0066043693551068
MIR378A	CMUC295	4.003599579619063
MIR378A	CMUC299	1.0029270323451933
MIR378A	CMUC301	3.001619519419039
MIR378A	CMUC307	2.0055203745681487
MIR378A	CMUC313	1.0420413939922741
MIR378A	CMUC314	1.055846512835873
