Gene	sample	counts
MIR548AR	CM317	1.052160686909921
MIR548AR	CMCD140	1.0094128350688558
MIR548AR	CMCD147	1.0404565910580479
MIR548AR	CMCD152	3
MIR548AR	CMCD154	1.0098993269771894
MIR548AR	CMCD159	1.0863042186135794
MIR548AR	CMCD161	1.0030629480920839
MIR548AR	CMCD174	1.092629434806816
MIR548AR	CMCD196	1.0091897168260358
MIR548AR	CMCD198	1.029495742835047
MIR548AR	CMCD203	1.0032393128452408
MIR548AR	CMCD211	1.6067573949153797
MIR548AR	CMCD227	0.8221105025334557
MIR548AR	CMCD240	2.7898981167940207
MIR548AR	CMCD259	3
MIR548AR	CMCD270	1.0051908134952228
MIR548AR	CMCD275	1.008539072196977
MIR548AR	CMCD282	1.0131607869251968
MIR548AR	CMCD286	0.9425038392922207
MIR548AR	CMCD287	2
MIR548AR	CMCD294	1.0639520056991958
MIR548AR	CMCD327	1.0051387872752835
MIR548AR	CMCD335	1.0047054282731729
MIR548AR	CMCD337	1.0066743151229853
MIR548AR	CMCD357	1.0211504641864628
MIR548AR	CMCD398	1.0060023577013604
MIR548AR	CMCD403	1.0071810043238532
MIR548AR	CMCD422	1.0020862854161259
MIR548AR	CMCD426	1.1140469611806236
MIR548AR	CMCD71	1.0063862990277392
MIR548AR	CMCD72	1.1510750061651915
MIR548AR	CMCD76	3.006891641794124
MIR548AR	CMCD88	2.0003598284620874
MIR548AR	CMSA256	1
MIR548AR	CMSA316	1.0081545114583668
MIR548AR	CMUC110	1
MIR548AR	CMUC192	1.0134604497462807
MIR548AR	CMUC199	1.0281874054164815
MIR548AR	CMUC200	1.002341411462068
MIR548AR	CMUC208	1.002446897019748
MIR548AR	CMUC231	3
MIR548AR	CMUC234	2
MIR548AR	CMUC285	1.0111269374447733
MIR548AR	CMUC291	1.0066043693551068
MIR548AR	CMUC295	1.0008998949047658
MIR548AR	CMUC299	1.0029270323451933
MIR548AR	CMUC301	1.0005398398063463
MIR548AR	CMUC307	1.0027601872840743
MIR548AR	CMUC313	1.0420413939922741
MIR548AR	CMUC314	1.055846512835873
MIR548AR	CMUC323	1.0241049068913428
MIR548AR	CMUC324	1.0008998949047658
MIR548AR	CMUC331	1.0091574614003984
MIR548AR	CMUC333	1.0232387540038606
MIR548AR	CMUC334	1.0150130071590526
MIR548AR	CMUC346	1.0108493839910517
MIR548AR	CMUC352	1.00605396549271
MIR548AR	CMUC360	1.0014402205102033
MIR548AR	CMUC363	1.0263755677043285
MIR548AR	CMUC365	1.0066923410699051
MIR548AR	CMUC366	1.0033489938746742
MIR548AR	CMUC368	1
MIR548AR	CMUC377	1.0040818938645244
MIR548AR	CMUC379	1.0708063663103926
MIR548AR	CMUC380	1.01827642435426
MIR548AR	CMUC383	1.0142859766464112
MIR548AR	CMUC394	1.0076216931317499
MIR548AR	CMUC419	1.0249492522957178
MIR548AR	CMUC427	1
MIR548AR	CMUC428	3.0190411758609366
MIR548AR	CMUC431	1.0018586198168056
MIR548AR	CMUC435	3.015058273158641
MIR548AR	CMUC439	1.0064361075814747
MIR548AR	CMUC89	1
MIR548AR	CS219	1.0024775414638962
MIR548AR	CS256	1.002289885748588
MIR548AR	CS257	1.0944271775349645
MIR548AR	CS259	1.001545611227314
MIR548AR	CS261	1.0238230356839277
MIR548AR	CS266	1.0357806251843706
MIR548AR	CS270	1.0130095040631752
MIR548AR	CS277	0.964744493942961
MIR548AR	CS288	1.009015728155811
MIR548AR	CS290	1.0079916665289268
MIR548AR	CS292	1.0139795313343294
MIR548AR	CS293	1.016848591736414
MIR548AR	CS301	1.0267458436587589
MIR548AR	CS306	1.0388615456941386
MIR548AR	CS308	1.0265766152062068
MIR548AR	CS315	1.028018282586956
MIR548AR	CS317	1.0722984600508352
MIR548AR	CS322	1.0134187324826138
MIR548AR	CS327	1.0047603772359066
MIR548AR	CS328	1.0566294945036847
MIR548AR	CS330	1.0768616883015538
MIR548AR	CS331	1.0187996043213206
MIR548AR	CS335	0.5048120692723962
MIR548AR	CS338	1.030832702181411
MIR548AR	CS339	1.1707547739034676
MIR548AR	CS343	1.0080789119524982
MIR548AR	CS344	1.014131256091266
MIR548AR	CS350	1.0232380192782662
MIR548AR	CS351	1.008311894542825
MIR548AR	CS361	1.0239903938396149
MIR548AR	CS388	1.034963282410878
MIR548AR	CS396	1.01090379638317
MIR548AR	CS405	1.0253724548654906
MIR548AR	CS415	1.0768988297741249
MIR548AR	CS424	1.0376219614625826
MIR548AR	IM293	1.0053335186310612
MIR548AR	IM296	1.0674965693084089
MIR548AR	IM297	1.098769887658002
MIR548AR	IM300	1
MIR548AR	IM305	1.0100500854392669
MIR548AR	IM309	1.068243382745569
MIR548AR	IM310	1.0137597798867521
MIR548AR	IM311	1.0124769275654149
MIR548AR	IM316	1.0051863509411016
MIR548AR	IM320	1.0476097382082026
MIR548AR	IM330	1.0105944783553105
MIR548AR	IM332	1.0306075684228129
MIR548AR	IM340	1.056280146775053
MIR548AR	IM348	1.0369614627065955
MIR548AR	IM354	1.0072486895623194
MIR548AR	IM356	1.0086100524478088
MIR548AR	IM364	1.017386683482945
MIR548AR	IM372	0.9999907178682895
MIR548AR	IM374	1.0494515301768887
MIR548AR	IM376	1.0151740030663836
MIR548AR	IM381	1.012555790998895
MIR548AR	IM382	1.0318406015848964
MIR548AR	IM385	1
MIR548AR	IM390	1.028703799246213
MIR548AR	IM397	1.011384661421074
MIR548AR	IM404	1.0028825152555245
MIR548AR	IM409	1.0057289905461357
MIR548AR	IM412	1
MIR548AR	IM421	1.0158984637588822
MIR548AR	IM425	1.0543133661346646
MIR548AR	IM432	1.0420143643186235
MIR548AR	IM438	1
MIR548AR	IM442	1.0426097281187585
MIR548AR	IM445	1.0115547971482344
MIR548AR	IM448	1.0230255913150224
MIR548AR	IM449	1.008446585812273
MIR548AR	IM451	1.0051863509411016
MIR548AR	IMSA256	1.0040992210696569
MIR548AR	IMSA276	3
MIR548AR	IMSA286	1
MIR548AR	IMSA343	1.0125207868802717
MIR548AR	IS_238	1
MIR548AR	IS238	1.0236626604486236
MIR548AR	IS243	1
MIR548AR	IS253	1
MIR548AR	IS283	1
MIR548AR	IS322	1.0106397239474434
MIR548AR	IS399	1.0072529602272131
MIR548AR	IS418	1.0947511027862358
MIR548AR	IS430	1.0847548398304163
MIR548AR	IS437	1.0822383787243768
MIR548AR	IS444	1.0378497226493058
MIR548AR	R276CMSA	1.0649255307900556
MIR548AR	R286CMSA	1
MIR548AR	R292CMSA	1.004207620749528
MIR548AR	R292IMSA	1.0768750693977573
MIR548AR	R308CMSA	1.070354522560454
MIR548AR	R316IMSA	1.0198650539779268
MIR548AR	R347CMSA	1.0679448775774594
MIR548AR	R347IMSA	1.0654084912781197
MIR548AR	R371CMSA	1.0039962901985677
MIR548AR	SRR10104064	1.1130827181735787
MIR548AR	SRR10104065	1.0058655806218886
MIR548AR	SRR10104066	1.0187563340359607
MIR548AR	SRR10104067	1.0232571372704031
