Gene	sample	counts
MMD	CM317	211.58512677746938
MMD	CMCD140	212.98604581758266
MMD	CMCD147	245.57692232666358
MMD	CMCD152	684
MMD	CMCD154	376.669396963148
MMD	CMCD159	120.75969152439204
MMD	CMCD161	317.980674803876
MMD	CMCD174	121.52910302406531
MMD	CMCD196	137.28240484959431
MMD	CMCD198	202.9155800354827
MMD	CMCD203	734.3417968958688
MMD	CMCD211	986.9973929519228
MMD	CMCD227	520.3959481036775
MMD	CMCD240	567.8307537871121
MMD	CMCD259	863
MMD	CMCD270	221.14752072268112
MMD	CMCD275	212.7786654913075
MMD	CMCD282	156.04272391326148
MMD	CMCD286	566.8885845086111
MMD	CMCD287	555
MMD	CMCD294	133.1995883051145
MMD	CMCD327	319.62004031402216
MMD	CMCD335	257.2037603817662
MMD	CMCD337	565.7566704726496
MMD	CMCD357	245.07014276981582
MMD	CMCD398	339.97973515256996
MMD	CMCD403	382.72225881670886
MMD	CMCD422	500.0410564226469
MMD	CMCD426	184.18354870192593
MMD	CMCD71	340.1407050108477
MMD	CMCD72	144.18844891512276
MMD	CMCD76	494.15431585079943
MMD	CMCD88	457.08222080358695
MMD	CMSA256	506
MMD	CMSA316	468.7446450519003
MMD	CMUC110	739
MMD	CMUC192	216.8763677479481
MMD	CMUC199	129.63601170938102
MMD	CMUC200	383.89676058997196
MMD	CMUC208	400.97875880789917
MMD	CMUC231	783
MMD	CMUC234	665
MMD	CMUC285	240.62926039426276
MMD	CMUC291	356.32745148256566
MMD	CMUC295	332.2987651083822
MMD	CMUC299	569.6720964137828
MMD	CMUC301	538.2904338158144
MMD	CMUC307	412.1470357765171
MMD	CMUC313	374.13542935803423
MMD	CMUC314	226.10656753091547
MMD	CMUC323	315.38638040578763
MMD	CMUC324	421.3473949147572
MMD	CMUC331	254.27544980586745
MMD	CMUC333	472.73478019542904
MMD	CMUC334	313.6654382970806
MMD	CMUC346	298.166751803118
MMD	CMUC352	417.46401220192865
MMD	CMUC360	295.4028081429824
MMD	CMUC363	287.4448980980588
MMD	CMUC365	284.86487211855524
MMD	CMUC366	708.3478700073301
MMD	CMUC368	831
MMD	CMUC377	478.9355108576084
MMD	CMUC379	153.39094029051074
MMD	CMUC380	216.89580715011945
MMD	CMUC383	265.71254783952503
MMD	CMUC394	228.7154565985425
MMD	CMUC419	196.85099981015833
MMD	CMUC427	811
MMD	CMUC428	494.0795142370078
MMD	CMUC431	420.7562518405559
MMD	CMUC435	525.5485690453894
MMD	CMUC439	293.85334111713115
MMD	CMUC89	580
MMD	CS219	230.57613956882986
MMD	CS256	315.7139711248759
MMD	CS257	128.41522979885943
MMD	CS259	323.4992324264224
MMD	CS261	151.6137700364882
MMD	CS266	132.65640244732649
MMD	CS270	183.38022412661905
MMD	CS277	129.76429760019616
MMD	CS288	227.03165161238167
MMD	CS290	277.2184058787214
MMD	CS292	190.65853156367666
MMD	CS293	161.74244370361674
MMD	CS301	162.33590130440382
MMD	CS306	135.16237086882512
MMD	CS308	271.01335505074746
MMD	CS315	144.96178032380288
MMD	CS317	130.03142843457812
MMD	CS322	301.97943396558577
MMD	CS327	711.3628102539078
MMD	CS328	123.92100939275589
MMD	CS330	119.84302593876157
MMD	CS331	169.18640667774133
MMD	CS335	74.28000246959905
MMD	CS338	211.36532034884738
MMD	CS339	172.65951930483433
MMD	CS343	361.8454059124627
MMD	CS344	260.6600018741561
MMD	CS350	150.5103123553447
MMD	CS351	349.87758633398
MMD	CS361	266.2517547774607
MMD	CS388	198.74793250751782
MMD	CS396	420.4847335476537
MMD	CS405	227.65984080178868
MMD	CS415	248.190387802479
MMD	CS424	165.14254551381305
MMD	IM293	254.34668543192942
MMD	IM296	114.42047087630027
MMD	IM297	117.90351299118444
MMD	IM300	527
MMD	IM305	200.98685707653377
MMD	IM309	125.31311445422674
MMD	IM310	201.730626249614
MMD	IM311	239.94638082015967
MMD	IM316	263.3442095251079
MMD	IM320	240.08887906999558
MMD	IM330	186.96013987613125
MMD	IM332	110.3847631266669
MMD	IM340	113.30913975895272
MMD	IM348	205.5165337322809
MMD	IM354	234.68204733140067
MMD	IM356	142.27326757623533
MMD	IM364	209.60879857416512
MMD	IM372	149
MMD	IM374	142.91259081962139
MMD	IM376	210.23064341458786
MMD	IM381	262.1994613931393
MMD	IM382	235.3559117730621
MMD	IM385	827
MMD	IM390	191.38359639438917
MMD	IM397	231.5858483257813
MMD	IM404	359.00513454482336
MMD	IM409	336.88732772779605
MMD	IM412	369
MMD	IM421	346.43481239427933
MMD	IM425	125.64442406912212
MMD	IM432	230.6226706419478
MMD	IM438	634
MMD	IM442	196.2637809374882
MMD	IM445	202.3296883655753
MMD	IM448	197.50528375145436
MMD	IM449	358.9631941794217
MMD	IM451	322.64072796471635
MMD	IMSA256	314.27430306980114
MMD	IMSA276	498
MMD	IMSA286	587
