Gene	sample	counts
MORC2-AS1	CM317	1.052160686909921
MORC2-AS1	CMCD140	1.0094128350688558
MORC2-AS1	CMCD147	1.0404565910580479
MORC2-AS1	CMCD152	3
MORC2-AS1	CMCD154	1.0098993269771894
MORC2-AS1	CMCD159	1.0863042186135794
MORC2-AS1	CMCD161	1.0030629480920839
MORC2-AS1	CMCD174	1.092629434806816
MORC2-AS1	CMCD196	2.0183794336520715
MORC2-AS1	CMCD198	1.029495742835047
MORC2-AS1	CMCD203	2.0064786256904816
MORC2-AS1	CMCD211	5.62365088220383
MORC2-AS1	CMCD227	10.687436532934925
MORC2-AS1	CMCD240	3.719864155725361
MORC2-AS1	CMCD259	14
MORC2-AS1	CMCD270	2.0103816269904455
MORC2-AS1	CMCD275	1.008539072196977
MORC2-AS1	CMCD282	1.0131607869251968
MORC2-AS1	CMCD286	9.425038392922207
MORC2-AS1	CMCD287	5
MORC2-AS1	CMCD294	1.0639520056991958
MORC2-AS1	CMCD327	4.020555149101134
MORC2-AS1	CMCD335	4.0188217130926915
MORC2-AS1	CMCD337	5.033371575614927
MORC2-AS1	CMCD357	4.084601856745851
MORC2-AS1	CMCD398	3.0180070731040813
MORC2-AS1	CMCD403	5.035905021619266
MORC2-AS1	CMCD422	6.012517712496756
MORC2-AS1	CMCD426	1.1140469611806236
MORC2-AS1	CMCD71	5.031931495138696
MORC2-AS1	CMCD72	1.1510750061651915
MORC2-AS1	CMCD76	2.004594427862749
MORC2-AS1	CMCD88	4.000719656924175
MORC2-AS1	CMSA256	4
MORC2-AS1	CMSA316	4.032618045833467
MORC2-AS1	CMUC110	10
MORC2-AS1	CMUC192	6.080762698477684
MORC2-AS1	CMUC199	4.112749621665926
MORC2-AS1	CMUC200	4.009365645848272
MORC2-AS1	CMUC208	1.002446897019748
MORC2-AS1	CMUC231	2
MORC2-AS1	CMUC234	5
MORC2-AS1	CMUC285	3.03338081233432
MORC2-AS1	CMUC291	2.0132087387102136
MORC2-AS1	CMUC295	4.003599579619063
MORC2-AS1	CMUC299	1.0029270323451933
MORC2-AS1	CMUC301	2.0010796796126926
MORC2-AS1	CMUC307	2.0055203745681487
MORC2-AS1	CMUC313	1.0420413939922741
MORC2-AS1	CMUC314	1.055846512835873
