Gene	sample	counts
MRPS18B	CM317	447.38148696728604
MRPS18B	CMCD140	1520.1752843662537
MRPS18B	CMCD147	577.5219995393995
MRPS18B	CMCD152	1684
MRPS18B	CMCD154	1267.3460943398143
MRPS18B	CMCD159	83.77023646286655
MRPS18B	CMCD161	1757.4200071179519
MRPS18B	CMCD174	118.24453267206354
MRPS18B	CMCD196	2063.2737905336085
MRPS18B	CMCD198	522.2243608019783
MRPS18B	CMCD203	686.1882364436807
MRPS18B	CMCD211	944.3989712691445
MRPS18B	CMCD227	796.6250769549187
MRPS18B	CMCD240	1615.8467919754767
MRPS18B	CMCD259	1774
MRPS18B	CMCD270	1466.6101487926899
MRPS18B	CMCD275	1427.9364470885848
MRPS18B	CMCD282	1270.6336090079863
MRPS18B	CMCD286	1025.1235236530717
MRPS18B	CMCD287	1515
MRPS18B	CMCD294	379.3524274929661
MRPS18B	CMCD327	1046.3033395185444
MRPS18B	CMCD335	1360.3667638941854
MRPS18B	CMCD337	994.6042534287861
MRPS18B	CMCD357	713.7667908170886
MRPS18B	CMCD398	506.95203111507476
MRPS18B	CMCD403	1181.4031831368409
MRPS18B	CMCD422	776.6168711974976
MRPS18B	CMCD426	129.48661605711158
MRPS18B	CMCD71	1173.3847989427468
MRPS18B	CMCD72	126.88583504530803
MRPS18B	CMCD76	1497.4980687243294
MRPS18B	CMCD88	2039.3668451170981
MRPS18B	CMSA256	1799
MRPS18B	CMSA316	718.7417890795805
MRPS18B	CMUC110	1264
MRPS18B	CMUC192	816.8334224525522
MRPS18B	CMUC199	401.2543219576079
MRPS18B	CMUC200	1519.549579776495
MRPS18B	CMUC208	1769.318773239855
MRPS18B	CMUC231	1120
MRPS18B	CMUC234	1227
MRPS18B	CMUC285	841.1913640673388
MRPS18B	CMUC291	955.2394108953525
MRPS18B	CMUC295	2670.400919605915
MRPS18B	CMUC299	1166.4236762838548
MRPS18B	CMUC301	1283.6926144715424
MRPS18B	CMUC307	1152.2066766598982
MRPS18B	CMUC313	253.24487279666383
MRPS18B	CMUC314	508.211490571824
MRPS18B	CMUC323	482.2954063997596
MRPS18B	CMUC324	947.7814322666867
MRPS18B	CMUC331	552.9482003714895
MRPS18B	CMUC333	450.2236001861229
MRPS18B	CMUC334	783.6560464897935
MRPS18B	CMUC346	1189.6348029568471
MRPS18B	CMUC352	815.8152142066606
MRPS18B	CMUC360	672.9175832952006
MRPS18B	CMUC363	369.5720118403613
MRPS18B	CMUC365	672.4018889582858
MRPS18B	CMUC366	1006.3355716959662
MRPS18B	CMUC368	1173
MRPS18B	CMUC377	1333.3885920731739
MRPS18B	CMUC379	225.25942280424655
MRPS18B	CMUC380	753.5347290661426
MRPS18B	CMUC383	1039.5242806698975
MRPS18B	CMUC394	660.957442857462
