Gene	sample	counts
MTAP	CM317	95.79227132711301
MTAP	CMCD140	184.72249471382761
MTAP	CMCD147	52.02900896751347
MTAP	CMCD152	531
MTAP	CMCD154	382.7284221153702
MTAP	CMCD159	14.143026935289157
MTAP	CMCD161	290.8971472969213
MTAP	CMCD174	27.371419600014708
MTAP	CMCD196	93.87693861038434
MTAP	CMCD198	83.43229432931014
MTAP	CMCD203	653.0826636328013
MTAP	CMCD211	544.9383000174297
MTAP	CMCD227	416.81002478446203
MTAP	CMCD240	717.0145314651711
MTAP	CMCD259	370
MTAP	CMCD270	216.12144070625655
MTAP	CMCD275	125.04528208967834
MTAP	CMCD282	102.33970854051564
MTAP	CMCD286	487.5241826774056
MTAP	CMCD287	534
MTAP	CMCD294	55.41102873492763
MTAP	CMCD327	174.88643715295552
MTAP	CMCD335	191.8981180973334
MTAP	CMCD337	362.40640813194636
MTAP	CMCD357	121.51394579003367
MTAP	CMCD398	180.048439622219
MTAP	CMCD403	264.8840896547222
MTAP	CMCD422	287.59876391442816
MTAP	CMCD426	40.18550153496566
MTAP	CMCD71	178.1210200796451
MTAP	CMCD72	29.991197374345536
MTAP	CMCD76	345.8077869544134
MTAP	CMCD88	395.0710661212623
MTAP	CMSA256	433
MTAP	CMSA316	354.834656039288
MTAP	CMUC110	675
MTAP	CMUC192	107.42474290318924
MTAP	CMUC199	81.27972162731032
MTAP	CMUC200	363.84993236073063
MTAP	CMUC208	343.83928567777355
MTAP	CMUC231	667
MTAP	CMUC234	418
MTAP	CMUC285	139.52452913616918
MTAP	CMUC291	183.19659934979364
MTAP	CMUC295	396.3563583822872
MTAP	CMUC299	393.15398203204734
MTAP	CMUC301	436.235370155567
MTAP	CMUC307	339.94609520252874
MTAP	CMUC313	112.55327679851726
MTAP	CMUC314	92.97840160149795
MTAP	CMUC323	137.21355511160888
MTAP	CMUC324	374.3086121095468
MTAP	CMUC331	161.4447300354714
MTAP	CMUC333	205.6703264486607
MTAP	CMUC334	251.74442944231708
MTAP	CMUC346	319.3921815924925
MTAP	CMUC352	309.82871267034704
MTAP	CMUC360	205.27991752308947
MTAP	CMUC363	106.76524786499327
MTAP	CMUC365	209.37064805886743
MTAP	CMUC366	350.16063262402014
MTAP	CMUC368	344
MTAP	CMUC377	381.5419164064805
MTAP	CMUC379	30.034589707232875
MTAP	CMUC380	101.82901744137062
MTAP	CMUC383	111.55870329140365
MTAP	CMUC394	127.9597488458806
MTAP	CMUC419	114.82974988925903
MTAP	CMUC427	611
MTAP	CMUC428	356.2202607737287
MTAP	CMUC431	369.66442125991694
MTAP	CMUC435	331.60808371888817
MTAP	CMUC439	164.0345705551109
MTAP	CMUC89	552
MTAP	CS219	275.68886252794874
MTAP	CS256	166.3762514499346
MTAP	CS257	1.097566066656918
MTAP	CS259	184.28439246582576
MTAP	CS261	102.44173651114068
MTAP	CS266	123.32899915024883
MTAP	CS270	114.48599627794448
MTAP	CS277	37.07551360005605
MTAP	CS288	201.80591254433926
MTAP	CS290	245.968331034211
MTAP	CS292	159.22015667817678
MTAP	CS293	72.22461322614332
MTAP	CS301	56.50933273254563
MTAP	CS306	35.350158534923494
MTAP	CS308	89.31121927808722
MTAP	CS315	86.36020955460597
MTAP	CS317	1.074639904418001
MTAP	CS322	142.88288654076376
MTAP	CS327	183.86920095545923
MTAP	CS328	8.473231411470488
MTAP	CS330	1.0796669003492032
MTAP	CS331	33.63344229135822
MTAP	CS335	67.71102265936241
MTAP	CS338	103.10503431651092
MTAP	CS339	29.363863827352777
MTAP	CS343	201.58518435234691
MTAP	CS344	114.60926152443437
MTAP	CS350	62.45666022908862
MTAP	CS351	154.26879166887304
MTAP	CS361	71.68316474777788
MTAP	CS388	132.49862167167853
MTAP	CS396	154.64943325190148
MTAP	CS405	103.57497261702999
