Gene	sample	counts
MYL4	CM317	1.0526623222759672
MYL4	CMCD140	1.009412539419823
MYL4	CMCD147	1.0405801793502694
MYL4	CMCD152	34
MYL4	CMCD154	24.23610060888888
MYL4	CMCD159	16.31887723302595
MYL4	CMCD161	16.049497781899102
MYL4	CMCD174	53.64798241602883
MYL4	CMCD196	10.094294474234875
MYL4	CMCD198	20.600566501064232
MYL4	CMCD203	14.044788465221535
MYL4	CMCD211	8.037438053354421
MYL4	CMCD227	9.043215527868012
MYL4	CMCD240	2.7971958314636067
MYL4	CMCD259	6
MYL4	CMCD270	10.052160032849141
MYL4	CMCD275	31.261320522419584
MYL4	CMCD282	28.37140434786572
MYL4	CMCD286	17.006657535258334
MYL4	CMCD287	2
MYL4	CMCD294	1.065596706440916
MYL4	CMCD327	19.096794861529627
MYL4	CMCD335	9.04231970092147
MYL4	CMCD337	6.040106802199106
MYL4	CMCD357	19.40138630261042
MYL4	CMCD398	16.093715273494436
MYL4	CMCD403	4.028655355965356
MYL4	CMCD422	19.039639422906394
MYL4	CMCD426	1.116263931526824
MYL4	CMCD71	76.48134195510184
MYL4	CMCD72	1.153507591320982
MYL4	CMCD76	25.058535286551695
MYL4	CMCD88	14.002518799234611
MYL4	CMSA256	34
MYL4	CMSA316	61.49123300680843
MYL4	CMUC110	16
MYL4	CMUC192	14.188173590987258
MYL4	CMUC199	38.06771772418332
MYL4	CMUC200	17.039803994855152
MYL4	CMUC208	11.026915867217228
MYL4	CMUC231	29
MYL4	CMUC234	16
MYL4	CMUC285	24.265135501942463
MYL4	CMUC291	37.24326470298003
MYL4	CMUC295	10.008998949047658
MYL4	CMUC299	9.026494485429657
MYL4	CMUC301	12.006478077676157
MYL4	CMUC307	23.064189350024073
MYL4	CMUC313	7.2951197924964895
MYL4	CMUC314	5.282863727357838
MYL4	CMUC323	6.143890527385473
MYL4	CMUC324	17.014027823161218
MYL4	CMUC331	5.045147813608481
MYL4	CMUC333	1.023235454968461
MYL4	CMUC334	9.135886552342152
MYL4	CMUC346	3.032204255624929
MYL4	CMUC352	6.035624272798969
MYL4	CMUC360	27.036867185967882
MYL4	CMUC363	24.638134122690754
MYL4	CMUC365	7.046127578904192
MYL4	CMUC366	14.046558328757255
MYL4	CMUC368	8
MYL4	CMUC377	10.04057674753896
MYL4	CMUC379	12.871967017385519
MYL4	CMUC380	29.530415057997484
MYL4	CMUC383	52.736841555936266
MYL4	CMUC394	11.083127852792808
MYL4	CMUC419	13.328453112146137
MYL4	CMUC427	23
MYL4	CMUC428	10.06271923089629
MYL4	CMUC431	18.03241079316668
MYL4	CMUC435	3.0146189428989834
MYL4	CMUC439	16.101552937924996
MYL4	CMUC89	9
MYL4	CS219	13.032564410412123
MYL4	CS256	31.070263824987787
MYL4	CS257	1.097566066656918
MYL4	CS259	18.02782100209165
MYL4	CS261	5.122086825557034
MYL4	CS266	1.0363781441197382
