Gene	sample	counts
NAP1L4	CM317	960.028037915682
NAP1L4	CMCD140	2157.1145967401617
NAP1L4	CMCD147	1131.1106549537428
NAP1L4	CMCD152	2430
NAP1L4	CMCD154	1959.0847992185177
NAP1L4	CMCD159	910.5933496028481
NAP1L4	CMCD161	2641.145478733771
NAP1L4	CMCD174	938.2922638885042
NAP1L4	CMCD196	1729.1526434364341
NAP1L4	CMCD198	1908.6424863236011
NAP1L4	CMCD203	1507.8083616591405
NAP1L4	CMCD211	1678.217065540403
NAP1L4	CMCD227	1582.5627173769024
NAP1L4	CMCD240	2034.4937680845298
NAP1L4	CMCD259	2256
NAP1L4	CMCD270	1585.2256371803096
NAP1L4	CMCD275	1984.5896383265078
NAP1L4	CMCD282	2505.8029625811405
NAP1L4	CMCD286	1715.782782446063
NAP1L4	CMCD287	1793
NAP1L4	CMCD294	1281.912837848422
NAP1L4	CMCD327	1822.236267576485
NAP1L4	CMCD335	1775.3087679475816
NAP1L4	CMCD337	1684.1831133465175
NAP1L4	CMCD357	1396.89981378795
NAP1L4	CMCD398	1129.5776407583908
NAP1L4	CMCD403	2067.707361449219
NAP1L4	CMCD422	1728.5988423428173
NAP1L4	CMCD426	772.4546406165621
NAP1L4	CMCD71	1731.8998619043457
NAP1L4	CMCD72	749.7799343586383
NAP1L4	CMCD76	1301.0391520777641
NAP1L4	CMCD88	2001.3600083763183
NAP1L4	CMSA256	2104
NAP1L4	CMSA316	1495.9506521656347
NAP1L4	CMUC110	2165
NAP1L4	CMUC192	1598.1964109276362
NAP1L4	CMUC199	1366.3224091274444
NAP1L4	CMUC200	1814.237954746343
NAP1L4	CMUC208	1874.5756974269286
NAP1L4	CMUC231	1671
NAP1L4	CMUC234	2429
NAP1L4	CMUC285	1557.0128613746415
NAP1L4	CMUC291	1672.9271874689948
NAP1L4	CMUC295	1838.6531069400546
NAP1L4	CMUC299	1806.301840917646
NAP1L4	CMUC301	1875.0116597970932
NAP1L4	CMUC307	1721.7918745213624
NAP1L4	CMUC313	873.3300551588654
NAP1L4	CMUC314	851.5976328500835
NAP1L4	CMUC323	1156.0754009030331
NAP1L4	CMUC324	1568.293035229037
NAP1L4	CMUC331	1269.3591899038938
NAP1L4	CMUC333	936.260441296142
NAP1L4	CMUC334	1224.2087980138485
NAP1L4	CMUC346	1757.6677335105837
NAP1L4	CMUC352	1465.6507609113496
NAP1L4	CMUC360	1091.4883419520368
NAP1L4	CMUC363	1060.4663561974812
NAP1L4	CMUC365	1206.9009953008754
NAP1L4	CMUC366	1685.5869994508705
NAP1L4	CMUC368	2490
NAP1L4	CMUC377	1775.1739689648882
NAP1L4	CMUC379	902.1103551351017
NAP1L4	CMUC380	1505.032877783458
NAP1L4	CMUC383	2430.9655617226776
NAP1L4	CMUC394	1865.9957075792981
NAP1L4	CMUC419	1392.3107174072657
NAP1L4	CMUC427	3023
NAP1L4	CMUC428	1623.1166119435716
NAP1L4	CMUC431	1904.4229398783257
NAP1L4	CMUC435	1514.3435823162558
NAP1L4	CMUC439	1339.4479350236356
NAP1L4	CMUC89	1834
NAP1L4	CS219	2109.27042457747
NAP1L4	CS256	1633.694517249358
NAP1L4	CS257	777.076775193098
NAP1L4	CS259	2379.672372276098
NAP1L4	CS261	1565.3097338902294
NAP1L4	CS266	1333.818671482103
NAP1L4	CS270	1473.1206954701884
NAP1L4	CS277	808.8315993275385
NAP1L4	CS288	1532.7159057742567
NAP1L4	CS290	1757.0606598058596
NAP1L4	CS292	1788.9449450974766
NAP1L4	CS293	1616.4071889625598
NAP1L4	CS301	1467.1877662195484
NAP1L4	CS306	1318.3529712436175
NAP1L4	CS308	933.1482565951873
NAP1L4	CS315	1173.059513116731
NAP1L4	CS317	677.0231397833406
NAP1L4	CS322	1545.3645530118065
NAP1L4	CS327	1667.8845551150946
NAP1L4	CS328	730.8162092393296
NAP1L4	CS330	796.7941724577121
NAP1L4	CS331	1132.3258904757267
NAP1L4	CS335	468.4187910837981
NAP1L4	CS338	1080.5407596370344
NAP1L4	CS339	757.5876867457016
NAP1L4	CS343	1473.587697615656
NAP1L4	CS344	945.2728472634765
NAP1L4	CS350	1006.4737213966248
NAP1L4	CS351	2114.389909343966
NAP1L4	CS361	967.7227240950015
NAP1L4	CS388	1079.6567375278182
NAP1L4	CS396	1084.5675939822895
NAP1L4	CS405	899.3589206449038
NAP1L4	CS415	800.6837728236496
NAP1L4	CS424	1012.6665526790423
NAP1L4	IM293	1617.5644935176854
NAP1L4	IM296	1040.4777398377585
NAP1L4	IM297	632.4917425882231
NAP1L4	IM300	2319
NAP1L4	IM305	1564.465535736436
NAP1L4	IM309	785.081306794429
NAP1L4	IM310	1470.910244664271
NAP1L4	IM311	1619.8911785327236
NAP1L4	IM316	1314.7107864841264
NAP1L4	IM320	1048.4230527074042
NAP1L4	IM330	1186.4389417004222
NAP1L4	IM332	725.238210075204
NAP1L4	IM340	928.7113604542201
NAP1L4	IM348	868.7744380500965
NAP1L4	IM354	1113.9843105087086
NAP1L4	IM356	884.9195437188537
NAP1L4	IM364	1122.3228389674957
NAP1L4	IM372	971
NAP1L4	IM374	1377.635342386203
NAP1L4	IM376	931.3115942568941
NAP1L4	IM381	1409.1955608465246
NAP1L4	IM382	1162.3278800722278
NAP1L4	IM385	2028
NAP1L4	IM390	1380.842937426184
NAP1L4	IM397	1246.922930068508
NAP1L4	IM404	1625.5511818356388
NAP1L4	IM409	1506.4394535410106
NAP1L4	IM412	1567
NAP1L4	IM421	1069.7825731706046
NAP1L4	IM425	675.7347176826736
NAP1L4	IM432	833.7896553978112
NAP1L4	IM438	2078
NAP1L4	IM442	784.0111674683704
NAP1L4	IM445	1047.056137291852
NAP1L4	IM448	1218.8020359999073
NAP1L4	IM449	1157.5554688707193
NAP1L4	IM451	1333.7826978479084
NAP1L4	IMSA256	1512.131311255976
NAP1L4	IMSA276	1717
NAP1L4	IMSA286	1955
NAP1L4	IMSA343	1732.2421133983335
NAP1L4	IS_238	1693
NAP1L4	IS238	4588.653967498342
NAP1L4	IS243	2110
NAP1L4	IS253	1655
NAP1L4	IS283	2533
NAP1L4	IS322	1843.1010774342133
NAP1L4	IS399	858.2980193129961
NAP1L4	IS418	742.088350746567
NAP1L4	IS430	737.8459631064236
NAP1L4	IS437	757.7396045449653
NAP1L4	IS444	825.424638919309
NAP1L4	R276CMSA	1239.8187074747934
NAP1L4	R286CMSA	1868
NAP1L4	R292CMSA	2149.841061495229
NAP1L4	R292IMSA	1128.4478056359358
NAP1L4	R308CMSA	873.0352007389063
NAP1L4	R316IMSA	897.6514527620006
NAP1L4	R347CMSA	836.7810165533267
NAP1L4	R347IMSA	879.4991483891772
NAP1L4	R371CMSA	1405.633242877641
NAP1L4	SRR10104064	787.0410664595113
NAP1L4	SRR10104065	2886.824908910651
NAP1L4	SRR10104066	1780.8438080932856
NAP1L4	SRR10104067	1342.860783038111
NAP1L4	SRR10104068	2483.62381118643
NAP1L4	SRR10104069	2410.4236629014786
NAP1L4	SRR10104070	1603.2132488112431
NAP1L4	SRR10104071	480.9486288329091
NAP1L4	SRR10104072	848.70059493231
NAP1L4	SRR10104073	1045.7852170401704
NAP1L4	SRR10104074	836.6261975248237
NAP1L4	SRR10104075	731.302583571592
NAP1L4	SRR10104076	1255.2588957137884
NAP1L4	SRR10104077	961.2881513834443
NAP1L4	SRR10104078	1013.3600830968805
NAP1L4	SRR10104079	823.6668248652342
NAP1L4	SRR10104080	796.4144591886482
NAP1L4	SRR10104081	1683.344247486679
NAP1L4	SRR10104082	931.4471783607944
NAP1L4	SRR10104083	979.4875814608515
NAP1L4	SRR10104084	981.4758955684551
NAP1L4	SRR10104085	1597.3493070651114
NAP1L4	SRR10104086	1290.5898635349265
NAP1L4	SRR10104087	3467.15116071732
NAP1L4	SRR10104088	2298.762532713677
NAP1L4	SRR10104089	760.1952720060751
NAP1L4	SRR10104090	1334.5252569282995
NAP1L4	SRR10104091	1143.7541070019088
NAP1L4	SRR10104092	2231.1547075291537
NAP1L4	SRR10104093	1561.7280982818447
NAP1L4	SRR10104094	1381.9760920301082
NAP1L4	SRR10104095	1207.3410418658907
NAP1L4	SRR10104096	708.6006162659744
NAP1L4	SRR10104097	952.816921047402
NAP1L4	SRR10104098	1138.2521316097052
NAP1L4	SRR10104099	1235.132990447684
NAP1L4	SRR10104100	1693.6079636879174
NAP1L4	SRR10104101	2387.244112467312
NAP1L4	SRR10104102	1797.2335946887558
NAP1L4	SRR10104103	885.5435834185067
NAP1L4	SRR10104104	1545.660354303187
NAP1L4	SRR10104105	860.0480952209598
NAP1L4	SRR10104106	890.1025634801899
NAP1L4	SRR10104107	2472.787582103078
NAP1L4	SRR10104108	2710.512091557802
NAP1L4	SRR10104109	985.2196582503386
NAP1L4	SRR10104110	675.8162786144762
NAP1L4	SRR10104111	1694.7251554236245
NAP1L4	SRR10104112	697.3562627641472
NAP1L4	SRR10104113	1226.4950458826424
NAP1L4	SRR10104114	671.2919313565942
NAP1L4	SRR10104115	784.6724281659743
NAP1L4	SRR10104116	1442.71376131894
NAP1L4	SRR10104117	1451.5335941835647
NAP1L4	SRR10104118	727.6809298864271
NAP1L4	SRR10104119	608.8230560981343
NAP1L4	SRR10104120	1032.790553952313
NAP1L4	SRR10104121	1143.0670623957972
NAP1L4	SRR10104122	963.5383458383933
NAP1L4	SRR10104123	1343.7130293444384
NAP1L4	SRR10104124	941.77083343326
NAP1L4	SRR10104125	937.3102225904807
NAP1L4	SRR10104126	1089.2793097584258
NAP1L4	SRR10104127	656.0568965879048
NAP1L4	SRR10104128	1298.9059568651753
NAP1L4	SRR10104129	1293.384180649109
NAP1L4	SRR10104130	943.7449234218275
NAP1L4	SRR10104131	1986.419615525005
NAP1L4	SRR10104132	2707.4498133805478
NAP1L4	SRR10104133	746.7984052692021
NAP1L4	SRR10104134	1046.1206982462004
NAP1L4	SRR10104135	835.0812143934515
NAP1L4	SRR10104136	1719.5894414357863
NAP1L4	SRR10104137	728.5607608994617
NAP1L4	SRR10104138	582.3691976677396
NAP1L4	SRR10104139	1858.925007691934
NAP1L4	SRR10104140	728.1138645365386
NAP1L4	SRR10104141	926.9109503690256
NAP1L4	SRR10104142	811.8763079526108
NAP1L4	SRR10104143	2130.3415782874276
NAP1L4	SRR10104144	889.6615738355541
NAP1L4	SRR10104145	1190.1996369361284
NAP1L4	SRR10104146	2470.576442291291
NAP1L4	SRR10104147	5484.448774358577
NAP1L4	SRR10104148	1243.8276795902566
NAP1L4	SRR10104149	1227.3637411940776
NAP1L4	SRR10104150	2760.790642057445
NAP1L4	SRR10104151	2822.4713770601866
NAP1L4	SRR10104152	3257.2134140094086
NAP1L4	SRR10104153	810.7117531264971
NAP1L4	SRR10104154	1345.2272348072524
NAP1L4	SRR10104155	776.0215037299553
NAP1L4	SRR10104156	4169.907925395795
NAP1L4	SRR10104157	1090.9930481239517
NAP1L4	SRR10104158	1695.256666754722
NAP1L4	SRR10104159	1895.7435366366194
NAP1L4	SRR10104160	762.1301112788057
NAP1L4	SRR10104161	3434.917780324303
NAP1L4	SRR10104162	2384.0468634698523
NAP1L4	SRR10104163	1640.9344229120225
NAP1L4	SRR10104164	1361.3254068978417
