Gene	sample	counts
NECTIN2	CM317	440.8553278152569
NECTIN2	CMCD140	2348.9036672052275
NECTIN2	CMCD147	629.476237590119
NECTIN2	CMCD152	2340
NECTIN2	CMCD154	1685.5219767249291
NECTIN2	CMCD159	1284.0115864012507
NECTIN2	CMCD161	2110.4444427857443
NECTIN2	CMCD174	1334.1005398991224
NECTIN2	CMCD196	2660.22409355343
NECTIN2	CMCD198	2550.0609550024114
NECTIN2	CMCD203	957.0903044543599
NECTIN2	CMCD211	1115.0896320712736
NECTIN2	CMCD227	1600.6491484326384
NECTIN2	CMCD240	1188.496597754253
NECTIN2	CMCD259	961
NECTIN2	CMCD270	1465.5682060760348
NECTIN2	CMCD275	2445.707250077669
NECTIN2	CMCD282	2584.5731674461767
NECTIN2	CMCD286	1411.8707512597466
NECTIN2	CMCD287	1154
NECTIN2	CMCD294	2186.4213717118473
NECTIN2	CMCD327	1863.5273116083756
NECTIN2	CMCD335	1485.9593284160228
NECTIN2	CMCD337	1544.2383993986596
NECTIN2	CMCD357	753.6090425696095
NECTIN2	CMCD398	641.829504213468
NECTIN2	CMCD403	1518.8289545203704
NECTIN2	CMCD422	1353.8185715971863
NECTIN2	CMCD426	483.49638115239065
NECTIN2	CMCD71	2781.6517305126713
NECTIN2	CMCD72	423.5956022687905
NECTIN2	CMCD76	1297.9748920411303
NECTIN2	CMCD88	3099.557554202004
NECTIN2	CMSA256	1949
NECTIN2	CMSA316	1473.9218957521323
NECTIN2	CMUC110	1796
NECTIN2	CMUC192	1674.2366629808557
NECTIN2	CMUC199	2144.79892769878
NECTIN2	CMUC200	2395.5959733943423
NECTIN2	CMUC208	1743.2551539173417
NECTIN2	CMUC231	2100
NECTIN2	CMUC234	1403
NECTIN2	CMUC285	1047.5275071927852
NECTIN2	CMUC291	2447.0552219022647
NECTIN2	CMUC295	1295.1644640067668
NECTIN2	CMUC299	2351.863890849478
NECTIN2	CMUC301	2111.139061991391
NECTIN2	CMUC307	1787.9214139275045
NECTIN2	CMUC313	436.6153440827629
NECTIN2	CMUC314	440.28799585255905
NECTIN2	CMUC323	528.4381319559328
NECTIN2	CMUC324	1104.9934839748614
NECTIN2	CMUC331	677.1446565996673
NECTIN2	CMUC333	463.5271555637488
NECTIN2	CMUC334	682.0887408108833
NECTIN2	CMUC346	2096.501622397441
NECTIN2	CMUC352	1215.3131903151939
NECTIN2	CMUC360	516.7431537832648
NECTIN2	CMUC363	1409.2136544580428
NECTIN2	CMUC365	991.5919559538564
NECTIN2	CMUC366	1718.736826507317
NECTIN2	CMUC368	913
NECTIN2	CMUC377	1464.9554831483413
NECTIN2	CMUC379	774.1930028424139
NECTIN2	CMUC380	1254.516554804448
NECTIN2	CMUC383	697.8287519327309
NECTIN2	CMUC394	798.0363809603459
NECTIN2	CMUC419	1794.6861407698016
NECTIN2	CMUC427	1877
NECTIN2	CMUC428	630.9796057549357
NECTIN2	CMUC431	1116.0705024759213
NECTIN2	CMUC435	640.1973733340182
NECTIN2	CMUC439	1536.8279362769117
NECTIN2	CMUC89	1745
NECTIN2	CS219	1493.6915367812055
NECTIN2	CS256	1899.3393334935743
NECTIN2	CS257	929.1686737271849
NECTIN2	CS259	1252.9335596453698
NECTIN2	CS261	2194.052765470657
NECTIN2	CS266	1556.778279652109
NECTIN2	CS270	1222.7024714042525
NECTIN2	CS277	758.2891722391673
NECTIN2	CS288	1363.1802487385005
NECTIN2	CS290	2131.90237470868
NECTIN2	CS292	1789.6738728050912
NECTIN2	CS293	1425.6217256144525
NECTIN2	CS301	1892.2925898630924
NECTIN2	CS306	1317.2764399401676
NECTIN2	CS308	490.70362206856686
NECTIN2	CS315	837.8349003083691
NECTIN2	CS317	367.79837179743646
NECTIN2	CS322	635.4135452665988
NECTIN2	CS327	487.30878295941466
NECTIN2	CS328	514.5785638232945
NECTIN2	CS330	810.8768512910699
NECTIN2	CS331	2394.179070155103
NECTIN2	CS335	241.8049811814778
NECTIN2	CS338	499.95386055798434
NECTIN2	CS339	420.30096383134486
NECTIN2	CS343	802.4308139141887
NECTIN2	CS344	604.4222286303946
NECTIN2	CS350	896.3565048877612
NECTIN2	CS351	1842.1858313297414
NECTIN2	CS361	455.67572525862863
NECTIN2	CS388	482.2928896034692
NECTIN2	CS396	419.5250754990155
NECTIN2	CS405	581.3861819087332
NECTIN2	CS415	438.29782371806886
NECTIN2	CS424	868.4895817441816
NECTIN2	IM293	2510.31779602176
NECTIN2	IM296	1939.6412664333789
NECTIN2	IM297	655.9656229318273
NECTIN2	IM300	2691
NECTIN2	IM305	1498.914326791872
NECTIN2	IM309	652.6967068575427
