Gene	sample	counts
NRBP1	CM317	949.5014146929224
NRBP1	CMCD140	1622.1259508476558
NRBP1	CMCD147	1182.099083741906
NRBP1	CMCD152	2115
NRBP1	CMCD154	1882.3371472903696
NRBP1	CMCD159	953.0224304087155
NRBP1	CMCD161	1904.8747679891499
NRBP1	CMCD174	843.039723680453
NRBP1	CMCD196	1728.1432139890105
NRBP1	CMCD198	1598.6039604825844
NRBP1	CMCD203	1907.0816337418669
NRBP1	CMCD211	1753.7689832419346
NRBP1	CMCD227	1721.4993923050563
NRBP1	CMCD240	1532.8633156420565
NRBP1	CMCD259	1713
NRBP1	CMCD270	1446.5058287269915
NRBP1	CMCD275	1814.1650199946075
NRBP1	CMCD282	1736.7352518657804
NRBP1	CMCD286	1708.2242679859482
NRBP1	CMCD287	1524
NRBP1	CMCD294	1121.0077351758437
NRBP1	CMCD327	1627.2479410956034
NRBP1	CMCD335	1861.7131562008312
NRBP1	CMCD337	1685.1897978135507
NRBP1	CMCD357	1065.0339954538244
NRBP1	CMCD398	984.7342032969408
NRBP1	CMCD403	1562.111114275567
NRBP1	CMCD422	1445.0084235700538
NRBP1	CMCD426	798.128711041679
NRBP1	CMCD71	1580.9498448876973
NRBP1	CMCD72	735.9378432627866
NRBP1	CMCD76	1342.135149947709
NRBP1	CMCD88	2075.3733220294157
NRBP1	CMSA256	2181
NRBP1	CMSA316	1507.0392351668625
NRBP1	CMUC110	2070
NRBP1	CMUC192	1411.7232723032323
NRBP1	CMUC199	1371.4666953063881
NRBP1	CMUC200	1636.8235249175568
NRBP1	CMUC208	1674.0863180229792
NRBP1	CMUC231	2130
NRBP1	CMUC234	1890
NRBP1	CMUC285	1267.8533299764938
NRBP1	CMUC291	1690.0389577379315
NRBP1	CMUC295	1593.432632688387
NRBP1	CMUC299	1906.5962240890865
NRBP1	CMUC301	1872.010040277674
NRBP1	CMUC307	1854.1602655736745
NRBP1	CMUC313	951.4920529356135
NRBP1	CMUC314	1030.1584268347785
NRBP1	CMUC323	1013.741937018603
NRBP1	CMUC324	1734.4300127963759
NRBP1	CMUC331	1107.9144598684225
NRBP1	CMUC333	1083.6063468116004
NRBP1	CMUC334	1242.4805711185327
NRBP1	CMUC346	2160.9508995086994
NRBP1	CMUC352	1551.155438109335
NRBP1	CMUC360	1067.4555711200653
NRBP1	CMUC363	1150.806181314014
NRBP1	CMUC365	1211.9339435715212
NRBP1	CMUC366	1555.1546721124105
NRBP1	CMUC368	1677
NRBP1	CMUC377	1713.9264508049005
NRBP1	CMUC379	888.1657241996007
NRBP1	CMUC380	1353.3076417958157
NRBP1	CMUC383	1581.091076648166
NRBP1	CMUC394	1309.8242007846045
NRBP1	CMUC419	1451.7761235999178
NRBP1	CMUC427	2205
NRBP1	CMUC428	1249.7897284773192
NRBP1	CMUC431	1525.7423132218253
NRBP1	CMUC435	1174.6965147496371
NRBP1	CMUC439	1414.9239644201589
NRBP1	CMUC89	1820
NRBP1	CS219	1481.7023229683937
NRBP1	CS256	1631.6899840993585
NRBP1	CS257	779.2719073264118
NRBP1	CS259	1501.3168712297436
NRBP1	CS261	1292.8147147705952
NRBP1	CS266	1378.3829316792517
NRBP1	CS270	1175.2544750656248
NRBP1	CS277	792.245185348566
NRBP1	CS288	1369.253116613342
NRBP1	CS290	1311.4950765389692
NRBP1	CS292	1295.0582170575271
NRBP1	CS293	1258.3358670526661
NRBP1	CS301	1214.4369325430716
NRBP1	CS306	1310.035286882459
NRBP1	CS308	923.9091649457299
NRBP1	CS315	1161.750438056009
NRBP1	CS317	654.4557017905626
NRBP1	CS322	984.9798987065416
NRBP1	CS327	1193.6426816124895
NRBP1	CS328	796.4837526782259
NRBP1	CS330	700.7038183266329
NRBP1	CS331	1722.4399234059208
NRBP1	CS335	387.5698088039624
NRBP1	CS338	985.6841280658443
NRBP1	CS339	761.111350404984
NRBP1	CS343	1134.924587903713
NRBP1	CS344	1001.0561161470507
NRBP1	CS350	969.6140530647036
NRBP1	CS351	1495.2981571564621
NRBP1	CS361	836.6449371276361
NRBP1	CS388	941.9823884470896
NRBP1	CS396	950.1337729201791
NRBP1	CS405	858.3391295094465
NRBP1	CS415	811.4746592498444
NRBP1	CS424	981.5075818273795
NRBP1	IM293	1557.2451214784928
NRBP1	IM296	1193.3948177378609
NRBP1	IM297	810.9998650608575
NRBP1	IM300	2291
NRBP1	IM305	1573.555393594169
NRBP1	IM309	996.0786020720586
NRBP1	IM310	1117.1213574224855
NRBP1	IM311	1483.212860344025
NRBP1	IM316	1216.2079905548876
NRBP1	IM320	1058.9072832344782
NRBP1	IM330	1011.6059460324724
NRBP1	IM332	906.8056709190673
NRBP1	IM340	1147.9168925112594
NRBP1	IM348	945.5836476268075
NRBP1	IM354	1285.211555342778
NRBP1	IM356	922.2536635792842
NRBP1	IM364	1056.1841403882688
NRBP1	IM372	1113
NRBP1	IM374	1099.1659558626761
NRBP1	IM376	1073.4965704793208
NRBP1	IM381	1279.614359849143
NRBP1	IM382	1382.1998502812726
NRBP1	IM385	1921
NRBP1	IM390	1261.4854256963501
NRBP1	IM397	1198.3809181923618
NRBP1	IM404	1682.7112172240602
NRBP1	IM409	1514.484524053913
NRBP1	IM412	1418
NRBP1	IM421	1186.615427790376
NRBP1	IM425	672.5672111935361
NRBP1	IM432	961.1017179241353
NRBP1	IM438	1597
NRBP1	IM442	834.1210689843249
NRBP1	IM445	1122.929770428943
NRBP1	IM448	1131.8178436741373
NRBP1	IM449	1164.6137339248091
NRBP1	IM451	1539.8305147724157
NRBP1	IMSA256	1468.9562472559712
NRBP1	IMSA276	1976
NRBP1	IMSA286	1794
NRBP1	IMSA343	1561.1439736179018
NRBP1	IS_238	1764
NRBP1	IS238	3745.5163001511164
NRBP1	IS243	2104
NRBP1	IS253	1753
NRBP1	IS283	2155
NRBP1	IS322	1306.5404019311611
NRBP1	IS399	892.5493487222002
NRBP1	IS418	769.5324465582004
NRBP1	IS430	760.6659413468285
NRBP1	IS437	756.6555707759453
NRBP1	IS444	879.4146781945342
NRBP1	R276CMSA	1296.3680977468796
NRBP1	R286CMSA	1753
NRBP1	R292CMSA	1710.0323810025104
NRBP1	R292IMSA	1361.4733563217505
NRBP1	R308CMSA	915.8835541494047
NRBP1	R316IMSA	1048.6201061810643
NRBP1	R347CMSA	924.5253175218342
NRBP1	R347IMSA	921.1259284707038
NRBP1	R371CMSA	1432.741883990281
NRBP1	SRR10104064	754.6203407104689
NRBP1	SRR10104065	2495.5444595844338
NRBP1	SRR10104066	1989.6956276923263
NRBP1	SRR10104067	1749.1989925397345
NRBP1	SRR10104068	2189.2460698119867
NRBP1	SRR10104069	2311.2958748341916
NRBP1	SRR10104070	1859.6038069062975
NRBP1	SRR10104071	560.1362965342113
NRBP1	SRR10104072	1151.6544781866282
NRBP1	SRR10104073	1198.6226962072024
NRBP1	SRR10104074	906.1610925697629
NRBP1	SRR10104075	835.7743812246765
NRBP1	SRR10104076	1737.4181275645392
NRBP1	SRR10104077	964.6105758697926
NRBP1	SRR10104078	1313.6149225329932
NRBP1	SRR10104079	1037.5350417077384
NRBP1	SRR10104080	1233.595162317736
NRBP1	SRR10104081	1998.2728634920325
NRBP1	SRR10104082	1102.4848473697357
NRBP1	SRR10104083	943.1707027589225
NRBP1	SRR10104084	1576.7973404214526
NRBP1	SRR10104085	1630.0734926131802
NRBP1	SRR10104086	1561.2139492960232
NRBP1	SRR10104087	3958.7321991292083
NRBP1	SRR10104088	2739.7455119919373
NRBP1	SRR10104089	918.1876628748076
NRBP1	SRR10104090	1704.086097308444
