Gene	sample	counts
NRL	CM317	3.156482060729763
NRL	CMCD140	72.67772412495762
NRL	CMCD147	18.72821863904486
NRL	CMCD152	61
NRL	CMCD154	52.51476500281385
NRL	CMCD159	34.76173499563454
NRL	CMCD161	62.1899027817092
NRL	CMCD174	1.092629434806816
NRL	CMCD196	69.63409046099646
NRL	CMCD198	91.62512111231918
NRL	CMCD203	7.022675189916686
NRL	CMCD211	32.93852659576529
NRL	CMCD227	31.24019909627132
NRL	CMCD240	28.828947206871547
NRL	CMCD259	84
NRL	CMCD270	30.155724404856684
NRL	CMCD275	83.70874299234909
NRL	CMCD282	80.03970216709054
NRL	CMCD286	34.872642053812164
NRL	CMCD287	38
NRL	CMCD294	8.511616045593566
NRL	CMCD327	59.30318844924173
NRL	CMCD335	51.23997684193182
NRL	CMCD337	30.200229453689563
NRL	CMCD357	40.846018567458515
NRL	CMCD398	37.22208723495034
NRL	CMCD403	91.65347139347064
NRL	CMCD422	49.10222798539017
NRL	CMCD426	5.570234805903118
NRL	CMCD71	41.26183826013731
NRL	CMCD72	1.1510750061651915
NRL	CMCD76	35.080402487598114
NRL	CMCD88	61.01097476809367
NRL	CMSA256	88
NRL	CMSA316	28.22832632083427
NRL	CMUC110	48
NRL	CMUC192	24.323050793910735
NRL	CMUC199	29.81743475707796
NRL	CMUC200	57.13346045333787
NRL	CMUC208	74.18107037946135
NRL	CMUC231	30
NRL	CMUC234	60
NRL	CMUC285	65.72325093391026
NRL	CMUC291	42.27738351291448
NRL	CMUC295	58.05219390447641
NRL	CMUC299	34.099519099736575
NRL	CMUC301	37.01997407283481
NRL	CMUC307	34.09384636765853
NRL	CMUC313	8.336331151938193
NRL	CMUC314	15.837697692538095
NRL	CMUC323	19.45799323093551
NRL	CMUC324	30.02699684714297
NRL	CMUC331	20.18314922800797
NRL	CMUC333	7.162671278027023
NRL	CMUC334	28.420364200453474
NRL	CMUC346	66.71605934340941
NRL	CMUC352	40.242158619708405
NRL	CMUC360	25.03600551275508
NRL	CMUC363	9.237380109338956
NRL	CMUC365	28.18738554995734
NRL	CMUC366	36.12056377948827
NRL	CMUC368	111
NRL	CMUC377	55.22450416254885
NRL	CMUC379	13.920482762035105
NRL	CMUC380	25.456910608856496
NRL	CMUC383	103.45716961793394
NRL	CMUC394	63.480166667300246
NRL	CMUC419	52.2724118670816
NRL	CMUC427	96
NRL	CMUC428	57.361782341357795
NRL	CMUC431	65.12081028809236
