Gene	sample	counts
NRXN2	CM317	5.2633116113798355
NRXN2	CMCD140	129.20480504573734
NRXN2	CMCD147	170.65514941344418
NRXN2	CMCD152	170
NRXN2	CMCD154	994.6899624898144
NRXN2	CMCD159	1.0879251488683968
NRXN2	CMCD161	152.47022892804148
NRXN2	CMCD174	1.0948567840005883
NRXN2	CMCD196	93.87693861038434
NRXN2	CMCD198	3.090084975159635
NRXN2	CMCD203	2474.8923674072516
NRXN2	CMCD211	247.55309204331616
NRXN2	CMCD227	356.7959580995198
NRXN2	CMCD240	96.96945549073835
NRXN2	CMCD259	447
NRXN2	CMCD270	80.41728026279313
NRXN2	CMCD275	286.39403317313423
NRXN2	CMCD282	49.649957608765014
NRXN2	CMCD286	84.08847336877731
NRXN2	CMCD287	99
NRXN2	CMCD294	20.246337422377405
NRXN2	CMCD327	120.61133596755553
NRXN2	CMCD335	122.57366705693546
NRXN2	CMCD337	1657.0026327366215
NRXN2	CMCD357	28.59151665647851
NRXN2	CMCD398	169.98986757628498
NRXN2	CMCD403	139.99577361979615
NRXN2	CMCD422	195.40682565614458
NRXN2	CMCD426	16.74395897290236
NRXN2	CMCD71	98.62067778421027
NRXN2	CMCD72	5.767537956604911
NRXN2	CMCD76	32.07492516678617
NRXN2	CMCD88	78.0140333100214
NRXN2	CMSA256	293
NRXN2	CMSA316	982.8516751088233
NRXN2	CMUC110	380
NRXN2	CMUC192	51.685489510025015
NRXN2	CMUC199	34.9811460168171
NRXN2	CMUC200	119.27862796398607
NRXN2	CMUC208	160.39150352315968
NRXN2	CMUC231	837
NRXN2	CMUC234	193
NRXN2	CMUC285	46.50817637872306
NRXN2	CMUC291	73.47995468425789
NRXN2	CMUC295	137.12328560195292
NRXN2	CMUC299	104.30615849829827
NRXN2	CMUC301	174.09393212630428
NRXN2	CMUC307	149.41583535450377
NRXN2	CMUC313	133.3964762056501
NRXN2	CMUC314	47.545773546220545
NRXN2	CMUC323	49.15112421908378
NRXN2	CMUC324	229.18896302964228
NRXN2	CMUC331	97.87586758400454
NRXN2	CMUC333	180.08944007444916
NRXN2	CMUC334	76.1323879361846
NRXN2	CMUC346	124.32037448062208
NRXN2	CMUC352	136.8074835167766
NRXN2	CMUC360	43.05871440728218
NRXN2	CMUC363	25.664723044469536
NRXN2	CMUC365	92.60624817988368
NRXN2	CMUC366	432.4333314067412
NRXN2	CMUC368	147
NRXN2	CMUC377	258.0428224117513
NRXN2	CMUC379	39.68856497027201
NRXN2	CMUC380	48.877928371857905
NRXN2	CMUC383	28.396760837811836
NRXN2	CMUC394	50.377853876330946
NRXN2	CMUC419	109.70342176920282
NRXN2	CMUC427	255
NRXN2	CMUC428	93.5832888473355
NRXN2	CMUC431	197.3547181252131
NRXN2	CMUC435	37.18030029575413
NRXN2	CMUC439	269.7010117102437
NRXN2	CMUC89	580
NRXN2	CS219	61.152802233472265
NRXN2	CS256	139.31505392494523
NRXN2	CS257	7.682962466598426
NRXN2	CS259	206.31839591282667
NRXN2	CS261	86.05105866935817
NRXN2	CS266	1.0363781441197382
NRXN2	CS270	17.22355696216864
NRXN2	CS277	201.96398197925268
NRXN2	CS288	46.41535988519803
NRXN2	CS290	49.395279592935815
NRXN2	CS292	59.834326394983634
NRXN2	CS293	34.58643450266018
NRXN2	CS301	27.74094515961331
NRXN2	CS306	50.94581671209563
NRXN2	CS308	48.24858972494368
NRXN2	CS315	90.47260048577769
NRXN2	CS317	1.074639904418001
NRXN2	CS322	67.89470495199413
NRXN2	CS327	31.14724169190839
NRXN2	CS328	20.12392460224241
NRXN2	CS330	18.354337305936458
NRXN2	CS331	67.26688458271644
NRXN2	CS335	43.456327975411696
NRXN2	CS338	31.962560638118386
NRXN2	CS339	9.396436424752888
NRXN2	CS343	91.72125888031785
NRXN2	CS344	201.83400923329594
NRXN2	CS350	20.477593517733972
NRXN2	CS351	74.61366394442226
NRXN2	CS361	55.29844137685723
NRXN2	CS388	26.913782527059706
NRXN2	CS396	45.48512742702985
NRXN2	CS405	142.54377419571452
NRXN2	CS415	2.158177285238948
NRXN2	CS424	27.00444140477446
NRXN2	IM293	73.38856931435117
NRXN2	IM296	51.32880936506928
NRXN2	IM297	18.732333839720894
NRXN2	IM300	276
NRXN2	IM305	136.34786786599025
NRXN2	IM309	39.62893363082384
NRXN2	IM310	50.686086997390454
NRXN2	IM311	103.26806263146113
NRXN2	IM316	114.58488506054313
NRXN2	IM320	24.113730212270298
NRXN2	IM330	44.466195429998784
NRXN2	IM332	19.601032704735246
NRXN2	IM340	1.0589639229808667
NRXN2	IM348	107.94807832402633
NRXN2	IM354	152.09008217614377
NRXN2	IM356	64.57793705587986
NRXN2	IM364	209.60879857416512
NRXN2	IM372	64
NRXN2	IM374	21.016557473473732
NRXN2	IM376	193.98093184631054
NRXN2	IM381	85.03766315453166
NRXN2	IM382	83.61328444569311
NRXN2	IM385	1027
NRXN2	IM390	92.60496599728508
NRXN2	IM397	193.15675559049882
NRXN2	IM404	589.6508913752964
NRXN2	IM409	221.23943910482132
NRXN2	IM412	153
NRXN2	IM421	36.57376318531981
NRXN2	IM425	1.0558354963791774
NRXN2	IM432	39.65457685246161
NRXN2	IM438	175
NRXN2	IM442	52.197814079119205
NRXN2	IM445	133.5375943212797
NRXN2	IM448	66.51732354323592
NRXN2	IM449	116.96553518205876
NRXN2	IM451	285.451609788098
NRXN2	IMSA256	70.28498790698427
NRXN2	IMSA276	418
NRXN2	IMSA286	200
NRXN2	IMSA343	70.86905198006039
NRXN2	IS_238	162
NRXN2	IS238	541.7978092965486
NRXN2	IS243	165
NRXN2	IS253	185
NRXN2	IS283	247
NRXN2	IS322	186.93733515643063
NRXN2	IS399	164.2049027558901
NRXN2	IS418	6.586582994792015
NRXN2	IS430	23.90664387090032
NRXN2	IS437	23.848742918439537
NRXN2	IS444	105.90353857832643
NRXN2	R276CMSA	37.34393697213233
NRXN2	R286CMSA	144
NRXN2	R292CMSA	119.49139949459703
NRXN2	R292IMSA	35.601125799221684
NRXN2	R308CMSA	14.996923693674463
NRXN2	R316IMSA	194.83116758811605
NRXN2	R347CMSA	23.541153918380036
NRXN2	R347IMSA	34.15530673356028
NRXN2	R371CMSA	159.6397754411035
NRXN2	SRR10104064	6.707736361870834
NRXN2	SRR10104065	65.38105194396945
NRXN2	SRR10104066	41.77036391980818
NRXN2	SRR10104067	32.75270202531978
NRXN2	SRR10104068	36.16927880368588
NRXN2	SRR10104069	45.51786186763178
NRXN2	SRR10104070	12.356171474460448
NRXN2	SRR10104071	3.493573575057451
NRXN2	SRR10104072	44.046486572436336
NRXN2	SRR10104073	31.404961472677794
NRXN2	SRR10104074	25.385755333866683
NRXN2	SRR10104075	4.643191006803758
NRXN2	SRR10104076	46.262612864144536
NRXN2	SRR10104077	9.967273459044929
NRXN2	SRR10104078	18.76592746475705
NRXN2	SRR10104079	13.161121036461797
NRXN2	SRR10104080	7.907661296908564
NRXN2	SRR10104081	20.31797522615183
NRXN2	SRR10104082	8.715295236124392
NRXN2	SRR10104083	17.090295859731324
NRXN2	SRR10104084	2.1453025039747655
NRXN2	SRR10104085	33.74681634644602
NRXN2	SRR10104086	14.351277275209668
NRXN2	SRR10104087	120.3871930804625
NRXN2	SRR10104088	44.401032238543365
NRXN2	SRR10104089	6.869234385597065
NRXN2	SRR10104090	7.185905229613921
NRXN2	SRR10104091	11.479283920639597
NRXN2	SRR10104092	34.43452567226111
NRXN2	SRR10104093	15.534430685827369
NRXN2	SRR10104094	17.598197426600628
NRXN2	SRR10104095	4.228865295502244
NRXN2	SRR10104096	5.770363324641485
NRXN2	SRR10104097	17.090886476186583
NRXN2	SRR10104098	9.27083184116502
NRXN2	SRR10104099	7.345735712093279
NRXN2	SRR10104100	12.354586969151981
NRXN2	SRR10104101	56.31241377344964
NRXN2	SRR10104102	31.47697256234544
NRXN2	SRR10104103	7.379529861820889
NRXN2	SRR10104104	28.43527590045285
NRXN2	SRR10104105	15.222090180901944
NRXN2	SRR10104106	9.105908577802454
NRXN2	SRR10104107	20.194263634978178
NRXN2	SRR10104108	62.42635574910242
NRXN2	SRR10104109	3.3856345644341532
NRXN2	SRR10104110	4.793023252584938
NRXN2	SRR10104111	10.33999484700198
NRXN2	SRR10104112	3.588454182319797
NRXN2	SRR10104113	11.40443406991468
NRXN2	SRR10104114	3.53932476989417
NRXN2	SRR10104115	3.4617901242616513
NRXN2	SRR10104116	26.212095954195856
NRXN2	SRR10104117	9.358024604335302
NRXN2	SRR10104118	12.685404482964657
NRXN2	SRR10104119	1.196116023768437
NRXN2	SRR10104120	27.74661189722632
NRXN2	SRR10104121	8.70079590786525
NRXN2	SRR10104122	7.681968588688784
NRXN2	SRR10104123	9.800176064910815
NRXN2	SRR10104124	6.742989260858663
NRXN2	SRR10104125	5.539658525948467
NRXN2	SRR10104126	28.11715235514101
NRXN2	SRR10104127	5.975017273113887
NRXN2	SRR10104128	46.315981029265366
NRXN2	SRR10104129	13.344439959078109
NRXN2	SRR10104130	19.81342933150798
NRXN2	SRR10104131	20.228305657077442
NRXN2	SRR10104132	34.24601698472419
NRXN2	SRR10104133	11.742113290396262
NRXN2	SRR10104134	18.551894156090253
NRXN2	SRR10104135	8.872044774432421
NRXN2	SRR10104136	31.46828375708936
NRXN2	SRR10104137	15.61998568544022
NRXN2	SRR10104138	2.4064842878832216
NRXN2	SRR10104139	48.54646374821155
NRXN2	SRR10104140	5.760394497915653
NRXN2	SRR10104141	13.818626553666666
NRXN2	SRR10104142	16.87015704836594
NRXN2	SRR10104143	27.221591393166374
NRXN2	SRR10104144	9.566253482102733
NRXN2	SRR10104145	8.53954896456415
NRXN2	SRR10104146	64.6166294673652
NRXN2	SRR10104147	125.21572544197663
NRXN2	SRR10104148	15.824779638552883
NRXN2	SRR10104149	13.637374902156418
NRXN2	SRR10104150	14.163088673068607
NRXN2	SRR10104151	80.61324889854157
NRXN2	SRR10104152	34.1911874270824
NRXN2	SRR10104153	14.41758247694181
NRXN2	SRR10104154	23.70898574756077
NRXN2	SRR10104155	10.945296244428143
NRXN2	SRR10104156	57.23206158140148
NRXN2	SRR10104157	11.561583361621839
NRXN2	SRR10104158	16.329985953085824
NRXN2	SRR10104159	100.25566780289815
NRXN2	SRR10104160	5.670610947014922
NRXN2	SRR10104161	61.1052740156846
NRXN2	SRR10104162	31.637608205293414
NRXN2	SRR10104163	23.706967165186253
NRXN2	SRR10104164	25.49298514789966
NRXN2	SRR10104165	20.800455510944378
NRXN2	SRR10104166	21.87042759596679
NRXN2	SRR10104167	20.453464499053844
NRXN2	SRR10104168	19.56160556506545
NRXN2	SRR10104169	15.37607988529183
NRXN2	SRR10104170	25.75689148458016
NRXN2	SRR10104171	32.77445506411453
NRXN2	SRR10104172	27.93101476196734
NRXN2	SRR10104173	15.949993004605679
NRXN2	SRR10104174	11.380559070760839
NRXN2	SRR10104175	29.667060941142015
NRXN2	SRR10104176	37.84133604864129
NRXN2	SRR10104177	13.332618594238983
NRXN2	SRR10104178	28.056469171826148
NRXN2	SRR10104179	19.669632655004072
NRXN2	SRR10104180	41.908651820575585
NRXN2	SRR10104181	25.68325146583556
NRXN2	SRR10104182	13.46557030360022
NRXN2	SRR10104183	18.89182418131228
NRXN2	SRR10104184	16.346882861516537
NRXN2	SRR10104185	6.4081961608743505
NRXN2	SRR10104186	26.876529301426878
NRXN2	SRR10104187	5.41570244948775
NRXN2	SRR10104188	11.633130710245227
NRXN2	SRR10104189	6.385390072097174
NRXN2	SRR10104190	3.4612054540341752
NRXN2	SRR10104191	9.183332361208482
NRXN2	SRR10104192	28.734048456809518
NRXN2	SRR10104193	17.688765553045414
NRXN2	SRR10104194	24.013608690185894
NRXN2	SRR10104195	9.389467728313669
NRXN2	SRR10104196	10.41751000792486
NRXN2	SRR10104197	22.37488990777418
NRXN2	SRR10104198	48.22664136238527
NRXN2	SRR10104199	5.436063796840267
NRXN2	SRR10104200	3.1114352262247955
NRXN2	SRR10104201	30.79432563793323
NRXN2	SRR10104202	7.495644564172749
