Gene	sample	counts
NUBP2	CM317	287.376813981339
NUBP2	CMCD140	1287.0009877602745
NUBP2	CMCD147	617.0640463547097
NUBP2	CMCD152	605
NUBP2	CMCD154	1027.0047633016663
NUBP2	CMCD159	493.9180175862521
NUBP2	CMCD161	1275.9350736609788
NUBP2	CMCD174	411.6661507842212
NUBP2	CMCD196	1194.1550363019858
NUBP2	CMCD198	1600.6640171326908
NUBP2	CMCD203	347.10691492618935
NUBP2	CMCD211	377.7595885076578
NUBP2	CMCD227	346.10852156658484
NUBP2	CMCD240	415.8497802775895
NUBP2	CMCD259	521
NUBP2	CMCD270	715.7137943388589
NUBP2	CMCD275	1198.0144767946601
NUBP2	CMCD282	1301.0315422378424
NUBP2	CMCD286	381.70498023579813
NUBP2	CMCD287	408
NUBP2	CMCD294	738.4585175635548
NUBP2	CMCD327	660.3470644223665
NUBP2	CMCD335	752.5219395544644
NUBP2	CMCD337	623.1376850935411
NUBP2	CMCD357	614.7176081142879
NUBP2	CMCD398	344.00316397094355
NUBP2	CMCD403	740.2654216586343
NUBP2	CMCD422	520.0827821309693
NUBP2	CMCD426	157.39321434528216
NUBP2	CMCD71	921.8014372483327
NUBP2	CMCD72	152.26300205436962
NUBP2	CMCD76	509.1894370227305
NUBP2	CMCD88	709.12755918981
NUBP2	CMSA256	600
NUBP2	CMSA316	467.7365920517887
NUBP2	CMUC110	533
NUBP2	CMUC192	972.903331953412
NUBP2	CMUC199	856.0092201762302
NUBP2	CMUC200	685.6015254400544
NUBP2	CMUC208	1103.6940336187424
NUBP2	CMUC231	387
NUBP2	CMUC234	557
NUBP2	CMUC285	551.0207853566101
NUBP2	CMUC291	617.0303044034258
NUBP2	CMUC295	750.6749211785743
NUBP2	CMUC299	447.31294894462525
NUBP2	CMUC301	458.24724663130667
NUBP2	CMUC307	473.3172770961462
NUBP2	CMUC313	217.81143380453804
NUBP2	CMUC314	291.61407775015266
NUBP2	CMUC323	280.5710007506033
NUBP2	CMUC324	478.3944293806507
NUBP2	CMUC331	355.1784060780371
NUBP2	CMUC333	242.50680282752526
NUBP2	CMUC334	386.7525307158178
NUBP2	CMUC346	1186.6025987012222
NUBP2	CMUC352	446.6361961871237
NUBP2	CMUC360	413.56393140017536
NUBP2	CMUC363	371.6251896839189
NUBP2	CMUC365	398.6095030351515
NUBP2	CMUC366	515.7093557843735
NUBP2	CMUC368	689
NUBP2	CMUC377	585.3656243815213
NUBP2	CMUC379	333.598478533908
NUBP2	CMUC380	552.9315647066426
NUBP2	CMUC383	1321.4635489881723
NUBP2	CMUC394	899.7484702312706
NUBP2	CMUC419	682.8269055914867
NUBP2	CMUC427	958
NUBP2	CMUC428	482.00425115993227
NUBP2	CMUC431	598.0749579733616
NUBP2	CMUC435	463.2464442254771
NUBP2	CMUC439	403.5451705067452
NUBP2	CMUC89	473
NUBP2	CS219	964.4097663704971
NUBP2	CS256	581.3146134997714
NUBP2	CS257	250.2450631977773
NUBP2	CS259	1057.6321654560436
NUBP2	CS261	1103.297502224985
NUBP2	CS266	841.5390530252273
NUBP2	CS270	614.9822985903744
NUBP2	CS277	378.5605072847828
NUBP2	CS288	821.3500640554607
NUBP2	CS290	764.114733294803
NUBP2	CS292	969.5189158238026
NUBP2	CS293	1016.2308255340448
NUBP2	CS301	806.542294455424
NUBP2	CS306	793.299145945489
NUBP2	CS308	249.4554745353471
NUBP2	CS315	493.48691174060554
NUBP2	CS317	134.32998805225012
NUBP2	CS322	416.4884139592475
NUBP2	CS327	400.89514306682094
NUBP2	CS328	180.0561674937479
NUBP2	CS330	219.17238077088828
NUBP2	CS331	433.1579689038558
NUBP2	CS335	140.47510671121455
NUBP2	CS338	446.44479859049227
NUBP2	CS339	139.7719918181992
NUBP2	CS343	474.73310914977696
NUBP2	CS344	226.17579929158288
NUBP2	CS350	362.45340526389134
NUBP2	CS351	827.8083526806847
NUBP2	CS361	215.04949424333364
NUBP2	CS388	393.35528308779567
NUBP2	CS396	268.8676421242209
NUBP2	CS405	232.78731469372084
NUBP2	CS415	262.21854015653213
NUBP2	CS424	339.6327822831249
NUBP2	IM293	868.5989573643756
NUBP2	IM296	509.01069287027036
NUBP2	IM297	149.85867071776715
NUBP2	IM300	923
NUBP2	IM305	959.4849960940054
NUBP2	IM309	300.9656851422027
NUBP2	IM310	532.2039134725998
NUBP2	IM311	741.100214178721
NUBP2	IM316	535.7345941865744
NUBP2	IM320	456.0640279277209
NUBP2	IM330	452.7467171054422
NUBP2	IM332	237.27565905732138
NUBP2	IM340	425.7034970383084
NUBP2	IM348	243.92113852063642
NUBP2	IM354	362.5988714133229
NUBP2	IM356	407.6482276652416
NUBP2	IM364	456.8657794165055
NUBP2	IM372	425
NUBP2	IM374	722.9695770874964
NUBP2	IM376	408.27400315296774
NUBP2	IM381	715.7336648839748
NUBP2	IM382	548.1315313662104
NUBP2	IM385	543
NUBP2	IM390	641.03215351454
NUBP2	IM397	485.420118761463
NUBP2	IM404	636.7828503797845
NUBP2	IM409	537.008456736248
NUBP2	IM412	702
NUBP2	IM421	483.58642433922864
NUBP2	IM425	107.6952206306761
NUBP2	IM432	247.31933457982637
NUBP2	IM438	712
NUBP2	IM442	172.2527864610934
NUBP2	IM445	329.79739203588775
NUBP2	IM448	685.6401042148933
NUBP2	IM449	360.97984133773303
NUBP2	IM451	534.7192127016483
NUBP2	IMSA256	415.68549990702127
NUBP2	IMSA276	398
NUBP2	IMSA286	583
NUBP2	IMSA343	842.3293035344321
NUBP2	IS_238	490
NUBP2	IS238	2227.0499186665497
NUBP2	IS243	610
NUBP2	IS253	403
