Gene	sample	counts
NUDC	CM317	1356.8817334137216
NUDC	CMCD140	6597.5203576479635
NUDC	CMCD147	3423.508790062386
NUDC	CMCD152	4691
NUDC	CMCD154	9002.701538676849
NUDC	CMCD159	1662.3496274709103
NUDC	CMCD161	5587.231415323626
NUDC	CMCD174	1262.3698719526783
NUDC	CMCD196	4769.554139075978
NUDC	CMCD198	5895.882132604584
NUDC	CMCD203	2662.490613335568
NUDC	CMCD211	2039.0980341360164
NUDC	CMCD227	1895.786818842149
NUDC	CMCD240	2852.207349482391
NUDC	CMCD259	2830
NUDC	CMCD270	3792.679980393981
NUDC	CMCD275	6626.39152105868
NUDC	CMCD282	5911.384748766022
NUDC	CMCD286	1868.842700263388
NUDC	CMCD287	2499
NUDC	CMCD294	2676.778926579581
NUDC	CMCD327	3557.029316576492
NUDC	CMCD335	4207.692767495457
NUDC	CMCD337	4465.652295759206
NUDC	CMCD357	3409.5383612850624
NUDC	CMCD398	1502.750663662543
NUDC	CMCD403	3814.1294582602013
NUDC	CMCD422	2585.382616373605
NUDC	CMCD426	362.7857777462178
NUDC	CMCD71	4916.945220955627
NUDC	CMCD72	205.32435125513481
NUDC	CMCD76	2074.8467217264806
NUDC	CMCD88	3744.6735988810274
NUDC	CMSA256	3142
NUDC	CMSA316	2300.376946254702
NUDC	CMUC110	3572
NUDC	CMUC192	2991.677745756742
NUDC	CMUC199	3040.2731317557214
NUDC	CMUC200	4076.52252041623
NUDC	CMUC208	4524.042846250122
NUDC	CMUC231	3188
NUDC	CMUC234	3056
NUDC	CMUC285	2986.633761364085
NUDC	CMUC291	3510.932629297144
NUDC	CMUC295	4347.909143466302
NUDC	CMUC299	3171.308395880953
NUDC	CMUC301	3102.6740432394804
NUDC	CMUC307	3263.0813976077534
NUDC	CMUC313	942.1126132024037
NUDC	CMUC314	1150.6077198185371
NUDC	CMUC323	1388.5192591891168
NUDC	CMUC324	2257.8615746501005
NUDC	CMUC331	1425.7587721257569
NUDC	CMUC333	1182.860185943541
NUDC	CMUC334	1849.509477596378
NUDC	CMUC346	6494.981515548598
NUDC	CMUC352	2321.7034702700034
NUDC	CMUC360	2177.9698566474126
NUDC	CMUC363	2197.9268815283713
NUDC	CMUC365	1805.8218395077317
NUDC	CMUC366	3073.1862972131053
NUDC	CMUC368	4130
NUDC	CMUC377	3904.7802971179017
NUDC	CMUC379	1406.262396649368
NUDC	CMUC380	2565.0729493481263
NUDC	CMUC383	6052.566738573609
NUDC	CMUC394	4429.220912807016
NUDC	CMUC419	2692.3475286535195
NUDC	CMUC427	4920
NUDC	CMUC428	2509.6421761855345
NUDC	CMUC431	3031.448614451243
NUDC	CMUC435	2148.418433306009
NUDC	CMUC439	2645.686417112801
NUDC	CMUC89	2814
NUDC	CS219	4858.13901021978
NUDC	CS256	2642.976958273961
NUDC	CS257	954.8824779915187
NUDC	CS259	5011.734238581479
NUDC	CS261	4408.067922074383
NUDC	CS266	3472.9031609452422
NUDC	CS270	3771.958974714932
NUDC	CS277	1696.692582907828
NUDC	CS288	3664.795371805201
NUDC	CS290	4806.463124471795
NUDC	CS292	5433.768149564785
NUDC	CS293	3215.5211606737894
NUDC	CS301	4427.24935899162
NUDC	CS306	3007.8826071039316
NUDC	CS308	871.5543122654719
NUDC	CS315	2083.9541043712657
NUDC	CS317	25.791357706032024
NUDC	CS322	2775.57607258973
NUDC	CS327	2228.5349055694455
NUDC	CS328	368.58556639896625
NUDC	CS330	703.9428190276806
NUDC	CS331	3619.1622295943343
NUDC	CS335	555.3314470346215
NUDC	CS338	1780.6239426461436
NUDC	CS339	101.01169156609355
NUDC	CS343	2637.742137250459
NUDC	CS344	931.0734697294757
NUDC	CS350	1634.111962715171
NUDC	CS351	6396.609244100199
NUDC	CS361	739.3606421127947
NUDC	CS388	1761.8176100406006
NUDC	CS396	1116.9125734859551
NUDC	CS405	1092.1519389815537
NUDC	CS415	946.3607395772787
NUDC	CS424	1931.856192803096
NUDC	IM293	3533.709878629375
NUDC	IM296	2101.2731333825236
NUDC	IM297	433.0474822947242
NUDC	IM300	4654
NUDC	IM305	3479.395591098788
NUDC	IM309	1209.2180018702734
NUDC	IM310	2307.2306801212135
NUDC	IM311	3950.50961164668
NUDC	IM316	2873.668301649937
NUDC	IM320	1829.4982269744205
NUDC	IM330	2024.2224874156266
NUDC	IM332	1336.9967571229936
NUDC	IM340	2461.032157007534
NUDC	IM348	1036.924329285599
NUDC	IM354	1892.5646649600938
NUDC	IM356	1363.199890038964
NUDC	IM364	1863.0762630548365
NUDC	IM372	1463
NUDC	IM374	1832.6438116869094
NUDC	IM376	1704.1885007230842
NUDC	IM381	3090.7141144141087
NUDC	IM382	2698.3348832227384
NUDC	IM385	4199
NUDC	IM390	2891.3328272485674
NUDC	IM397	2383.615041501601
NUDC	IM404	4066.3849736850802
NUDC	IM409	3952.1408894633987
NUDC	IM412	2827
NUDC	IM421	2033.9076082502852
NUDC	IM425	112.97439811257199
NUDC	IM432	1279.3818742399455
NUDC	IM438	4603
NUDC	IM442	761.044129273558
NUDC	IM445	1411.2495763498878
NUDC	IM448	2360.8533140653117
NUDC	IM449	1845.2321498548924
NUDC	IM451	3262.591286521711
NUDC	IMSA256	2244.0992567444264
NUDC	IMSA276	2128
NUDC	IMSA286	3499
NUDC	IMSA343	4389.831562650598
NUDC	IS_238	2213
NUDC	IS238	12033.129815538075
NUDC	IS243	2769
NUDC	IS253	2301
NUDC	IS283	5670
NUDC	IS322	5257.486242264371
NUDC	IS399	804.9062411162956
NUDC	IS418	379.8262860330062
NUDC	IS430	255.36642316643528
NUDC	IS437	410.84879845857205
NUDC	IS444	612.5792917765941
NUDC	R276CMSA	1871.4647271177175
NUDC	R286CMSA	2783
NUDC	R292CMSA	4157.095747122956
NUDC	R292IMSA	2773.6513463575443
NUDC	R308CMSA	514.1802409259816
NUDC	R316IMSA	1015.978235171537
NUDC	R347CMSA	854.9719082175295
NUDC	R347IMSA	1059.8818620757925
NUDC	R371CMSA	3669.706787655555
NUDC	SRR10104064	69.31327573933196
NUDC	SRR10104065	355.0694051726341
NUDC	SRR10104066	186.43845359329018
NUDC	SRR10104067	205.72790959653986
NUDC	SRR10104068	448.09717629010834
NUDC	SRR10104069	352.0047984430191
