Gene	sample	counts
ODC1	CM317	657.9139514224795
ODC1	CMCD140	860.0194835856893
ODC1	CMCD147	215.40009712550577
ODC1	CMCD152	5281
ODC1	CMCD154	1067.3982643164811
ODC1	CMCD159	38.07738021039388
ODC1	CMCD161	4008.362071029301
ODC1	CMCD174	100.72682412805413
ODC1	CMCD196	2940.4679803446193
ODC1	CMCD198	792.0917819659197
ODC1	CMCD203	2036.4943274571226
ODC1	CMCD211	2661.195739465649
ODC1	CMCD227	2486.8842701637036
ODC1	CMCD240	5108.611986863033
ODC1	CMCD259	6835
ODC1	CMCD270	2450.716616008621
ODC1	CMCD275	1005.4044051887846
ODC1	CMCD282	1089.2592740698447
ODC1	CMCD286	4125.05926660766
ODC1	CMCD287	4528
ODC1	CMCD294	214.1849379946241
ODC1	CMCD327	1837.3126845724294
ODC1	CMCD335	2050.597167731191
ODC1	CMCD337	1661.0293706047541
ODC1	CMCD357	1917.6738671738087
ODC1	CMCD398	1193.9525018523684
ODC1	CMCD403	2543.0886934531313
ODC1	CMCD422	4089.51413078321
ODC1	CMCD426	200.9275076748283
ODC1	CMCD71	1905.9955481968802
ODC1	CMCD72	283.7628674649616
ODC1	CMCD76	3097.2349614177897
ODC1	CMCD88	5661.018314547708
ODC1	CMSA256	2911
ODC1	CMSA316	1192.5266991320389
ODC1	CMUC110	8221
ODC1	CMUC192	1272.881859305714
ODC1	CMUC199	923.9137977382869
ODC1	CMUC200	3370.874166746934
ODC1	CMUC208	3009.3455848532835
ODC1	CMUC231	2471
ODC1	CMUC234	6547
ODC1	CMUC285	2670.175952526252
ODC1	CMUC291	1961.8141325975155
ODC1	CMUC295	2356.1183526058185
ODC1	CMUC299	4784.042077277719
ODC1	CMUC301	7781.198334173956
ODC1	CMUC307	3037.45345831404
ODC1	CMUC313	863.9506154256557
ODC1	CMUC314	383.535906606179
ODC1	CMUC323	1418.21473007148
ODC1	CMUC324	1916.5801930208077
ODC1	CMUC331	1946.418026490152
ODC1	CMUC333	1237.0916650568695
ODC1	CMUC334	2185.507083021406
ODC1	CMUC346	1650.5298498118361
ODC1	CMUC352	2615.437184879553
ODC1	CMUC360	1346.8365320417333
ODC1	CMUC363	918.7970849920094
ODC1	CMUC365	1660.8729293131312
