Gene	sample	counts
OGDHL	CM317	8.417285495279367
OGDHL	CMCD140	159.48722794087922
OGDHL	CMCD147	46.82054659761216
OGDHL	CMCD152	107
OGDHL	CMCD154	380.7320462704004
OGDHL	CMCD159	13.035650623362951
OGDHL	CMCD161	51.15621035269628
OGDHL	CMCD174	1.092629434806816
OGDHL	CMCD196	284.5915001449421
OGDHL	CMCD198	23.67840208520608
OGDHL	CMCD203	223.72236676448873
OGDHL	CMCD211	23.297982226273007
OGDHL	CMCD227	23.01909407093676
OGDHL	CMCD240	77.18718123130124
OGDHL	CMCD259	35
OGDHL	CMCD270	21.10900708339968
OGDHL	CMCD275	253.1433071214412
OGDHL	CMCD282	11.144768656177165
OGDHL	CMCD286	16.022565267967753
OGDHL	CMCD287	184
OGDHL	CMCD294	19.151136102585525
OGDHL	CMCD327	13.066804234578687
OGDHL	CMCD335	6.028232569639037
OGDHL	CMCD337	84.56064247033078
OGDHL	CMCD357	12.253805570237555
OGDHL	CMCD398	48.2881131696653
OGDHL	CMCD403	12.086172051886237
OGDHL	CMCD422	36.075106274980534
OGDHL	CMCD426	8.912375689444989
OGDHL	CMCD71	33.210747867915394
OGDHL	CMCD72	6.90645003699115
OGDHL	CMCD76	10.022972139313746
OGDHL	CMCD88	18.003238456158787
OGDHL	CMSA256	148
OGDHL	CMSA316	2.0163090229167335
OGDHL	CMUC110	69
OGDHL	CMUC192	27.363432143149577
OGDHL	CMUC199	12.338248864997777
OGDHL	CMUC200	15.035121171931017
OGDHL	CMUC208	60.14681382118488
OGDHL	CMUC231	101
OGDHL	CMUC234	40
OGDHL	CMUC285	9.10014243700296
OGDHL	CMUC291	17.112274279036814
OGDHL	CMUC295	180.16198108285784
OGDHL	CMUC299	50.14635161725967
OGDHL	CMUC301	51.027531830123664
OGDHL	CMUC307	27.07452505667001
OGDHL	CMUC313	10.42041393992274
OGDHL	CMUC314	4.223386051343492
OGDHL	CMUC323	23.554412858500882
OGDHL	CMUC324	6.005399369428595
OGDHL	CMUC331	4.036629845601594
OGDHL	CMUC333	6.139432524023163
OGDHL	CMUC334	6.090078042954316
OGDHL	CMUC346	36.390577823677866
OGDHL	CMUC352	26.157403102810463
OGDHL	CMUC360	7.010081543571422
OGDHL	CMUC363	6.15825340622597
OGDHL	CMUC365	6.04015404641943
OGDHL	CMUC366	58.19424164473111
OGDHL	CMUC368	47
OGDHL	CMUC377	53.216340374819794
OGDHL	CMUC379	10.708063663103927
OGDHL	CMUC380	10.182764243542598
OGDHL	CMUC383	13.185717696403346
OGDHL	CMUC394	1.0076216931317499
OGDHL	CMUC419	15.374238784435764
OGDHL	CMUC427	38
OGDHL	CMUC428	7.044429410342185
OGDHL	CMUC431	45.08363789175625
OGDHL	CMUC435	30.15058273158641
