Gene	sample	counts
OGN	CM317	43.138588163306764
OGN	CMCD140	129.20484288881354
OGN	CMCD147	43.69917682443801
OGN	CMCD152	1700
OGN	CMCD154	793.7808710040708
OGN	CMCD159	1.0863042186135794
OGN	CMCD161	511.56210352696274
OGN	CMCD174	1.092629434806816
OGN	CMCD196	30.27569150478107
OGN	CMCD198	1.029495742835047
OGN	CMCD203	1936.251873791315
OGN	CMCD211	246.6372601195108
OGN	CMCD227	66.59095070520992
OGN	CMCD240	475.21264589391484
OGN	CMCD259	335
OGN	CMCD270	234.20945954438693
OGN	CMCD275	386.2704646514422
OGN	CMCD282	1.0131607869251968
OGN	CMCD286	58.43523803611769
OGN	CMCD287	221
OGN	CMCD294	1.0639520056991958
OGN	CMCD327	13.066804234578687
OGN	CMCD335	100.47054282731729
OGN	CMCD337	729.8388784641644
OGN	CMCD357	11.23265510605109
OGN	CMCD398	121.72628528186462
OGN	CMCD403	22.15798209512477
OGN	CMCD422	744.5501100641816
OGN	CMCD426	30.079267951876837
OGN	CMCD71	373.36931693929125
OGN	CMCD72	1.1510750061651915
OGN	CMCD76	8.018377711450997
OGN	CMCD88	6.001079485386262
OGN	CMSA256	1891
OGN	CMSA316	1364.0330540031703
OGN	CMUC110	1610
OGN	CMUC192	40.538417989851226
OGN	CMUC199	45.24024583832519
OGN	CMUC200	579.3533358250752
OGN	CMUC208	367.89801120624753
OGN	CMUC231	10080
OGN	CMUC234	408
OGN	CMUC285	61.67874318413117
OGN	CMUC291	199.30766513231114
OGN	CMUC295	777.699218341003
OGN	CMUC299	423.23520764967157
OGN	CMUC301	1147.6191962578794
OGN	CMUC307	318.87773955633565
OGN	CMUC313	600.2158429395499
OGN	CMUC314	436.06460980121557
OGN	CMUC323	11.26515397580477
OGN	CMUC324	1491.340843408101
OGN	CMUC331	120.08973790664741
OGN	CMUC333	844.1719720531848
OGN	CMUC334	26.390338186135367
OGN	CMUC346	285.0595262854766
OGN	CMUC352	298.79802775133487
OGN	CMUC360	107.15410359459175
OGN	CMUC363	21.553886921790895
OGN	CMUC365	268.78685506566467
OGN	CMUC366	967.2284300951859
OGN	CMUC368	93
OGN	CMUC377	330.34294308142853
OGN	CMUC379	20.34532095989746
OGN	CMUC380	43.78588624723317
OGN	CMUC383	5.071429883232057
OGN	CMUC394	3.02286507939525
OGN	CMUC419	23.57383280280151
OGN	CMUC427	166
OGN	CMUC428	240.51694701025463
OGN	CMUC431	359.6672445142332
OGN	CMUC435	37.185718702289904
OGN	CMUC439	1727.0443606098106
OGN	CMUC89	752
OGN	CS219	46.11396690733923
OGN	CS256	358.8197790979945
OGN	CS257	6.566563065209788
OGN	CS259	3.004636833681942
OGN	CS261	9.214407321155349
OGN	CS266	37.28810250663734
OGN	CS270	76.98872230880133
OGN	CS277	0.964744493942961
OGN	CS288	100.90157281558109
OGN	CS290	93.74322498719019
