Gene	sample	counts
PDCD6IP	CM317	2105.3246445519344
PDCD6IP	CMCD140	2223.7358243418703
PDCD6IP	CMCD147	1844.9486579880274
PDCD6IP	CMCD152	4549
PDCD6IP	CMCD154	2090.363677516666
PDCD6IP	CMCD159	1557.908813179544
PDCD6IP	CMCD161	2505.7278411989973
PDCD6IP	CMCD174	1692.6485880649095
PDCD6IP	CMCD196	2231.8485082533307
PDCD6IP	CMCD198	1625.384696933968
PDCD6IP	CMCD203	3614.5266314423707
PDCD6IP	CMCD211	3319.4619160353755
PDCD6IP	CMCD227	3960.106290703656
PDCD6IP	CMCD240	5630.75520873624
PDCD6IP	CMCD259	4124
PDCD6IP	CMCD270	2718.1040728824078
PDCD6IP	CMCD275	2124.7613658302603
PDCD6IP	CMCD282	1764.0933917726509
PDCD6IP	CMCD286	5999.570852716134
PDCD6IP	CMCD287	6407
PDCD6IP	CMCD294	1594.1326728356103
PDCD6IP	CMCD327	2584.0978731048776
PDCD6IP	CMCD335	2579.070519140601
PDCD6IP	CMCD337	2289.2004780334614
PDCD6IP	CMCD357	1803.3078005478947
PDCD6IP	CMCD398	2202.8272780595507
PDCD6IP	CMCD403	2551.146004165062
PDCD6IP	CMCD422	2811.8541168776496
PDCD6IP	CMCD426	1979.1359505970588
PDCD6IP	CMCD71	2216.952583251176
PDCD6IP	CMCD72	1755.6385539905348
PDCD6IP	CMCD76	3824.934826139251
PDCD6IP	CMCD88	4874.876901962107
PDCD6IP	CMSA256	4501
PDCD6IP	CMSA316	2424.367465268431
PDCD6IP	CMUC110	4313
PDCD6IP	CMUC192	1853.583535565407
PDCD6IP	CMUC199	1645.1427200261924
PDCD6IP	CMUC200	2827.6051217344934
PDCD6IP	CMUC208	2529.173521180824
PDCD6IP	CMUC231	5239
PDCD6IP	CMUC234	3944
PDCD6IP	CMUC285	1966.4870229699204
PDCD6IP	CMUC291	2231.576158013695
PDCD6IP	CMUC295	3877.4861928610626
PDCD6IP	CMUC299	4403.926365057959
PDCD6IP	CMUC301	4173.25167183227
PDCD6IP	CMUC307	2826.867381639907
PDCD6IP	CMUC313	2166.6505783714574
PDCD6IP	CMUC314	1780.3250761195914
PDCD6IP	CMUC323	1900.5101364712395
PDCD6IP	CMUC324	2947.430114071164
PDCD6IP	CMUC331	2275.361663937425
PDCD6IP	CMUC333	2265.4432973001726
PDCD6IP	CMUC334	2646.3618046617767
PDCD6IP	CMUC346	2130.62885695245
PDCD6IP	CMUC352	2474.605951847577
PDCD6IP	CMUC360	1991.715882699634
PDCD6IP	CMUC363	2171.2355695621227
PDCD6IP	CMUC365	2276.905797640183
PDCD6IP	CMUC366	2971.8504121270707
PDCD6IP	CMUC368	3204
PDCD6IP	CMUC377	2690.8745683404413
PDCD6IP	CMUC379	1805.293374188319
PDCD6IP	CMUC380	1879.7636619677019
PDCD6IP	CMUC383	1759.585001914412
PDCD6IP	CMUC394	1702.771461019986
PDCD6IP	CMUC419	2010.5458886860442
PDCD6IP	CMUC427	4138
PDCD6IP	CMUC428	2387.8832734916896
PDCD6IP	CMUC431	2709.870621973104
PDCD6IP	CMUC435	2784.5030302576943
PDCD6IP	CMUC439	2340.763258350846
PDCD6IP	CMUC89	4450
PDCD6IP	CS219	2961.399636027493
PDCD6IP	CS256	3301.4660980487024
PDCD6IP	CS257	1628.7880429188665
PDCD6IP	CS259	2383.678554721007
PDCD6IP	CS261	1602.18875903424
PDCD6IP	CS266	1926.6269699185932
PDCD6IP	CS270	2289.71992555889
PDCD6IP	CS277	1445.9450304021857
PDCD6IP	CS288	2744.5604106030137
PDCD6IP	CS290	2671.3773657404063
PDCD6IP	CS292	2018.1408394240243
PDCD6IP	CS293	1779.1668807397841
PDCD6IP	CS301	1702.472078869602
