Gene	sample	counts
PGM5P4	CM317	5.2633116113798355
PGM5P4	CMCD140	10.094125394198231
PGM5P4	CMCD147	1.0405801793502694
PGM5P4	CMCD152	34
PGM5P4	CMCD154	20.1967505074074
PGM5P4	CMCD159	1.0879251488683968
PGM5P4	CMCD161	4.012374445474776
PGM5P4	CMCD174	1.0948567840005883
PGM5P4	CMCD196	1.0094294474234875
PGM5P4	CMCD198	1.0300283250532116
PGM5P4	CMCD203	81.25913326306745
PGM5P4	CMCD211	40.99093407210754
PGM5P4	CMCD227	5.75477351773419
PGM5P4	CMCD240	6.526790273415082
PGM5P4	CMCD259	26
PGM5P4	CMCD270	8.041728026279314
PGM5P4	CMCD275	1.0084296942715996
PGM5P4	CMCD282	1.0132644409952043
PGM5P4	CMCD286	8.503328767629167
PGM5P4	CMCD287	7
PGM5P4	CMCD294	1.065596706440916
PGM5P4	CMCD327	1.0050944663962962
PGM5P4	CMCD335	7.03291532293892
PGM5P4	CMCD337	51.3409078186924
PGM5P4	CMCD357	3.0633767846226974
PGM5P4	CMCD398	4.023428818373609
PGM5P4	CMCD403	2.014327677982678
PGM5P4	CMCD422	19.039639422906394
PGM5P4	CMCD426	6.697583589160943
PGM5P4	CMCD71	1.006333446777656
PGM5P4	CMCD72	1.153507591320982
PGM5P4	CMCD76	6.014048468772407
PGM5P4	CMCD88	6.001079485386262
PGM5P4	CMSA256	30
PGM5P4	CMSA316	70.56371000781296
PGM5P4	CMUC110	27
PGM5P4	CMUC192	3.0403229123544127
PGM5P4	CMUC199	1.0288572357887382
PGM5P4	CMUC200	6.014048468772407
PGM5P4	CMUC208	5.01223448509874
PGM5P4	CMUC231	71
PGM5P4	CMUC234	17
PGM5P4	CMUC285	1.011047312580936
PGM5P4	CMUC291	1.006574721702163
PGM5P4	CMUC295	13.011698633761956
PGM5P4	CMUC299	7.020606822000845
PGM5P4	CMUC301	15.008097597095196
PGM5P4	CMUC307	3.0083725239161834
PGM5P4	CMUC313	51.06583854747542
PGM5P4	CMUC314	1.0565727454715677
PGM5P4	CMUC323	1.0239817545642456
PGM5P4	CMUC324	29.0239298159809
PGM5P4	CMUC331	12.108354752660356
PGM5P4	CMUC333	48.09206638351767
PGM5P4	CMUC334	1.0150985058157946
PGM5P4	CMUC346	3.032204255624929
PGM5P4	CMUC352	20.11874757599656
PGM5P4	CMUC360	7.009558159325007
PGM5P4	CMUC363	1.0265889217787814
PGM5P4	CMUC365	9.059306887162533
PGM5P4	CMUC366	83.2760243776323
PGM5P4	CMUC368	10
PGM5P4	CMUC377	18.073038145570127
PGM5P4	CMUC379	1.0726639181154598
PGM5P4	CMUC380	1.0182901744137063
PGM5P4	CMUC383	1.0141700299218512
PGM5P4	CMUC394	1.007557077526619
PGM5P4	CMUC419	1.0252656240112412
PGM5P4	CMUC427	10
PGM5P4	CMUC428	4.0250876923585155
PGM5P4	CMUC431	5.009002998101856
PGM5P4	CMUC435	4.019491923865311
PGM5P4	CMUC439	23.145982348267182
PGM5P4	CMUC89	6
PGM5P4	CS219	1.0025049546470863
PGM5P4	CS256	14.031732049994485
PGM5P4	CS257	1.097566066656918
PGM5P4	CS259	4.006182444909256
PGM5P4	CS261	1.0244173651114068
PGM5P4	CS266	1.0363781441197382
PGM5P4	CS270	12.157804914471981
PGM5P4	CS277	56.58894181061186
PGM5P4	CS288	1.0090295627216963
PGM5P4	CS290	1.0080669304680778
PGM5P4	CS292	1.0141411253387056
PGM5P4	CS293	1.0172480736076523
PGM5P4	CS301	1.0274424133190114
PGM5P4	CS306	3.1191316354344263
PGM5P4	CS308	2.053131477657178
PGM5P4	CS315	10.280977327929282
PGM5P4	CS317	18.268878375106016
PGM5P4	CS322	3.0400614157609307
PGM5P4	CS327	7.033248123979314
PGM5P4	CS328	31.774617793014333
PGM5P4	CS330	1.0796669003492032
PGM5P4	CS331	1.019195220950249
PGM5P4	CS335	4.547755253240759
PGM5P4	CS338	3.0931510294953277
PGM5P4	CS339	5.872772765470556
PGM5P4	CS343	1.0079259217617345
PGM5P4	CS344	31.44147882528731
PGM5P4	CS350	4.095518703546794
PGM5P4	CS351	1.008292756005706
PGM5P4	CS361	3.0721356320476234
PGM5P4	CS388	1.0351454818099886
PGM5P4	CS396	9.09702548540597
PGM5P4	CS405	8.203958227091483
PGM5P4	CS415	2.158177285238948
PGM5P4	CS424	1.0386323617220947
PGM5P4	IM293	7.037260071239154
PGM5P4	IM296	1.06935019510561
PGM5P4	IM297	3.3057059717154518
PGM5P4	IM300	27
PGM5P4	IM305	1.0099842064147424
PGM5P4	IM309	14.994731644095507
PGM5P4	IM310	1.0137217399478091
PGM5P4	IM311	15.186479798744283
PGM5P4	IM316	5.025652853532593
PGM5P4	IM320	1.0484230527074043
PGM5P4	IM330	6.063572104090744
PGM5P4	IM332	27.85409910672903
PGM5P4	IM340	2.1179278459617334
PGM5P4	IM348	12.455547498926114
PGM5P4	IM354	30.216572617776908
PGM5P4	IM356	19.171575063464335
PGM5P4	IM364	12.210221276164958
PGM5P4	IM372	2
PGM5P4	IM374	1.0508278736736867
PGM5P4	IM376	7.109248811121329
PGM5P4	IM381	3.0370593983761305
PGM5P4	IM382	7.225839396541381
PGM5P4	IM385	116
PGM5P4	IM390	1.0289440666365008
PGM5P4	IM397	7.079043398604669
PGM5P4	IM404	33.092652066980925
PGM5P4	IM409	35.19718349394884
PGM5P4	IM412	3
PGM5P4	IM421	9.143440796329953
PGM5P4	IM425	38.01007786965039
PGM5P4	IM432	4.174165984469643
PGM5P4	IM438	30
PGM5P4	IM442	14.615387942153378
PGM5P4	IM445	11.128132860106643
PGM5P4	IM448	1.0233434391267064
PGM5P4	IM449	16.133177266490865
PGM5P4	IM451	25.127782551769187
PGM5P4	IMSA256	5.020356279070305
PGM5P4	IMSA276	60
PGM5P4	IMSA286	11
PGM5P4	IMSA343	1.0124150282865771
PGM5P4	IS_238	9
PGM5P4	IS238	26.092245773488177
PGM5P4	IS243	6
PGM5P4	IS253	18
PGM5P4	IS283	18
PGM5P4	IS322	11.115192901193172
PGM5P4	IS399	10.073920414471784
PGM5P4	IS418	10.977638324653359
PGM5P4	IS430	3.259996891486408
PGM5P4	IS437	9.75630392117981
PGM5P4	IS444	11.420969846682263
