Gene	sample	counts
PML	CM317	493.4633621607529
PML	CMCD140	1185.0506683708368
PML	CMCD147	650.2853694112799
PML	CMCD152	1462
PML	CMCD154	1478.4926146946052
PML	CMCD159	540.9795008695625
PML	CMCD161	1195.651034125764
PML	CMCD174	431.5886267486923
PML	CMCD196	1201.9449527398085
PML	CMCD198	841.0980218962334
PML	CMCD203	2102.789599723625
PML	CMCD211	2141.8076074222013
PML	CMCD227	2514.836027249841
PML	CMCD240	1283.3531337252496
PML	CMCD259	1375
PML	CMCD270	1196.1770680593152
PML	CMCD275	1484.56951427395
PML	CMCD282	1690.9653533781534
PML	CMCD286	1778.5047447444206
PML	CMCD287	1333
PML	CMCD294	788.388436223104
PML	CMCD327	1987.1593824432355
PML	CMCD335	1900.9026702928431
PML	CMCD337	1279.4830545213144
PML	CMCD357	822.0261236701026
PML	CMCD398	869.1860370539754
PML	CMCD403	1875.3710300510145
PML	CMCD422	1119.3303808098128
PML	CMCD426	411.08332867565014
PML	CMCD71	974.1819374588515
PML	CMCD72	461.5810774722419
PML	CMCD76	937.1478950258353
PML	CMCD88	2136.3842967975093
PML	CMSA256	1655
PML	CMSA316	1141.2309069708713
PML	CMUC110	1918
PML	CMUC192	1024.6085146934897
PML	CMUC199	978.8344099564903
PML	CMUC200	1674.9124985531155
PML	CMUC208	1100.6866929276832
PML	CMUC231	2431
PML	CMUC234	1374
PML	CMUC285	905.9697359505168
PML	CMUC291	1926.6407629456744
PML	CMUC295	951.8558000544323
PML	CMUC299	1584.6247111054054
PML	CMUC301	1423.7681920444309
PML	CMUC307	1547.2589689793267
PML	CMUC313	607.5101326974958
PML	CMUC314	609.2234379062987
PML	CMUC323	687.174392524091
PML	CMUC324	1594.433532583292
PML	CMUC331	796.2252370449144
PML	CMUC333	639.5242212524128
PML	CMUC334	949.0371616937142
PML	CMUC346	1602.1962736258172
PML	CMUC352	1220.3434601426572
PML	CMUC360	688.9908717110198
PML	CMUC363	631.220974138162
PML	CMUC365	1038.906495984142
PML	CMUC366	1517.0636787385074
PML	CMUC368	1430
PML	CMUC377	1535.2412157188578
PML	CMUC379	473.2964139091936
PML	CMUC380	1021.3312536273227
PML	CMUC383	1216.128885999047
PML	CMUC394	1034.8274788463073
PML	CMUC419	914.2547330477802
PML	CMUC427	2307
PML	CMUC428	1105.9754174237232
PML	CMUC431	1309.4292161005649
PML	CMUC435	1140.6970466783525
PML	CMUC439	1106.0732822320406
PML	CMUC89	1251
PML	CS219	1193.9507518835005
PML	CS256	1185.7089348405796
PML	CS257	419.16560899589143
PML	CS259	1166.8006370798207
PML	CS261	1020.7515665768759
PML	CS266	653.5775744913378
PML	CS270	817.4986697789825
PML	CS277	427.38181081673173
PML	CS288	770.8880163110395
PML	CS290	1108.7908331818194
PML	CS292	1052.5107535250338
PML	CS293	687.389648013816
PML	CS301	697.1604278442973
PML	CS306	643.0552967846718
PML	CS308	496.8630817598041
PML	CS315	701.108468724304
PML	CS317	329.19562723560637
PML	CS322	672.9100383684555
PML	CS327	801.7987810342534
PML	CS328	398.34931942788916
PML	CS330	431.82153700892303
PML	CS331	784.4756953274167
PML	CS335	233.72798807311946
PML	CS338	558.7113245823248
PML	CS339	379.32454674472353
PML	CS343	828.6408656249536
PML	CS344	668.3124977641444
PML	CS350	724.4525176490125
PML	CS351	1220.0573923968184
PML	CS361	522.2351008582036
PML	CS388	609.5933733400071
PML	CS396	591.3787208841544
PML	CS405	537.2951663495171
PML	CS415	428.6057342501017
PML	CS424	575.8801886117333
PML	IM293	1570.3309561017174
PML	IM296	584.988119981008
PML	IM297	359.2977532641667
PML	IM300	1872
PML	IM305	1036.3113876606878
