Gene	sample	counts
POLA1	CM317	195.70188776524532
POLA1	CMCD140	185.73196165266947
POLA1	CMCD147	163.35168479611352
POLA1	CMCD152	393
POLA1	CMCD154	216.11845597311853
POLA1	CMCD159	152.08259060590112
POLA1	CMCD161	232.71060395736345
POLA1	CMCD174	146.41234426411336
POLA1	CMCD196	191.74604619694676
POLA1	CMCD198	161.6308316251024
POLA1	CMCD203	445.438254903287
POLA1	CMCD211	400.8859700313873
POLA1	CMCD227	351.8632950843191
POLA1	CMCD240	517.0611176458251
POLA1	CMCD259	530
POLA1	CMCD270	212.095261647492
POLA1	CMCD275	220.87005681113794
POLA1	CMCD282	171.22417299035826
POLA1	CMCD286	460.88437741389595
POLA1	CMCD287	456
POLA1	CMCD294	142.56956876369225
POLA1	CMCD327	230.17678228603992
POLA1	CMCD335	240.12459735728834
POLA1	CMCD337	246.63520720513142
POLA1	CMCD357	227.7165535135812
POLA1	CMCD398	215.28450454809115
POLA1	CMCD403	222.58700195557154
POLA1	CMCD422	290.60502277067656
POLA1	CMCD426	165.9929972159129
POLA1	CMCD71	222.41137208513035
POLA1	CMCD72	158.84835085079644
POLA1	CMCD76	219.50308985097104
POLA1	CMCD88	284.0510956416164
POLA1	CMSA256	379
POLA1	CMSA316	238.93261921563294
POLA1	CMUC110	580
POLA1	CMUC192	175.32865780610655
POLA1	CMUC199	155.25629821788868
POLA1	CMUC200	246.5759872196687
POLA1	CMUC208	239.58480838771976
POLA1	CMUC231	538
POLA1	CMUC234	622
POLA1	CMUC285	238.62595723696649
POLA1	CMUC291	215.41333504199287
POLA1	CMUC295	304.2735680510488
POLA1	CMUC299	292.85469344479645
POLA1	CMUC301	376.20297976718626
POLA1	CMUC307	239.65968476089375
POLA1	CMUC313	216.74460995039303
POLA1	CMUC314	153.0977443612016
POLA1	CMUC323	208.9174010058339
POLA1	CMUC324	264.23757225485815
POLA1	CMUC331	225.04211389228885
POLA1	CMUC333	200.55479578475664
POLA1	CMUC334	213.15273150340104
POLA1	CMUC346	211.26752125412983
POLA1	CMUC352	269.6224627520463
POLA1	CMUC360	190.2736418969386
POLA1	CMUC363	168.32559310350985
POLA1	CMUC365	206.37192991933054
POLA1	CMUC366	303.0113961501516
POLA1	CMUC368	533
POLA1	CMUC377	297.2082405838992
POLA1	CMUC379	152.05450401607575
POLA1	CMUC380	176.16182141328696
POLA1	CMUC383	196.77147946940377
POLA1	CMUC394	213.615798943931
POLA1	CMUC419	170.14157588108912
POLA1	CMUC427	631
POLA1	CMUC428	345.1770411067671
POLA1	CMUC431	344.6393652169811
POLA1	CMUC435	339.6965654425402
POLA1	CMUC439	248.58971857262424
POLA1	CMUC89	426
POLA1	CS219	264.6540709464686
POLA1	CS256	224.51293440768373
POLA1	CS257	146.65324178968527
POLA1	CS259	258.398767696647
POLA1	CS261	148.45434017416952
POLA1	CS266	163.65333877913054
POLA1	CS270	181.3287012273084
POLA1	CS277	141.81744060961526
POLA1	CS288	200.79412990300636
POLA1	CS290	213.69423330413247
POLA1	CS292	185.55825423418227
POLA1	CS293	166.76316904477193
POLA1	CS301	159.1456057671076
POLA1	CS306	144.40175485148526
POLA1	CS308	180.6774842762924
POLA1	CS315	158.3148155183912
POLA1	CS317	178.00154436843863
POLA1	CS322	297.9451073498884
POLA1	CS327	495.3468659773019
POLA1	CS328	169.06071912058957
POLA1	CS330	179.83590194635948
POLA1	CS331	160.97033748276863
POLA1	CS335	100.96241385447925
POLA1	CS338	166.99489775338859
POLA1	CS339	163.90566834648547
POLA1	CS343	221.77736062954963
POLA1	CS344	213.98169503525713
POLA1	CS350	162.69484506524432
POLA1	CS351	227.87848816667847
POLA1	CS361	214.01399231247953
POLA1	CS388	198.7129502228886
POLA1	CS396	284.0639667836707
POLA1	CS405	162.00884786874752
POLA1	CS415	156.15033031724812
POLA1	CS424	161.86902598816286
POLA1	IM293	185.9867009467463
POLA1	IM296	136.63956087147633
POLA1	IM297	141.74131550788226
POLA1	IM300	377
POLA1	IM305	183.82911554994658
POLA1	IM309	149.5540735843797
POLA1	IM310	226.0684309147457
POLA1	IM311	187.30823159960175
POLA1	IM316	211.08913369763133
POLA1	IM320	165.522338636896
POLA1	IM330	204.14008462777272
POLA1	IM332	244.25399371620662
POLA1	IM340	161.61086245658313
POLA1	IM348	149.32245062974974
POLA1	IM354	218.5729656350233
POLA1	IM356	181.54980944060557
POLA1	IM364	180.07744297648125
POLA1	IM372	155.99855198745317
POLA1	IM374	154.26937493600266
POLA1	IM376	162.42784049062138
POLA1	IM381	189.34793291679333
POLA1	IM382	174.3810616678475
POLA1	IM385	372
POLA1	IM390	159.449088883163
POLA1	IM397	206.32247092989908
POLA1	IM404	260.74945396643636
POLA1	IM409	228.3004808539728
POLA1	IM412	210
POLA1	IM421	179.81402808532215
POLA1	IM425	186.61346580583566
POLA1	IM432	143.79798227597004
POLA1	IM438	395
POLA1	IM442	164.73233704276385
POLA1	IM445	187.13763747242334
POLA1	IM448	159.59199224514347
POLA1	IM449	201.68931716245461
POLA1	IM451	208.07357464480802
POLA1	IMSA256	217.88953097211552
POLA1	IMSA276	362
POLA1	IMSA286	365
POLA1	IMSA343	216.67944839237816
POLA1	IS_238	387
POLA1	IS238	614.7094275993984
POLA1	IS243	468
POLA1	IS253	390
POLA1	IS283	357
POLA1	IS322	179.89387086264492
POLA1	IS399	166.19673843749018
POLA1	IS418	164.21266541793537
POLA1	IS430	167.05224533388412
POLA1	IS437	170.99366383845154
POLA1	IS444	211.72134342045837
POLA1	R276CMSA	155.47912749534814
POLA1	R286CMSA	345
POLA1	R292CMSA	213.89622321964947
POLA1	R292IMSA	137.84000888291294
POLA1	R308CMSA	164.83459647430993
POLA1	R316IMSA	191.73463014785025
POLA1	R347CMSA	147.37639310568937
POLA1	R347IMSA	167.26913313066476
POLA1	R371CMSA	249.99507625944335
POLA1	SRR10104064	106.85594094466356
POLA1	SRR10104065	477.7861507953971
POLA1	SRR10104066	319.88948888729163
POLA1	SRR10104067	193.3955989441062
POLA1	SRR10104068	353.64435974296816
POLA1	SRR10104069	343.90687282448266
POLA1	SRR10104070	310.9351394762898
POLA1	SRR10104071	115.03636944717397
POLA1	SRR10104072	148.96953033147108
POLA1	SRR10104073	188.25044179045972
POLA1	SRR10104074	128.667511532889
POLA1	SRR10104075	128.17771937016641
POLA1	SRR10104076	195.28655408576978
POLA1	SRR10104077	126.96865168924131
POLA1	SRR10104078	171.917031266777
POLA1	SRR10104079	157.37135046649658
POLA1	SRR10104080	110.29195295331003
POLA1	SRR10104081	258.03697902083957
POLA1	SRR10104082	171.53226712440969
POLA1	SRR10104083	201.39777751733314
POLA1	SRR10104084	194.76259618006802
POLA1	SRR10104085	217.78935036642986
POLA1	SRR10104086	201.91180406361104
POLA1	SRR10104087	769.4619203568461
POLA1	SRR10104088	356.2189469169733
POLA1	SRR10104089	140.06162662240524
POLA1	SRR10104090	234.04325252078877
POLA1	SRR10104091	167.91194050986132
POLA1	SRR10104092	325.09768098477065
POLA1	SRR10104093	177.9806485936792
POLA1	SRR10104094	198.6132638313301
POLA1	SRR10104095	265.99347397040634
POLA1	SRR10104096	100.04994631346669
POLA1	SRR10104097	138.50628476630078
POLA1	SRR10104098	150.37511544303084
POLA1	SRR10104099	170.87531557933087
POLA1	SRR10104100	219.23665192668668
POLA1	SRR10104101	500.7782510567486
POLA1	SRR10104102	277.1916333928859
POLA1	SRR10104103	171.68948127072485
POLA1	SRR10104104	343.24440900246225
POLA1	SRR10104105	143.0605424754085
POLA1	SRR10104106	122.44079202545845
POLA1	SRR10104107	398.7873502276904
POLA1	SRR10104108	446.03890929081973
POLA1	SRR10104109	132.43231381861986
POLA1	SRR10104110	103.80849032492618
POLA1	SRR10104111	214.85799077747748
POLA1	SRR10104112	93.99991889446696
POLA1	SRR10104113	163.73309602419639
POLA1	SRR10104114	135.16075147754003
POLA1	SRR10104115	106.77511929489599
POLA1	SRR10104116	186.47692804103357
POLA1	SRR10104117	184.9941116732267
POLA1	SRR10104118	110.20706259716765
POLA1	SRR10104119	103.72224260078241
POLA1	SRR10104120	226.03673456944333
POLA1	SRR10104121	146.41654666114724
POLA1	SRR10104122	133.35760293372317
POLA1	SRR10104123	143.22898399720364
POLA1	SRR10104124	171.2684457947255
POLA1	SRR10104125	145.6266515708621
POLA1	SRR10104126	197.66820708971815
POLA1	SRR10104127	99.93145265867001
POLA1	SRR10104128	229.457660260671
POLA1	SRR10104129	231.97210977198432
POLA1	SRR10104130	180.28369324073947
POLA1	SRR10104131	456.1205388586935
POLA1	SRR10104132	423.0390333407106
POLA1	SRR10104133	129.62695567374536
POLA1	SRR10104134	201.96241076027482
POLA1	SRR10104135	116.00321488739345
POLA1	SRR10104136	332.93753109779936
POLA1	SRR10104137	150.0058352508294
POLA1	SRR10104138	100.69185332341917
POLA1	SRR10104139	227.56146774784997
POLA1	SRR10104140	101.97195344604754
POLA1	SRR10104141	154.93785832555702
POLA1	SRR10104142	178.9677084163449
POLA1	SRR10104143	321.6137301526323
POLA1	SRR10104144	183.56739561244552
POLA1	SRR10104145	168.19576603636736
POLA1	SRR10104146	398.8031647490091
POLA1	SRR10104147	777.3262030652684
POLA1	SRR10104148	202.20414083172065
POLA1	SRR10104149	205.39820253601857
POLA1	SRR10104150	498.74447813713385
POLA1	SRR10104151	472.5924758214586
POLA1	SRR10104152	653.6550537530459
POLA1	SRR10104153	119.34928443862239
POLA1	SRR10104154	239.11330245627437
POLA1	SRR10104155	121.0571639169452
POLA1	SRR10104156	659.6721187881772
POLA1	SRR10104157	212.1321997197606
POLA1	SRR10104158	239.8408834277552
POLA1	SRR10104159	333.1693459286491
POLA1	SRR10104160	148.98420726040965
POLA1	SRR10104161	700.2063366715333
POLA1	SRR10104162	335.7384448220656
POLA1	SRR10104163	270.96569538606
POLA1	SRR10104164	246.76252349610849
POLA1	SRR10104165	321.08792642114753
POLA1	SRR10104166	197.81097423133266
POLA1	SRR10104167	298.61103789183164
POLA1	SRR10104168	418.80454347587823
POLA1	SRR10104169	248.02914906367073
POLA1	SRR10104170	289.4868891950368
POLA1	SRR10104171	238.61622569481304
POLA1	SRR10104172	218.22619853320208
POLA1	SRR10104173	279.2556434473904
POLA1	SRR10104174	262.6884449518315
POLA1	SRR10104175	321.1156164480043
POLA1	SRR10104176	266.8993968875574
POLA1	SRR10104177	304.5605676522114
POLA1	SRR10104178	216.0487107144116
POLA1	SRR10104179	233.90616736410348
POLA1	SRR10104180	320.91016865914474
POLA1	SRR10104181	294.7621388788088
POLA1	SRR10104182	290.9671043966675
POLA1	SRR10104183	233.82281317829722
POLA1	SRR10104184	280.8845269864162
POLA1	SRR10104185	202.44543288673557
POLA1	SRR10104186	277.9866754581366
POLA1	SRR10104187	192.1968848654784
POLA1	SRR10104188	278.67476709278253
POLA1	SRR10104189	260.05154865690605
POLA1	SRR10104190	185.00536656232237
POLA1	SRR10104191	111.9286183248375
POLA1	SRR10104192	230.89066930414918
POLA1	SRR10104193	184.12962465199487
POLA1	SRR10104194	197.2117632983274
POLA1	SRR10104195	342.99178390967035
POLA1	SRR10104196	319.61382235814733
POLA1	SRR10104197	556.268162063428
POLA1	SRR10104198	250.33224070409906
POLA1	SRR10104199	416.46808675412126
POLA1	SRR10104200	233.04622137789823
POLA1	SRR10104201	294.547127639877
POLA1	SRR10104202	164.54057950326197
POLA1	SRR10104203	249.54358445033367
POLA1	SRR10104204	226.95453726250759
POLA1	SRR10104205	282.4199861915156
POLA1	SRR10104206	202.71662586354964
POLA1	SRR10104207	240.66536818902918
POLA1	SRR10104208	292.0768683688422
POLA1	SRR10104209	261.938869907345
POLA1	SRR10104210	246.3514548122092
POLA1	SRR10104211	261.8314983105794
POLA1	SRR10104212	273.03450467548197
POLA1	SRR10104213	145.3192393583836
POLA1	SRR10104214	298.77274325041674
POLA1	SRR10104215	552.8674480654166
POLA1	SRR10104216	180.5707326061086
POLA1	SRR10104217	349.5287623038775
POLA1	SRR10104218	150.2446146905007
POLA1	SRR10104219	265.25094384135775
POLA1	SRR10104220	113.91262606023808
POLA1	SRR10104221	177.75421113186238
POLA1	SRR10104222	247.21839013585938
POLA1	SRR10104223	79.07120377295874
POLA1	SRR10104224	231.76284882869328
POLA1	SRR10104225	215.61701861131948
POLA1	SRR10104226	311.7830711805962
POLA1	SRR10104227	162.76876241482182
POLA1	SRR10104228	138.15489420804195
POLA1	SRR10104229	178.42622699773315
POLA1	SRR10104230	119.24012506467881
POLA1	SRR10104231	116.44830134749331
POLA1	SRR10104232	160.23386816592316
POLA1	SRR10104233	198.58078392313934
POLA1	SRR10104234	306.00642801284
POLA1	SRR10104235	207.79411357363094
POLA1	SRR10104236	892.2272394966727
POLA1	SRR10104237	305.5694391564279
POLA1	SRR10104238	167.22836421928562
POLA1	SRR10104239	145.68006703172415
POLA1	SRR10104240	144.04437089433443
POLA1	SRR10104241	241.49817110536057
POLA1	SRR10104242	164.10763656364944
POLA1	SRR10104243	210.5434902695664
POLA1	SRR10104244	224.61442294219577
POLA1	SRR10104245	144.8118349503875
POLA1	SRR10104246	146.36537121906522
POLA1	SRR10104247	124.83862840775862
POLA1	SRR10104248	216.38237410965718
POLA1	SRR10104249	236.28626502974996
POLA1	SRR10104250	107.61937241399139
POLA1	SRR10104251	147.64310653891312
POLA1	SRR10104252	81.68748347612893
POLA1	SRR10104253	135.28924553721484
POLA1	SRR10104254	226.16839261744175
POLA1	SRR10104255	214.49886690963805
POLA1	SRR10104256	283.119154005095
POLA1	SRR10104257	172.32838842123903
POLA1	SRR10104258	281.4406547309511
POLA1	SRR10224277	252.04320249999816
POLA1	SRR10224278	171.80271658417848
POLA1	SRR10224279	191.9891947409833
POLA1	SRR10224280	233.20642889256024
POLA1	SRR10224281	337.37214342031905
POLA1	SRR10224282	213.2888708357158
POLA1	SRR10224283	224.12022855098718
POLA1	SRR10224284	174.48046955857498
POLA1	SRR10224285	177.45082197009117
POLA1	SRR10224286	235.85873251601552
POLA1	SRR10224287	348.5275824754615
POLA1	SRR10224288	174.6217935033483
POLA1	SRR10224289	175.29192936281535
POLA1	SRR10224290	175.67902384204018
