Gene	sample	counts
PTCRA	CM317	1.052160686909921
PTCRA	CMCD140	31.291797887134532
PTCRA	CMCD147	1.0404565910580479
PTCRA	CMCD152	15
PTCRA	CMCD154	1.0098993269771894
PTCRA	CMCD159	1.0863042186135794
PTCRA	CMCD161	19.058196013749594
PTCRA	CMCD174	1.092629434806816
PTCRA	CMCD196	75.68922876195268
PTCRA	CMCD198	17.5014276281958
PTCRA	CMCD203	8.025914502761927
PTCRA	CMCD211	8.033786974576898
PTCRA	CMCD227	15.62009954813566
PTCRA	CMCD240	10.229626428244742
PTCRA	CMCD259	34
PTCRA	CMCD270	11.057098948447452
PTCRA	CMCD275	38.32448474348512
PTCRA	CMCD282	15.197411803877952
PTCRA	CMCD286	7.540030714337766
PTCRA	CMCD287	9
PTCRA	CMCD294	42.55808022796783
PTCRA	CMCD327	40.20555149101134
PTCRA	CMCD335	14.06587599582442
PTCRA	CMCD337	11.073417466352838
PTCRA	CMCD357	19.401858819542795
PTCRA	CMCD398	2.0120047154027207
PTCRA	CMCD403	11.078991047562385
PTCRA	CMCD422	16.033380566658014
PTCRA	CMCD426	4.4561878447224945
PTCRA	CMCD71	35.22352046597087
PTCRA	CMCD72	1.1510750061651915
PTCRA	CMCD76	14.032160995039245
PTCRA	CMCD88	22.003958113082962
PTCRA	CMSA256	25
PTCRA	CMSA316	3.0244635343751005
PTCRA	CMUC110	11
PTCRA	CMUC192	8.107683597970246
PTCRA	CMUC199	8.225499243331852
PTCRA	CMUC200	12.028096937544815
PTCRA	CMUC208	50.122344850987396
PTCRA	CMUC231	3
PTCRA	CMUC234	21
PTCRA	CMUC285	20.222538748895467
PTCRA	CMUC291	16.10566990968171
PTCRA	CMUC295	13.011698633761956
PTCRA	CMUC299	10.029270323451934
PTCRA	CMUC301	6.003239038838078
PTCRA	CMUC307	4.011040749136297
PTCRA	CMUC313	1.0420413939922741
PTCRA	CMUC314	3.167539538507619
PTCRA	CMUC323	4.096419627565371
PTCRA	CMUC324	7.006299264333361
PTCRA	CMUC331	6.0549447684023905
PTCRA	CMUC333	7.162671278027023
PTCRA	CMUC334	3.045039021477158
PTCRA	CMUC346	5.054246919955259
PTCRA	CMUC352	14.08475551689794
PTCRA	CMUC360	1.0014402205102033
PTCRA	CMUC363	12.31650681245194
PTCRA	CMUC365	10.06692341069905
PTCRA	CMUC366	34.113865791738924
PTCRA	CMUC368	8
PTCRA	CMUC377	5.0204094693226224
PTCRA	CMUC379	1.0708063663103926
PTCRA	CMUC380	11.201040667896859
PTCRA	CMUC383	10.142859766464113
PTCRA	CMUC394	32.243894180215996
PTCRA	CMUC419	10.249492522957176
PTCRA	CMUC427	3
PTCRA	CMUC428	11.069817644823434
PTCRA	CMUC431	22.040889635969723
PTCRA	CMUC435	5.0250971219310685
PTCRA	CMUC439	2.0128722151629495
PTCRA	CMUC89	4
PTCRA	CS219	22.05450591220572
PTCRA	CS256	7.016029200240117
PTCRA	CS257	3.283281532604894
PTCRA	CS259	30.046368336819416
PTCRA	CS261	26.619398927782118
PTCRA	CS266	1.0357806251843706
PTCRA	CS270	5.0650475203158765
PTCRA	CS277	40.51926874560436
PTCRA	CS288	11.099173009713919
PTCRA	CS290	20.159833330578532
PTCRA	CS292	27.37744734602689
PTCRA	CS293	29.48860916035601
PTCRA	CS301	20.534916873175177
PTCRA	CS306	20.77723091388277
PTCRA	CS308	6.159459691237241
PTCRA	CS315	1.028018282586956
PTCRA	CS317	64.33790760305011
PTCRA	CS322	6.080512394895683
PTCRA	CS327	4.019041508943626
PTCRA	CS328	15.849442417555272
PTCRA	CS330	47.381914285268365
PTCRA	CS331	1.0187996043213206
PTCRA	CS335	11.610677593265114
PTCRA	CS338	15.462490532721164
PTCRA	CS339	1.1707547739034676
PTCRA	CS343	28.22620953466995
PTCRA	CS344	1.014131256091266
PTCRA	CS350	10.232380192782662
PTCRA	CS351	22.182861679942153
PTCRA	CS361	3.071971181518845
PTCRA	CS388	13.454522671341415
PTCRA	CS396	1.01090379638317
PTCRA	CS405	3.076117364596472
PTCRA	CS415	9.692089467967124
PTCRA	CS424	16.60195138340132
PTCRA	IM293	32.17067259619396
PTCRA	IM296	18.147441678242952
PTCRA	IM297	3.2963096629740063
PTCRA	IM300	13
PTCRA	IM305	28.281402392299476
PTCRA	IM309	1.068243382745569
PTCRA	IM310	14.192636918414529
PTCRA	IM311	13.162200058350393
PTCRA	IM316	10.051863509411016
PTCRA	IM320	1.0476097382082026
PTCRA	IM330	5.052972391776553
PTCRA	IM332	16.489721094765006
PTCRA	IM340	1.056280146775053
PTCRA	IM348	3.1108843881197865
PTCRA	IM354	2.0144973791246388
PTCRA	IM356	6.051660314686852
PTCRA	IM364	15.260800252244174
PTCRA	IM372	3.999962871473158
PTCRA	IM374	1.0494515301768887
PTCRA	IM376	9.136566027597453
PTCRA	IM381	40.502231639955795
PTCRA	IM382	13.413927820603654
PTCRA	IM385	7
PTCRA	IM390	18.51666838643183
PTCRA	IM397	3.034153984263222
PTCRA	IM404	3.0086475457665736
PTCRA	IM409	3.017186971638407
PTCRA	IM412	4
PTCRA	IM421	17.270273883900998
PTCRA	IM425	1.0543133661346646
PTCRA	IM432	9.378129278867611
PTCRA	IM438	11
PTCRA	IM442	1.0426097281187585
PTCRA	IM445	6.069328782889405
PTCRA	IM448	49.105228383121066
PTCRA	IM449	6.0506795148736385
PTCRA	IM451	4.020745403764407
PTCRA	IMSA256	4.0163968842786275
PTCRA	IMSA276	10
PTCRA	IMSA286	26
PTCRA	IMSA343	13.162770229443533
PTCRA	IS_238	7
PTCRA	IS238	109.53190466800272
PTCRA	IS243	8
PTCRA	IS253	10
PTCRA	IS283	66
PTCRA	IS322	8.085117791579547
PTCRA	IS399	2.0145059204544262
PTCRA	IS418	1.0947511027862358
PTCRA	IS430	3.254264519491249
PTCRA	IS437	1.0822383787243768
PTCRA	IS444	1.0378497226493058
PTCRA	R276CMSA	3.194776592370167
PTCRA	R286CMSA	18
PTCRA	R292CMSA	58.24404200347262
PTCRA	R292IMSA	17.230001110364118
PTCRA	R308CMSA	10.703545225604541
PTCRA	R316IMSA	5.0993252698896345
PTCRA	R347CMSA	1.0679448775774594
PTCRA	R347IMSA	2.1308169825562393
PTCRA	R371CMSA	5.019981450992838
PTCRA	SRR10104064	2.2261654363471575
PTCRA	SRR10104065	15.087983709328329
PTCRA	SRR10104066	3.0562690021078818
PTCRA	SRR10104067	4.0930285490816125
PTCRA	SRR10104068	4.018685906170092
PTCRA	SRR10104069	1.011490802424949
PTCRA	SRR10104070	2.0591731091145022
PTCRA	SRR10104071	1.1619835297694339
PTCRA	SRR10104072	1.071723239794756
PTCRA	SRR10104073	1.0458357877247761
PTCRA	SRR10104074	1.099722320793923
PTCRA	SRR10104075	1.1547542285600578
PTCRA	SRR10104076	1.0278239688724724
PTCRA	SRR10104077	1.1040752320803593
PTCRA	SRR10104078	1.0419214016168303
PTCRA	SRR10104079	2.185713200923564
PTCRA	SRR10104080	1.1254280913603063
PTCRA	SRR10104081	2.0317872363845635
PTCRA	SRR10104082	3.256941780843222
PTCRA	SRR10104083	2.131193412881832
PTCRA	SRR10104084	3.210372464506616
PTCRA	SRR10104085	8.179881703903469
PTCRA	SRR10104086	2.0498660311026504
PTCRA	SRR10104087	13.041727463675358
PTCRA	SRR10104088	2.0182376595862515
PTCRA	SRR10104089	2.2774248231285403
PTCRA	SRR10104090	1.0265054935122315
PTCRA	SRR10104091	3.128793922544
PTCRA	SRR10104092	3.0382960839698194
PTCRA	SRR10104093	1.0347712127539488
PTCRA	SRR10104094	4.137776329819378
PTCRA	SRR10104095	1.0555296586127236
PTCRA	SRR10104096	1.1499993829134103
PTCRA	SRR10104097	2.1308659194815505
PTCRA	SRR10104098	1.0299665441303483
PTCRA	SRR10104099	2.096629639010195
PTCRA	SRR10104100	1.0292800559938342
PTCRA	SRR10104101	1.0055788173830293
PTCRA	SRR10104102	2.0307079369442187
PTCRA	SRR10104103	3.1599291031421752
PTCRA	SRR10104104	6.093096017795188
PTCRA	SRR10104105	1.0837919884500646
PTCRA	SRR10104106	2.267422074545527
PTCRA	SRR10104107	10.095882284245327
PTCRA	SRR10104108	10.068598403855976
PTCRA	SRR10104109	1.122307744225592
PTCRA	SRR10104110	1.1932010382175424
PTCRA	SRR10104111	4.131884438028413
PTCRA	SRR10104112	1.189872391069202
PTCRA	SRR10104113	1.0362854178746606
PTCRA	SRR10104114	3.5259326472401744
PTCRA	SRR10104115	1.1481195623107094
PTCRA	SRR10104116	3.1428695737252847
PTCRA	SRR10104117	2.0785855244182776
PTCRA	SRR10104118	1.1479902353871632
PTCRA	SRR10104119	3.576629055199393
PTCRA	SRR10104120	3.082319107765136
PTCRA	SRR10104121	1.0845670123047944
PTCRA	SRR10104122	1.0930951060141245
PTCRA	SRR10104123	5.42534030292438
PTCRA	SRR10104124	2.2388032130029476
PTCRA	SRR10104125	2.2064644177403347
PTCRA	SRR10104126	5.201794923413636
PTCRA	SRR10104127	1.1896601506984525
PTCRA	SRR10104128	3.0868743532825693
PTCRA	SRR10104129	1.0264252644778067
PTCRA	SRR10104130	1.0421022730678582
PTCRA	SRR10104131	8.090829957582146
PTCRA	SRR10104132	3.0217073810050756
PTCRA	SRR10104133	1.1678104114751833
PTCRA	SRR10104134	1.0304204630626266
PTCRA	SRR10104135	3.3143775682112415
PTCRA	SRR10104136	2.030106896937801
PTCRA	SRR10104137	2.2223086703826573
PTCRA	SRR10104138	1.1987125395645137
PTCRA	SRR10104139	4.045537204406222
