Gene	sample	counts
PTPRK	CM317	775.8121315173878
PTPRK	CMCD140	1137.6079319261405
PTPRK	CMCD147	799.1655777410068
PTPRK	CMCD152	2372
PTPRK	CMCD154	1016.9063880479625
PTPRK	CMCD159	803.9766850137452
PTPRK	CMCD161	1249.8546397653927
PTPRK	CMCD174	827.7117287044448
PTPRK	CMCD196	1153.7778584050461
PTPRK	CMCD198	860.0736514194317
PTPRK	CMCD203	1513.827556715664
PTPRK	CMCD211	1655.7122389910105
PTPRK	CMCD227	1441.9818214436814
PTPRK	CMCD240	3039.6194701904524
PTPRK	CMCD259	1668
PTPRK	CMCD270	1253.504356096288
PTPRK	CMCD275	1219.1915003743638
PTPRK	CMCD282	960.5746900634538
PTPRK	CMCD286	2559.5019590563793
PTPRK	CMCD287	2544
PTPRK	CMCD294	768.2952253439005
PTPRK	CMCD327	864.3812411008147
PTPRK	CMCD335	923.3213116829811
PTPRK	CMCD337	1058.0253748518767
PTPRK	CMCD357	754.6118146120579
PTPRK	CMCD398	874.0899107916665
PTPRK	CMCD403	942.7053532958935
PTPRK	CMCD422	1168.432608795203
PTPRK	CMCD426	774.6871684796158
PTPRK	CMCD71	1200.5558020057433
PTPRK	CMCD72	762.4685178631692
PTPRK	CMCD76	1580.692405875681
PTPRK	CMCD88	2081.374401514802
PTPRK	CMSA256	2366
PTPRK	CMSA316	988.8999931094929
PTPRK	CMUC110	2597
PTPRK	CMUC192	869.532352933362
PTPRK	CMUC199	823.0857886309906
PTPRK	CMUC200	1549.619822120357
PTPRK	CMUC208	1161.835953645888
PTPRK	CMUC231	2606
PTPRK	CMUC234	1613
PTPRK	CMUC285	845.2355533176625
PTPRK	CMUC291	919.0027209140748
PTPRK	CMUC295	1712.5397201820542
PTPRK	CMUC299	1838.396043532507
PTPRK	CMUC301	2047.1045122437847
PTPRK	CMUC307	1270.5359959339348
PTPRK	CMUC313	765.9875782121313
PTPRK	CMUC314	712.1300304478366
PTPRK	CMUC323	711.6673194221506
PTPRK	CMUC324	1247.0281569211104
PTPRK	CMUC331	847.5848326862249
PTPRK	CMUC333	802.2165966952734
PTPRK	CMUC334	813.0939031584516
PTPRK	CMUC346	1011.7454866268513
PTPRK	CMUC352	998.8958171482293
PTPRK	CMUC360	786.0718792957329
PTPRK	CMUC363	903.3982511653277
PTPRK	CMUC365	863.6539232428282
PTPRK	CMUC366	1296.2966686253123
PTPRK	CMUC368	986
PTPRK	CMUC377	1062.293019889622
PTPRK	CMUC379	775.5360127974775
PTPRK	CMUC380	791.2114655194498
PTPRK	CMUC383	753.5283322319356
PTPRK	CMUC394	768.7660501528102
PTPRK	CMUC419	870.4505147855439
PTPRK	CMUC427	1537
PTPRK	CMUC428	956.9645988582372
PTPRK	CMUC431	958.7231738366952
PTPRK	CMUC435	1004.8729809663278
PTPRK	CMUC439	1087.8611703685574
PTPRK	CMUC89	2379
PTPRK	CS219	1487.717352696276
PTPRK	CS256	1646.7239827243527
PTPRK	CS257	752.9303217266458
PTPRK	CS259	1045.6136181213158
PTPRK	CS261	939.3907238071599
PTPRK	CS266	1006.3231779402657
PTPRK	CS270	1183.3596783419396
PTPRK	CS277	728.8265436642596
PTPRK	CS288	1121.0318441838047
PTPRK	CS290	1263.1078638765016
PTPRK	CS292	1045.5795002242055
PTPRK	CS293	925.6957469829637
PTPRK	CS301	945.2470202534905
PTPRK	CS306	913.9055691822869
PTPRK	CS308	771.9774355990988
PTPRK	CS315	794.7195474489336
PTPRK	CS317	706.0384172026266
PTPRK	CS322	783.3224914610665
PTPRK	CS327	814.8520326496034
PTPRK	CS328	694.8049757405801
PTPRK	CS330	715.8191549315218
PTPRK	CS331	1113.9803764986223
PTPRK	CS335	383.52735968997064
PTPRK	CS338	729.9836429608973
PTPRK	CS339	783.4278869137721
PTPRK	CS343	806.3407374093877
PTPRK	CS344	983.8140148557641
PTPRK	CS350	714.6680137689157
PTPRK	CS351	878.22299048097
PTPRK	CS361	810.01976164989
PTPRK	CS388	751.5156197940518
PTPRK	CS396	846.0233701427552
PTPRK	CS405	791.6819689143282
PTPRK	CS415	745.6502520500565
PTPRK	CS424	813.2491392284
PTPRK	IM293	1128.9775800002242
PTPRK	IM296	859.7575568649105
PTPRK	IM297	793.3694332117084
PTPRK	IM300	2364
PTPRK	IM305	1017.0540958596457
PTPRK	IM309	713.3208053548291
PTPRK	IM310	725.8247658026313
PTPRK	IM311	928.4001316965672
PTPRK	IM316	780.986453438965
PTPRK	IM320	696.1529069977164
PTPRK	IM330	748.8511548552068
PTPRK	IM332	661.2769454597523
PTPRK	IM340	764.5719523921857
PTPRK	IM348	739.0291516029495
PTPRK	IM354	1089.8110524144872
PTPRK	IM356	662.9328850892667
PTPRK	IM364	792.6468645110418
PTPRK	IM372	725
PTPRK	IM374	684.08894576157
PTPRK	IM376	739.3618763566183
PTPRK	IM381	836.203687686228
PTPRK	IM382	761.8099249496483
PTPRK	IM385	1465
PTPRK	IM390	778.9106584438312
PTPRK	IM397	819.1464504099688
PTPRK	IM404	1100.0799793175174
PTPRK	IM409	1075.0225472866089
PTPRK	IM412	829
PTPRK	IM421	780.2402812868227
PTPRK	IM425	667.2880337116402
PTPRK	IM432	736.740296258892
PTPRK	IM438	1143
PTPRK	IM442	885.2749267818617
PTPRK	IM445	960.0543712946549
PTPRK	IM448	695.8735386061604
PTPRK	IM449	958.9157237770506
PTPRK	IM451	1106.627543579915
PTPRK	IMSA256	1601.4936530234274
PTPRK	IMSA276	2243
PTPRK	IMSA286	1754
PTPRK	IMSA343	982.0425774379797
PTPRK	IS_238	2806
PTPRK	IS238	2820.008994185624
PTPRK	IS243	3538
PTPRK	IS253	2973
PTPRK	IS283	1814
PTPRK	IS322	844.7546604906811
PTPRK	IS399	876.4310760590453
PTPRK	IS418	754.1637529036857
PTPRK	IS430	762.8392726078195
PTPRK	IS437	785.9244825394848
PTPRK	IS444	852.4196585569216
PTPRK	R276CMSA	729.8072253982433
PTPRK	R286CMSA	1709
PTPRK	R292CMSA	1071.406077821303
PTPRK	R292IMSA	775.6730136254664
PTPRK	R308CMSA	765.9143172126601
PTPRK	R316IMSA	827.2674183977074
PTPRK	R347CMSA	707.3046700022365
PTPRK	R347IMSA	710.8573213922233
PTPRK	R371CMSA	891.5730854823893
PTPRK	SRR10104064	699.8404937551904
PTPRK	SRR10104065	2086.158488181425
PTPRK	SRR10104066	2020.2593086092593
PTPRK	SRR10104067	1292.7082080618402
PTPRK	SRR10104068	1407.5877667767752
PTPRK	SRR10104069	2229.3637234724542
PTPRK	SRR10104070	915.3863700662782
PTPRK	SRR10104071	416.8997799568558
PTPRK	SRR10104072	900.2672133585769
PTPRK	SRR10104073	955.7576608184942
PTPRK	SRR10104074	703.0750498988294
PTPRK	SRR10104075	748.7145498471061
PTPRK	SRR10104076	1250.11860539555
PTPRK	SRR10104077	836.1434957309913
PTPRK	SRR10104078	1341.763813730129
PTPRK	SRR10104079	794.0543025331951
PTPRK	SRR10104080	733.1531688133797
PTPRK	SRR10104081	1663.0262722605273
PTPRK	SRR10104082	707.0283260305913
PTPRK	SRR10104083	781.8810355827081
PTPRK	SRR10104084	619.9924236487071
PTPRK	SRR10104085	1025.6986907722835
PTPRK	SRR10104086	1319.2924180853458
PTPRK	SRR10104087	2874.2442347960423
