Gene	sample	counts
RAB27B	CM317	53.68577843607432
RAB27B	CMCD140	37.34826395853345
RAB27B	CMCD147	54.110169326214006
RAB27B	CMCD152	375
RAB27B	CMCD154	44.43285111629628
RAB27B	CMCD159	1.0879251488683968
RAB27B	CMCD161	65.20108473896511
RAB27B	CMCD174	1.0948567840005883
RAB27B	CMCD196	18.169730053622775
RAB27B	CMCD198	30.900849751596347
RAB27B	CMCD203	38.121568691315595
RAB27B	CMCD211	66.71073584284169
RAB27B	CMCD227	239.23415623723562
RAB27B	CMCD240	623.7746704163843
RAB27B	CMCD259	235
RAB27B	CMCD270	122.63635240075953
RAB27B	CMCD275	48.404625325036776
RAB27B	CMCD282	19.25202437890888
RAB27B	CMCD286	713.3348021733357
RAB27B	CMCD287	457
RAB27B	CMCD294	8.524773651527328
RAB27B	CMCD327	82.41774624449629
RAB27B	CMCD335	124.58307143491801
RAB27B	CMCD337	32.2139029450619
RAB27B	CMCD357	13.274632733365022
RAB27B	CMCD398	42.24600259292289
RAB27B	CMCD403	24.17193213579214
RAB27B	CMCD422	60.12517712496756
RAB27B	CMCD426	16.74395897290236
RAB27B	CMCD71	86.5446764228784
RAB27B	CMCD72	10.381568321888839
RAB27B	CMCD76	453.05831798085467
RAB27B	CMCD88	654.1176639071026
RAB27B	CMSA256	400
RAB27B	CMSA316	19.15300700212066
RAB27B	CMUC110	215
RAB27B	CMUC192	73.9811908672907
RAB27B	CMUC199	21.606001951563503
RAB27B	CMUC200	209.48935499557217
RAB27B	CMUC208	110.26915867217228
RAB27B	CMUC231	195
RAB27B	CMUC234	100
RAB27B	CMUC285	37.40875056549463
RAB27B	CMUC291	47.30901192000166
RAB27B	CMUC295	192.17277982171504
RAB27B	CMUC299	542.5926129574939
RAB27B	CMUC301	273.1473762671326
RAB27B	CMUC307	119.33211011534195
RAB27B	CMUC313	77.11983780639146
RAB27B	CMUC314	35.9234733460333
RAB27B	CMUC323	28.671489127798875
RAB27B	CMUC324	64.05281062837165
RAB27B	CMUC331	67.60498070235364
RAB27B	CMUC333	152.4620827903007
RAB27B	CMUC334	213.17068622131688
RAB27B	CMUC346	92.98759717249781
RAB27B	CMUC352	23.136559712396046
RAB27B	CMUC360	45.06144530994647
RAB27B	CMUC363	48.24967932360273
RAB27B	CMUC365	80.52717233033363
RAB27B	CMUC366	58.192884504851484
RAB27B	CMUC368	40
RAB27B	CMUC377	67.27186420851103
RAB27B	CMUC379	17.162622689847357
RAB27B	CMUC380	21.38409366268783
RAB27B	CMUC383	11.155870329140365
RAB27B	CMUC394	19.14358447300576
RAB27B	CMUC419	31.783234344348482
RAB27B	CMUC427	56
RAB27B	CMUC428	10.06271923089629
RAB27B	CMUC431	13.023407795064825
RAB27B	CMUC435	53.25826799121537
RAB27B	CMUC439	28.17771764136874
RAB27B	CMUC89	390
RAB27B	CS219	188.47093147365223
RAB27B	CS256	216.4895801999149
RAB27B	CS257	7.682962466598426
RAB27B	CS259	96.14837867782214
