Gene	sample	counts
RAB40AL	CM317	1.0526623222759672
RAB40AL	CMCD140	1.009412539419823
RAB40AL	CMCD147	1.0405801793502694
RAB40AL	CMCD152	1
RAB40AL	CMCD154	1.00983752537037
RAB40AL	CMCD159	1.0879251488683968
RAB40AL	CMCD161	1.003093611368694
RAB40AL	CMCD174	1.0948567840005883
RAB40AL	CMCD196	1.0094294474234875
RAB40AL	CMCD198	1.0300283250532116
RAB40AL	CMCD203	1.0031991760872525
RAB40AL	CMCD211	0.803743805335442
RAB40AL	CMCD227	0.8221105025334557
RAB40AL	CMCD240	1.8647972209757377
RAB40AL	CMCD259	1
RAB40AL	CMCD270	2.0104320065698285
RAB40AL	CMCD275	1.0084296942715996
RAB40AL	CMCD282	1.0132644409952043
RAB40AL	CMCD286	0.9448143075143519
RAB40AL	CMCD287	2
RAB40AL	CMCD294	1.065596706440916
RAB40AL	CMCD327	1.0050944663962962
RAB40AL	CMCD335	1.0047021889912742
RAB40AL	CMCD337	1.0066844670331845
RAB40AL	CMCD357	1.0211255948742326
RAB40AL	CMCD398	1.0058572045934022
RAB40AL	CMCD403	1.007163838991339
RAB40AL	CMCD422	1.0020862854161259
RAB40AL	CMCD426	1.116263931526824
RAB40AL	CMCD71	1.006333446777656
RAB40AL	CMCD72	1.153507591320982
RAB40AL	CMCD76	1.002341411462068
RAB40AL	CMCD88	1.0001799142310437
RAB40AL	CMSA256	1
RAB40AL	CMSA316	4.032212000446455
RAB40AL	CMUC110	3
RAB40AL	CMUC192	1.0134409707848042
RAB40AL	CMUC199	1.0288572357887382
RAB40AL	CMUC200	1.002341411462068
RAB40AL	CMUC208	1.002446897019748
RAB40AL	CMUC231	1
RAB40AL	CMUC234	1
RAB40AL	CMUC285	1.011047312580936
RAB40AL	CMUC291	1.006574721702163
RAB40AL	CMUC295	1.0008998949047658
RAB40AL	CMUC299	2.0058876634288128
RAB40AL	CMUC301	1.0005398398063463
RAB40AL	CMUC307	1.0027908413053945
RAB40AL	CMUC313	1.0421599703566413
RAB40AL	CMUC314	1.0565727454715677
RAB40AL	CMUC323	1.0239817545642456
RAB40AL	CMUC324	1.000825166068307
RAB40AL	CMUC331	1.0090295627216963
RAB40AL	CMUC333	1.023235454968461
RAB40AL	CMUC334	1.0150985058157946
RAB40AL	CMUC346	1.0107347518749763
RAB40AL	CMUC352	1.005937378799828
RAB40AL	CMUC360	1.0013654513321437
RAB40AL	CMUC363	1.0265889217787814
RAB40AL	CMUC365	1.0065896541291703
RAB40AL	CMUC366	1.0033255949112325
RAB40AL	CMUC368	4
RAB40AL	CMUC377	3.012173024261688
RAB40AL	CMUC379	1.0726639181154598
RAB40AL	CMUC380	1.0182901744137063
RAB40AL	CMUC383	1.0141700299218512
RAB40AL	CMUC394	1.007557077526619
RAB40AL	CMUC419	1.0252656240112412
RAB40AL	CMUC427	5
RAB40AL	CMUC428	1.0062719230896289
RAB40AL	CMUC431	1.0018005996203712
RAB40AL	CMUC435	1.0048729809663277
RAB40AL	CMUC439	1.0063470586203123
RAB40AL	CMUC89	1
RAB40AL	CS219	4.010019818588345
RAB40AL	CS256	1.002266574999606
RAB40AL	CS257	1.097566066656918
RAB40AL	CS259	1.001545611227314
RAB40AL	CS261	1.0244173651114068
RAB40AL	CS266	1.0363781441197382
RAB40AL	CS270	1.0131504095393318
RAB40AL	CS277	0.9756714105277907
RAB40AL	CS288	1.0090295627216963
RAB40AL	CS290	1.0080669304680778
RAB40AL	CS292	1.0141411253387056
RAB40AL	CS293	1.0172480736076523
RAB40AL	CS301	1.0274424133190114
RAB40AL	CS306	1.0397105451448088
RAB40AL	CS308	1.026565738828589
RAB40AL	CS315	1.0280977327929282
RAB40AL	CS317	1.074639904418001
RAB40AL	CS322	1.0133538052536437
RAB40AL	CS327	1.0047497319970449
RAB40AL	CS328	1.059153926433811
RAB40AL	CS330	1.0796669003492032
RAB40AL	CS331	1.019195220950249
RAB40AL	CS335	0.5053061392489732
RAB40AL	CS338	1.0310503431651092
RAB40AL	CS339	1.174554553094111
RAB40AL	CS343	4.031703687046938
RAB40AL	CS344	3.0427237572858683
RAB40AL	CS350	1.0238796758866986
RAB40AL	CS351	1.008292756005706
RAB40AL	CS361	1.0240452106825413
RAB40AL	CS388	1.0351454818099886
RAB40AL	CS396	1.0107806094895522
RAB40AL	CS405	1.0254947783864354
RAB40AL	CS415	1.079088642619474
RAB40AL	CS424	1.0386323617220947
RAB40AL	IM293	1.005322867319879
RAB40AL	IM296	1.06935019510561
RAB40AL	IM297	1.1019019905718173
RAB40AL	IM300	3
RAB40AL	IM305	1.0099842064147424
RAB40AL	IM309	1.0710522602925363
RAB40AL	IM310	1.0137217399478091
RAB40AL	IM311	7.087023906080666
RAB40AL	IM316	1.0051305707065186
RAB40AL	IM320	1.0484230527074043
RAB40AL	IM330	1.0105953506817906
RAB40AL	IM332	1.0316333002492235
RAB40AL	IM340	1.0589639229808667
RAB40AL	IM348	1.0379622915771762
RAB40AL	IM354	1.0072190872592304
RAB40AL	IM356	1.0090302664981228
RAB40AL	IM364	1.0175184396804131
RAB40AL	IM372	1
RAB40AL	IM374	1.0508278736736867
RAB40AL	IM376	1.0156069730173327
RAB40AL	IM381	1.0123531327920436
RAB40AL	IM382	1.032262770934483
RAB40AL	IM385	2
RAB40AL	IM390	1.0289440666365008
RAB40AL	IM397	1.0112919140863812
RAB40AL	IM404	1.0028076383933613
RAB40AL	IM409	2.011267628225648
RAB40AL	IM412	1
RAB40AL	IM421	1.0159378662588836
RAB40AL	IM425	1.0558354963791774
RAB40AL	IM432	1.0435414961174108
RAB40AL	IM438	1
RAB40AL	IM442	1.0439562815823842
RAB40AL	IM445	1.0116484418278766
RAB40AL	IM448	1.0233434391267064
RAB40AL	IM449	1.008323579155679
RAB40AL	IM451	1.0051113020707674
RAB40AL	IMSA256	1.004071255814061
RAB40AL	IMSA276	2
RAB40AL	IMSA286	3
RAB40AL	IMSA343	1.0124150282865771
RAB40AL	IS_238	1
RAB40AL	IS238	0.5116126622252584
RAB40AL	IS243	2
RAB40AL	IS253	1
RAB40AL	IS283	1
RAB40AL	IS322	1.010472081926652
RAB40AL	IS399	2.014784082894357
RAB40AL	IS418	1.0977638324653358
RAB40AL	IS430	1.0866656304954692
RAB40AL	IS437	1.084033769019979
RAB40AL	IS444	1.038269986062024
RAB40AL	R276CMSA	1.0669696277752094
RAB40AL	R286CMSA	1
RAB40AL	R292CMSA	1.0041294075176221
RAB40AL	R292IMSA	1.0788219939158086
RAB40AL	R308CMSA	1.0712088352624616
RAB40AL	R316IMSA	1.020058469047728
RAB40AL	R347CMSA	1.070052450835456
RAB40AL	R347IMSA	1.0673533354237588
RAB40AL	R371CMSA	1.0040237449126006
RAB40AL	SRR10104064	1.1179560603118057
RAB40AL	SRR10104065	1.00586233759953
RAB40AL	SRR10104066	1.0187893638977605
RAB40AL	SRR10104067	1.023521938291243
RAB40AL	SRR10104068	1.0047021889912742
RAB40AL	SRR10104069	1.0115080415029285
RAB40AL	SRR10104070	1.0296809562050373
RAB40AL	SRR10104071	1.1645245250191503
RAB40AL	SRR10104072	1.0743045505472277
RAB40AL	SRR10104073	1.0468320490892598
RAB40AL	SRR10104074	1.1037284927768123
RAB40AL	SRR10104075	1.1607977517009396
RAB40AL	SRR10104076	1.0280580636476564
RAB40AL	SRR10104077	1.1074748287827698
RAB40AL	SRR10104078	1.042551525819836
RAB40AL	SRR10104079	1.0967600863718163
RAB40AL	SRR10104080	1.1296658995583662
RAB40AL	SRR10104081	1.0158987613075914
RAB40AL	SRR10104082	1.089411904515549
RAB40AL	SRR10104083	1.0681434912332077
RAB40AL	SRR10104084	1.0726512519873828
RAB40AL	SRR10104085	1.0226307983771519
RAB40AL	SRR10104086	1.0250912339435476
RAB40AL	SRR10104087	1.0032266090038542
RAB40AL	SRR10104088	1.0091143690578037
RAB40AL	SRR10104089	1.1448723975995108
RAB40AL	SRR10104090	1.0265578899448458
RAB40AL	SRR10104091	1.0435712655126905
RAB40AL	SRR10104092	1.012780166831209
RAB40AL	SRR10104093	1.0356287123884913
RAB40AL	SRR10104094	1.035188083917684
RAB40AL	SRR10104095	1.057216323875561
RAB40AL	SRR10104096	1.154072664928297
RAB40AL	SRR10104097	1.0681804047616614
RAB40AL	SRR10104098	1.0300924267961133
RAB40AL	SRR10104099	1.0493908160133256
RAB40AL	SRR10104100	1.0295489140959984
RAB40AL	SRR10104101	1.0055788173830293
RAB40AL	SRR10104102	1.0153862116885626
RAB40AL	SRR10104103	1.0542185516886984
RAB40AL	SRR10104104	1.015545567873316
RAB40AL	SRR10104105	1.0872921557787103
RAB40AL	SRR10104106	1.1382385722253068
RAB40AL	SRR10104107	1.009713181748909
RAB40AL	SRR10104108	1.0068767056306842
RAB40AL	SRR10104109	1.1285448548113846
RAB40AL	SRR10104110	1.1982558131462344
RAB40AL	SRR10104111	1.033999484700198
RAB40AL	SRR10104112	1.196151394106599
RAB40AL	SRR10104113	1.0367667336286073
RAB40AL	SRR10104114	1.1797749232980566
RAB40AL	SRR10104115	1.1539300414205504
RAB40AL	SRR10104116	1.0484838381678343
RAB40AL	SRR10104117	1.0397805115928114
RAB40AL	SRR10104118	1.1532185893604232
RAB40AL	SRR10104119	1.196116023768437
RAB40AL	SRR10104120	1.0276522924898637
RAB40AL	SRR10104121	1.0875994884831564
RAB40AL	SRR10104122	1.0974240840983978
RAB40AL	SRR10104123	1.088908451656757
RAB40AL	SRR10104124	1.1238315434764439
RAB40AL	SRR10104125	1.1079317051896935
RAB40AL	SRR10104126	1.0413760131533707
RAB40AL	SRR10104127	1.1950034546227775
RAB40AL	SRR10104128	1.0292440228725637
RAB40AL	SRR10104129	1.0264953814675468
RAB40AL	SRR10104130	1.0428120700793675
RAB40AL	SRR10104131	1.0114152828538723
RAB40AL	SRR10104132	1.0072357936683587
RAB40AL	SRR10104133	1.174211329039626
RAB40AL	SRR10104134	1.0306607864494586
RAB40AL	SRR10104135	1.1090055968040526
RAB40AL	SRR10104136	1.0151059276480439
RAB40AL	SRR10104137	1.11571326324573
RAB40AL	SRR10104138	1.2032421439416108
RAB40AL	SRR10104139	1.011384661421074
RAB40AL	SRR10104140	1.1520788995831306
RAB40AL	SRR10104141	1.0629712733589745
RAB40AL	SRR10104142	1.0543848155228712
RAB40AL	SRR10104143	1.0082070886357917
RAB40AL	SRR10104144	1.0629170535669703
RAB40AL	SRR10104145	1.0674436205705187
RAB40AL	SRR10104146	1.0096348354275813
RAB40AL	SRR10104147	1.001725803535813
RAB40AL	SRR10104148	1.0549853092368588
RAB40AL	SRR10104149	1.049028838627417
RAB40AL	SRR10104150	1.011649190933472
RAB40AL	SRR10104151	1.0076656112317697
RAB40AL	SRR10104152	1.0056231596200704
RAB40AL	SRR10104153	1.1090448059186007
RAB40AL	SRR10104154	1.0308254672852508
RAB40AL	SRR10104155	1.0945296244428142
RAB40AL	SRR10104156	1.004071255814061
RAB40AL	SRR10104157	1.0510530328747125
RAB40AL	SRR10104158	1.020624122067864
RAB40AL	SRR10104159	1.0126835131605874
RAB40AL	SRR10104160	1.1341221894029845
RAB40AL	SRR10104161	1.001725803535813
RAB40AL	SRR10104162	1.0205680066223681
RAB40AL	SRR10104163	1.0307377028341849
RAB40AL	SRR10104164	1.0197194059159864
RAB40AL	SRR10104165	1.040022775547219
RAB40AL	SRR10104166	1.0414489331412757
RAB40AL	SRR10104167	1.0226732249526922
RAB40AL	SRR10104168	1.0295581876350235
RAB40AL	SRR10104169	1.0250719923527887
RAB40AL	SRR10104170	1.0302756593832063
RAB40AL	SRR10104171	1.024201720753579
RAB40AL	SRR10104172	1.0344820282210125
RAB40AL	SRR10104173	1.0633328669737119
RAB40AL	SRR10104174	1.0345962791600762
RAB40AL	SRR10104175	1.0230021014186903
RAB40AL	SRR10104176	1.0227388121254402
RAB40AL	SRR10104177	1.0255860457106911
RAB40AL	SRR10104178	1.0391284878454128
RAB40AL	SRR10104179	1.0352438239475827
RAB40AL	SRR10104180	1.0221622395262338
RAB40AL	SRR10104181	1.0273300586334224
RAB40AL	SRR10104182	1.03581310027694
RAB40AL	SRR10104183	1.0495457878506822
RAB40AL	SRR10104184	1.0216801788447836
RAB40AL	SRR10104185	1.0680326934790583
RAB40AL	SRR10104186	1.0337126654394952
RAB40AL	SRR10104187	1.08314048989755
RAB40AL	SRR10104188	1.0575573372950207
RAB40AL	SRR10104189	1.0642316786828623
RAB40AL	SRR10104190	1.1537351513447252
RAB40AL	SRR10104191	1.1479165451510602
RAB40AL	SRR10104192	1.0262160163146257
RAB40AL	SRR10104193	1.0405156207673774
RAB40AL	SRR10104194	1.0440699430515605
RAB40AL	SRR10104195	1.043274192034852
RAB40AL	SRR10104196	1.0417510007924862
RAB40AL	SRR10104197	1.0170404503533719
RAB40AL	SRR10104198	1.026098752391176
RAB40AL	SRR10104199	1.0872127593680536
RAB40AL	SRR10104200	1.0371450754082652
RAB40AL	SRR10104201	1.026477521264441
RAB40AL	SRR10104202	1.0708063663103926
RAB40AL	SRR10104203	1.0228018324887769
RAB40AL	SRR10104204	1.0318128567939144
RAB40AL	SRR10104205	1.0272725468118635
RAB40AL	SRR10104206	1.0296809562050373
RAB40AL	SRR10104207	1.03331284099216
RAB40AL	SRR10104208	1.0179776585159865
RAB40AL	SRR10104209	1.0232312727093706
RAB40AL	SRR10104210	1.026565738828589
RAB40AL	SRR10104211	1.0187996043213206
RAB40AL	SRR10104212	1.0188229407442393
RAB40AL	SRR10104213	1.0633290624459277
RAB40AL	SRR10104214	1.0304964007766504
RAB40AL	SRR10104215	1.0107462730140921
RAB40AL	SRR10104216	1.0646968641090635
RAB40AL	SRR10104217	1.0251225706170004
RAB40AL	SRR10104218	1.0673493806865135
RAB40AL	SRR10104219	1.0677693536884163
RAB40AL	SRR10104220	1.03612780768291
RAB40AL	SRR10104221	1.0942222732531273
RAB40AL	SRR10104222	1.0390869152633764
RAB40AL	SRR10104223	1.1857794402358917
RAB40AL	SRR10104224	1.0256121210016478
RAB40AL	SRR10104225	1.0325580117038289
RAB40AL	SRR10104226	1.0398745671647396
RAB40AL	SRR10104227	1.081718148831294
RAB40AL	SRR10104228	1.1285448548113846
RAB40AL	SRR10104229	1.0375884913937095
RAB40AL	SRR10104230	1.1085885725340656
RAB40AL	SRR10104231	1.080799729041425
RAB40AL	SRR10104232	1.0623571849362174
RAB40AL	SRR10104233	1.0751389186310136
RAB40AL	SRR10104234	1.023473846480495
RAB40AL	SRR10104235	1.0445722520041694
RAB40AL	SRR10104236	1.0093300909854204
RAB40AL	SRR10104237	1.018619326542832
RAB40AL	SRR10104238	1.0741065732544683
RAB40AL	SRR10104239	1.065511949209357
RAB40AL	SRR10104240	1.0783098860823033
RAB40AL	SRR10104241	1.041706759053325
RAB40AL	SRR10104242	1.0674975319554434
RAB40AL	SRR10104243	1.0702028311987541
RAB40AL	SRR10104244	1.0404738790189818
RAB40AL	SRR10104245	1.0425725720231653
RAB40AL	SRR10104246	1.1130182738746612
RAB40AL	SRR10104247	1.0599356978627053
RAB40AL	SRR10104248	1.0793079918493436
RAB40AL	SRR10104249	1.0273807868297926
RAB40AL	SRR10104250	1.162603032763972
RAB40AL	SRR10104251	1.0476758362588448
RAB40AL	SRR10104252	1.1900087386346412
RAB40AL	SRR10104253	1.102960024196553
RAB40AL	SRR10104254	1.0377970477413245
RAB40AL	SRR10104255	1.0317895234995542
RAB40AL	SRR10104256	1.0296319554450455
RAB40AL	SRR10104257	1.0388430830875348
RAB40AL	SRR10104258	1.031015477815649
RAB40AL	SRR10224277	1.0248188019524767
RAB40AL	SRR10224278	1.0999838190925988
RAB40AL	SRR10224279	1.0959828739560264
RAB40AL	SRR10224280	1.022896412149198
RAB40AL	SRR10224281	1.0162651562986111
RAB40AL	SRR10224282	1.0522018027123663
RAB40AL	SRR10224283	1.0427918406877503
RAB40AL	SRR10224284	1.116566360957491
RAB40AL	SRR10224285	1.13665720125103
RAB40AL	SRR10224286	1.0255022762304122
RAB40AL	SRR10224287	1.035243176926124
RAB40AL	SRR10224288	1.1038345858527931
RAB40AL	SRR10224289	1.1011053972062166
RAB40AL	SRR10224290	1.1034735093796029
RAB40AL	SRR10224291	1.031517442509572
RAB40AL	SRR10224292	1.0119426477294766
RAB40AL	SRR10224293	1.0316050905605694
RAB40AL	SRR10224294	1.0595453062706406
RAB40AL	SRR10224295	1.0914375879531486
RAB40AL	SRR10224296	1.0561643232695004
RAB40AL	SRR10224297	1.1360160096091296
RAB40AL	SRR10224298	1.0334412891045495
RAB40AL	SRR10318388	1.00779642029452
RAB40AL	SRR10318389	2.009922442278996
RAB40AL	SRR10318390	1.012677279768016
RAB40AL	SRR10318391	1.0124314030590469
RAB40AL	SRR10318392	1.01436948429251
RAB40AL	SRR10318393	1.0029712576485055
RAB40AL	SRR10318394	1.0139798283209982
RAB40AL	SRR10318395	1.0044632868766021
RAB40AL	SRR10318396	1.008485142297775
RAB40AL	SRR10318397	1.0062858288332626
RAB40AL	SRR10318398	2.007270242459205
RAB40AL	SRR10318399	1.0505969451508341
RAB40AL	SRR10318400	1.0150985058157946
RAB40AL	SRR10318401	1.003771426932755
RAB40AL	SRR10318402	1.004343646393802
RAB40AL	SRR10318403	1.005156132718977
RAB40AL	SRR10318404	2.003451607071626
RAB40AL	SRR10318405	1.0026272514823873
RAB40AL	SRR10318406	1.004671476542523
RAB40AL	SRR10318407	1.0101905193380445
RAB40AL	SRR10318408	1.0031685095836653
RAB40AL	SRR10318409	1.0032298435283036
RAB40AL	SRR10318410	1.0042519025219638
RAB40AL	SRR10318411	1.0037681906621803
RAB40AL	SRR10318412	1.004895674028629
RAB40AL	SRR10318413	1.0041326449528036
RAB40AL	SRR10318414	1.0061967931686884
RAB40AL	SRR10318415	1.006845926709767
