Gene	sample	counts
RAB9A	CM317	250.53363270168018
RAB9A	CMCD140	224.08958375120073
RAB9A	CMCD147	147.76238546773826
RAB9A	CMCD152	592
RAB9A	CMCD154	253.46921886796287
RAB9A	CMCD159	149.04574539497034
RAB9A	CMCD161	359.10751286999243
RAB9A	CMCD174	149.9953794080806
RAB9A	CMCD196	241.25363793421351
RAB9A	CMCD198	159.6543903832478
RAB9A	CMCD203	304.97254953052476
RAB9A	CMCD211	384.9932827556767
RAB9A	CMCD227	452.9828868959341
RAB9A	CMCD240	501.6304524424734
RAB9A	CMCD259	712
RAB9A	CMCD270	281.460480919776
RAB9A	CMCD275	256.14114234498624
RAB9A	CMCD282	167.1886327642087
RAB9A	CMCD286	456.34531052943197
RAB9A	CMCD287	498
RAB9A	CMCD294	158.7739092596965
RAB9A	CMCD327	339.7219296419481
RAB9A	CMCD335	389.82444932861443
RAB9A	CMCD337	297.97860224182256
RAB9A	CMCD357	211.37299813896612
RAB9A	CMCD398	263.5345876034714
RAB9A	CMCD403	378.69360346074353
RAB9A	CMCD422	372.77609817479885
RAB9A	CMCD426	221.02025844231113
RAB9A	CMCD71	243.5326941201927
RAB9A	CMCD72	194.94278293324598
RAB9A	CMCD76	790.8473736435716
RAB9A	CMCD88	599.1077686243951
RAB9A	CMSA256	493
RAB9A	CMSA316	285.27899903158664
RAB9A	CMUC110	655
RAB9A	CMUC192	203.70163512774565
RAB9A	CMUC199	164.61715772619812
RAB9A	CMUC200	432.0091483401512
RAB9A	CMUC208	271.6631090923517
RAB9A	CMUC231	458
RAB9A	CMUC234	502
RAB9A	CMUC285	239.61821308168183
RAB9A	CMUC291	322.10391094469213
RAB9A	CMUC295	385.34645953833484
RAB9A	CMUC299	532.5631746403498
RAB9A	CMUC301	515.2780175002684
RAB9A	CMUC307	431.2000617613196
RAB9A	CMUC313	248.03407294488062
RAB9A	CMUC314	251.4643134222331
RAB9A	CMUC323	249.8515481136759
RAB9A	CMUC324	387.31933926843476
RAB9A	CMUC331	294.6366323147353
RAB9A	CMUC333	309.01710740047525
RAB9A	CMUC334	314.68053680289637
RAB9A	CMUC346	289.07013903624323
RAB9A	CMUC352	329.9474602463436
RAB9A	CMUC360	284.38778817832883
RAB9A	CMUC363	227.90274063488948
RAB9A	CMUC365	308.0164341635261
RAB9A	CMUC366	351.1639582189314
RAB9A	CMUC368	437
RAB9A	CMUC377	341.3796094163246
RAB9A	CMUC379	164.11757947166535
RAB9A	CMUC380	190.42026261536307
RAB9A	CMUC383	166.3238849071836
RAB9A	CMUC394	179.34515979973816
RAB9A	CMUC419	231.71003102654055
RAB9A	CMUC427	539
RAB9A	CMUC428	346.15754154283235
RAB9A	CMUC431	355.63921286523174
RAB9A	CMUC435	306.48625919472994
RAB9A	CMUC439	303.9168117033343
RAB9A	CMUC89	476
RAB9A	CS219	273.68385261865456
RAB9A	CS256	352.7978343998613
RAB9A	CS257	152.56168326531161
RAB9A	CS259	352.5440551520145
RAB9A	CS261	147.51610057604256
RAB9A	CS266	192.7663348062713
RAB9A	CS270	215.80103723187767
RAB9A	CS277	146.3507115791686
RAB9A	CS288	276.47410018574476
RAB9A	CS290	318.5491500279126
RAB9A	CS292	211.95549519578947
RAB9A	CS293	168.8631802188703
RAB9A	CS301	165.41822854436086
RAB9A	CS306	152.8374501362869
RAB9A	CS308	302.8368929544337
RAB9A	CS315	190.19808056669171
RAB9A	CS317	147.22566690526614
RAB9A	CS322	278.672296444752
RAB9A	CS327	417.9758885107707
RAB9A	CS328	173.70124393514502
RAB9A	CS330	180.30437235831695
RAB9A	CS331	664.5152840595624
RAB9A	CS335	77.81714544434188
RAB9A	CS338	211.36532034884738
RAB9A	CS339	179.706846623399
RAB9A	CS343	312.4570357461377
RAB9A	CS344	240.3751768255836
RAB9A	CS350	175.08342457662548
RAB9A	CS351	285.3468499496148
RAB9A	CS361	235.53039845698447
RAB9A	CS388	212.20482377104767
RAB9A	CS396	253.70593298187762
RAB9A	CS405	193.8185131150363
RAB9A	CS415	200.71048752722214
RAB9A	CS424	181.76066330136655
RAB9A	IM293	264.39991410512823
RAB9A	IM296	147.57032692457418
RAB9A	IM297	154.26627868005443
RAB9A	IM300	532
RAB9A	IM305	197.95690445728954
RAB9A	IM309	147.80521192037
RAB9A	IM310	244.306939327422
RAB9A	IM311	299.67986802855387
RAB9A	IM316	254.29803438874922
RAB9A	IM320	228.55622549021413
RAB9A	IM330	200.09787943499452
RAB9A	IM332	150.61846183638662
RAB9A	IM340	169.43422767693866
RAB9A	IM348	203.44060914912654
RAB9A	IM354	308.20904070132445
RAB9A	IM356	148.32744917522405
RAB9A	IM364	220.80150141064965
RAB9A	IM372	171
RAB9A	IM374	199.65729599800045
RAB9A	IM376	180.77804119708523
RAB9A	IM381	274.3476989866438
RAB9A	IM382	222.96875852184832
RAB9A	IM385	474
RAB9A	IM390	205.78881332730018
RAB9A	IM397	265.9697734047183
RAB9A	IM404	315.8844060939088
RAB9A	IM409	301.6901442338472
RAB9A	IM412	285
RAB9A	IM421	296.653856947594
RAB9A	IM425	145.7052985003265
RAB9A	IM432	268.1901645021746
RAB9A	IM438	410
RAB9A	IM442	204.6154311901473
RAB9A	IM445	305.5178294320187
RAB9A	IM448	161.6882633820196
RAB9A	IM449	269.2223956345663
RAB9A	IM451	269.36982895496567
RAB9A	IMSA256	306.24173302328865
RAB9A	IMSA276	448
RAB9A	IMSA286	478
RAB9A	IMSA343	257.15341718479056
RAB9A	IS_238	431
RAB9A	IS238	774.0699579468159
RAB9A	IS243	528
RAB9A	IS253	502
RAB9A	IS283	456
RAB9A	IS322	187.94780723835729
RAB9A	IS399	193.41927195785829
RAB9A	IS418	186.6198515191071
RAB9A	IS430	197.7731447501754
RAB9A	IS437	200.5462472686961
RAB9A	IS444	219.07496705908704
RAB9A	R276CMSA	152.57665677185497
RAB9A	R286CMSA	475
RAB9A	R292CMSA	259.0653871395465
RAB9A	R292IMSA	168.29623105086614
RAB9A	R308CMSA	228.16748191090431
RAB9A	R316IMSA	268.27537735955246
RAB9A	R347CMSA	169.06828723200206
RAB9A	R347IMSA	230.54832045153188
RAB9A	R371CMSA	293.1749335144794
RAB9A	SRR10104064	239.24259690672642
RAB9A	SRR10104065	493.8784077613692
RAB9A	SRR10104066	491.0564733987206
RAB9A	SRR10104067	405.3146875633323
RAB9A	SRR10104068	541.5344798662968
RAB9A	SRR10104069	676.6988797654592
RAB9A	SRR10104070	335.6759917228422
RAB9A	SRR10104071	145.5655656273938
RAB9A	SRR10104072	278.244878591732
RAB9A	SRR10104073	251.23969178142235
RAB9A	SRR10104074	200.87858568537985
RAB9A	SRR10104075	207.7827975544682
RAB9A	SRR10104076	331.0346964945453
RAB9A	SRR10104077	223.7099154141195
RAB9A	SRR10104078	286.70166960045486
RAB9A	SRR10104079	203.99737606515785
RAB9A	SRR10104080	249.65616380239894
