Gene	sample	counts
RAD51	CM317	97.89759597166494
RAD51	CMCD140	129.20480504573734
RAD51	CMCD147	26.014504483756735
RAD51	CMCD152	146
RAD51	CMCD154	30.2951257611111
RAD51	CMCD159	4.351700595473587
RAD51	CMCD161	225.69606255795614
RAD51	CMCD174	48.173698496025885
RAD51	CMCD196	308.8854109115872
RAD51	CMCD198	260.59716623846253
RAD51	CMCD203	9.028792584785272
RAD51	CMCD211	168.78619912044283
RAD51	CMCD227	186.61908407509446
RAD51	CMCD240	471.7936969068616
RAD51	CMCD259	462
RAD51	CMCD270	281.460480919776
RAD51	CMCD275	105.88511789851795
RAD51	CMCD282	301.9528034165709
RAD51	CMCD286	283.44429225430554
RAD51	CMCD287	395
RAD51	CMCD294	6.393580238645496
RAD51	CMCD327	186.94757074971108
RAD51	CMCD335	189.88871371935085
RAD51	CMCD337	63.42112142309062
RAD51	CMCD357	313.4855576263894
RAD51	CMCD398	56.32800345723053
RAD51	CMCD403	109.78085845005596
RAD51	CMCD422	141.29416624367377
RAD51	CMCD426	24.557806493590125
RAD51	CMCD71	238.50102688630443
RAD51	CMCD72	5.767537956604911
RAD51	CMCD76	159.3722844224688
RAD51	CMCD88	289.0519952127716
RAD51	CMSA256	99
RAD51	CMSA316	5.040265000558068
RAD51	CMUC110	293
RAD51	CMUC192	112.49194775711327
RAD51	CMUC199	62.760291383113035
RAD51	CMUC200	167.39101571416532
RAD51	CMUC208	171.4184193903769
RAD51	CMUC231	21
RAD51	CMUC234	519
RAD51	CMUC285	267.92753783394807
RAD51	CMUC291	106.69692050042927
RAD51	CMUC295	398.35815817209675
RAD51	CMUC299	250.7359579286016
RAD51	CMUC301	344.18570489338316
RAD51	CMUC307	155.43258040233613
RAD51	CMUC313	59.40311831032855
RAD51	CMUC314	40.14976432791957
RAD51	CMUC323	106.49410247468153
RAD51	CMUC324	107.08829276930884
RAD51	CMUC331	96.86683802128285
RAD51	CMUC333	87.99824912728765
RAD51	CMUC334	198.95930713989577
RAD51	CMUC346	51.54747234562379
RAD51	CMUC352	139.8252956531761
RAD51	CMUC360	197.26899391243234
RAD51	CMUC363	85.20688050763886
RAD51	CMUC365	106.69850333769206
RAD51	CMUC366	38.12637260662684
RAD51	CMUC368	575
RAD51	CMUC377	233.94543821765777
RAD51	CMUC379	72.94114643185127
RAD51	CMUC380	134.41430302260923
RAD51	CMUC383	307.2935190663209
RAD51	CMUC394	287.1537670950864
RAD51	CMUC419	191.72467169010213
RAD51	CMUC427	539
RAD51	CMUC428	185.15403384849174
RAD51	CMUC431	190.3421139278705
RAD51	CMUC435	222.07692879355844
RAD51	CMUC439	96.60931762754997
RAD51	CMUC89	210
RAD51	CS219	484.2098930945427
RAD51	CS256	82.1858591499677
RAD51	CS257	18.65862313316761
RAD51	CS259	408.6306093807441
RAD51	CS261	147.51610057604256
RAD51	CS266	129.54726801496727
RAD51	CS270	103.34134177301183
RAD51	CS277	86.83475553697338
RAD51	CS288	193.7336760425657
RAD51	CS290	405.2429060481673
RAD51	CS292	253.5352813346764
RAD51	CS293	170.89767636608562
RAD51	CS301	162.33590130440382
RAD51	CS306	85.25626470187431
RAD51	CS308	57.48768137440097
RAD51	CS315	61.68586396757569
RAD51	CS317	90.26975197111209
RAD51	CS322	261.4452817554401
RAD51	CS327	441.0851323467027
RAD51	CS328	74.14077485036677
RAD51	CS330	45.34600981466654
RAD51	CS331	80.51642245506967
RAD51	CS335	42.951021836162724
RAD51	CS338	53.61461784458568
RAD51	CS339	10.570990977847
RAD51	CS343	160.26022156011578
RAD51	CS344	42.59813260200216
RAD51	CS350	111.60288467165016
RAD51	CS351	389.20100381820254
RAD51	CS361	104.4526114896192
RAD51	CS388	98.33882077194892
RAD51	CS396	125.33679557670447
RAD51	CS405	42.045285913843855
RAD51	CS415	30.21448199334527
RAD51	CS424	136.0608393855944
RAD51	IM293	110.5855154051867
RAD51	IM296	19.24830351190098
RAD51	IM297	1.1019019905718173
RAD51	IM300	224
RAD51	IM305	113.11823111845116
RAD51	IM309	39.62893363082384
RAD51	IM310	235.1834436678917
RAD51	IM311	132.62859024236676
RAD51	IM316	151.7747161766843
RAD51	IM320	94.35807474366638
RAD51	IM330	187.97073522681305
RAD51	IM332	247.5919920598136
RAD51	IM340	82.5991859925076
RAD51	IM348	21.7972081231207
RAD51	IM354	39.28154440310998
RAD51	IM356	245.19435475904385
RAD51	IM364	77.3314014157114
RAD51	IM372	68
RAD51	IM374	81.96457414654755
RAD51	IM376	78.20173692233462
RAD51	IM381	88.07472255290779
RAD51	IM382	60.90350348513449
RAD51	IM385	36
RAD51	IM390	120.3864557964706
RAD51	IM397	95.06143992411984
RAD51	IM404	95.26672564736933
RAD51	IM409	59.33239503265662
RAD51	IM412	110
RAD51	IM421	161.5341207351625
RAD51	IM425	454.00926344304634
RAD51	IM432	77.2220707126884
RAD51	IM438	212
RAD51	IM442	21.923081913230067
RAD51	IM445	54.62901585870533
RAD51	IM448	115.63780862131783
RAD51	IM449	49.40785537862827
RAD51	IM451	38.19422947868917
RAD51	IMSA256	126.5129782325717
RAD51	IMSA276	53
RAD51	IMSA286	301
RAD51	IMSA343	173.1229698370047
RAD51	IS_238	219
RAD51	IS238	713.6996638042353
RAD51	IS243	283
RAD51	IS253	102
RAD51	IS283	284
RAD51	IS322	164.70694935404427
RAD51	IS399	29.214369201968175
RAD51	IS418	13.17316598958403
RAD51	IS430	22.819978240404854
RAD51	IS437	5.420168845099895
RAD51	IS444	9.344429874558214
RAD51	R276CMSA	70.41999543316382
RAD51	R286CMSA	273
RAD51	R292CMSA	151.62354053516094
RAD51	R292IMSA	1.0788219939158086
RAD51	R308CMSA	24.63780321103662
RAD51	R316IMSA	51.0029234523864
RAD51	R347CMSA	138.03676615777385
RAD51	R347IMSA	43.76148675237411
RAD51	R371CMSA	159.6397754411035
RAD51	SRR10104064	13.415472723741669
RAD51	SRR10104065	113.66244414874689
RAD51	SRR10104066	71.31525547284323
RAD51	SRR10104067	69.59949180380454
RAD51	SRR10104068	149.70062615969988
RAD51	SRR10104069	97.10477198428113
RAD51	SRR10104070	101.93841466429869
RAD51	SRR10104071	1.1645245250191503
RAD51	SRR10104072	11.817350056019507
RAD51	SRR10104073	37.68595376721335
RAD51	SRR10104074	28.69694081219712
RAD51	SRR10104075	17.411966275514096
RAD51	SRR10104076	51.402903182382815
RAD51	SRR10104077	21.042021746872628
RAD51	SRR10104078	34.40420035205459
RAD51	SRR10104079	7.677320604602715
RAD51	SRR10104080	11.296658995583662
RAD51	SRR10104081	58.922128155840305
RAD51	SRR10104082	19.609414281279882
RAD51	SRR10104083	16.022152368498116
RAD51	SRR10104084	24.6709787957098
RAD51	SRR10104085	39.88260113670893
RAD51	SRR10104086	39.97855812379836
RAD51	SRR10104087	135.4355922155203
RAD51	SRR10104088	75.68357767933527
RAD51	SRR10104089	24.042320349589726
RAD51	SRR10104090	44.14198926762837
RAD51	SRR10104091	22.958567841279194
RAD51	SRR10104092	82.03519351332794
RAD51	SRR10104093	45.567663345093614
RAD51	SRR10104094	28.985266349695152
RAD51	SRR10104095	22.201542801386783
RAD51	SRR10104096	36.930325277705506
RAD51	SRR10104097	21.36360809523323
