Gene	sample	counts
RAP2A	CM317	211.48429806889413
RAP2A	CMCD140	58.54594443399364
RAP2A	CMCD147	132.13798706437208
RAP2A	CMCD152	990
RAP2A	CMCD154	181.7818788558941
RAP2A	CMCD159	1.0863042186135794
RAP2A	CMCD161	262.80249240012597
RAP2A	CMCD174	39.33465965304538
RAP2A	CMCD196	63.578952160040245
RAP2A	CMCD198	43.23882119907197
RAP2A	CMCD203	1012.268466660848
RAP2A	CMCD211	1406.716099248415
RAP2A	CMCD227	1315.3768040535292
RAP2A	CMCD240	1210.815782688605
RAP2A	CMCD259	1255
RAP2A	CMCD270	260.3444206952627
RAP2A	CMCD275	145.22962639636467
RAP2A	CMCD282	52.68436092011023
RAP2A	CMCD286	1389.2506591167335
RAP2A	CMCD287	1025
RAP2A	CMCD294	29.79065615957748
RAP2A	CMCD327	402.0555149101134
RAP2A	CMCD335	287.3457524861275
RAP2A	CMCD337	326.16247809984725
RAP2A	CMCD357	107.2207987395786
RAP2A	CMCD398	274.6386436524714
RAP2A	CMCD403	278.9891381977073
RAP2A	CMCD422	732.5250746391881
RAP2A	CMCD426	84.66756904972739
RAP2A	CMCD71	161.02180784443829
RAP2A	CMCD72	37.98547520345132
RAP2A	CMCD76	731.6769661699035
RAP2A	CMCD88	1070.1925082272166
RAP2A	CMSA256	929
RAP2A	CMSA316	668.4064410968972
RAP2A	CMUC110	1737
RAP2A	CMUC192	92.22490092691154
RAP2A	CMUC199	25.704685135412035
RAP2A	CMUC200	514.2011440800408
RAP2A	CMUC208	141.34501247978446
RAP2A	CMUC231	1607
RAP2A	CMUC234	1538
RAP2A	CMUC285	193.12524505195168
RAP2A	CMUC291	313.0539588694382
RAP2A	CMUC295	429.3860549141445
RAP2A	CMUC299	1143.3368168735203
RAP2A	CMUC301	1121.6051604229144
RAP2A	CMUC307	595.6395512467402
RAP2A	CMUC313	454.3300477806315
RAP2A	CMUC314	257.626549131953
RAP2A	CMUC323	222.23076479542138
RAP2A	CMUC324	901.8108053091939
RAP2A	CMUC331	255.3168377343008
RAP2A	CMUC333	730.5924703587564
RAP2A	CMUC334	462.84593126452796
RAP2A	CMUC346	216.3217681740851
RAP2A	CMUC352	601.6202713646406
RAP2A	CMUC360	187.269321235408
RAP2A	CMUC363	109.82218574436314
RAP2A	CMUC365	409.72378281545133
RAP2A	CMUC366	773.5820742773739
RAP2A	CMUC368	1222
RAP2A	CMUC377	747.0369290352062
RAP2A	CMUC379	13.920482762035105
RAP2A	CMUC380	113.02868310332285
RAP2A	CMUC383	104.47145559458036
RAP2A	CMUC394	94.71643915438449
RAP2A	CMUC419	150.6675400874705
RAP2A	CMUC427	1246
RAP2A	CMUC428	554.497229299792
RAP2A	CMUC431	536.9962202218078
RAP2A	CMUC435	476.3792071590653
RAP2A	CMUC439	475.037842778456
RAP2A	CMUC89	1431
RAP2A	CS219	224.55496928791277
RAP2A	CS256	296.67780618158207
RAP2A	CS257	9.849844597814682
RAP2A	CS259	235.36321863841877
RAP2A	CS261	18.428814642310698
RAP2A	CS266	39.35966375700608
RAP2A	CS270	61.79357974785369
RAP2A	CS277	19.29488987885922
RAP2A	CS288	168.5056266020204
RAP2A	CS290	146.15879164669437
RAP2A	CS292	57.79683328605677
RAP2A	CS293	44.74133803640222
RAP2A	CS301	34.9093586843978
RAP2A	CS306	15.582923185412078
RAP2A	CS308	157.06622212654963
RAP2A	CS315	53.45695069452171
RAP2A	CS317	64.33790760305011
RAP2A	CS322	186.46904677680092
RAP2A	CS327	1058.0126772294095
RAP2A	CS328	15.849442417555272
RAP2A	CS330	11.845478571317091
RAP2A	CS331	90.67316478459752
RAP2A	CS335	31.803160364160963
RAP2A	CS338	50.510802406889134
RAP2A	CS339	52.68396482565604
RAP2A	CS343	155.24415244068473
RAP2A	CS344	376.2426960098597
RAP2A	CS350	56.27809106030464
RAP2A	CS351	79.65663966888319
RAP2A	CS361	138.23870316834802
RAP2A	CS388	46.573347708489514
RAP2A	CS396	342.69638697389456
RAP2A	CS405	151.75512332009262
RAP2A	CS415	69.99842393531812
RAP2A	CS424	37.35439061265297
RAP2A	IM293	203.07737076347436
RAP2A	IM296	77.92724955951385
RAP2A	IM297	3.2963096629740063
RAP2A	IM300	886
RAP2A	IM305	92.92460786041256
RAP2A	IM309	21.364867654911382
RAP2A	IM310	118.60989424674999
