Gene	sample	counts
RCN1	CM317	222.11175000022905
RCN1	CMCD140	1275.8974498266564
RCN1	CMCD147	389.1769870770007
RCN1	CMCD152	593
RCN1	CMCD154	968.4341868301848
RCN1	CMCD159	539.6108738387247
RCN1	CMCD161	857.6450377202333
RCN1	CMCD174	585.7483794403148
RCN1	CMCD196	1027.5991774771103
RCN1	CMCD198	1846.8407868204083
RCN1	CMCD203	413.318060547948
RCN1	CMCD211	372.1333818703097
RCN1	CMCD227	407.76680925659406
RCN1	CMCD240	539.858795472476
RCN1	CMCD259	395
RCN1	CMCD270	859.4596828086017
RCN1	CMCD275	886.4097012647359
RCN1	CMCD282	1692.1516164619914
RCN1	CMCD286	446.8971674542884
RCN1	CMCD287	453
RCN1	CMCD294	1172.1563770850075
RCN1	CMCD327	578.9344126442666
RCN1	CMCD335	599.8072068277908
RCN1	CMCD337	598.9772578847447
RCN1	CMCD357	355.3517070162329
RCN1	CMCD398	304.7747329918009
RCN1	CMCD403	551.9257837672538
RCN1	CMCD422	447.9325695810083
RCN1	CMCD426	224.3690502368916
RCN1	CMCD71	1188.4798006444116
RCN1	CMCD72	239.92957899476428
RCN1	CMCD76	520.2151925488132
RCN1	CMCD88	779.1401531859831
RCN1	CMSA256	488
RCN1	CMSA316	510.0748180564765
RCN1	CMUC110	572
RCN1	CMUC192	965.8092451579184
RCN1	CMUC199	1054.5786666834567
RCN1	CMUC200	1129.6387707177505
RCN1	CMUC208	1070.6132860170908
RCN1	CMUC231	598
RCN1	CMUC234	373
RCN1	CMUC285	486.31375735143024
RCN1	CMUC291	1023.6864919710997
RCN1	CMUC295	495.44544797785903
RCN1	CMUC299	645.8958276240777
RCN1	CMUC301	569.3071688498111
RCN1	CMUC307	908.5285022226874
RCN1	CMUC313	233.44383335988766
RCN1	CMUC314	270.4826228407213
RCN1	CMUC323	276.4750737323463
RCN1	CMUC324	570.470344658935
RCN1	CMUC331	269.4108932466929
RCN1	CMUC333	258.87857010702066
RCN1	CMUC334	342.0881964599228
RCN1	CMUC346	1156.280556144973
RCN1	CMUC352	474.8024427935189
RCN1	CMUC360	289.39461543498953
RCN1	CMUC363	1229.8535282909802
RCN1	CMUC365	384.5172478773431
RCN1	CMUC366	431.43000581183
RCN1	CMUC368	419
RCN1	CMUC377	574.3209899592285
RCN1	CMUC379	258.5120042658258
RCN1	CMUC380	843.1442644145488
RCN1	CMUC383	530.4109256491282
RCN1	CMUC394	499.748310453203
RCN1	CMUC419	636.6899525109809
RCN1	CMUC427	502
RCN1	CMUC428	303.8941207730679
RCN1	CMUC431	401.72204044776885
RCN1	CMUC435	298.44727534699933
RCN1	CMUC439	534.3702881273858
RCN1	CMUC89	753
RCN1	CS219	914.2845186381428
RCN1	CS256	411.93156232483807
RCN1	CS257	333.6600842637031
RCN1	CS259	812.2534907053516
RCN1	CS261	1695.410739259378
RCN1	CS266	646.6999619307165
RCN1	CS270	886.5066083469153
RCN1	CS277	716.1428153273984
RCN1	CS288	689.1671913389185
RCN1	CS290	921.3731744478232
RCN1	CS292	1115.5552378725763
RCN1	CS293	1004.0238486507529
RCN1	CS301	1143.5434060240598
RCN1	CS306	985.6455967972787
RCN1	CS308	237.13668566940402
RCN1	CS315	285.81116971643405
RCN1	CS317	207.4055015526742
RCN1	CS322	294.88595732881026
RCN1	CS327	250.1826832672642
RCN1	CS328	228.77724810970318
RCN1	CS330	224.5707152726343
RCN1	CS331	348.5647655649852
RCN1	CS335	129.35837164773713
RCN1	CS338	269.1041395660935
RCN1	CS339	225.51447419406932
RCN1	CS343	373.9405169736035
RCN1	CS344	331.65688954415964
RCN1	CS350	431.0533435483001
