Gene	sample	counts
REP15	CM317	7.3686362559317695
REP15	CMCD140	16.150600630717168
REP15	CMCD147	1.0405801793502694
REP15	CMCD152	51
REP15	CMCD154	3.02951257611111
REP15	CMCD159	1.0879251488683968
REP15	CMCD161	27.083527506954738
REP15	CMCD174	1.0948567840005883
REP15	CMCD196	6.056576684540925
REP15	CMCD198	3.090084975159635
REP15	CMCD203	4.01279670434901
REP15	CMCD211	0.803743805335442
REP15	CMCD227	7.398994522801101
REP15	CMCD240	39.16074164049049
REP15	CMCD259	23
REP15	CMCD270	27.140832088692683
REP15	CMCD275	18.15173449688879
REP15	CMCD282	7.09285108696643
REP15	CMCD286	16.06184322774398
REP15	CMCD287	44
REP15	CMCD294	1.065596706440916
REP15	CMCD327	13.06622806315185
REP15	CMCD335	12.056426267895292
REP15	CMCD337	1.0066844670331845
REP15	CMCD357	10.211255948742325
REP15	CMCD398	5.029286022967011
REP15	CMCD403	17.121785262852764
REP15	CMCD422	20.04172570832252
REP15	CMCD426	2.232527863053648
REP15	CMCD71	54.342006125993414
REP15	CMCD72	1.153507591320982
REP15	CMCD76	72.16858162526889
REP15	CMCD88	89.01601236656289
REP15	CMSA256	57
REP15	CMSA316	1.0080530001116137
REP15	CMUC110	28
REP15	CMUC192	15.201614561772063
REP15	CMUC199	4.115428943154953
REP15	CMUC200	19.04448681777929
REP15	CMUC208	66.16149520330336
REP15	CMUC231	1
REP15	CMUC234	4
REP15	CMUC285	8.088378500647488
REP15	CMUC291	8.052597773617304
REP15	CMUC295	34.03059642676204
REP15	CMUC299	10.029438317144065
REP15	CMUC301	23.012416315545966
REP15	CMUC307	4.011163365221578
REP15	CMUC313	17.7167194960629
REP15	CMUC314	10.565727454715676
REP15	CMUC323	9.21583579107821
REP15	CMUC324	3.002475498204921
REP15	CMUC331	6.054177376330178
REP15	CMUC333	12.278825459621533
REP15	CMUC334	34.51334919773702
REP15	CMUC346	7.075143263124834
REP15	CMUC352	4.023749515199312
REP15	CMUC360	33.04505989396075
REP15	CMUC363	14.37224490490294
REP15	CMUC365	8.052717233033363
REP15	CMUC366	1.0033255949112325
REP15	CMUC368	6
REP15	CMUC377	4.016230699015584
REP15	CMUC379	23.598606198540118
REP15	CMUC380	8.14632139530965
REP15	CMUC383	9.127530269296662
REP15	CMUC394	4.030228310106476
REP15	CMUC419	11.277921864123654
REP15	CMUC427	4
REP15	CMUC428	1.0062719230896289
REP15	CMUC431	1.0018005996203712
REP15	CMUC435	1.0048729809663277
REP15	CMUC439	1.0063470586203123
REP15	CMUC89	40
REP15	CS219	47.11773286841306
REP15	CS256	42.09519614998345
REP15	CS257	13.170792799883017
REP15	CS259	34.05255078172868
REP15	CS261	2.0488347302228136
REP15	CS266	1.0363781441197382
REP15	CS270	113.47284586840516
REP15	CS277	0.9756714105277907
REP15	CS288	38.343123383424455
REP15	CS290	53.42754731480812
REP15	CS292	14.19797575474188
REP15	CS293	17.29321725133009
REP15	CS301	12.329308959828138
REP15	CS306	28.072184718909835
REP15	CS308	15.398486082428832
REP15	CS315	13.365270526308066
REP15	CS317	1.074639904418001
REP15	CS322	3.0400614157609307
REP15	CS327	9.042747587973404
REP15	CS328	1.059153926433811
REP15	CS330	1.0796669003492032
REP15	CS331	21.40309963995523
REP15	CS335	5.053061392489732
REP15	CS338	1.0310503431651092
REP15	CS339	4.698218212376444
REP15	CS343	9.071333295855611
REP15	CS344	20.284825048572458
REP15	CS350	4.095518703546794
REP15	CS351	13.107805828074179
REP15	CS361	2.0480904213650826
REP15	CS388	28.98407349067968
REP15	CS396	14.150928532853731
REP15	CS405	17.4334112325694
REP15	CS415	23.739950137628426
REP15	CS424	22.849911957886082
REP15	IM293	35.186300356195765
REP15	IM296	2.13870039021122
REP15	IM297	1.1019019905718173
REP15	IM300	90
REP15	IM305	26.259589366783306
REP15	IM309	1.0710522602925363
REP15	IM310	30.411652198434272
REP15	IM311	11.136751852412475
REP15	IM316	49.251397964619414
REP15	IM320	19.92003800144068
REP15	IM330	3.031786052045372
REP15	IM332	1.0316333002492235
REP15	IM340	11.648603152789534
REP15	IM348	6.227773749463057
REP15	IM354	23.166039006962297
REP15	IM356	9.081272398483105
REP15	IM364	9.157665957123719
REP15	IM372	5
REP15	IM374	1.0508278736736867
REP15	IM376	1.0156069730173327
REP15	IM381	2.0247062655840873
REP15	IM382	1.032262770934483
REP15	IM385	4
REP15	IM390	1.0289440666365008
REP15	IM397	42.474260391628015
REP15	IM404	5.014038191966806
REP15	IM409	2.011267628225648
REP15	IM412	8
REP15	IM421	23.366570923954324
REP15	IM425	1.0558354963791774
REP15	IM432	1.0435414961174108
REP15	IM438	4
REP15	IM442	8.351650252659073
REP15	IM445	20.232968836557532
REP15	IM448	1.0233434391267064
REP15	IM449	5.041617895778395
REP15	IM451	7.035779114495372
REP15	IMSA256	100.4071255814061
REP15	IMSA276	1
REP15	IMSA286	33
