Gene	sample	counts
RET	CM317	1.052160686909921
RET	CMCD140	41.38592623782309
RET	CMCD147	1.0404565910580479
RET	CMCD152	141
RET	CMCD154	271.66291895686396
RET	CMCD159	1.0863042186135794
RET	CMCD161	94.28791712065588
RET	CMCD174	1.092629434806816
RET	CMCD196	73.6708493283006
RET	CMCD198	1.029495742835047
RET	CMCD203	1017.2846632250743
RET	CMCD211	204.05818915425323
RET	CMCD227	114.27335985215035
RET	CMCD240	66.02758876412516
RET	CMCD259	65
RET	CMCD270	49.25434986126592
RET	CMCD275	123.04176680803118
RET	CMCD282	60.789647215511806
RET	CMCD286	81.9978340184232
RET	CMCD287	109
RET	CMCD294	7.44766403989437
RET	CMCD327	60.308327236517016
RET	CMCD335	68.31996912257576
RET	CMCD337	157.04119315918572
RET	CMCD357	19.401858819542795
RET	CMCD398	84.50419804691428
RET	CMCD403	43.308783185925684
RET	CMCD422	154.3212879540834
RET	CMCD426	4.4561878447224945
RET	CMCD71	24.15327117666574
RET	CMCD72	1.1510750061651915
RET	CMCD76	18.041349850764743
RET	CMCD88	95.01709185194915
RET	CMSA256	133
RET	CMSA316	59.48111617604364
RET	CMUC110	226
RET	CMUC192	57.767245635537996
RET	CMUC199	32.90199697332741
RET	CMUC200	81.1896543284275
RET	CMUC208	80.19575176157984
RET	CMUC231	733
RET	CMUC234	178
RET	CMUC285	34.37831587312229
RET	CMUC291	94.62081071938003
RET	CMUC295	122.10978717838142
RET	CMUC299	55.16098677898563
RET	CMUC301	146.07881661172658
RET	CMUC307	118.32570209952077
RET	CMUC313	12.50449672790729
RET	CMUC314	3.167539538507619
RET	CMUC323	3.072314720674028
RET	CMUC324	70.0629926433336
RET	CMUC331	17.155676843806773
RET	CMUC333	22.51125258808493
RET	CMUC334	8.120104057272421
RET	CMUC346	213.28922002211192
RET	CMUC352	40.242158619708405
RET	CMUC360	1.0014402205102033
RET	CMUC363	5.131877838521642
RET	CMUC365	28.18738554995734
RET	CMUC366	258.86404041966597
RET	CMUC368	55
RET	CMUC377	114.46533590055579
RET	CMUC379	8.56645093048314
RET	CMUC380	40.73105697417039
RET	CMUC383	17.24286160298899
