Gene	sample	counts
RFC3	CM317	56.84376540290222
RFC3	CMCD140	23.21648840665593
RFC3	CMCD147	53.069589146863734
RFC3	CMCD152	296
RFC3	CMCD154	47.462363692407386
RFC3	CMCD159	1.0879251488683968
RFC3	CMCD161	88.27223780044507
RFC3	CMCD174	1.0948567840005883
RFC3	CMCD196	42.39603679178648
RFC3	CMCD198	9.270254925478904
RFC3	CMCD203	102.32631596089975
RFC3	CMCD211	388.2082579770185
RFC3	CMCD227	360.90651061218705
RFC3	CMCD240	556.6419704612578
RFC3	CMCD259	822
RFC3	CMCD270	129.67286442375394
RFC3	CMCD275	41.345617465135575
RFC3	CMCD282	14.18570217393286
RFC3	CMCD286	399.65645207857085
RFC3	CMCD287	504
RFC3	CMCD294	14.918353890172824
RFC3	CMCD327	124.63171383314072
RFC3	CMCD335	113.531347356014
RFC3	CMCD337	56.374330153858324
RFC3	CMCD357	136.83082971314715
RFC3	CMCD398	69.40414711694476
RFC3	CMCD403	139.99577361979615
RFC3	CMCD422	199.41517079780908
RFC3	CMCD426	21.209014699009654
RFC3	CMCD71	68.43067438088059
RFC3	CMCD72	13.842091095851785
RFC3	CMCD76	160.37462583393085
RFC3	CMCD88	279.0501960704612
RFC3	CMSA256	196
RFC3	CMSA316	83.66839900926394
RFC3	CMUC110	465
RFC3	CMUC192	19.25537844491128
RFC3	CMUC199	11.31742959367612
RFC3	CMUC200	150.35121171931019
RFC3	CMUC208	114.27894626025127
RFC3	CMUC231	385
RFC3	CMUC234	716
RFC3	CMUC285	147.61290763681666
RFC3	CMUC291	78.5128282927687
RFC3	CMUC295	222.199776668858
RFC3	CMUC299	234.6888566211711
RFC3	CMUC301	336.1813861749324
RFC3	CMUC307	138.38513610014442
RFC3	CMUC313	66.69823810282504
RFC3	CMUC314	19.01830941848822
RFC3	CMUC323	88.06243089252511
RFC3	CMUC324	222.18318686716412
RFC3	CMUC331	136.218990967429
RFC3	CMUC333	72.64971730276073
RFC3	CMUC334	142.11379081421126
RFC3	CMUC346	89.95539291687288
RFC3	CMUC352	235.38934663915978
RFC3	CMUC360	97.13244877921795
RFC3	CMUC363	63.64851315028445
RFC3	CMUC365	137.90278261569634
RFC3	CMUC366	148.49218804686242
RFC3	CMUC368	729
RFC3	CMUC377	230.9332651933961
RFC3	CMUC379	20.380614444193736
RFC3	CMUC380	46.84134802303049
RFC3	CMUC383	60.85020179531108
RFC3	CMUC394	84.63479451223598
RFC3	CMUC419	37.93482808841593
RFC3	CMUC427	598
RFC3	CMUC428	315.9693838501435
RFC3	CMUC431	300.54017988611133
RFC3	CMUC435	285.38392659443707
RFC3	CMUC439	233.47251759991244
RFC3	CMUC89	258
RFC3	CS219	173.43335715394593
RFC3	CS256	93.21079147496336
RFC3	CS257	2.195132133313836
RFC3	CS259	178.27511879846188
RFC3	CS261	15.366260476671101
RFC3	CS266	1.0363781441197382
RFC3	CS270	17.22355696216864
RFC3	CS277	0.9756714105277907
RFC3	CS288	109.9842223366649
RFC3	CS290	106.85509462961625
RFC3	CS292	27.38181038414505
RFC3	CS293	21.362209545760702
RFC3	CS301	18.493963439742206
RFC3	CS306	12.476526541737705
RFC3	CS308	56.461115635572384
RFC3	CS315	27.75863878540906
RFC3	CS317	1.074639904418001
RFC3	CS322	307.046202991854
RFC3	CS327	875.1370165694261
RFC3	CS328	6.3549235586028665
RFC3	CS330	5.3983345017460165
RFC3	CS331	7.134366546651743
RFC3	CS335	23.244082405452765
RFC3	CS338	68.0493226488972
RFC3	CS339	7.047327318564666
RFC3	CS343	132.03829575078723
RFC3	CS344	58.82599264086012
RFC3	CS350	17.405954490073878
RFC3	CS351	204.68342946915834
RFC3	CS361	157.70296244511135
RFC3	CS388	35.194946381539616
RFC3	CS396	259.77061663881494
RFC3	CS405	36.91781202191168
RFC3	CS415	7.5536204983363175
RFC3	CS424	28.043073766496555
RFC3	IM293	63.335340641152385
RFC3	IM296	1.06935019510561
RFC3	IM297	1.1019019905718173
RFC3	IM300	244
RFC3	IM305	31.309510398857018
RFC3	IM309	1.0710522602925363
RFC3	IM310	146.9896522924323
RFC3	IM311	141.7404781216133
RFC3	IM316	151.7747161766843
RFC3	IM320	28.307422423099915
RFC3	IM330	185.94954452544945
RFC3	IM332	16.506132803987576
RFC3	IM340	2.1179278459617334
RFC3	IM348	33.21479333046964
RFC3	IM354	67.48367884636843
RFC3	IM356	16.144484263969964
RFC3	IM364	88.52410425219594
RFC3	IM372	22
RFC3	IM374	15.762418105105299
RFC3	IM376	37.57745800164131
RFC3	IM381	112.37119773991684
RFC3	IM382	11.354890480279312
RFC3	IM385	154
RFC3	IM390	28.810433865822024
RFC3	IM397	87.98239652551517
RFC3	IM404	120.33691660720336
RFC3	IM409	127.71549439232867
RFC3	IM412	91
RFC3	IM421	90.41847009704065
RFC3	IM425	1.0558354963791774
RFC3	IM432	26.08853740293527
RFC3	IM438	392
RFC3	IM442	31.318688447471523
RFC3	IM445	64.7455002769841
RFC3	IM448	26.606929417294367
RFC3	IM449	59.49109117018506
RFC3	IM451	102.52135281121828
RFC3	IMSA256	76.30941544186864
RFC3	IMSA276	224
RFC3	IMSA286	273
RFC3	IMSA343	89.09252248921878
RFC3	IS_238	248
RFC3	IS238	595.5171388302007
RFC3	IS243	329
RFC3	IS253	292
RFC3	IS283	261
RFC3	IS322	50.523604096332605
RFC3	IS399	47.34742594801739
RFC3	IS418	24.150804314237387
RFC3	IS430	20.646646979413916
RFC3	IS437	18.428574073339643
RFC3	IS444	48.798689344915125
RFC3	R276CMSA	10.669696277752095
RFC3	R286CMSA	270
RFC3	R292CMSA	87.35925845403312
RFC3	R292IMSA	1.0788219939158086
RFC3	R308CMSA	47.13318875154831
RFC3	R316IMSA	96.90555455953415
RFC3	R347CMSA	10.700524508354562
RFC3	R347IMSA	42.69413341695035
RFC3	R371CMSA	119.47882564459947
RFC3	SRR10104064	27.948901507795142
RFC3	SRR10104065	199.16074284470693
RFC3	SRR10104066	82.52193847571861
RFC3	SRR10104067	88.02288669304691
RFC3	SRR10104068	197.92633123128104
RFC3	SRR10104069	145.6571579764217
RFC3	SRR10104070	151.3631005621405
RFC3	SRR10104071	2.3290490500383005
RFC3	SRR10104072	41.897877471341886
RFC3	SRR10104073	54.43526655264151
RFC3	SRR10104074	43.04541121829568
RFC3	SRR10104075	35.98473030272913
RFC3	SRR10104076	62.711541882507035
RFC3	SRR10104077	32.11677003470032
RFC3	SRR10104078	64.63819460082983
RFC3	SRR10104079	39.483363109385394
RFC3	SRR10104080	13.555990794700394
RFC3	SRR10104081	83.3036984272225
RFC3	SRR10104082	44.66588808513751
RFC3	SRR10104083	49.13460059672756
