Gene	sample	counts
RGL4	CM317	20.000584123243375
RGL4	CMCD140	62.58357744402903
RGL4	CMCD147	34.33914591855889
RGL4	CMCD152	177
RGL4	CMCD154	12.11805030444444
RGL4	CMCD159	13.05510178642076
RGL4	CMCD161	270.8352750695474
RGL4	CMCD174	13.13828140800706
RGL4	CMCD196	90.84865026811387
RGL4	CMCD198	25.75070812633029
RGL4	CMCD203	43.13756457175186
RGL4	CMCD211	76.355661506867
RGL4	CMCD227	73.16783472547756
RGL4	CMCD240	70.86229439707803
RGL4	CMCD259	185
RGL4	CMCD270	74.38598424308366
RGL4	CMCD275	85.71652401308596
RGL4	CMCD282	225.95797034193058
RGL4	CMCD286	45.35108676068889
RGL4	CMCD287	41
RGL4	CMCD294	63.93580238645496
RGL4	CMCD327	181.92209841772961
RGL4	CMCD335	193.90752247531594
RGL4	CMCD337	50.33422335165922
RGL4	CMCD357	112.32381543616557
RGL4	CMCD398	78.45686195828537
RGL4	CMCD403	196.39694860331113
RGL4	CMCD422	100.2086285416126
RGL4	CMCD426	18.976486835956006
RGL4	CMCD71	64.40534059376998
RGL4	CMCD72	44.9867960615183
RGL4	CMCD76	94.22009267743438
RGL4	CMCD88	113.02033030810793
RGL4	CMSA256	134
RGL4	CMSA316	37.297961004129704
RGL4	CMUC110	70
RGL4	CMUC192	58.779576305518646
RGL4	CMUC199	38.06771772418332
RGL4	CMUC200	158.3699430110067
RGL4	CMUC208	132.32299040660672
RGL4	CMUC231	26
RGL4	CMUC234	113
RGL4	CMUC285	101.1047312580936
RGL4	CMUC291	623.0697527336388
RGL4	CMUC295	37.03329611147633
RGL4	CMUC299	86.25316952743896
RGL4	CMUC301	77.04156766508868
RGL4	CMUC307	47.13116954135354
RGL4	CMUC313	25.01183928855939
RGL4	CMUC314	23.244600400374487
RGL4	CMUC323	40.95927018256982
RGL4	CMUC324	88.07261461401102
RGL4	CMUC331	147.31831615736766
RGL4	CMUC333	20.464709099369223
RGL4	CMUC334	37.55864471518441
RGL4	CMUC346	57.61188085687365
RGL4	CMUC352	64.379992243189
RGL4	CMUC360	58.07919617726434
RGL4	CMUC363	31.824256575142226
RGL4	CMUC365	52.34266201471686
RGL4	CMUC366	119.39574579443666
RGL4	CMUC368	156
RGL4	CMUC377	70.28403723277272
RGL4	CMUC379	24.671270116655577
RGL4	CMUC380	51.93279889509902
RGL4	CMUC383	168.35222496702733
RGL4	CMUC394	94.71036528750217
RGL4	CMUC419	90.22337491298923
RGL4	CMUC427	235
RGL4	CMUC428	75.47039423172217
RGL4	CMUC431	160.2880959392594
RGL4	CMUC435	52.253395010249044
RGL4	CMUC439	43.27292352067342
RGL4	CMUC89	41
RGL4	CS219	56.14027746023684
RGL4	CS256	99.224390924961
RGL4	CS257	13.170792799883017
RGL4	CS259	254.39258525173773
RGL4	CS261	67.61154609735284
RGL4	CS266	45.60063834126848
RGL4	CS270	33.433963514797945
RGL4	CS277	16.58641397897244
RGL4	CS288	63.56886245146686
RGL4	CS290	81.6534213679143
RGL4	CS292	111.55552378725763
RGL4	CS293	41.70717101791375
RGL4	CS301	34.93304205284639
RGL4	CS306	25.992763628620217
RGL4	CS308	62.62051006854392
RGL4	CS315	52.43298437243934
RGL4	CS317	12.895678853016012
RGL4	CS322	126.66922565670545
RGL4	CS327	47.22323740386111
RGL4	CS328	15.887308896507166
RGL4	CS330	12.95600280419044
RGL4	CS331	12.230342651402989
