Gene	sample	counts
RGS2	CM317	447.1682919367164
RGS2	CMCD140	2081.4092659119806
RGS2	CMCD147	1179.8777742598263
RGS2	CMCD152	10667
RGS2	CMCD154	3701.281033371399
RGS2	CMCD159	331.32278667714166
RGS2	CMCD161	4575.973169196087
RGS2	CMCD174	286.2689119193858
RGS2	CMCD196	952.6750926837776
RGS2	CMCD198	416.94577584819405
RGS2	CMCD203	9919.027086100898
RGS2	CMCD211	6333.03427205897
RGS2	CMCD227	2791.0651561010823
RGS2	CMCD240	2061.734708310781
RGS2	CMCD259	677
RGS2	CMCD270	2116.9318532209395
RGS2	CMCD275	2750.286049881156
RGS2	CMCD282	1100.2926146007637
RGS2	CMCD286	2246.9291528726544
RGS2	CMCD287	1532
RGS2	CMCD294	495.80163465582524
RGS2	CMCD327	2987.272475782143
RGS2	CMCD335	1833.5874065985406
RGS2	CMCD337	5832.670981822577
RGS2	CMCD357	707.6572716812187
RGS2	CMCD398	798.7658720148802
RGS2	CMCD403	802.7232604461109
RGS2	CMCD422	3190.6427327649453
RGS2	CMCD426	239.5200966538341
RGS2	CMCD71	2650.821511639065
RGS2	CMCD72	499.5665526756932
RGS2	CMCD76	2103.8218520419555
RGS2	CMCD88	3178.571767426257
RGS2	CMSA256	5965
RGS2	CMSA316	9840.59618634512
RGS2	CMUC110	8114
RGS2	CMUC192	1141.156466414312
RGS2	CMUC199	913.0304160098356
RGS2	CMUC200	2829.6098045574176
RGS2	CMUC208	2621.398635706641
RGS2	CMUC231	5386
RGS2	CMUC234	3217
RGS2	CMUC285	1319.520653365429
RGS2	CMUC291	5129.655866233624
RGS2	CMUC295	1071.963787443004
RGS2	CMUC299	3365.823120550469
RGS2	CMUC301	4718.545884526729
RGS2	CMUC307	1434.9498280035104
RGS2	CMUC313	592.9215531816039
RGS2	CMUC314	595.4974332394323
RGS2	CMUC323	1322.1194347967235
RGS2	CMUC324	3332.99665003287
RGS2	CMUC331	984.9376823267888
RGS2	CMUC333	823.7071969731077
RGS2	CMUC334	939.9020446292827
RGS2	CMUC346	2948.647653101898
RGS2	CMUC352	2715.3396528648245
RGS2	CMUC360	949.3653290436727
RGS2	CMUC363	382.8380867537145
RGS2	CMUC365	843.6081818165804
RGS2	CMUC366	4118.747619855538
RGS2	CMUC368	2448
RGS2	CMUC377	1548.2942803390968
RGS2	CMUC379	236.6482069545968
RGS2	CMUC380	717.8848791697532
RGS2	CMUC383	377.314383312465
RGS2	CMUC394	501.7956031796115
RGS2	CMUC419	865.0571689375857
RGS2	CMUC427	3197
RGS2	CMUC428	2872.114505302371
RGS2	CMUC431	3626.7282037368363
RGS2	CMUC435	398.9927114813268
RGS2	CMUC439	1152.3693431807885
RGS2	CMUC89	2982
RGS2	CS219	2017.9872909668234
RGS2	CS256	2630.008660204295
RGS2	CS257	119.29256235131115
RGS2	CS259	573.8856352332509
RGS2	CS261	866.1542881886028
RGS2	CS266	593.5022982306443
RGS2	CS270	520.6868850884721
RGS2	CS277	134.0994846580716
RGS2	CS288	1236.0442669908682
RGS2	CS290	1470.659841465704
RGS2	CS292	746.2889350620663
RGS2	CS293	332.5094894978074
RGS2	CS301	380.9227079973995
RGS2	CS306	592.151081045659
RGS2	CS308	251.51127072552066
RGS2	CS315	1502.9627291421295
RGS2	CS317	94.36226448447349
RGS2	CS322	908.0231843044219
RGS2	CS327	953.5175979968752
RGS2	CS328	139.4750932744864
RGS2	CS330	218.6029227252154
RGS2	CS331	277.1134923753992
RGS2	CS335	98.43835350811727
RGS2	CS338	411.302248170383
RGS2	CS339	168.58868744209934
RGS2	CS343	460.6920627622917
RGS2	CS344	586.1678660207518
RGS2	CS350	215.90322206771418
RGS2	CS351	884.2895315140576
RGS2	CS361	210.94202113096068
RGS2	CS388	368.4469285382726
RGS2	CS396	505.4518981915849
RGS2	CS405	579.3354369990022
RGS2	CS415	889.5184333934272
RGS2	CS424	223.08872171445523
RGS2	IM293	2065.9603807868307
RGS2	IM296	572.1781611493071
RGS2	IM297	103.2843694398522
RGS2	IM300	3710
RGS2	IM305	2191.8086854032094
RGS2	IM309	256.3784118589366
RGS2	IM310	628.5310635297863
RGS2	IM311	1499.4783297243794
RGS2	IM316	1365.043064578016
RGS2	IM320	863.2304242835589
RGS2	IM330	941.8740538271494
RGS2	IM332	171.0808563581869
RGS2	IM340	1081.6308702976544
RGS2	IM348	894.8977423157919
RGS2	IM354	2072.917803119253
RGS2	IM356	306.61745594413384
RGS2	IM364	782.3703595983847
RGS2	IM372	924.9914140281678
RGS2	IM374	461.75867327783106
RGS2	IM376	830.4123345083018
RGS2	IM381	1836.7762048719953
RGS2	IM382	2088.4453776078303
RGS2	IM385	6541
RGS2	IM390	1169.636219742944
RGS2	IM397	1220.7412863352363
RGS2	IM404	1372.946163384813
RGS2	IM409	5449.039670778963
RGS2	IM412	1019
RGS2	IM421	1178.4422179603034
RGS2	IM425	99.10545641665848
RGS2	IM432	398.0494871697142
RGS2	IM438	1533
RGS2	IM442	437.89608580987857
RGS2	IM445	1196.669325026361
RGS2	IM448	569.8252543624674
RGS2	IM449	1351.318424988446
RGS2	IM451	1748.0190642865757
RGS2	IMSA256	3222.1544004125285
RGS2	IMSA276	4418
RGS2	IMSA286	4298
RGS2	IMSA343	1594.720239336428
RGS2	IS_238	4649
RGS2	IS238	6448.5629294961045
RGS2	IS243	5925
RGS2	IS253	3485
RGS2	IS283	2882
RGS2	IS322	3287.6110220010332
RGS2	IS399	648.6709063863253
RGS2	IS418	643.7136484383066
RGS2	IS430	388.34223265928904
RGS2	IS437	617.9581142516191
RGS2	IS444	678.7537186126459
RGS2	R276CMSA	616.5918823274422
RGS2	R286CMSA	2216
RGS2	R292CMSA	3648.2862861830354
RGS2	R292IMSA	712.8912959413154
RGS2	R308CMSA	1213.7820285835548
RGS2	R316IMSA	2282.4579908026003
RGS2	R347CMSA	196.50185747425252
RGS2	R347IMSA	826.7569892318207
RGS2	R371CMSA	2195.7398866642675
RGS2	SRR10104064	1206.5816665001594
RGS2	SRR10104065	4790.937760502055
RGS2	SRR10104066	4001.6748800932533
RGS2	SRR10104067	2124.281816973357
RGS2	SRR10104068	3738.3825642147285
RGS2	SRR10104069	6561.540835330644
RGS2	SRR10104070	2181.6939091068152
RGS2	SRR10104071	1.1619835297694339
RGS2	SRR10104072	711.624231223718
RGS2	SRR10104073	1068.8441750547213
RGS2	SRR10104074	292.5261373311835
RGS2	SRR10104075	428.4138187957814
RGS2	SRR10104076	1097.7159987558007
RGS2	SRR10104077	1320.4739775681096
RGS2	SRR10104078	1488.9056829104507
RGS2	SRR10104079	491.78547020780184
RGS2	SRR10104080	532.3274872134249
RGS2	SRR10104081	2412.747343206669
RGS2	SRR10104082	477.68479452367256
RGS2	SRR10104083	629.7676535065814
RGS2	SRR10104084	1.0701241548355385
RGS2	SRR10104085	1349.6804811440725
RGS2	SRR10104086	2251.7778351662614
RGS2	SRR10104087	5694.218852601641
RGS2	SRR10104088	9707.723142609868
RGS2	SRR10104089	427.0171543366013
RGS2	SRR10104090	1996.5531848812902
RGS2	SRR10104091	1962.7967207426025
RGS2	SRR10104092	5259.290521351757
RGS2	SRR10104093	1264.4904219853256
RGS2	SRR10104094	5813.575743396225
RGS2	SRR10104095	537.2645962338763
RGS2	SRR10104096	1.1499993829134103
RGS2	SRR10104097	1214.5935741044837
RGS2	SRR10104098	3792.336815487942
RGS2	SRR10104099	2052.600416590981
RGS2	SRR10104100	2431.1594922574363
RGS2	SRR10104101	8742.5022383280575
RGS2	SRR10104102	4365.006710461598
RGS2	SRR10104103	2383.6398534702475
RGS2	SRR10104104	2501.2159153049242
RGS2	SRR10104105	833.4360391180996
RGS2	SRR10104106	153.05099003182306
RGS2	SRR10104107	3120.6372140602307
