Gene	sample	counts
RN7SKP22	CM317	8.421298578207738
RN7SKP22	CMCD140	1.009412539419823
RN7SKP22	CMCD147	1.0405801793502694
RN7SKP22	CMCD152	4
RN7SKP22	CMCD154	1.00983752537037
RN7SKP22	CMCD159	1.0879251488683968
RN7SKP22	CMCD161	1.003093611368694
RN7SKP22	CMCD174	1.0948567840005883
RN7SKP22	CMCD196	1.0094294474234875
RN7SKP22	CMCD198	1.0300283250532116
RN7SKP22	CMCD203	1.0031991760872525
RN7SKP22	CMCD211	0.803743805335442
RN7SKP22	CMCD227	0.8221105025334557
RN7SKP22	CMCD240	1.8647972209757377
RN7SKP22	CMCD259	1
RN7SKP22	CMCD270	1.0052160032849142
RN7SKP22	CMCD275	1.0084296942715996
RN7SKP22	CMCD282	1.0132644409952043
RN7SKP22	CMCD286	0.9448143075143519
RN7SKP22	CMCD287	1
RN7SKP22	CMCD294	1.065596706440916
RN7SKP22	CMCD327	1.0050944663962962
RN7SKP22	CMCD335	1.0047021889912742
RN7SKP22	CMCD337	1.0066844670331845
RN7SKP22	CMCD357	1.0211255948742326
RN7SKP22	CMCD398	1.0058572045934022
RN7SKP22	CMCD403	1.007163838991339
RN7SKP22	CMCD422	1.0020862854161259
RN7SKP22	CMCD426	1.116263931526824
RN7SKP22	CMCD71	2.012666893555312
RN7SKP22	CMCD72	1.153507591320982
RN7SKP22	CMCD76	1.002341411462068
RN7SKP22	CMCD88	1.0001799142310437
RN7SKP22	CMSA256	11
RN7SKP22	CMSA316	1.0080530001116137
RN7SKP22	CMUC110	1
RN7SKP22	CMUC192	1.0134409707848042
RN7SKP22	CMUC199	1.0288572357887382
RN7SKP22	CMUC200	1.002341411462068
RN7SKP22	CMUC208	1.002446897019748
RN7SKP22	CMUC231	1
RN7SKP22	CMUC234	1
RN7SKP22	CMUC285	1.011047312580936
RN7SKP22	CMUC291	1.006574721702163
RN7SKP22	CMUC295	1.0008998949047658
RN7SKP22	CMUC299	1.0029438317144064
RN7SKP22	CMUC301	1.0005398398063463
RN7SKP22	CMUC307	1.0027908413053945
RN7SKP22	CMUC313	1.0421599703566413
RN7SKP22	CMUC314	1.0565727454715677
RN7SKP22	CMUC323	1.0239817545642456
RN7SKP22	CMUC324	1.000825166068307
RN7SKP22	CMUC331	1.0090295627216963
RN7SKP22	CMUC333	1.023235454968461
RN7SKP22	CMUC334	1.0150985058157946
RN7SKP22	CMUC346	1.0107347518749763
RN7SKP22	CMUC352	3.0178121363994843
RN7SKP22	CMUC360	1.0013654513321437
RN7SKP22	CMUC363	1.0265889217787814
RN7SKP22	CMUC365	1.0065896541291703
RN7SKP22	CMUC366	1.0033255949112325
RN7SKP22	CMUC368	1
RN7SKP22	CMUC377	1.004057674753896
RN7SKP22	CMUC379	1.0726639181154598
RN7SKP22	CMUC380	1.0182901744137063
RN7SKP22	CMUC383	1.0141700299218512
RN7SKP22	CMUC394	1.007557077526619
RN7SKP22	CMUC419	1.0252656240112412
RN7SKP22	CMUC427	2
RN7SKP22	CMUC428	1.0062719230896289
RN7SKP22	CMUC431	1.0018005996203712
RN7SKP22	CMUC435	1.0048729809663277
RN7SKP22	CMUC439	2.0126941172406245
RN7SKP22	CMUC89	1
RN7SKP22	CS219	1.0025049546470863
RN7SKP22	CS256	4.009066299998424
RN7SKP22	CS257	1.097566066656918
RN7SKP22	CS259	1.001545611227314
RN7SKP22	CS261	1.0244173651114068
RN7SKP22	CS266	1.0363781441197382
RN7SKP22	CS270	1.0131504095393318
RN7SKP22	CS277	15.610742568444651
RN7SKP22	CS288	1.0090295627216963
RN7SKP22	CS290	1.0080669304680778
RN7SKP22	CS292	1.0141411253387056
RN7SKP22	CS293	1.0172480736076523
RN7SKP22	CS301	1.0274424133190114
RN7SKP22	CS306	1.0397105451448088
RN7SKP22	CS308	1.026565738828589
RN7SKP22	CS315	1.0280977327929282
RN7SKP22	CS317	1.074639904418001
RN7SKP22	CS322	1.0133538052536437
RN7SKP22	CS327	1.0047497319970449
RN7SKP22	CS328	1.059153926433811
RN7SKP22	CS330	1.0796669003492032
RN7SKP22	CS331	1.019195220950249
RN7SKP22	CS335	1.0106122784979463
RN7SKP22	CS338	1.0310503431651092
RN7SKP22	CS339	1.174554553094111
RN7SKP22	CS343	1.0079259217617345
