Gene	sample	counts
RNF111	CM317	328.27413431589537
RNF111	CMCD140	371.46392330533894
RNF111	CMCD147	377.6857425540714
RNF111	CMCD152	787
RNF111	CMCD154	374.6726503085373
RNF111	CMCD159	319.3734402723923
RNF111	CMCD161	414.26499756203066
RNF111	CMCD174	368.216119529897
RNF111	CMCD196	319.9131402338533
RNF111	CMCD198	322.2321675073697
RNF111	CMCD203	915.9574926277049
RNF111	CMCD211	963.2510582517702
RNF111	CMCD227	938.028083390673
RNF111	CMCD240	958.7949861382117
RNF111	CMCD259	904
RNF111	CMCD270	418.1593784140127
RNF111	CMCD275	339.8776673303812
RNF111	CMCD282	323.19829102913775
RNF111	CMCD286	922.711258667084
RNF111	CMCD287	962
RNF111	CMCD294	318.1216497040595
RNF111	CMCD327	457.338148210254
RNF111	CMCD335	440.06097758364973
RNF111	CMCD337	390.58963426771834
RNF111	CMCD357	353.31806060851613
RNF111	CMCD398	445.6590444617027
RNF111	CMCD403	422.0088408116944
RNF111	CMCD422	520.0827821309693
RNF111	CMCD426	324.1876657035615
RNF111	CMCD71	356.26074985581965
RNF111	CMCD72	343.0203518372271
RNF111	CMCD76	560.2841425876384
RNF111	CMCD88	681.1225215913407
RNF111	CMSA256	742
RNF111	CMSA316	473.83262038543245
RNF111	CMUC110	1014
RNF111	CMUC192	318.22658122033215
RNF111	CMUC199	313.59715865202685
RNF111	CMUC200	455.0630008037788
RNF111	CMUC208	414.0105684691559
RNF111	CMUC231	945
RNF111	CMUC234	860
RNF111	CMUC285	358.9500627928945
RNF111	CMUC291	449.95215310173273
RNF111	CMUC295	528.4751445097163
RNF111	CMUC299	674.969892768315
RNF111	CMUC301	686.3703301071537
RNF111	CMUC307	529.4573788859913
RNF111	CMUC313	431.40513711280147
RNF111	CMUC314	313.58641431225425
RNF111	CMUC323	367.65366157399205
RNF111	CMUC324	587.5282383090976
RNF111	CMUC331	445.0384404775757
RNF111	CMUC333	431.8067541896291
RNF111	CMUC334	369.46473460589516
RNF111	CMUC346	371.99257330870705
RNF111	CMUC352	472.8453637815737
RNF111	CMUC360	385.5544848964282
RNF111	CMUC363	338.7039373424284
RNF111	CMUC365	422.8107832493601
RNF111	CMUC366	553.8486446188201
RNF111	CMUC368	759
RNF111	CMUC377	454.84909792062956
RNF111	CMUC379	318.02949079418664
RNF111	CMUC380	310.5743094280493
RNF111	CMUC383	326.6000844801444
RNF111	CMUC394	354.682835982376
RNF111	CMUC419	316.7093189593768
RNF111	CMUC427	882
RNF111	CMUC428	501.1608351929155
RNF111	CMUC431	535.9943616019909
RNF111	CMUC435	585.9263244171626
RNF111	CMUC439	509.25667043622616
RNF111	CMUC89	798
RNF111	CS219	402.99597166848633
RNF111	CS256	441.00754972937875
RNF111	CS257	310.81731841992996
RNF111	CS259	445.6877969961547
RNF111	CS261	310.21837981223007
RNF111	CS266	283.80389130051753
RNF111	CS270	348.4752693977323
RNF111	CS277	341.5195508558082
RNF111	CS288	361.2276306797803
RNF111	CS290	356.82904995124005
