Gene	sample	counts
RORC	CM317	127.31144311610043
RORC	CMCD140	809.5490937252224
RORC	CMCD147	237.22410276123492
RORC	CMCD152	486
RORC	CMCD154	74.73255019631202
RORC	CMCD159	23.898692809498744
RORC	CMCD161	341.04140235130853
RORC	CMCD174	1.092629434806816
RORC	CMCD196	689.2765765921823
RORC	CMCD198	108.09705299767994
RORC	CMCD203	14.045350379833373
RORC	CMCD211	131.75410638306116
RORC	CMCD227	364.1949526223209
RORC	CMCD240	1145.7181599634112
RORC	CMCD259	547
RORC	CMCD270	436.2528130569267
RORC	CMCD275	1065.0172602400075
RORC	CMCD282	393.10638532697635
RORC	CMCD286	625.8225492900345
RORC	CMCD287	739
RORC	CMCD294	236.19734526522146
RORC	CMCD327	262.34122347884903
RORC	CMCD335	297.3928067688592
RORC	CMCD337	105.70080308791346
RORC	CMCD357	75.56513434979826
RORC	CMCD398	111.66626170485101
RORC	CMCD403	160.14177968749266
RORC	CMCD422	100.2086285416126
RORC	CMCD426	12.25451657298686
RORC	CMCD71	231.46884877638
RORC	CMCD72	5.755375030825959
RORC	CMCD76	597.3691395030993
RORC	CMCD88	975.1754163752676
RORC	CMSA256	1077
RORC	CMSA316	27.220171809375906
RORC	CMUC110	669
RORC	CMUC192	213.8401548964652
RORC	CMUC199	180.96098335330075
RORC	CMUC200	436.0185139859995
RORC	CMUC208	563.3751561250983
RORC	CMUC231	44
RORC	CMUC234	201
RORC	CMUC285	68.75663174624458
RORC	CMUC291	137.90479860164962
RORC	CMUC295	799.7190160289078
RORC	CMUC299	576.6830435984862
RORC	CMUC301	488.26344182549707
RORC	CMUC307	176.48579296199708
RORC	CMUC313	85.44739430736648
RORC	CMUC314	61.23909774448063
RORC	CMUC323	87.04891708576413
RORC	CMUC324	84.07559117200033
RORC	CMUC331	93.85164391023706
RORC	CMUC333	65.48728025624708
RORC	CMUC334	212.137718496242
RORC	CMUC346	72.78115564735573
RORC	CMUC352	41.24821258520112
RORC	CMUC360	92.1325002869387
RORC	CMUC363	55.42428065603373
RORC	CMUC365	149.99715881941586
RORC	CMUC366	17.056932895869462
RORC	CMUC368	40
RORC	CMUC377	182.74290468334345
RORC	CMUC379	55.68193104814042
RORC	CMUC380	40.73105697417039
RORC	CMUC383	46.657154925734915
RORC	CMUC394	27.205785714557248
RORC	CMUC419	222.41398774817074
RORC	CMUC427	144
RORC	CMUC428	39.247535286192175
RORC	CMUC431	59.10965856919153
RORC	CMUC435	54.27104891685554
RORC	CMUC439	41.263880410840464
RORC	CMUC89	543
RORC	CS219	812.0068085857561
RORC	CS256	1138.601310210396
RORC	CS257	58.00464040935312
RORC	CS259	394.60897082356166
RORC	CS261	341.95689391843183
RORC	CS266	316.9488713064174
RORC	CS270	492.3226189747032
RORC	CS277	76.21481502149392
RORC	CS288	659.8962862139003
RORC	CS290	335.6612249541326
RORC	CS292	509.01772472983333
RORC	CS293	619.2607923674761
RORC	CS301	257.71320675834846
RORC	CS306	270.104001880476
RORC	CS308	117.02973413350757
RORC	CS315	410.17929475219546
RORC	CS317	1.0722984600508352
RORC	CS322	43.57700549675239
RORC	CS327	90.42843395123158
RORC	CS328	10.566294945036848
RORC	CS330	72.1497331162041
RORC	CS331	525.7005958298014
RORC	CS335	56.53895175850838
RORC	CS338	26.801650256716684
RORC	CS339	7.024528643420806
RORC	CS343	168.3491782960672
RORC	CS344	142.99250710886852
RORC	CS350	109.48646806277449
RORC	CS351	152.25509607596658
RORC	CS361	35.839663784386524
RORC	CS388	47.60831099090039
RORC	CS396	67.73055435767237
RORC	CS405	93.30889339275964
RORC	CS415	9.692089467967124
RORC	CS424	64.33256161068012
RORC	IM293	532.8267648744625
RORC	IM296	34.15989021786908
RORC	IM297	1.098769887658002
RORC	IM300	1262
RORC	IM305	564.6179977605502
RORC	IM309	146.34934343614296
RORC	IM310	103.40349754844871
RORC	IM311	96.18530811871442
RORC	IM316	373.9293225500898
RORC	IM320	86.9516082712808
RORC	IM330	60.63566870131863
RORC	IM332	19.581543800033444
RORC	IM340	305.2649624179903
RORC	IM348	183.54217889906738
RORC	IM354	268.9354001131393
RORC	IM356	54.46494283218167
RORC	IM364	112.92992186660689
RORC	IM372	178.99833849842383
RORC	IM374	45.12641579760622
RORC	IM376	61.925614187049405
RORC	IM381	90.11746539890164
RORC	IM382	152.71240903456467
RORC	IM385	80
RORC	IM390	140.93242049673117
RORC	IM397	374.2123247257974
RORC	IM404	211.60821071891567
RORC	IM409	90.51560914915221
RORC	IM412	77
RORC	IM421	207.24328660681198
RORC	IM425	26.357834153366618
RORC	IM432	70.8569767736664
RORC	IM438	116
RORC	IM442	34.40612102791903
RORC	IM445	377.3099393362914
RORC	IM448	74.68086816599663
RORC	IM449	92.77708589472913
RORC	IM451	70.36304456587712
RORC	IMSA256	681.783371106297
RORC	IMSA276	150
RORC	IMSA286	535
RORC	IMSA343	162.0033259008435
RORC	IS_238	1819
RORC	IS238	2621.600073408925
RORC	IS243	2469
RORC	IS253	821
RORC	IS283	1176
RORC	IS322	96.01077377500712
RORC	IS399	164.18223251703574
RORC	IS418	86.48533712011262
RORC	IS430	289.62954223472116
RORC	IS437	100.64816922136704
RORC	IS444	295.78717095505215
RORC	R276CMSA	29.817914862121558
RORC	R286CMSA	643
RORC	R292CMSA	362.5189510905796
RORC	R292IMSA	399.520650746568
RORC	R308CMSA	128.4425427072545
RORC	R316IMSA	70.37068872447695
RORC	R347CMSA	112.13421214563323
RORC	R347IMSA	103.34462365397759
RORC	R371CMSA	306.21886851056314
RORC	SRR10104064	7.791579027215051
RORC	SRR10104065	42.24635438611932
RORC	SRR10104066	67.23791804637341
RORC	SRR10104067	20.465142745408063
RORC	SRR10104068	36.16817315553083
RORC	SRR10104069	42.48261370184785
RORC	SRR10104070	37.065115964061036
RORC	SRR10104071	1.1619835297694339
RORC	SRR10104072	12.860678877537072
RORC	SRR10104073	28.23756626856896
RORC	SRR10104074	8.797778566351385
RORC	SRR10104075	12.702296514160636
RORC	SRR10104076	34.94601494166407
RORC	SRR10104077	17.66520371328575
RORC	SRR10104078	13.544978221018795
RORC	SRR10104079	16.392849006926728
RORC	SRR10104080	29.261130375367966
RORC	SRR10104081	43.683425582268114
RORC	SRR10104082	8.685178082248592
RORC	SRR10104083	12.787160477290993
RORC	SRR10104084	10.701241548355386
RORC	SRR10104085	8.179881703903469
RORC	SRR10104086	14.349062217718553
RORC	SRR10104087	55.17653926939575
RORC	SRR10104088	88.80245702179505
RORC	SRR10104089	7.970986880949892
RORC	SRR10104090	53.37828566263604
RORC	SRR10104091	20.858626150293333
RORC	SRR10104092	94.1871786030644
RORC	SRR10104093	2.0695424255078976
RORC	SRR10104094	1.0344440824548444
RORC	SRR10104095	27.443771123930812
RORC	SRR10104096	3.4499981487402307
RORC	SRR10104097	13.850628476630078
RORC	SRR10104098	64.88789228021193
RORC	SRR10104099	18.869666751091753
RORC	SRR10104100	50.434722743697876
RORC	SRR10104101	73.40725366896115
RORC	SRR10104102	24.368495243330628
RORC	SRR10104103	22.119503721995226
