Gene	sample	counts
RP11-1277A3.2	CM317	2.1053246445519345
RP11-1277A3.2	CMCD140	1.009412539419823
RP11-1277A3.2	CMCD147	21.852183766355655
RP11-1277A3.2	CMCD152	15
RP11-1277A3.2	CMCD154	24.23610060888888
RP11-1277A3.2	CMCD159	1.0879251488683968
RP11-1277A3.2	CMCD161	8.024748890949551
RP11-1277A3.2	CMCD174	1.0948567840005883
RP11-1277A3.2	CMCD196	7.0660061319644125
RP11-1277A3.2	CMCD198	1.0300283250532116
RP11-1277A3.2	CMCD203	46.14716210001362
RP11-1277A3.2	CMCD211	57.065810178816385
RP11-1277A3.2	CMCD227	28.77386758867095
RP11-1277A3.2	CMCD240	62.47070690268721
RP11-1277A3.2	CMCD259	25
RP11-1277A3.2	CMCD270	4.020864013139657
RP11-1277A3.2	CMCD275	1.0084296942715996
RP11-1277A3.2	CMCD282	1.0132644409952043
RP11-1277A3.2	CMCD286	77.47477321617686
RP11-1277A3.2	CMCD287	36
RP11-1277A3.2	CMCD294	1.065596706440916
RP11-1277A3.2	CMCD327	10.050944663962962
RP11-1277A3.2	CMCD335	1.0047021889912742
RP11-1277A3.2	CMCD337	7.0467912692322905
RP11-1277A3.2	CMCD357	3.0633767846226974
RP11-1277A3.2	CMCD398	16.093715273494436
RP11-1277A3.2	CMCD403	1.007163838991339
RP11-1277A3.2	CMCD422	8.016690283329007
RP11-1277A3.2	CMCD426	1.116263931526824
RP11-1277A3.2	CMCD71	3.0190003403329673
RP11-1277A3.2	CMCD72	8.074553139246875
RP11-1277A3.2	CMCD76	12.028096937544815
RP11-1277A3.2	CMCD88	5.000899571155219
RP11-1277A3.2	CMSA256	14
RP11-1277A3.2	CMSA316	12.096636001339363
RP11-1277A3.2	CMUC110	41
RP11-1277A3.2	CMUC192	4.053763883139217
RP11-1277A3.2	CMUC199	2.0577144715774764
RP11-1277A3.2	CMUC200	5.011707057310339
RP11-1277A3.2	CMUC208	11.026915867217228
RP11-1277A3.2	CMUC231	43
RP11-1277A3.2	CMUC234	39
RP11-1277A3.2	CMUC285	2.022094625161872
RP11-1277A3.2	CMUC291	2.013149443404326
RP11-1277A3.2	CMUC295	8.007199159238127
RP11-1277A3.2	CMUC299	2.0058876634288128
RP11-1277A3.2	CMUC301	10.005398398063464
RP11-1277A3.2	CMUC307	7.019535889137761
RP11-1277A3.2	CMUC313	15.63239955534962
RP11-1277A3.2	CMUC314	3.169718236414703
RP11-1277A3.2	CMUC323	5.119908772821227
RP11-1277A3.2	CMUC324	17.014027823161218
RP11-1277A3.2	CMUC331	7.063206939051874
RP11-1277A3.2	CMUC333	8.185883639747688
RP11-1277A3.2	CMUC334	1.0150985058157946
RP11-1277A3.2	CMUC346	7.075143263124834
RP11-1277A3.2	CMUC352	6.035624272798969
RP11-1277A3.2	CMUC360	9.012289061989295
RP11-1277A3.2	CMUC363	1.0265889217787814
RP11-1277A3.2	CMUC365	4.026358616516681
RP11-1277A3.2	CMUC366	12.03990713893479
RP11-1277A3.2	CMUC368	33
RP11-1277A3.2	CMUC377	8.032461398031169
RP11-1277A3.2	CMUC379	1.0726639181154598
RP11-1277A3.2	CMUC380	1.0182901744137063
RP11-1277A3.2	CMUC383	1.0141700299218512
RP11-1277A3.2	CMUC394	2.015114155053238
RP11-1277A3.2	CMUC419	1.0252656240112412
RP11-1277A3.2	CMUC427	29
RP11-1277A3.2	CMUC428	12.075263077075547
RP11-1277A3.2	CMUC431	14.025208394685196
RP11-1277A3.2	CMUC435	13.063348752562261
RP11-1277A3.2	CMUC439	14.08885882068437
RP11-1277A3.2	CMUC89	29
RP11-1277A3.2	CS219	3.007514863941259
RP11-1277A3.2	CS256	4.009066299998424
RP11-1277A3.2	CS257	1.097566066656918
RP11-1277A3.2	CS259	6.009273667363884
RP11-1277A3.2	CS261	3.07325209533422
RP11-1277A3.2	CS266	1.0363781441197382
RP11-1277A3.2	CS270	4.052601638157327
RP11-1277A3.2	CS277	17.562085389500233
RP11-1277A3.2	CS288	7.063206939051874
RP11-1277A3.2	CS290	2.0161338609361557
RP11-1277A3.2	CS292	4.056564501354822
RP11-1277A3.2	CS293	10.172480736076524
RP11-1277A3.2	CS301	1.0274424133190114
RP11-1277A3.2	CS306	1.0397105451448088
RP11-1277A3.2	CS308	1.026565738828589
RP11-1277A3.2	CS315	2.0561954655858563
RP11-1277A3.2	CS317	23.64207789719602
RP11-1277A3.2	CS322	9.120184247282792
RP11-1277A3.2	CS327	51.24223633184929
RP11-1277A3.2	CS328	1.059153926433811
RP11-1277A3.2	CS330	1.0796669003492032
RP11-1277A3.2	CS331	1.019195220950249
RP11-1277A3.2	CS335	10.106122784979464
RP11-1277A3.2	CS338	4.124201372660437
RP11-1277A3.2	CS339	4.698218212376444
RP11-1277A3.2	CS343	16.12681474818775
RP11-1277A3.2	CS344	8.113930019428983
RP11-1277A3.2	CS350	21.501473193620672
RP11-1277A3.2	CS351	1.008292756005706
RP11-1277A3.2	CS361	11.264497317507953
RP11-1277A3.2	CS388	1.0351454818099886
RP11-1277A3.2	CS396	27.291076456217912
RP11-1277A3.2	CS405	3.0764843351593063
RP11-1277A3.2	CS415	5.395443213097369
RP11-1277A3.2	CS424	1.0386323617220947
RP11-1277A3.2	IM293	1.005322867319879
RP11-1277A3.2	IM296	1.06935019510561
RP11-1277A3.2	IM297	1.1019019905718173
RP11-1277A3.2	IM300	20
RP11-1277A3.2	IM305	10.099842064147426
RP11-1277A3.2	IM309	23.563149726435796
RP11-1277A3.2	IM310	13.178382619321518
RP11-1277A3.2	IM311	1.0124319865829523
RP11-1277A3.2	IM316	2.010261141413037
RP11-1277A3.2	IM320	1.0484230527074043
RP11-1277A3.2	IM330	1.0105953506817906
RP11-1277A3.2	IM332	1.0316333002492235
RP11-1277A3.2	IM340	1.0589639229808667
RP11-1277A3.2	IM348	2.0759245831543525
RP11-1277A3.2	IM354	3.021657261777691
RP11-1277A3.2	IM356	4.036121065992491
RP11-1277A3.2	IM364	1.0175184396804131
RP11-1277A3.2	IM372	4
RP11-1277A3.2	IM374	14.711590231431613
RP11-1277A3.2	IM376	4.062427892069331
RP11-1277A3.2	IM381	1.0123531327920436
RP11-1277A3.2	IM382	1.032262770934483
RP11-1277A3.2	IM385	20
RP11-1277A3.2	IM390	1.0289440666365008
RP11-1277A3.2	IM397	1.0112919140863812
RP11-1277A3.2	IM404	6.016845830360168
RP11-1277A3.2	IM409	7.0394366987897685
RP11-1277A3.2	IM412	14
RP11-1277A3.2	IM421	5.079689331294419
RP11-1277A3.2	IM425	1.0558354963791774
RP11-1277A3.2	IM432	1.0435414961174108
RP11-1277A3.2	IM438	14
RP11-1277A3.2	IM442	3.1318688447471525
RP11-1277A3.2	IM445	5.058242209139383
RP11-1277A3.2	IM448	1.0233434391267064
RP11-1277A3.2	IM449	2.016647158311358
RP11-1277A3.2	IM451	11.056224322778442
RP11-1277A3.2	IMSA256	2.008142511628122
RP11-1277A3.2	IMSA276	64
RP11-1277A3.2	IMSA286	7
RP11-1277A3.2	IMSA343	1.0124150282865771
RP11-1277A3.2	IS_238	15
RP11-1277A3.2	IS238	25.580633111262916
RP11-1277A3.2	IS243	24
RP11-1277A3.2	IS253	24
RP11-1277A3.2	IS283	13
RP11-1277A3.2	IS322	5.05236040963326
RP11-1277A3.2	IS399	6.044352248683071
RP11-1277A3.2	IS418	5.4888191623266795
RP11-1277A3.2	IS430	2.1733312609909383
RP11-1277A3.2	IS437	2.168067538039958
RP11-1277A3.2	IS444	14.535779804868334
RP11-1277A3.2	R276CMSA	1.0669696277752094
RP11-1277A3.2	R286CMSA	8
RP11-1277A3.2	R292CMSA	6.024776445105733
RP11-1277A3.2	R292IMSA	1.0788219939158086
RP11-1277A3.2	R308CMSA	2.142417670524923
RP11-1277A3.2	R316IMSA	9.180526221429552
RP11-1277A3.2	R347CMSA	2.140104901670912
RP11-1277A3.2	R347IMSA	1.0673533354237588
RP11-1277A3.2	R371CMSA	8.032189959300805
RP11-1277A3.2	SRR10104064	1.1179560603118057
RP11-1277A3.2	SRR10104065	6.03517402559718
RP11-1277A3.2	SRR10104066	2.037578727795521
RP11-1277A3.2	SRR10104067	1.023521938291243
RP11-1277A3.2	SRR10104068	6.028213133947646
RP11-1277A3.2	SRR10104069	4.046032166011714
RP11-1277A3.2	SRR10104070	3.089042868615112
RP11-1277A3.2	SRR10104071	1.1645245250191503
RP11-1277A3.2	SRR10104072	2.1486091010944555
RP11-1277A3.2	SRR10104073	4.187328196357039
RP11-1277A3.2	SRR10104074	2.2074569855536246
RP11-1277A3.2	SRR10104075	1.1607977517009396
RP11-1277A3.2	SRR10104076	3.084174190942969
RP11-1277A3.2	SRR10104077	4.429899315131079
RP11-1277A3.2	SRR10104078	1.042551525819836
RP11-1277A3.2	SRR10104079	1.0967600863718163
RP11-1277A3.2	SRR10104080	1.1296658995583662
RP11-1277A3.2	SRR10104081	1.0158987613075914
RP11-1277A3.2	SRR10104082	2.178823809031098
RP11-1277A3.2	SRR10104083	1.0681434912332077
RP11-1277A3.2	SRR10104084	1.0726512519873828
RP11-1277A3.2	SRR10104085	2.0452615967543037
RP11-1277A3.2	SRR10104086	3.075273701830643
RP11-1277A3.2	SRR10104087	6.019359654023125
RP11-1277A3.2	SRR10104088	5.045571845289019
RP11-1277A3.2	SRR10104089	2.2897447951990215
RP11-1277A3.2	SRR10104090	1.0265578899448458
RP11-1277A3.2	SRR10104091	5.217856327563453
RP11-1277A3.2	SRR10104092	1.012780166831209
RP11-1277A3.2	SRR10104093	1.0356287123884913
RP11-1277A3.2	SRR10104094	1.035188083917684
RP11-1277A3.2	SRR10104095	2.114432647751122
RP11-1277A3.2	SRR10104096	1.154072664928297
RP11-1277A3.2	SRR10104097	2.136360809523323
RP11-1277A3.2	SRR10104098	3.0902772803883396
RP11-1277A3.2	SRR10104099	1.0493908160133256
RP11-1277A3.2	SRR10104100	3.0886467422879953
RP11-1277A3.2	SRR10104101	3.0167364521490883
RP11-1277A3.2	SRR10104102	2.030772423377125
RP11-1277A3.2	SRR10104103	2.1084371033773968
RP11-1277A3.2	SRR10104104	3.046636703619948
RP11-1277A3.2	SRR10104105	2.1745843115574206
