Gene	sample	counts
RP11-303E16.9	CM317	1.0526623222759672
RP11-303E16.9	CMCD140	1.009412539419823
RP11-303E16.9	CMCD147	3.121740538050808
RP11-303E16.9	CMCD152	9
RP11-303E16.9	CMCD154	1.00983752537037
RP11-303E16.9	CMCD159	1.0879251488683968
RP11-303E16.9	CMCD161	2.006187222737388
RP11-303E16.9	CMCD174	1.0948567840005883
RP11-303E16.9	CMCD196	2.018858894846975
RP11-303E16.9	CMCD198	1.0300283250532116
RP11-303E16.9	CMCD203	8.02559340869802
RP11-303E16.9	CMCD211	23.30857035472782
RP11-303E16.9	CMCD227	18.086431055736025
RP11-303E16.9	CMCD240	26.107161093660327
RP11-303E16.9	CMCD259	12
RP11-303E16.9	CMCD270	1.0052160032849142
RP11-303E16.9	CMCD275	1.0084296942715996
RP11-303E16.9	CMCD282	2.0265288819904086
RP11-303E16.9	CMCD286	31.17887214797361
RP11-303E16.9	CMCD287	29
RP11-303E16.9	CMCD294	7.459176945086412
RP11-303E16.9	CMCD327	5.025472331981481
RP11-303E16.9	CMCD335	1.0047021889912742
RP11-303E16.9	CMCD337	1.0066844670331845
RP11-303E16.9	CMCD357	1.0211255948742326
RP11-303E16.9	CMCD398	2.0117144091868044
RP11-303E16.9	CMCD403	1.007163838991339
RP11-303E16.9	CMCD422	2.0041725708322518
RP11-303E16.9	CMCD426	1.116263931526824
RP11-303E16.9	CMCD71	1.006333446777656
RP11-303E16.9	CMCD72	1.153507591320982
RP11-303E16.9	CMCD76	10.023414114620678
RP11-303E16.9	CMCD88	5.000899571155219
RP11-303E16.9	CMSA256	19
RP11-303E16.9	CMSA316	5.040265000558068
RP11-303E16.9	CMUC110	4
RP11-303E16.9	CMUC192	1.0134409707848042
RP11-303E16.9	CMUC199	1.0288572357887382
RP11-303E16.9	CMUC200	4.009365645848272
RP11-303E16.9	CMUC208	8.019575176157984
RP11-303E16.9	CMUC231	18
RP11-303E16.9	CMUC234	10
RP11-303E16.9	CMUC285	1.011047312580936
RP11-303E16.9	CMUC291	2.013149443404326
RP11-303E16.9	CMUC295	2.0017997898095317
RP11-303E16.9	CMUC299	1.0029438317144064
RP11-303E16.9	CMUC301	3.001619519419039
RP11-303E16.9	CMUC307	7.019535889137761
RP11-303E16.9	CMUC313	1.0421599703566413
RP11-303E16.9	CMUC314	1.0565727454715677
RP11-303E16.9	CMUC323	5.119908772821227
RP11-303E16.9	CMUC324	3.002475498204921
RP11-303E16.9	CMUC331	3.027088688165089
RP11-303E16.9	CMUC333	1.023235454968461
RP11-303E16.9	CMUC334	1.0150985058157946
RP11-303E16.9	CMUC346	1.0107347518749763
RP11-303E16.9	CMUC352	4.023749515199312
RP11-303E16.9	CMUC360	13.017750867317869
RP11-303E16.9	CMUC363	1.0265889217787814
RP11-303E16.9	CMUC365	7.046127578904192
RP11-303E16.9	CMUC366	4.01330237964493
RP11-303E16.9	CMUC368	12
RP11-303E16.9	CMUC377	6.024346048523376
RP11-303E16.9	CMUC379	15.017294853616438
RP11-303E16.9	CMUC380	1.0182901744137063
RP11-303E16.9	CMUC383	2.0283400598437025
RP11-303E16.9	CMUC394	10.075570775266188
RP11-303E16.9	CMUC419	1.0252656240112412
RP11-303E16.9	CMUC427	21
RP11-303E16.9	CMUC428	2.0125438461792577
RP11-303E16.9	CMUC431	3.0054017988611132
RP11-303E16.9	CMUC435	3.0146189428989834
RP11-303E16.9	CMUC439	9.05712352758281
RP11-303E16.9	CMUC89	15
RP11-303E16.9	CS219	3.007514863941259
RP11-303E16.9	CS256	4.009066299998424
RP11-303E16.9	CS257	2.195132133313836
RP11-303E16.9	CS259	2.003091222454628
RP11-303E16.9	CS261	1.0244173651114068
RP11-303E16.9	CS266	1.0363781441197382
RP11-303E16.9	CS270	1.0131504095393318
RP11-303E16.9	CS277	52.6862561685007
RP11-303E16.9	CS288	1.0090295627216963
RP11-303E16.9	CS290	1.0080669304680778
RP11-303E16.9	CS292	1.0141411253387056
RP11-303E16.9	CS293	1.0172480736076523
RP11-303E16.9	CS301	1.0274424133190114
RP11-303E16.9	CS306	1.0397105451448088
RP11-303E16.9	CS308	3.0796972164857666
RP11-303E16.9	CS315	1.0280977327929282
RP11-303E16.9	CS317	64.47839426508006
RP11-303E16.9	CS322	1.0133538052536437
RP11-303E16.9	CS327	9.042747587973404
RP11-303E16.9	CS328	10.59153926433811
RP11-303E16.9	CS330	1.0796669003492032
RP11-303E16.9	CS331	1.019195220950249
RP11-303E16.9	CS335	4.547755253240759
RP11-303E16.9	CS338	3.0931510294953277
RP11-303E16.9	CS339	1.174554553094111
RP11-303E16.9	CS343	3.0237777652852036
RP11-303E16.9	CS344	1.0142412524286228
RP11-303E16.9	CS350	10.238796758866986
RP11-303E16.9	CS351	5.041463780028531
RP11-303E16.9	CS361	4.096180842730165
RP11-303E16.9	CS388	1.0351454818099886
RP11-303E16.9	CS396	5.053903047447761
RP11-303E16.9	CS405	1.0254947783864354
RP11-303E16.9	CS415	1.079088642619474
RP11-303E16.9	CS424	1.0386323617220947
RP11-303E16.9	IM293	2.010645734639758
RP11-303E16.9	IM296	21.387003902112202
RP11-303E16.9	IM297	7.713313934002721
RP11-303E16.9	IM300	9
RP11-303E16.9	IM305	1.0099842064147424
RP11-303E16.9	IM309	58.90787431608949
RP11-303E16.9	IM310	4.0548869597912365
RP11-303E16.9	IM311	1.0124319865829523
RP11-303E16.9	IM316	8.041044565652149
RP11-303E16.9	IM320	1.0484230527074043
RP11-303E16.9	IM330	1.0105953506817906
RP11-303E16.9	IM332	60.86636471470418
RP11-303E16.9	IM340	60.3609436099094
RP11-303E16.9	IM348	1.0379622915771762
RP11-303E16.9	IM354	2.0144381745184607
RP11-303E16.9	IM356	41.37024092642304
RP11-303E16.9	IM364	7.122629077762892
RP11-303E16.9	IM372	15
RP11-303E16.9	IM374	1.0508278736736867
RP11-303E16.9	IM376	7.109248811121329
RP11-303E16.9	IM381	1.0123531327920436
RP11-303E16.9	IM382	1.032262770934483
RP11-303E16.9	IM385	5
RP11-303E16.9	IM390	1.0289440666365008
RP11-303E16.9	IM397	1.0112919140863812
RP11-303E16.9	IM404	4.011230553573445
RP11-303E16.9	IM409	2.011267628225648
RP11-303E16.9	IM412	2
RP11-303E16.9	IM421	1.0159378662588836
RP11-303E16.9	IM425	40.121748862408744
RP11-303E16.9	IM432	8.348331968939286
RP11-303E16.9	IM438	7
RP11-303E16.9	IM442	3.1318688447471525
RP11-303E16.9	IM445	1.0116484418278766
RP11-303E16.9	IM448	6.140060634760239
RP11-303E16.9	IM449	2.016647158311358
RP11-303E16.9	IM451	1.0051113020707674
RP11-303E16.9	IMSA256	5.020356279070305
RP11-303E16.9	IMSA276	9
RP11-303E16.9	IMSA286	5
RP11-303E16.9	IMSA343	1.0124150282865771
RP11-303E16.9	IS_238	6
RP11-303E16.9	IS238	7.162577271153617
RP11-303E16.9	IS243	10
RP11-303E16.9	IS253	7
RP11-303E16.9	IS283	3
RP11-303E16.9	IS322	1.010472081926652
RP11-303E16.9	IS399	7.05174429013025
RP11-303E16.9	IS418	1.0977638324653358
RP11-303E16.9	IS430	4.346662521981877
RP11-303E16.9	IS437	2.168067538039958
RP11-303E16.9	IS444	1.038269986062024
RP11-303E16.9	R276CMSA	1.0669696277752094
RP11-303E16.9	R286CMSA	7
RP11-303E16.9	R292CMSA	1.0041294075176221
RP11-303E16.9	R292IMSA	1.0788219939158086
RP11-303E16.9	R308CMSA	1.0712088352624616
RP11-303E16.9	R316IMSA	6.120350814286367
RP11-303E16.9	R347CMSA	14.980734311696386
RP11-303E16.9	R347IMSA	1.0673533354237588
RP11-303E16.9	R371CMSA	2.008047489825201
RP11-303E16.9	SRR10104064	1.1179560603118057
RP11-303E16.9	SRR10104065	2.01172467519906
RP11-303E16.9	SRR10104066	1.0187893638977605
RP11-303E16.9	SRR10104067	1.023521938291243
RP11-303E16.9	SRR10104068	1.0047021889912742
RP11-303E16.9	SRR10104069	1.0115080415029285
RP11-303E16.9	SRR10104070	1.0296809562050373
RP11-303E16.9	SRR10104071	2.3290490500383005
RP11-303E16.9	SRR10104072	1.0743045505472277
RP11-303E16.9	SRR10104073	1.0468320490892598
RP11-303E16.9	SRR10104074	1.1037284927768123
RP11-303E16.9	SRR10104075	1.1607977517009396
RP11-303E16.9	SRR10104076	1.0280580636476564
RP11-303E16.9	SRR10104077	1.1074748287827698
RP11-303E16.9	SRR10104078	1.042551525819836
RP11-303E16.9	SRR10104079	1.0967600863718163
RP11-303E16.9	SRR10104080	1.1296658995583662
RP11-303E16.9	SRR10104081	1.0158987613075914
RP11-303E16.9	SRR10104082	1.089411904515549
RP11-303E16.9	SRR10104083	1.0681434912332077
RP11-303E16.9	SRR10104084	1.0726512519873828
RP11-303E16.9	SRR10104085	1.0226307983771519
RP11-303E16.9	SRR10104086	2.0501824678870952
RP11-303E16.9	SRR10104087	1.0032266090038542
RP11-303E16.9	SRR10104088	1.0091143690578037
