Gene	sample	counts
RP11-309L24.4	CM317	7.3686362559317695
RP11-309L24.4	CMCD140	267.49432294625313
RP11-309L24.4	CMCD147	6.243481076101616
RP11-309L24.4	CMCD152	278
RP11-309L24.4	CMCD154	43.42301359092591
RP11-309L24.4	CMCD159	127.28724241760241
RP11-309L24.4	CMCD161	189.58469254868317
RP11-309L24.4	CMCD174	63.50169347203413
RP11-309L24.4	CMCD196	99.93351529492526
RP11-309L24.4	CMCD198	287.37790268984605
RP11-309L24.4	CMCD203	89.28472667176547
RP11-309L24.4	CMCD211	80.3743805335442
RP11-309L24.4	CMCD227	92.8984867862805
RP11-309L24.4	CMCD240	78.32148328098098
RP11-309L24.4	CMCD259	57
RP11-309L24.4	CMCD270	54.281664177385366
RP11-309L24.4	CMCD275	910.6120139272543
RP11-309L24.4	CMCD282	207.7192104040169
RP11-309L24.4	CMCD286	148.33584627975324
RP11-309L24.4	CMCD287	76
RP11-309L24.4	CMCD294	115.08444429561892
RP11-309L24.4	CMCD327	79.4024628453074
RP11-309L24.4	CMCD335	68.31974885140666
RP11-309L24.4	CMCD337	39.26069421429419
RP11-309L24.4	CMCD357	93.94355472842939
RP11-309L24.4	CMCD398	35.20500216076908
RP11-309L24.4	CMCD403	123.88115219593472
RP11-309L24.4	CMCD422	113.23575025202224
RP11-309L24.4	CMCD426	2.232527863053648
RP11-309L24.4	CMCD71	324.0393698624052
RP11-309L24.4	CMCD72	1.153507591320982
RP11-309L24.4	CMCD76	33.07726657824824
RP11-309L24.4	CMCD88	93.01673202348707
RP11-309L24.4	CMSA256	660
RP11-309L24.4	CMSA316	569.5499450630617
RP11-309L24.4	CMUC110	176
RP11-309L24.4	CMUC192	123.63979843574612
RP11-309L24.4	CMUC199	132.72258341674723
RP11-309L24.4	CMUC200	73.17092303673095
RP11-309L24.4	CMUC208	161.39395042017944
RP11-309L24.4	CMUC231	141
RP11-309L24.4	CMUC234	130
RP11-309L24.4	CMUC285	38.41979787807557
RP11-309L24.4	CMUC291	65.42735691064058
RP11-309L24.4	CMUC295	174.15658171342923
RP11-309L24.4	CMUC299	80.23550653715252
RP11-309L24.4	CMUC301	92.04966526218386
RP11-309L24.4	CMUC307	171.47723386322247
RP11-309L24.4	CMUC313	15.63239955534962
RP11-309L24.4	CMUC314	23.244600400374487
RP11-309L24.4	CMUC323	16.38370807302793
RP11-309L24.4	CMUC324	85.07013911580609
RP11-309L24.4	CMUC331	31.279916444372585
RP11-309L24.4	CMUC333	1.023235454968461
RP11-309L24.4	CMUC334	21.31706862213169
RP11-309L24.4	CMUC346	49.52600284187384
RP11-309L24.4	CMUC352	48.28499418239175
RP11-309L24.4	CMUC360	29.03959808863217
RP11-309L24.4	CMUC363	97.52594756898424
RP11-309L24.4	CMUC365	32.21086893213345
RP11-309L24.4	CMUC366	69.22946604887504
RP11-309L24.4	CMUC368	199
RP11-309L24.4	CMUC377	75.304325606542207
RP11-309L24.4	CMUC379	6.435983508692759
RP11-309L24.4	CMUC380	68.22544168571832
RP11-309L24.4	CMUC383	74.03441218429515
RP11-309L24.4	CMUC394	223.67767121090938
RP11-309L24.4	CMUC419	78.94545304886559
RP11-309L24.4	CMUC427	137
RP11-309L24.4	CMUC428	28.175613846509613
RP11-309L24.4	CMUC431	139.2502833472316
RP11-309L24.4	CMUC435	50.243649048316385
RP11-309L24.4	CMUC439	322.0310587584999
RP11-309L24.4	CMUC89	117
RP11-309L24.4	CS219	102.25550537400281
RP11-309L24.4	CS256	873.9764533996564
RP11-309L24.4	CS257	20.853755266481443
RP11-309L24.4	CS259	71.10973839713928
RP11-309L24.4	CS261	72.73363292290988
RP11-309L24.4	CS266	191.72995666215155
RP11-309L24.4	CS270	211.74843559372033
RP11-309L24.4	CS277	75.12669861063988
RP11-309L24.4	CS288	141.26413878103747
RP11-309L24.4	CS290	44.35494494059542
RP11-309L24.4	CS292	86.20199565378998
RP11-309L24.4	CS293	151.56996296754022
RP11-309L24.4	CS301	120.21076235832435
RP11-309L24.4	CS306	53.02523780238525
