Gene	sample	counts
RP11-360D2.2	CM317	1.0526623222759672
RP11-360D2.2	CMCD140	3.0282376182594692
RP11-360D2.2	CMCD147	1.0405801793502694
RP11-360D2.2	CMCD152	2
RP11-360D2.2	CMCD154	1.00983752537037
RP11-360D2.2	CMCD159	1.0879251488683968
RP11-360D2.2	CMCD161	1.003093611368694
RP11-360D2.2	CMCD174	1.0948567840005883
RP11-360D2.2	CMCD196	1.0094294474234875
RP11-360D2.2	CMCD198	1.0300283250532116
RP11-360D2.2	CMCD203	2.006398352174505
RP11-360D2.2	CMCD211	0.803743805335442
RP11-360D2.2	CMCD227	0.8221105025334557
RP11-360D2.2	CMCD240	0.9323986104878689
RP11-360D2.2	CMCD259	1
RP11-360D2.2	CMCD270	1.0052160032849142
RP11-360D2.2	CMCD275	7.059007859901196
RP11-360D2.2	CMCD282	2.0265288819904086
RP11-360D2.2	CMCD286	1.8896286150287038
RP11-360D2.2	CMCD287	1
RP11-360D2.2	CMCD294	1.065596706440916
RP11-360D2.2	CMCD327	1.0050944663962962
RP11-360D2.2	CMCD335	1.0047021889912742
RP11-360D2.2	CMCD337	2.013368934066369
RP11-360D2.2	CMCD357	1.0211255948742326
RP11-360D2.2	CMCD398	2.0117144091868044
RP11-360D2.2	CMCD403	1.007163838991339
RP11-360D2.2	CMCD422	1.0020862854161259
RP11-360D2.2	CMCD426	1.116263931526824
RP11-360D2.2	CMCD71	3.0190003403329673
RP11-360D2.2	CMCD72	8.074553139246875
RP11-360D2.2	CMCD76	1.002341411462068
RP11-360D2.2	CMCD88	1.0001799142310437
RP11-360D2.2	CMSA256	1
RP11-360D2.2	CMSA316	1.0080530001116137
RP11-360D2.2	CMUC110	1
RP11-360D2.2	CMUC192	3.0403229123544127
RP11-360D2.2	CMUC199	1.0288572357887382
RP11-360D2.2	CMUC200	1.002341411462068
RP11-360D2.2	CMUC208	4.009787588078992
RP11-360D2.2	CMUC231	1
RP11-360D2.2	CMUC234	1
RP11-360D2.2	CMUC285	1.011047312580936
RP11-360D2.2	CMUC291	3.0197241651064886
RP11-360D2.2	CMUC295	1.0008998949047658
RP11-360D2.2	CMUC299	1.0029438317144064
RP11-360D2.2	CMUC301	2.0010796796126926
RP11-360D2.2	CMUC307	1.0027908413053945
RP11-360D2.2	CMUC313	1.0421599703566413
RP11-360D2.2	CMUC314	1.0565727454715677
RP11-360D2.2	CMUC323	1.0239817545642456
RP11-360D2.2	CMUC324	1.000825166068307
RP11-360D2.2	CMUC331	1.0090295627216963
RP11-360D2.2	CMUC333	1.023235454968461
RP11-360D2.2	CMUC334	1.0150985058157946
RP11-360D2.2	CMUC346	2.0214695037499526
