Gene	sample	counts
RP11-405O10.2	CM317	4.210649289103869
RP11-405O10.2	CMCD140	41.385914116212746
RP11-405O10.2	CMCD147	4.1623207174010775
RP11-405O10.2	CMCD152	4
RP11-405O10.2	CMCD154	15.14756288055555
RP11-405O10.2	CMCD159	31.549829317183505
RP11-405O10.2	CMCD161	4.012374445474776
RP11-405O10.2	CMCD174	4.379427136002353
RP11-405O10.2	CMCD196	4.03771778969395
RP11-405O10.2	CMCD198	4.1201133002128465
RP11-405O10.2	CMCD203	15.047987641308787
RP11-405O10.2	CMCD211	3.214975221341768
RP11-405O10.2	CMCD227	3.288442010133823
RP11-405O10.2	CMCD240	10.256384715366558
RP11-405O10.2	CMCD259	4
RP11-405O10.2	CMCD270	4.020864013139657
RP11-405O10.2	CMCD275	4.033718777086398
RP11-405O10.2	CMCD282	4.053057763980817
RP11-405O10.2	CMCD286	10.39295738265787
RP11-405O10.2	CMCD287	4
RP11-405O10.2	CMCD294	4.262386825763664
RP11-405O10.2	CMCD327	4.020377865585185
RP11-405O10.2	CMCD335	4.018808755965097
RP11-405O10.2	CMCD337	4.026737868132738
RP11-405O10.2	CMCD357	4.08450237949693
RP11-405O10.2	CMCD398	4.023428818373609
RP11-405O10.2	CMCD403	4.028655355965356
RP11-405O10.2	CMCD422	4.0083451416645035
RP11-405O10.2	CMCD426	4.465055726107296
RP11-405O10.2	CMCD71	4.025333787110624
RP11-405O10.2	CMCD72	4.614030365283928
RP11-405O10.2	CMCD76	11.025755526082746
RP11-405O10.2	CMCD88	4.000719656924175
RP11-405O10.2	CMSA256	4
RP11-405O10.2	CMSA316	4.032212000446455
RP11-405O10.2	CMUC110	4
RP11-405O10.2	CMUC192	4.053763883139217
RP11-405O10.2	CMUC199	4.115428943154953
RP11-405O10.2	CMUC200	6.014048468772407
RP11-405O10.2	CMUC208	8.019575176157984
RP11-405O10.2	CMUC231	4
RP11-405O10.2	CMUC234	6
RP11-405O10.2	CMUC285	4.044189250323744
RP11-405O10.2	CMUC291	6.039448330212977
RP11-405O10.2	CMUC295	4.003599579619063
RP11-405O10.2	CMUC299	6.017662990286438
RP11-405O10.2	CMUC301	4.002159359225385
RP11-405O10.2	CMUC307	4.011163365221578
RP11-405O10.2	CMUC313	4.168639881426565
RP11-405O10.2	CMUC314	4.226290981886271
RP11-405O10.2	CMUC323	4.095927018256982
RP11-405O10.2	CMUC324	8.006601328546456
RP11-405O10.2	CMUC331	4.036118250886785
RP11-405O10.2	CMUC333	4.092941819873844
RP11-405O10.2	CMUC334	4.0603940232631786
RP11-405O10.2	CMUC346	4.042939007499905
RP11-405O10.2	CMUC352	4.023749515199312
RP11-405O10.2	CMUC360	4.005461805328575
RP11-405O10.2	CMUC363	4.106355687115125
RP11-405O10.2	CMUC365	4.026358616516681
RP11-405O10.2	CMUC366	4.01330237964493
RP11-405O10.2	CMUC368	4
RP11-405O10.2	CMUC377	4.016230699015584
RP11-405O10.2	CMUC379	4.290655672461839
RP11-405O10.2	CMUC380	4.073160697654825
RP11-405O10.2	CMUC383	4.056680119687405
RP11-405O10.2	CMUC394	4.030228310106476
RP11-405O10.2	CMUC419	13.328453112146137
RP11-405O10.2	CMUC427	8
RP11-405O10.2	CMUC428	4.0250876923585155
RP11-405O10.2	CMUC431	4.007202398481485
RP11-405O10.2	CMUC435	4.019491923865311
RP11-405O10.2	CMUC439	4.025388234481249
RP11-405O10.2	CMUC89	4
RP11-405O10.2	CS219	4.010019818588345
RP11-405O10.2	CS256	6.013599449997636
RP11-405O10.2	CS257	4.390264266627672
RP11-405O10.2	CS259	4.006182444909256
RP11-405O10.2	CS261	4.097669460445627
RP11-405O10.2	CS266	4.145512576478953
RP11-405O10.2	CS270	4.052601638157327
RP11-405O10.2	CS277	26.34312808425035
RP11-405O10.2	CS288	4.036118250886785
RP11-405O10.2	CS290	4.032267721872311
RP11-405O10.2	CS292	6.084846752032234
RP11-405O10.2	CS293	4.068992294430609
RP11-405O10.2	CS301	6.164654479914069
RP11-405O10.2	CS306	4.158842180579235
RP11-405O10.2	CS308	4.106262955314356
RP11-405O10.2	CS315	4.112390931171713
RP11-405O10.2	CS317	4.298559617672004
RP11-405O10.2	CS322	4.053415221014575
RP11-405O10.2	CS327	4.0189989279881795
RP11-405O10.2	CS328	4.236615705735244
RP11-405O10.2	CS330	4.318667601396813
RP11-405O10.2	CS331	4.076780883800996
RP11-405O10.2	CS335	14.653878038220222
RP11-405O10.2	CS338	4.124201372660437
RP11-405O10.2	CS339	4.698218212376444
RP11-405O10.2	CS343	13.10303698290255
RP11-405O10.2	CS344	4.056965009714491
RP11-405O10.2	CS350	4.095518703546794
RP11-405O10.2	CS351	15.124391340085591
RP11-405O10.2	CS361	4.096180842730165
RP11-405O10.2	CS388	4.140581927239954
