Gene	sample	counts
RP11-426C22.4	CM317	6.315973933655803
RP11-426C22.4	CMCD140	9.084712854778408
RP11-426C22.4	CMCD147	6.243481076101616
RP11-426C22.4	CMCD152	15
RP11-426C22.4	CMCD154	15.14756288055555
RP11-426C22.4	CMCD159	6.52755089321038
RP11-426C22.4	CMCD161	26.080433895586044
RP11-426C22.4	CMCD174	6.56914070400353
RP11-426C22.4	CMCD196	7.0660061319644125
RP11-426C22.4	CMCD198	6.18016995031927
RP11-426C22.4	CMCD203	25.079979402181312
RP11-426C22.4	CMCD211	81.17812433887964
RP11-426C22.4	CMCD227	69.05728221281028
RP11-426C22.4	CMCD240	8.39158749439082
RP11-426C22.4	CMCD259	17
RP11-426C22.4	CMCD270	15.078240049273713
RP11-426C22.4	CMCD275	15.126445414073991
RP11-426C22.4	CMCD282	6.079586645971226
RP11-426C22.4	CMCD286	25.5099863028875
RP11-426C22.4	CMCD287	15
RP11-426C22.4	CMCD294	6.393580238645496
RP11-426C22.4	CMCD327	15.076416995944442
RP11-426C22.4	CMCD335	17.079937212851664
RP11-426C22.4	CMCD337	11.073529137365028
RP11-426C22.4	CMCD357	6.126753569245395
RP11-426C22.4	CMCD398	20.117144091868045
RP11-426C22.4	CMCD403	6.042983033948035
RP11-426C22.4	CMCD422	11.022949139577387
RP11-426C22.4	CMCD426	6.697583589160943
RP11-426C22.4	CMCD71	9.057001020998902
RP11-426C22.4	CMCD72	6.9210455479258925
RP11-426C22.4	CMCD76	15.035121171931017
RP11-426C22.4	CMCD88	17.003058541927743
RP11-426C22.4	CMSA256	31
RP11-426C22.4	CMSA316	25.20132500279034
RP11-426C22.4	CMUC110	17
RP11-426C22.4	CMUC192	9.120968737063238
RP11-426C22.4	CMUC199	11.31742959367612
RP11-426C22.4	CMUC200	13.030438349006882
RP11-426C22.4	CMUC208	6.0146813821184875
RP11-426C22.4	CMUC231	34
RP11-426C22.4	CMUC234	25
RP11-426C22.4	CMUC285	15.16570968871404
RP11-426C22.4	CMUC291	17.11177026893677
RP11-426C22.4	CMUC295	16.014398318476253
RP11-426C22.4	CMUC299	46.1354162588627
RP11-426C22.4	CMUC301	15.008097597095196
RP11-426C22.4	CMUC307	36.1004702869942
RP11-426C22.4	CMUC313	6.2529598221398475
RP11-426C22.4	CMUC314	9.50915470924411
RP11-426C22.4	CMUC323	12.287781054770946
RP11-426C22.4	CMUC324	50.04125830341535
RP11-426C22.4	CMUC331	9.081266064495267
RP11-426C22.4	CMUC333	9.209119094716149
RP11-426C22.4	CMUC334	30.452955174473843
RP11-426C22.4	CMUC346	15.161021278124643
RP11-426C22.4	CMUC352	9.053436409198452
RP11-426C22.4	CMUC360	11.015019964653582
RP11-426C22.4	CMUC363	13.345655983124159
RP11-426C22.4	CMUC365	18.118613774325066
RP11-426C22.4	CMUC366	22.073163088047114
RP11-426C22.4	CMUC368	21
RP11-426C22.4	CMUC377	23.09332651933961
RP11-426C22.4	CMUC379	6.435983508692759
RP11-426C22.4	CMUC380	7.128031220895944
RP11-426C22.4	CMUC383	8.11336023937481
RP11-426C22.4	CMUC394	9.06801369773957
RP11-426C22.4	CMUC419	6.151593744067448
RP11-426C22.4	CMUC427	35
RP11-426C22.4	CMUC428	16.100350769434062
RP11-426C22.4	CMUC431	20.036011992407424
RP11-426C22.4	CMUC435	13.063348752562261
RP11-426C22.4	CMUC439	13.082511762064058
RP11-426C22.4	CMUC89	69
RP11-426C22.4	CS219	9.022544591823777
RP11-426C22.4	CS256	12.027198899995271
RP11-426C22.4	CS257	6.585396399941509
RP11-426C22.4	CS259	9.013910501045824
RP11-426C22.4	CS261	8.195338920891254
RP11-426C22.4	CS266	6.2182688647184285
RP11-426C22.4	CS270	6.078902457235991
RP11-426C22.4	CS277	35.124170779000465
RP11-426C22.4	CS288	16.14447300354714
RP11-426C22.4	CS290	9.0726023742127
RP11-426C22.4	CS292	7.09898787737094
RP11-426C22.4	CS293	6.103488441645915
RP11-426C22.4	CS301	9.246981719871103
RP11-426C22.4	CS306	6.238263270868853
RP11-426C22.4	CS308	6.159394432971533
RP11-426C22.4	CS315	6.168586396757569
RP11-426C22.4	CS317	6.447839426508006
RP11-426C22.4	CS322	6.080122831521861
RP11-426C22.4	CS327	13.061746515961584
RP11-426C22.4	CS328	6.3549235586028665
RP11-426C22.4	CS330	6.47800140209522
RP11-426C22.4	CS331	6.115171325701494
RP11-426C22.4	CS335	17.18040873446509
RP11-426C22.4	CS338	6.186302058990655
RP11-426C22.4	CS339	7.047327318564666
RP11-426C22.4	CS343	8.063407374093876
RP11-426C22.4	CS344	6.085447514571737
RP11-426C22.4	CS350	6.1432780553201916
RP11-426C22.4	CS351	9.074634804051355
RP11-426C22.4	CS361	7.1683164747777885
RP11-426C22.4	CS388	6.210872890859932
RP11-426C22.4	CS396	7.075464266426866
RP11-426C22.4	CS405	7.178463448705048
RP11-426C22.4	CS415	6.474531855716843
RP11-426C22.4	CS424	6.231794170332567
RP11-426C22.4	IM293	19.101134479077704
RP11-426C22.4	IM296	6.41610117063366
RP11-426C22.4	IM297	12.120921896289989
RP11-426C22.4	IM300	28
RP11-426C22.4	IM305	6.059905238488455
RP11-426C22.4	IM309	6.426313561755217
RP11-426C22.4	IM310	11.1509391394259
RP11-426C22.4	IM311	11.136751852412475
RP11-426C22.4	IM316	8.041044565652149
RP11-426C22.4	IM320	6.290538316244426
RP11-426C22.4	IM330	8.084762805454325
RP11-426C22.4	IM332	6.18979980149534
RP11-426C22.4	IM340	6.3537835378851995
RP11-426C22.4	IM348	7.265736041040234
RP11-426C22.4	IM354	12.086629047110764
RP11-426C22.4	IM356	22.198665862958702
RP11-426C22.4	IM364	6.105110638082479
RP11-426C22.4	IM372	14
RP11-426C22.4	IM374	6.304967242042119
RP11-426C22.4	IM376	6.093641838103996
RP11-426C22.4	IM381	12.148237593504522
RP11-426C22.4	IM382	6.193576625606897
RP11-426C22.4	IM385	34
RP11-426C22.4	IM390	6.173664399819005
RP11-426C22.4	IM397	10.112919140863813
RP11-426C22.4	IM404	7.019653468753529
RP11-426C22.4	IM409	10.056338141128242
RP11-426C22.4	IM412	16
RP11-426C22.4	IM421	11.175316528847722
RP11-426C22.4	IM425	6.335012978275065
RP11-426C22.4	IM432	6.261248976704465
RP11-426C22.4	IM438	20
RP11-426C22.4	IM442	6.263737689494305
RP11-426C22.4	IM445	6.069890650967259
RP11-426C22.4	IM448	6.140060634760239
