Gene	sample	counts
RP4-564F22.5	CM317	4.210649289103869
RP4-564F22.5	CMCD140	17.160013170136992
RP4-564F22.5	CMCD147	1.0405801793502694
RP4-564F22.5	CMCD152	12
RP4-564F22.5	CMCD154	10.0983752537037
RP4-564F22.5	CMCD159	29.37397901944671
RP4-564F22.5	CMCD161	12.037123336424328
RP4-564F22.5	CMCD174	1.0948567840005883
RP4-564F22.5	CMCD196	1.0094294474234875
RP4-564F22.5	CMCD198	5.150141625266058
RP4-564F22.5	CMCD203	14.044788465221535
RP4-564F22.5	CMCD211	4.018719026677211
RP4-564F22.5	CMCD227	14.797989045602202
RP4-564F22.5	CMCD240	9.323986104878689
RP4-564F22.5	CMCD259	21
RP4-564F22.5	CMCD270	3.0156480098547425
RP4-564F22.5	CMCD275	5.042148471357997
RP4-564F22.5	CMCD282	4.053057763980817
RP4-564F22.5	CMCD286	44.40627245317454
RP4-564F22.5	CMCD287	19
RP4-564F22.5	CMCD294	1.065596706440916
RP4-564F22.5	CMCD327	8.04075573117037
RP4-564F22.5	CMCD335	19.089341590834213
RP4-564F22.5	CMCD337	9.06016020329866
RP4-564F22.5	CMCD357	1.0211255948742326
RP4-564F22.5	CMCD398	7.041000432153816
RP4-564F22.5	CMCD403	30.214915169740173
RP4-564F22.5	CMCD422	8.016690283329007
RP4-564F22.5	CMCD426	1.116263931526824
RP4-564F22.5	CMCD71	4.025333787110624
RP4-564F22.5	CMCD72	1.153507591320982
RP4-564F22.5	CMCD76	9.02107270315861
RP4-564F22.5	CMCD88	9.001619228079393
RP4-564F22.5	CMSA256	27
RP4-564F22.5	CMSA316	7.056371000781295
RP4-564F22.5	CMUC110	7
RP4-564F22.5	CMUC192	10.134409707848041
RP4-564F22.5	CMUC199	1.0288572357887382
RP4-564F22.5	CMUC200	4.009365645848272
RP4-564F22.5	CMUC208	4.009787588078992
RP4-564F22.5	CMUC231	12
RP4-564F22.5	CMUC234	15
RP4-564F22.5	CMUC285	17.187804313875912
RP4-564F22.5	CMUC291	4.026298886808652
RP4-564F22.5	CMUC295	9.008099054142892
RP4-564F22.5	CMUC299	8.023550653715251
RP4-564F22.5	CMUC301	16.00863743690154
RP4-564F22.5	CMUC307	4.011163365221578
RP4-564F22.5	CMUC313	2.0843199407132826
RP4-564F22.5	CMUC314	1.0565727454715677
RP4-564F22.5	CMUC323	2.047963509128491
RP4-564F22.5	CMUC324	3.002475498204921
RP4-564F22.5	CMUC331	13.11738431538205
RP4-564F22.5	CMUC333	1.023235454968461
RP4-564F22.5	CMUC334	5.075492529078974
RP4-564F22.5	CMUC346	28.300573052499335
RP4-564F22.5	CMUC352	5.02968689399914
RP4-564F22.5	CMUC360	20.027309026642875
RP4-564F22.5	CMUC363	1.0265889217787814
RP4-564F22.5	CMUC365	1.0065896541291703
RP4-564F22.5	CMUC366	7.023279164378628
RP4-564F22.5	CMUC368	15
