Gene	sample	counts
RP4-710M16.2	CM317	3.156482060729763
RP4-710M16.2	CMCD140	7.065889845481991
RP4-710M16.2	CMCD147	1.0404565910580479
RP4-710M16.2	CMCD152	6
RP4-710M16.2	CMCD154	4.039597307908758
RP4-710M16.2	CMCD159	1.0863042186135794
RP4-710M16.2	CMCD161	5.015314740460419
RP4-710M16.2	CMCD174	1.092629434806816
RP4-710M16.2	CMCD196	2.0183794336520715
RP4-710M16.2	CMCD198	1.029495742835047
RP4-710M16.2	CMCD203	4.012957251380963
RP4-710M16.2	CMCD211	4.820272184746139
RP4-710M16.2	CMCD227	3.288442010133823
RP4-710M16.2	CMCD240	3.719864155725361
RP4-710M16.2	CMCD259	4
RP4-710M16.2	CMCD270	2.0103816269904455
RP4-710M16.2	CMCD275	12.102468866363722
RP4-710M16.2	CMCD282	3.0394823607755903
RP4-710M16.2	CMCD286	8.482534553629987
RP4-710M16.2	CMCD287	3
RP4-710M16.2	CMCD294	1.0639520056991958
RP4-710M16.2	CMCD327	4.020555149101134
RP4-710M16.2	CMCD335	3.0141162848195187
RP4-710M16.2	CMCD337	1.0066743151229853
RP4-710M16.2	CMCD357	3.0634513925593887
RP4-710M16.2	CMCD398	2.0120047154027207
RP4-710M16.2	CMCD403	1.0071810043238532
RP4-710M16.2	CMCD422	4.0083451416645035
RP4-710M16.2	CMCD426	1.1140469611806236
RP4-710M16.2	CMCD71	4.025545196110957
RP4-710M16.2	CMCD72	8.05752504315634
RP4-710M16.2	CMCD76	4.009188855725498
RP4-710M16.2	CMCD88	2.0003598284620874
RP4-710M16.2	CMSA256	5
RP4-710M16.2	CMSA316	33.26909887812611
RP4-710M16.2	CMUC110	5
RP4-710M16.2	CMUC192	4.053841798985123
RP4-710M16.2	CMUC199	1.0281874054164815
RP4-710M16.2	CMUC200	1.002341411462068
RP4-710M16.2	CMUC208	11.026915867217228
RP4-710M16.2	CMUC231	11
RP4-710M16.2	CMUC234	5
RP4-710M16.2	CMUC285	1.0111269374447733
RP4-710M16.2	CMUC291	2.0132087387102136
RP4-710M16.2	CMUC295	2.0017997898095317
RP4-710M16.2	CMUC299	2.0058540646903866
RP4-710M16.2	CMUC301	2.0010796796126926
RP4-710M16.2	CMUC307	2.0055203745681487
RP4-710M16.2	CMUC313	1.0420413939922741
RP4-710M16.2	CMUC314	1.055846512835873
RP4-710M16.2	CMUC323	1.0241049068913428
RP4-710M16.2	CMUC324	2.0017997898095317
RP4-710M16.2	CMUC331	1.0091574614003984
RP4-710M16.2	CMUC333	1.0232387540038606
RP4-710M16.2	CMUC334	1.0150130071590526
RP4-710M16.2	CMUC346	1.0108493839910517
RP4-710M16.2	CMUC352	2.01210793098542
RP4-710M16.2	CMUC360	1.0014402205102033
RP4-710M16.2	CMUC363	1.0263755677043285
RP4-710M16.2	CMUC365	1.0066923410699051
RP4-710M16.2	CMUC366	4.013395975498697
RP4-710M16.2	CMUC368	8
RP4-710M16.2	CMUC377	1.0040818938645244
RP4-710M16.2	CMUC379	1.0708063663103926
RP4-710M16.2	CMUC380	1.01827642435426
RP4-710M16.2	CMUC383	21.300005509574635
RP4-710M16.2	CMUC394	11.08383862444925
RP4-710M16.2	CMUC419	1.0249492522957178
RP4-710M16.2	CMUC427	4
RP4-710M16.2	CMUC428	2.0126941172406245
RP4-710M16.2	CMUC431	1.0018586198168056
RP4-710M16.2	CMUC435	4.0200776975448544
RP4-710M16.2	CMUC439	5.032180537907373
RP4-710M16.2	CMUC89	5
