Gene	sample	counts
RPL6P27	CM317	97.85094388262266
RPL6P27	CMCD140	167.56253062143008
RPL6P27	CMCD147	125.8952475180238
RPL6P27	CMCD152	214
RPL6P27	CMCD154	265.60352299500084
RPL6P27	CMCD159	9.776737967522214
RPL6P27	CMCD161	284.8698772581518
RPL6P27	CMCD174	46.98306569669309
RPL6P27	CMCD196	231.10444515316217
RPL6P27	CMCD198	132.80495082572105
RPL6P27	CMCD203	62.200837396404935
RPL6P27	CMCD211	93.19192890509203
RPL6P27	CMCD227	73.16783472547756
RPL6P27	CMCD240	142.28480395649504
RPL6P27	CMCD259	217
RPL6P27	CMCD270	131.67999656787418
RPL6P27	CMCD275	212.80174423356212
RPL6P27	CMCD282	188.4479063680866
RPL6P27	CMCD286	85.76784937559209
RPL6P27	CMCD287	102
RPL6P27	CMCD294	65.96502435335013
RPL6P27	CMCD327	197.0072023059556
RPL6P27	CMCD335	108.50818625350267
RPL6P27	CMCD337	135.90103254160303
RPL6P27	CMCD357	138.87646312935894
RPL6P27	CMCD398	106.63624991634421
RPL6P27	CMCD403	239.70907902907703
RPL6P27	CMCD422	144.30042509992214
RPL6P27	CMCD426	38.99164364132183
RPL6P27	CMCD71	164.0409667415215
RPL6P27	CMCD72	11.510750061651917
RPL6P27	CMCD76	258.59268119429464
RPL6P27	CMCD88	191.03436361812933
RPL6P27	CMSA256	146
RPL6P27	CMSA316	136.10085904687952
RPL6P27	CMUC110	189
RPL6P27	CMUC192	153.0325279116884
RPL6P27	CMUC199	111.04423978498
RPL6P27	CMUC200	310.72583755324104
RPL6P27	CMUC208	520.2699395532492
RPL6P27	CMUC231	136
RPL6P27	CMUC234	158
RPL6P27	CMUC285	216.38116461318148
RPL6P27	CMUC291	167.09632531294773
RPL6P27	CMUC295	199.17907908604838
RPL6P27	CMUC299	140.40978452832707
RPL6P27	CMUC301	153.082595490371
RPL6P27	CMUC307	178.49131333656524
RPL6P27	CMUC313	85.44739430736648
RPL6P27	CMUC314	86.57941405254158
RPL6P27	CMUC323	57.34987478591519
RPL6P27	CMUC324	124.11158696819095
RPL6P27	CMUC331	143.30035951885657
RPL6P27	CMUC333	100.27739789237832
RPL6P27	CMUC334	90.33615763715568
RPL6P27	CMUC346	216.3217681740851
RPL6P27	CMUC352	154.93231068587735
RPL6P27	CMUC360	138.19875043040804
RPL6P27	CMUC363	60.556158494555376
RPL6P27	CMUC365	83.55546430880212
RPL6P27	CMUC366	147.4923020995771
RPL6P27	CMUC368	178
RPL6P27	CMUC377	146.59595650422057
RPL6P27	CMUC379	71.7440265427963
RPL6P27	CMUC380	107.93730098155154
RPL6P27	CMUC383	299.2143631106913
RPL6P27	CMUC394	213.615798943931
RPL6P27	CMUC419	121.9689610231904
RPL6P27	CMUC427	359
RPL6P27	CMUC428	179.12977643441556
RPL6P27	CMUC431	165.30667226977292
RPL6P27	CMUC435	167.83824387249769
RPL6P27	CMUC439	106.68222740363632
RPL6P27	CMUC89	190
RPL6P27	CS219	246.6094752001185
RPL6P27	CS256	136.31142446180797
RPL6P27	CS257	29.549533793444045
RPL6P27	CS259	375.57960421024274
RPL6P27	CS261	169.95462392353198
RPL6P27	CS266	127.40101689767758
RPL6P27	CS270	202.60190081263505
RPL6P27	CS277	47.272480203205085
RPL6P27	CS288	321.87601728170364
RPL6P27	CS290	206.63829163842996
RPL6P27	CS292	249.438964708245
RPL6P27	CS293	175.91480637039965
RPL6P27	CS301	106.78156774051092
RPL6P27	CS306	159.98467803689732
RPL6P27	CS308	84.17928244690896
RPL6P27	CS315	96.63371856317386
RPL6P27	CS317	19.301372280915032
RPL6P27	CS322	190.52272170673137
RPL6P27	CS327	167.7949829983964
RPL6P27	CS328	43.32180927465108
RPL6P27	CS330	15.076063636221752
RPL6P27	CS331	111.04915687102392
RPL6P27	CS335	27.259851740709397
RPL6P27	CS338	141.2240801988533
RPL6P27	CS339	12.878302512938143
RPL6P27	CS343	267.14091166741207
RPL6P27	CS344	47.66416903628951
RPL6P27	CS350	108.46323004349622
RPL6P27	CS351	307.53512783556164
RPL6P27	CS361	57.343462055018435
RPL6P27	CS388	90.04180556974639
RPL6P27	CS396	88.95953408171894
RPL6P27	CS405	94.33426584762513
RPL6P27	CS415	63.53703095667337
RPL6P27	CS424	46.69298826581621
RPL6P27	IM293	127.67735686614476
RPL6P27	IM296	111.01964320807453
RPL6P27	IM297	6.592619325948013
RPL6P27	IM300	271
RPL6P27	IM305	164.63816392660053
RPL6P27	IM309	67.29933311297086
RPL6P27	IM310	127.73373226573077
RPL6P27	IM311	269.31886273240036
RPL6P27	IM316	107.55493955069787
RPL6P27	IM320	117.33229067931869
RPL6P27	IM330	102.07004231388636
RPL6P27	IM332	56.6834162632547
RPL6P27	IM340	90.84009262265457
