Gene	sample	counts
RPS13P2	CM317	3.156482060729763
RPS13P2	CMCD140	22.20708237151483
RPS13P2	CMCD147	5.20228295529024
RPS13P2	CMCD152	19
RPS13P2	CMCD154	35.34647644420163
RPS13P2	CMCD159	1.0863042186135794
RPS13P2	CMCD161	13.039818325197091
RPS13P2	CMCD174	7.648406043647713
RPS13P2	CMCD196	138.2589912051669
RPS13P2	CMCD198	17.5014276281958
RPS13P2	CMCD203	8.025914502761927
RPS13P2	CMCD211	8.033786974576898
RPS13P2	CMCD227	7.398994522801101
RPS13P2	CMCD240	17.669354739695464
RPS13P2	CMCD259	19
RPS13P2	CMCD270	21.10900708339968
RPS13P2	CMCD275	12.102468866363722
RPS13P2	CMCD282	37.48694911623228
RPS13P2	CMCD286	2.8275115178766623
RPS13P2	CMCD287	8
RPS13P2	CMCD294	13.831376074089546
RPS13P2	CMCD327	20.10277574550567
RPS13P2	CMCD335	13.061170567551248
RPS13P2	CMCD337	9.060068836106868
RPS13P2	CMCD357	11.23265510605109
RPS13P2	CMCD398	12.072028292416325
RPS13P2	CMCD403	20.143620086477064
RPS13P2	CMCD422	15.03129428124189
RPS13P2	CMCD426	1.1140469611806236
RPS13P2	CMCD71	20.127725980554786
RPS13P2	CMCD72	2.302150012330383
RPS13P2	CMCD76	28.06432199007849
RPS13P2	CMCD88	12.002158970772523
RPS13P2	CMSA256	25
RPS13P2	CMSA316	6.048927068750201
RPS13P2	CMUC110	24
RPS13P2	CMUC192	14.188446296447928
RPS13P2	CMUC199	11.310061459581297
RPS13P2	CMUC200	34.079607989710304
RPS13P2	CMUC208	33.08074760165168
RPS13P2	CMUC231	13
RPS13P2	CMUC234	11
RPS13P2	CMUC285	18.20028487400592
RPS13P2	CMUC291	13.085856801616389
RPS13P2	CMUC295	13.011698633761956
RPS13P2	CMUC299	7.020489226416354
RPS13P2	CMUC301	12.006478077676157
RPS13P2	CMUC307	21.05796393296556
RPS13P2	CMUC313	5.21020696996137
RPS13P2	CMUC314	10.55846512835873
RPS13P2	CMUC323	6.144629441348056
RPS13P2	CMUC324	12.01079873885719
RPS13P2	CMUC331	16.146519382406375
RPS13P2	CMUC333	7.162671278027023
RPS13P2	CMUC334	8.120104057272421
RPS13P2	CMUC346	13.141041991883673
RPS13P2	CMUC352	6.036323792956261
RPS13P2	CMUC360	2.0028804410204066
RPS13P2	CMUC363	3.079126703112985
RPS13P2	CMUC365	7.046846387489335
RPS13P2	CMUC366	8.026791950997394
RPS13P2	CMUC368	24
RPS13P2	CMUC377	16.06531030183239
RPS13P2	CMUC379	1.0708063663103926
RPS13P2	CMUC380	11.201040667896859
RPS13P2	CMUC383	20.285719532928226
RPS13P2	CMUC394	16.121947090107998
RPS13P2	CMUC419	13.32434027984433
RPS13P2	CMUC427	34
RPS13P2	CMUC428	19.12059411378593
RPS13P2	CMUC431	21.039031016152915
RPS13P2	CMUC435	18.090349638951846
RPS13P2	CMUC439	4.025744430325899
RPS13P2	CMUC89	14
RPS13P2	CS219	21.052028370741823
RPS13P2	CS256	23.052667372217524
RPS13P2	CS257	6.566563065209788
RPS13P2	CS259	25.03864028068285
RPS13P2	CS261	6.142938214103566
RPS13P2	CS266	7.250464376290594
RPS13P2	CS270	13.16912355282128
RPS13P2	CS277	7.717955951543688
RPS13P2	CS288	24.21637747573946
RPS13P2	CS290	23.183808330165313
RPS13P2	CS292	12.16775437601195
RPS13P2	CS293	19.32012324299187
RPS13P2	CS301	4.1069833746350355
RPS13P2	CS306	11.427477002635523
RPS13P2	CS308	6.159459691237241
RPS13P2	CS315	12.336219391043471
RPS13P2	CS317	1.0722984600508352
RPS13P2	CS322	27.36230577703057
RPS13P2	CS327	16.076166035774506
RPS13P2	CS328	1.0566294945036847
RPS13P2	CS330	2.1537233766031076
RPS13P2	CS331	9.169196438891884
RPS13P2	CS335	1.0096241385447924
RPS13P2	CS338	17.524155937083986
RPS13P2	CS339	1.1707547739034676
RPS13P2	CS343	23.185814974907462
RPS13P2	CS344	8.113050048730129
RPS13P2	CS350	4.092952077113065
RPS13P2	CS351	36.2992282035417
RPS13P2	CS361	6.14394236303769
RPS13P2	CS388	19.664302365806684
RPS13P2	CS396	25.272594909579247
RPS13P2	CS405	16.40595927784785
RPS13P2	CS415	6.461392978644749
RPS13P2	CS424	6.225731768775495
RPS13P2	IM293	17.090669816728038
RPS13P2	IM296	5.337482846542044
RPS13P2	IM297	5.4938494382900105
RPS13P2	IM300	35
RPS13P2	IM305	15.150751281589004
RPS13P2	IM309	6.409460296473415
RPS13P2	IM310	19.26143581784829
RPS13P2	IM311	13.162200058350393
RPS13P2	IM316	15.077795264116524
RPS13P2	IM320	9.428487643873822
RPS13P2	IM330	3.0317834350659316
RPS13P2	IM332	1.0306075684228129
RPS13P2	IM340	10.56280146775053
RPS13P2	IM348	5.1848073135329775
RPS13P2	IM354	13.094232964310153
RPS13P2	IM356	1.0086100524478088
RPS13P2	IM364	6.104320100897669
RPS13P2	IM372	12.999879332287763
RPS13P2	IM374	4.197806120707555
RPS13P2	IM376	7.106218021464685
RPS13P2	IM381	48.60267796794695
RPS13P2	IM382	3.0955218047546893
RPS13P2	IM385	16
RPS13P2	IM390	21.60277978417047
RPS13P2	IM397	14.159385259895036
RPS13P2	IM404	15.043237728832867
RPS13P2	IM409	18.103121829830442
RPS13P2	IM412	38
RPS13P2	IM421	10.158984637588823
RPS13P2	IM425	1.0543133661346646
RPS13P2	IM432	8.336114914548988
RPS13P2	IM438	36
RPS13P2	IM442	3.1278291843562753
RPS13P2	IM445	11.127102768630577
RPS13P2	IM448	22.506563008930488
RPS13P2	IM449	10.084465858122732
RPS13P2	IM451	18.09335431693983
RPS13P2	IMSA256	22.090182863532448
RPS13P2	IMSA276	10
RPS13P2	IMSA286	27
RPS13P2	IMSA343	11.13772865568299
RPS13P2	IS_238	15
RPS13P2	IS238	37.87551843659907
RPS13P2	IS243	10
RPS13P2	IS253	11
RPS13P2	IS283	35
RPS13P2	IS322	13.138316411316763
RPS13P2	IS399	3.02175888068164
RPS13P2	IS418	1.0947511027862358
RPS13P2	IS430	3.254264519491249
RPS13P2	IS437	1.0822383787243768
RPS13P2	IS444	4.151398890597223
RPS13P2	R276CMSA	7.4544787155303895
RPS13P2	R286CMSA	15
RPS13P2	R292CMSA	19.079944794241033
RPS13P2	R292IMSA	12.922500832773089
RPS13P2	R308CMSA	11.773899748164995
RPS13P2	R316IMSA	14.278110755690976
RPS13P2	R347CMSA	1.0679448775774594
RPS13P2	R347IMSA	10.654084912781196
RPS13P2	R371CMSA	27.107899835361327
RPS13P2	SRR10104064	493.0956441508954
RPS13P2	SRR10104065	5479.95568322805
RPS13P2	SRR10104066	2171.988504164668
RPS13P2	SRR10104067	2810.8873560817974
RPS13P2	SRR10104068	2746.771816867258
RPS13P2	SRR10104069	3998.4231419858233
RPS13P2	SRR10104070	2071.528147769189
RPS13P2	SRR10104071	74.36694590524377
RPS13P2	SRR10104072	883.099949590879
RPS13P2	SRR10104073	851.3103312079678
RPS13P2	SRR10104074	934.7639726748346
RPS13P2	SRR10104075	545.0439958803473
RPS13P2	SRR10104076	1450.2596200790588
RPS13P2	SRR10104077	653.6125373915727
RPS13P2	SRR10104078	1461.815726468413
RPS13P2	SRR10104079	854.6138615611135
RPS13P2	SRR10104080	785.5488077694939
RPS13P2	SRR10104081	2127.281236494638
RPS13P2	SRR10104082	1095.4180856236037
RPS13P2	SRR10104083	613.7837029099676
RPS13P2	SRR10104084	1597.6953631694591
RPS13P2	SRR10104085	1799.5739748587632
RPS13P2	SRR10104086	1246.3185469104114
RPS13P2	SRR10104087	4031.9002058854817
RPS13P2	SRR10104088	2736.7302663989567
RPS13P2	SRR10104089	628.5692511834771
RPS13P2	SRR10104090	1873.3725256598225
RPS13P2	SRR10104091	1145.1385756511038
RPS13P2	SRR10104092	3015.002480659384
RPS13P2	SRR10104093	1709.4420434695235
RPS13P2	SRR10104094	2024.4070693641304
RPS13P2	SRR10104095	1897.842326185677
RPS13P2	SRR10104096	646.2996531973365
RPS13P2	SRR10104097	654.1758372808359
RPS13P2	SRR10104098	1687.0851992855103
RPS13P2	SRR10104099	1639.5643777059724
RPS13P2	SRR10104100	1340.122632903972
RPS13P2	SRR10104101	3450.1409224411736
RPS13P2	SRR10104102	2605.398283099433
RPS13P2	SRR10104103	885.8334585808565
RPS13P2	SRR10104104	2258.507590596083
RPS13P2	SRR10104105	688.207912665791
RPS13P2	SRR10104106	799.2662812772982
RPS13P2	SRR10104107	3645.6230928409877
RPS13P2	SRR10104108	3780.758700647919
RPS13P2	SRR10104109	874.2777327517363
RPS13P2	SRR10104110	335.2894917391294
RPS13P2	SRR10104111	2388.229205180423
RPS13P2	SRR10104112	364.1009516671758
RPS13P2	SRR10104113	1545.101558051119
RPS13P2	SRR10104114	533.5911406156797
RPS13P2	SRR10104115	681.9830200125615
RPS13P2	SRR10104116	1487.6249315633015
RPS13P2	SRR10104117	1367.7092750672266
RPS13P2	SRR10104118	541.851391102741
RPS13P2	SRR10104119	529.3411001695102
RPS13P2	SRR10104120	1646.985843249171
RPS13P2	SRR10104121	706.0531250104211
RPS13P2	SRR10104122	840.5901365248617
RPS13P2	SRR10104123	1067.706971615518
RPS13P2	SRR10104124	969.4017912302763
RPS13P2	SRR10104125	918.9924299888494
RPS13P2	SRR10104126	1442.9779117549426
RPS13P2	SRR10104127	314.07027978439146
RPS13P2	SRR10104128	1319.124306969418
RPS13P2	SRR10104129	1539.63789671671
RPS13P2	SRR10104130	995.2076707798046
RPS13P2	SRR10104131	2633.5651511929887
RPS13P2	SRR10104132	3538.419343156944
RPS13P2	SRR10104133	408.7336440163142
RPS13P2	SRR10104134	1155.1013390932044
RPS13P2	SRR10104135	610.9502650736056
RPS13P2	SRR10104136	2103.190745227562
RPS13P2	SRR10104137	564.466402277195
RPS13P2	SRR10104138	186.99915617206415
RPS13P2	SRR10104139	2414.1743267294128
RPS13P2	SRR10104140	382.6812634941559
RPS13P2	SRR10104141	795.913655781971
RPS13P2	SRR10104142	1234.8771880727797
RPS13P2	SRR10104143	3291.7518148850922
RPS13P2	SRR10104144	1006.9679678393688
RPS13P2	SRR10104145	1258.2746547783936
RPS13P2	SRR10104146	2683.591928868016
RPS13P2	SRR10104147	4311.355641743447
RPS13P2	SRR10104148	689.8110012748803
RPS13P2	SRR10104149	1097.2036635469972
RPS13P2	SRR10104150	1785.5659308560673
RPS13P2	SRR10104151	2397.222814454691
RPS13P2	SRR10104152	3777.1205875329847
RPS13P2	SRR10104153	405.5665498979113
RPS13P2	SRR10104154	1318.2151458688575
RPS13P2	SRR10104155	634.7321567537127
RPS13P2	SRR10104156	4756.266098477314
RPS13P2	SRR10104157	958.7955363571357
RPS13P2	SRR10104158	1656.4329949074327
RPS13P2	SRR10104159	2037.4976413630454
RPS13P2	SRR10104160	458.23930414944175
RPS13P2	SRR10104161	4370.529680826752
RPS13P2	SRR10104162	3042.0556353026677
RPS13P2	SRR10104163	737.6860756517832
RPS13P2	SRR10104164	1358.213559077754
RPS13P2	SRR10104165	1067.1757295615487
RPS13P2	SRR10104166	630.9128967588821
RPS13P2	SRR10104167	1248.6441002257754
RPS13P2	SRR10104168	1825.4527275828207
RPS13P2	SRR10104169	831.2051235150287
RPS13P2	SRR10104170	735.5645511930828
RPS13P2	SRR10104171	756.8128360020036
RPS13P2	SRR10104172	1624.8026440552628
RPS13P2	SRR10104173	899.3518250948276
RPS13P2	SRR10104174	1236.9109455212224
RPS13P2	SRR10104175	1442.9749516182612
