Gene	sample	counts
SDC1	CM317	1424.2521220393835
SDC1	CMCD140	4776.540136534602
SDC1	CMCD147	1292.4005827530345
SDC1	CMCD152	2616
SDC1	CMCD154	1249.1690188831476
SDC1	CMCD159	2119.2781899956367
SDC1	CMCD161	3435.5956189377766
SDC1	CMCD174	2893.7064801135552
SDC1	CMCD196	5593.248568173544
SDC1	CMCD198	3844.0657090985856
SDC1	CMCD203	1191.8006211916559
SDC1	CMCD211	1880.7605044849345
SDC1	CMCD227	2158.0400691503214
SDC1	CMCD240	3547.776712906341
SDC1	CMCD259	2315
SDC1	CMCD270	3393.6092270898703
SDC1	CMCD275	3770.5186268815105
SDC1	CMCD282	6184.966147834727
SDC1	CMCD286	4894.138112924343
SDC1	CMCD287	3634
SDC1	CMCD294	3050.8033705403427
SDC1	CMCD327	1552.8709505822776
SDC1	CMCD335	1577.3824367163006
SDC1	CMCD337	2473.423735500534
SDC1	CMCD357	1340.7379060698672
SDC1	CMCD398	1292.5265079025219
SDC1	CMCD403	1589.304537928333
SDC1	CMCD422	1798.744882321946
SDC1	CMCD426	1375.2371636410471
SDC1	CMCD71	2989.8166703764155
SDC1	CMCD72	1552.6212179180418
SDC1	CMCD76	2387.5772421026454
SDC1	CMCD88	5851.052498251605
SDC1	CMSA256	3425
SDC1	CMSA316	1295.3481051434235
SDC1	CMUC110	3519
SDC1	CMUC192	4733.78277453582
SDC1	CMUC199	5534.223071307623
SDC1	CMUC200	4383.238992323622
SDC1	CMUC208	3596.779466506856
SDC1	CMUC231	1229
SDC1	CMUC234	5601
SDC1	CMUC285	2852.1644687908206
SDC1	CMUC291	2757.008162742224
SDC1	CMUC295	3545.1874277526804
SDC1	CMUC299	5274.481610986063
SDC1	CMUC301	4757.5669382791775
SDC1	CMUC307	5926.493872114881
SDC1	CMUC313	1374.60900090041
SDC1	CMUC314	1312.263349875687
SDC1	CMUC323	1328.1043356698265
SDC1	CMUC324	2324.916860776677
SDC1	CMUC331	1461.0748068210162
SDC1	CMUC333	1404.902279671697
SDC1	CMUC334	1728.7127554042984
SDC1	CMUC346	1737.4530384730842
SDC1	CMUC352	1665.8322992925155
SDC1	CMUC360	1287.755970413137
SDC1	CMUC363	1990.5559193290571
SDC1	CMUC365	1696.103567207652
SDC1	CMUC366	1526.0582298599845
SDC1	CMUC368	1561
SDC1	CMUC377	1687.8209512612993
SDC1	CMUC379	1464.1862482276026
SDC1	CMUC380	3889.868466260358
SDC1	CMUC383	1432.008082249654
SDC1	CMUC394	1498.2373742820823
SDC1	CMUC419	2278.140216552978
SDC1	CMUC427	2292
SDC1	CMUC428	1335.3228419399377
SDC1	CMUC431	1818.2680883109736
SDC1	CMUC435	1359.5931432474415
SDC1	CMUC439	1291.1432762098607
SDC1	CMUC89	3964
SDC1	CS219	4198.4907500619975
SDC1	CS256	3412.7176878736586
SDC1	CS257	1656.2271945852895
SDC1	CS259	3040.692475686125
SDC1	CS261	2846.8558576445994
SDC1	CS266	3127.7892389533695
SDC1	CS270	2753.742813127904
SDC1	CS277	1974.7589349082484
SDC1	CS288	2810.147332179924
SDC1	CS290	3347.7902760844863
SDC1	CS292	3570.7909023175825
SDC1	CS293	4120.8719461846
SDC1	CS301	3619.6796221228774
SDC1	CS306	3452.8787204259097
SDC1	CS308	1440.27173157651
SDC1	CS315	1518.500351335155
SDC1	CS317	1291.7171651104372
SDC1	CS322	1277.8391484248446
SDC1	CS327	1235.8421703563652
SDC1	CS328	1422.4437232006082
SDC1	CS330	1480.2233203787578
SDC1	CS331	3921.8632102165584
SDC1	CS335	615.9681837444983
SDC1	CS338	1330.054942682991
SDC1	CS339	1420.0364546907804
SDC1	CS343	1277.0421428721177
SDC1	CS344	1317.499386904781
SDC1	CS350	1405.7867949924373
SDC1	CS351	1900.631845070756
SDC1	CS361	1248.3111118220177
SDC1	CS388	1301.1778706351556
SDC1	CS396	1200.8073640735881
SDC1	CS405	1272.6390199775665
SDC1	CS415	1321.8835872088555
SDC1	CS424	1569.373498562085
SDC1	IM293	3370.8475741235548
SDC1	IM296	1895.9578959222465
SDC1	IM297	1210.9902876384272
SDC1	IM300	4282
SDC1	IM305	3141.050881949849
SDC1	IM309	1305.6127052966017
SDC1	IM310	1186.0544357389367
SDC1	IM311	1486.2501563037738
SDC1	IM316	1250.3824299589091
SDC1	IM320	1404.8868906279217
SDC1	IM330	1149.046913725196
SDC1	IM332	1201.8527947903453
SDC1	IM340	1201.9240525832836
SDC1	IM348	1187.4288615642895
SDC1	IM354	1733.4240491731352
SDC1	IM356	1115.987474746924
SDC1	IM364	1215.9345354180937
SDC1	IM372	1196
SDC1	IM374	1171.6730791461605
SDC1	IM376	1164.9011980508806
SDC1	IM381	1297.8367162393997
SDC1	IM382	1544.2651053179864
SDC1	IM385	1379
SDC1	IM390	1356.1482798269083
SDC1	IM397	1223.6632160445213
SDC1	IM404	1320.6976597640569
SDC1	IM409	1236.9295913587737
SDC1	IM412	1333
SDC1	IM421	1247.5716997659092
SDC1	IM425	1158.2515395279577
SDC1	IM432	1365.9958184176908
SDC1	IM438	1182
SDC1	IM442	1504.3410017602155
SDC1	IM445	1705.6392729217998
SDC1	IM448	1149.2146821392914
SDC1	IM449	1326.9538301688735
SDC1	IM451	1381.0229290452344
SDC1	IMSA256	3445.9725499538577
SDC1	IMSA276	3175
SDC1	IMSA286	4758
SDC1	IMSA343	1221.9849391418986
SDC1	IS_238	3889
SDC1	IS238	4810.693862904104
SDC1	IS243	4814
SDC1	IS253	3151
SDC1	IS283	3129
SDC1	IS322	1276.2262394733616
SDC1	IS399	1169.5821601201742
SDC1	IS418	1214.1267987066615
SDC1	IS430	1221.4121686769074
SDC1	IS437	1206.5295849192366
SDC1	IS444	1178.436434180397
SDC1	R276CMSA	2918.161931965198
SDC1	R286CMSA	5340
SDC1	R292CMSA	2363.7206252964825
SDC1	R292IMSA	2177.062783722102
SDC1	R308CMSA	1314.3732408670405
SDC1	R316IMSA	1202.6489350072713
SDC1	R347CMSA	1353.6163503068522
SDC1	R347IMSA	1277.621942502239
SDC1	R371CMSA	1418.6855515615046
SDC1	SRR10104064	1258.8185239110933
SDC1	SRR10104065	3547.6764647135424
SDC1	SRR10104066	3856.117742353024
SDC1	SRR10104067	2214.90147446225
SDC1	SRR10104068	3256.23979452072
SDC1	SRR10104069	4351.507594545598
SDC1	SRR10104070	1336.5258811541385
SDC1	SRR10104071	428.54502520704733
SDC1	SRR10104072	1256.9363241402566
SDC1	SRR10104073	1190.2480398144883
SDC1	SRR10104074	823.381455611502
SDC1	SRR10104075	1013.3764372349203
SDC1	SRR10104076	2239.1104626245956
SDC1	SRR10104077	1247.0166572093988
SDC1	SRR10104078	2062.1669180716353
SDC1	SRR10104079	1039.728561880482
SDC1	SRR10104080	1262.9664757062535
SDC1	SRR10104081	3651.1401481394837
SDC1	SRR10104082	812.7012807685995
SDC1	SRR10104083	1102.3240829526706
SDC1	SRR10104084	2597.961332313441
SDC1	SRR10104085	1861.1880530464166
SDC1	SRR10104086	2528.900074138732
SDC1	SRR10104087	5658.198074781738
SDC1	SRR10104088	4077.8311653625847
SDC1	SRR10104089	1457.4225621441772
SDC1	SRR10104090	2418.5703887100567
SDC1	SRR10104091	1948.3475527121932
SDC1	SRR10104092	4010.609460651588
SDC1	SRR10104093	1844.4547367639027
SDC1	SRR10104094	1194.6070488410073
SDC1	SRR10104095	3429.6097546523197
SDC1	SRR10104096	1379.116834589315
SDC1	SRR10104097	1698.4068435710417
SDC1	SRR10104098	2955.335172478049
SDC1	SRR10104099	2163.8438626194775
SDC1	SRR10104100	2377.2284426476604
SDC1	SRR10104101	6243.6388771312295
SDC1	SRR10104102	4015.852467228265
SDC1	SRR10104103	1778.4666966988343
SDC1	SRR10104104	2880.0872304887243
SDC1	SRR10104105	1326.4964300500264
SDC1	SRR10104106	763.7580819631809
SDC1	SRR10104107	6776.185162716928
SDC1	SRR10104108	6067.439028130503
SDC1	SRR10104109	788.8528535131577
SDC1	SRR10104110	736.9273250849342
SDC1	SRR10104111	3242.622384019821
SDC1	SRR10104112	842.0905814510458
SDC1	SRR10104113	1967.7832604270968
SDC1	SRR10104114	634.7189087343545
SDC1	SRR10104115	1135.4671607578216
SDC1	SRR10104116	2804.6942670989565
SDC1	SRR10104117	3295.064441237619
SDC1	SRR10104118	1109.396282964727
SDC1	SRR10104119	610.0191721219028
SDC1	SRR10104120	1676.1008890509677
SDC1	SRR10104121	1454.12051610198
SDC1	SRR10104122	1162.1721050602032
SDC1	SRR10104123	1431.9146139286356
SDC1	SRR10104124	968.7427904766946
SDC1	SRR10104125	1936.6646206715843
SDC1	SRR10104126	1048.6656452454442
SDC1	SRR10104127	758.8271936854637
SDC1	SRR10104128	2284.9217307770914
SDC1	SRR10104129	2657.596542619479
SDC1	SRR10104130	1773.823331205004
SDC1	SRR10104131	3331.601941720655
SDC1	SRR10104132	4372.410580314345
SDC1	SRR10104133	956.9822331672952
SDC1	SRR10104134	1898.4771686399026
SDC1	SRR10104135	830.6451920062353
SDC1	SRR10104136	2213.946028200384
SDC1	SRR10104137	1071.0847327159008
SDC1	SRR10104138	670.2058741754772
SDC1	SRR10104139	4449.081125591304
SDC1	SRR10104140	1191.249582168957
SDC1	SRR10104141	1665.6759853535127
SDC1	SRR10104142	1149.2794489199296
SDC1	SRR10104143	3267.5991742686006
SDC1	SRR10104144	571.84937481903
SDC1	SRR10104145	956.4294840311848
SDC1	SRR10104146	4791.726928939301
SDC1	SRR10104147	7326.622527060937
SDC1	SRR10104148	1873.6539092046612
SDC1	SRR10104149	1131.9021168789827
SDC1	SRR10104150	4259.043093829917
SDC1	SRR10104151	4393.422064970516
SDC1	SRR10104152	7039.362117340494
SDC1	SRR10104153	1448.4125165296925
SDC1	SRR10104154	2609.01925769897
SDC1	SRR10104155	691.7427226478586
SDC1	SRR10104156	3062.4173302328863
SDC1	SRR10104157	1582.8858675093172
SDC1	SRR10104158	3061.872366203592
SDC1	SRR10104159	3869.463703786604
SDC1	SRR10104160	1046.7947808189547
SDC1	SRR10104161	5443.378016413608
SDC1	SRR10104162	5186.526609654875
SDC1	SRR10104163	2597.459011142146
SDC1	SRR10104164	2241.343254203338
SDC1	SRR10104165	1525.71341172777
SDC1	SRR10104166	1797.540858601842
SDC1	SRR10104167	2489.186629534853
SDC1	SRR10104168	4471.371208898907
SDC1	SRR10104169	1402.2984855386148
SDC1	SRR10104170	2556.113910929735
SDC1	SRR10104171	1784.1593975527344
SDC1	SRR10104172	1977.929637958576
SDC1	SRR10104173	1743.8659018368876
SDC1	SRR10104174	2862.7279044359307
SDC1	SRR10104175	1549.8481836493156
SDC1	SRR10104176	2301.1623272822403
SDC1	SRR10104177	2299.363914483369
SDC1	SRR10104178	2266.3392319908453
SDC1	SRR10104179	2455.5983504036662
SDC1	SRR10104180	2873.298055308243
SDC1	SRR10104181	1995.0749738661063
SDC1	SRR10104182	2808.0893148507844
SDC1	SRR10104183	1437.8777293554347
SDC1	SRR10104184	2435.685546365964
SDC1	SRR10104185	796.7523893353775
SDC1	SRR10104186	1325.219637093433
SDC1	SRR10104187	801.523962524187
SDC1	SRR10104188	1053.3271079458407
SDC1	SRR10104189	1602.7329080963905
SDC1	SRR10104190	1683.2995858119539
