Gene	sample	counts
SDHDP6	CM317	1.0526623222759672
SDHDP6	CMCD140	1.009412539419823
SDHDP6	CMCD147	1.0405801793502694
SDHDP6	CMCD152	7
SDHDP6	CMCD154	1.00983752537037
SDHDP6	CMCD159	1.0879251488683968
SDHDP6	CMCD161	5.01546805684347
SDHDP6	CMCD174	1.0948567840005883
SDHDP6	CMCD196	7.0660061319644125
SDHDP6	CMCD198	1.0300283250532116
SDHDP6	CMCD203	14.044788465221535
SDHDP6	CMCD211	0.803743805335442
SDHDP6	CMCD227	8.221105025334557
SDHDP6	CMCD240	7.459188883902951
SDHDP6	CMCD259	25
SDHDP6	CMCD270	2.0104320065698285
SDHDP6	CMCD275	1.0084296942715996
SDHDP6	CMCD282	5.0663222049760215
SDHDP6	CMCD286	12.282585997686574
SDHDP6	CMCD287	11
SDHDP6	CMCD294	1.065596706440916
SDHDP6	CMCD327	1.0050944663962962
SDHDP6	CMCD335	9.04231970092147
SDHDP6	CMCD337	11.073529137365028
SDHDP6	CMCD357	1.0211255948742326
SDHDP6	CMCD398	8.046857636747218
SDHDP6	CMCD403	7.050146872939374
SDHDP6	CMCD422	3.006258856248378
SDHDP6	CMCD426	1.116263931526824
SDHDP6	CMCD71	1.006333446777656
SDHDP6	CMCD72	1.153507591320982
SDHDP6	CMCD76	2.004682822924136
SDHDP6	CMCD88	4.000719656924175
SDHDP6	CMSA256	16
SDHDP6	CMSA316	1.0080530001116137
SDHDP6	CMUC110	19
SDHDP6	CMUC192	1.0134409707848042
SDHDP6	CMUC199	1.0288572357887382
SDHDP6	CMUC200	8.018731291696543
SDHDP6	CMUC208	1.002446897019748
SDHDP6	CMUC231	13
SDHDP6	CMUC234	21
SDHDP6	CMUC285	1.011047312580936
SDHDP6	CMUC291	3.0197241651064886
SDHDP6	CMUC295	2.0017997898095317
SDHDP6	CMUC299	1.0029438317144064
SDHDP6	CMUC301	2.0010796796126926
SDHDP6	CMUC307	5.013954206526972
SDHDP6	CMUC313	1.0421599703566413
SDHDP6	CMUC314	2.1131454909431353
SDHDP6	CMUC323	5.119908772821227
SDHDP6	CMUC324	19.01567815529783
SDHDP6	CMUC331	5.045147813608481
