Gene	sample	counts
SGPP2	CM317	500.0146030810844
SGPP2	CMCD140	1133.5702817684612
SGPP2	CMCD147	475.5451419630731
SGPP2	CMCD152	2355
SGPP2	CMCD154	477.653149500185
SGPP2	CMCD159	437.3459098450955
SGPP2	CMCD161	1305.024788390671
SGPP2	CMCD174	582.463809088313
SGPP2	CMCD196	1013.4671652131815
SGPP2	CMCD198	880.674217920496
SGPP2	CMCD203	615.964294117573
SGPP2	CMCD211	844.7347394075496
SGPP2	CMCD227	1670.528541147982
SGPP2	CMCD240	3029.363085475086
SGPP2	CMCD259	1943
SGPP2	CMCD270	1247.4730600765786
SGPP2	CMCD275	1019.522420908587
SGPP2	CMCD282	830.8768416160676
SGPP2	CMCD286	3715.0098571464314
SGPP2	CMCD287	4008
SGPP2	CMCD294	537.0607400462217
SGPP2	CMCD327	658.336875489574
SGPP2	CMCD335	596.7931002608169
SGPP2	CMCD337	745.9531900715896
SGPP2	CMCD357	545.2810676628402
SGPP2	CMCD398	544.1687476850307
SGPP2	CMCD403	781.5591390572791
SGPP2	CMCD422	764.5918357725042
SGPP2	CMCD426	520.1789920914999
SGPP2	CMCD71	1111.9984586893097
SGPP2	CMCD72	474.09162003292363
SGPP2	CMCD76	2213.1698365082457
SGPP2	CMCD88	2952.531106810041
SGPP2	CMSA256	2217
SGPP2	CMSA316	502.01039405558356
SGPP2	CMUC110	1988
SGPP2	CMUC192	716.5027663448566
SGPP2	CMUC199	612.1700552942992
SGPP2	CMUC200	1733.0483004179152
SGPP2	CMUC208	1102.6915867217228
SGPP2	CMUC231	540
SGPP2	CMUC234	1229
SGPP2	CMUC285	670.3243682411605
SGPP2	CMUC291	813.3123751353476
SGPP2	CMUC295	1582.4227338444348
SGPP2	CMUC299	2599.6304118037415
SGPP2	CMUC301	2335.2599861080125
SGPP2	CMUC307	855.3805876335015
SGPP2	CMUC313	465.84550674941863
SGPP2	CMUC314	456.4394260437172
SGPP2	CMUC323	556.0220927283852
SGPP2	CMUC324	533.4398135144075
SGPP2	CMUC331	744.6638172886119
SGPP2	CMUC333	476.82772201530287
SGPP2	CMUC334	694.3273779780036
SGPP2	CMUC346	537.7108879974874
SGPP2	CMUC352	519.0636874607113
SGPP2	CMUC360	505.6895529227326
SGPP2	CMUC363	639.5648982681809
SGPP2	CMUC365	554.6308994251729
SGPP2	CMUC366	516.7126813792847
SGPP2	CMUC368	1207
SGPP2	CMUC377	558.2560671631662
SGPP2	CMUC379	503.07937759615066
SGPP2	CMUC380	588.5717208111222
SGPP2	CMUC383	549.6801562176435
SGPP2	CMUC394	500.7558675307296
SGPP2	CMUC419	732.0396555440263
SGPP2	CMUC427	1403
SGPP2	CMUC428	593.7004346228811
SGPP2	CMUC431	682.2262083414728
SGPP2	CMUC435	676.2795161903385
SGPP2	CMUC439	590.7257234101232
SGPP2	CMUC89	1708
SGPP2	CS219	1315.2865004969774
SGPP2	CS256	1760.9823722743079
SGPP2	CS257	481.83150326238706
SGPP2	CS259	1026.5842515079967
SGPP2	CS261	532.6970298579315
SGPP2	CS266	748.2650200544509
SGPP2	CS270	805.4545755837687
SGPP2	CS277	518.0815189902569
SGPP2	CS288	994.9031488435925
SGPP2	CS290	1395.1646317678196
SGPP2	CS292	819.4260292736742
SGPP2	CS293	598.1418672812996
SGPP2	CS301	634.9594114311491
SGPP2	CS306	611.3498005451476
SGPP2	CS308	594.3815627817529
SGPP2	CS315	516.10506186205
SGPP2	CS317	432.0052415760364
SGPP2	CS322	603.9588679311715
SGPP2	CS327	714.377059449899
SGPP2	CS328	451.1995726608035
SGPP2	CS330	442.66342914317335
SGPP2	CS331	1574.6566163681348
SGPP2	CS335	234.96735475077253
SGPP2	CS338	517.5872722688848
SGPP2	CS339	550.8660854011381
SGPP2	CS343	578.5494790912356
SGPP2	CS344	639.986230282461
SGPP2	CS350	494.53388345327545
SGPP2	CS351	1010.3093415177175
SGPP2	CS361	564.2489110860802
SGPP2	CS388	467.88575777811485
SGPP2	CS396	571.091044361597
SGPP2	CS405	477.8805667280789
SGPP2	CS415	446.7426980444622
SGPP2	CS424	542.1660928189334
SGPP2	IM293	959.0780154231646
SGPP2	IM296	490.831739553475
SGPP2	IM297	461.69693404959145
SGPP2	IM300	2378
SGPP2	IM305	1031.193874749452
SGPP2	IM309	458.4103674052055
SGPP2	IM310	582.8900004699902
SGPP2	IM311	501.15383335856137
SGPP2	IM316	522.6678967673897
SGPP2	IM320	488.56514256165036
SGPP2	IM330	491.14934043135025
SGPP2	IM332	421.9380198019324
SGPP2	IM340	440.5289919600405
SGPP2	IM348	488.88023933285
SGPP2	IM354	1014.269620870045
