Gene	sample	counts
SH3BP2	CM317	678.9671978679988
SH3BP2	CMCD140	1998.6368280512497
SH3BP2	CMCD147	940.6844821326434
SH3BP2	CMCD152	1638
SH3BP2	CMCD154	1002.7686626927774
SH3BP2	CMCD159	1095.5406249104756
SH3BP2	CMCD161	1633.0363993082337
SH3BP2	CMCD174	878.0751407684719
SH3BP2	CMCD196	1717.0394900673523
SH3BP2	CMCD198	1628.4747819091276
SH3BP2	CMCD203	1641.233852078745
SH3BP2	CMCD211	2960.188435050433
SH3BP2	CMCD227	3694.56459838535
SH3BP2	CMCD240	2790.6690411901914
SH3BP2	CMCD259	2366
SH3BP2	CMCD270	1570.1473971310359
SH3BP2	CMCD275	1369.447524820832
SH3BP2	CMCD282	2424.741807301524
SH3BP2	CMCD286	3570.453268096736
SH3BP2	CMCD287	2899
SH3BP2	CMCD294	1356.5046072992861
SH3BP2	CMCD327	2239.350471130948
SH3BP2	CMCD335	1949.122246643072
SH3BP2	CMCD337	1132.5200254123324
SH3BP2	CMCD357	1128.3437823360268
SH3BP2	CMCD398	1280.456221447401
SH3BP2	CMCD403	2078.786163678124
SH3BP2	CMCD422	1428.9750430033957
SH3BP2	CMCD426	690.967373615104
SH3BP2	CMCD71	1614.15884863136
SH3BP2	CMCD72	675.9554485140955
SH3BP2	CMCD76	1827.2683930953497
SH3BP2	CMCD88	2790.501960704612
SH3BP2	CMSA256	1842
SH3BP2	CMSA316	971.7630921075955
SH3BP2	CMUC110	2327
SH3BP2	CMUC192	1369.1587515302704
SH3BP2	CMUC199	1351.918407826402
SH3BP2	CMUC200	1870.3690737882187
SH3BP2	CMUC208	1394.4036337544694
SH3BP2	CMUC231	2247
SH3BP2	CMUC234	2163
SH3BP2	CMUC285	1115.1851857767724
SH3BP2	CMUC291	2586.8970347745585
SH3BP2	CMUC295	1300.1689634812908
SH3BP2	CMUC299	1725.0633905487791
SH3BP2	CMUC301	2020.0899365690134
SH3BP2	CMUC307	1525.244869625505
SH3BP2	CMUC313	761.8189383307048
SH3BP2	CMUC314	767.071813212358
SH3BP2	CMUC323	991.2143384181896
SH3BP2	CMUC324	1384.1412046724686
SH3BP2	CMUC331	985.8218827790972
SH3BP2	CMUC333	814.495422154895
SH3BP2	CMUC334	1156.1971981241902
SH3BP2	CMUC346	1381.6744058130926
SH3BP2	CMUC352	1302.6889055457775
SH3BP2	CMUC360	1033.4091457747725
SH3BP2	CMUC363	1029.668688544118
SH3BP2	CMUC365	1224.0130194210712
SH3BP2	CMUC366	1664.5171619577347
SH3BP2	CMUC368	1670
SH3BP2	CMUC377	1847.4661215471688
SH3BP2	CMUC379	813.0792499315186
SH3BP2	CMUC380	1226.0213699941023
SH3BP2	CMUC383	2145.9837833146375
SH3BP2	CMUC394	1145.5923971477657
SH3BP2	CMUC419	1354.3758893188499
SH3BP2	CMUC427	2769
SH3BP2	CMUC428	1722.7375323294448
SH3BP2	CMUC431	1680.0196055633623
SH3BP2	CMUC435	2293.1201425651598
SH3BP2	CMUC439	1056.664411551328
SH3BP2	CMUC89	1718
SH3BP2	CS219	1594.9853828435143
SH3BP2	CS256	1266.864950799502
SH3BP2	CS257	800.1256625928933
SH3BP2	CS259	1711.6414495874794
SH3BP2	CS261	1759.9490332613966
SH3BP2	CS266	1238.471882223087
SH3BP2	CS270	1372.8188049257944
SH3BP2	CS277	929.8148542329845
SH3BP2	CS288	1169.465263194446
SH3BP2	CS290	1339.7209505920755
SH3BP2	CS292	1562.7914741469453
SH3BP2	CS293	1319.3707514691253
SH3BP2	CS301	1309.9890769817396
SH3BP2	CS306	1170.7140738330547
SH3BP2	CS308	768.897738382613
SH3BP2	CS315	820.4219907687567
SH3BP2	CS317	673.7992200700866
SH3BP2	CS322	853.2439040235679
SH3BP2	CS327	1082.1154613608173
SH3BP2	CS328	688.4500521819772
SH3BP2	CS330	735.2531591378074
SH3BP2	CS331	1533.8888075301247
SH3BP2	CS335	401.2130745636847
SH3BP2	CS338	982.590977036349
SH3BP2	CS339	638.9576768831964
SH3BP2	CS343	1145.0038471213304
SH3BP2	CS344	966.5719135644775
SH3BP2	CS350	951.1842188987431
SH3BP2	CS351	1696.9567083576035
SH3BP2	CS361	830.5006658635409
SH3BP2	CS388	970.9664619377693
SH3BP2	CS396	1126.0095989713611
SH3BP2	CS405	723.9993135408234
SH3BP2	CS415	728.3848337681449
SH3BP2	CS424	845.446742441785
SH3BP2	IM293	1512.0055924490982
SH3BP2	IM296	1378.3924014911313
SH3BP2	IM297	837.4455128345811
SH3BP2	IM300	2552
SH3BP2	IM305	1332.1691682610453
SH3BP2	IM309	698.3260737107336
SH3BP2	IM310	1197.2053748783626
