Gene	sample	counts
SLC16A7	CM317	12.631947867311606
SLC16A7	CMCD140	25.235313485495578
SLC16A7	CMCD147	1.0405801793502694
SLC16A7	CMCD152	316
SLC16A7	CMCD154	55.54106389537035
SLC16A7	CMCD159	1.0879251488683968
SLC16A7	CMCD161	116.3588589187685
SLC16A7	CMCD174	25.181706032013533
SLC16A7	CMCD196	8.0754355793879
SLC16A7	CMCD198	12.36033990063854
SLC16A7	CMCD203	654.0858628088886
SLC16A7	CMCD211	471.7976137319045
SLC16A7	CMCD227	388.0361571957911
SLC16A7	CMCD240	247.08563177928525
SLC16A7	CMCD259	418
SLC16A7	CMCD270	41.21385613468148
SLC16A7	CMCD275	37.31189868804918
SLC16A7	CMCD282	11.145908850947247
SLC16A7	CMCD286	376.03609439071204
SLC16A7	CMCD287	266
SLC16A7	CMCD294	4.262386825763664
SLC16A7	CMCD327	69.35151818134443
SLC16A7	CMCD335	55.258620394520086
SLC16A7	CMCD337	85.56817969782067
SLC16A7	CMCD357	47.99290295908893
SLC16A7	CMCD398	109.63843530068084
SLC16A7	CMCD403	109.78085845005596
SLC16A7	CMCD422	191.39848051448007
SLC16A7	CMCD426	3.3487917945804715
SLC16A7	CMCD71	55.34833957277107
SLC16A7	CMCD72	1.153507591320982
SLC16A7	CMCD76	105.24584820351713
SLC16A7	CMCD88	126.0226691931115
SLC16A7	CMSA256	217
SLC16A7	CMSA316	201.61060002232273
SLC16A7	CMUC110	397
SLC16A7	CMUC192	30.403229123544126
SLC16A7	CMUC199	13.375144065253597
SLC16A7	CMUC200	110.25755526082746
SLC16A7	CMUC208	89.21777383475757
SLC16A7	CMUC231	1071
SLC16A7	CMUC234	414
SLC16A7	CMUC285	68.75121725550365
SLC16A7	CMUC291	144.94675992511145
SLC16A7	CMUC295	51.045894640143054
SLC16A7	CMUC299	217.6388114820262
SLC16A7	CMUC301	222.1198444370089
SLC16A7	CMUC307	170.47444302191707
SLC16A7	CMUC313	26.053999258916033
SLC16A7	CMUC314	11.622300200187244
SLC16A7	CMUC323	26.62352561867038
SLC16A7	CMUC324	189.15595638691002
SLC16A7	CMUC331	49.442448573363116
SLC16A7	CMUC333	29.67382819408537
SLC16A7	CMUC334	35.528447703552814
SLC16A7	CMUC346	38.4079205712491
SLC16A7	CMUC352	97.57592574358333
SLC16A7	CMUC360	56.076465274600054
SLC16A7	CMUC363	28.74448980980588
SLC16A7	CMUC365	73.48104475142944
SLC16A7	CMUC366	353.1706094087538
SLC16A7	CMUC368	228
