Gene	sample	counts
SLC35B3	CM317	404.2223317539714
SLC35B3	CMCD140	464.3297681331186
SLC35B3	CMCD147	407.9074303053056
SLC35B3	CMCD152	871
SLC35B3	CMCD154	426.1514357062961
SLC35B3	CMCD159	372.07040091299166
SLC35B3	CMCD161	595.8376051530042
SLC35B3	CMCD174	365.6821658561965
SLC35B3	CMCD196	420.9320795755943
SLC35B3	CMCD198	371.8402253442094
SLC35B3	CMCD203	486.55160040231743
SLC35B3	CMCD211	636.5650938256701
SLC35B3	CMCD227	729.2120157471752
SLC35B3	CMCD240	1171.0926547727634
SLC35B3	CMCD259	978
SLC35B3	CMCD270	605.1400339775183
SLC35B3	CMCD275	433.62476853678777
SLC35B3	CMCD282	418.4782141310194
SLC35B3	CMCD286	1113.9360685594208
SLC35B3	CMCD287	1158
SLC35B3	CMCD294	358.0404933641478
SLC35B3	CMCD327	505.562516597337
SLC35B3	CMCD335	536.5109689213405
SLC35B3	CMCD337	473.14169950559665
SLC35B3	CMCD357	378.8375956983403
SLC35B3	CMCD398	485.82902981861326
SLC35B3	CMCD403	489.4816257497908
SLC35B3	CMCD422	531.1057312705468
SLC35B3	CMCD426	381.76226458217377
SLC35B3	CMCD71	493.10338892105136
SLC35B3	CMCD72	396.80661141441783
SLC35B3	CMCD76	1335.1187600674743
SLC35B3	CMCD88	1222.2198551903355
SLC35B3	CMSA256	834
SLC35B3	CMSA316	497.9781820551371
SLC35B3	CMUC110	878
SLC35B3	CMUC192	449.96779102845306
SLC35B3	CMUC199	347.7537456965935
SLC35B3	CMUC200	677.5827941483578
SLC35B3	CMUC208	572.397178198276
SLC35B3	CMUC231	659
SLC35B3	CMUC234	732
SLC35B3	CMUC285	419.58463472108843
SLC35B3	CMUC291	526.4385794502311
SLC35B3	CMUC295	994.8944955353372
SLC35B3	CMUC299	798.3432900446675
SLC35B3	CMUC301	785.4237742479819
SLC35B3	CMUC307	645.7973018006741
SLC35B3	CMUC313	431.4542277276495
SLC35B3	CMUC314	388.8187703335369
SLC35B3	CMUC323	409.5927018256982
SLC35B3	CMUC324	632.52150495517
SLC35B3	CMUC331	440.94591890938125
SLC35B3	CMUC333	447.1538938212175
SLC35B3	CMUC334	452.7339335938444
SLC35B3	CMUC346	435.62667805811475
SLC35B3	CMUC352	516.0458753243119
SLC35B3	CMUC360	437.5967022321468
SLC35B3	CMUC363	437.3268806777609
SLC35B3	CMUC365	480.14326501961426
SLC35B3	CMUC366	518.7193325691072
SLC35B3	CMUC368	618
SLC35B3	CMUC377	513.0734717992409
SLC35B3	CMUC379	352.9064290599863
SLC35B3	CMUC380	403.2429090678277
SLC35B3	CMUC383	381.3279312506161
SLC35B3	CMUC394	413.0984017859137
SLC35B3	CMUC419	399.8535933643841
SLC35B3	CMUC427	766
SLC35B3	CMUC428	503.1359615448145
SLC35B3	CMUC431	514.9255082048708
SLC35B3	CMUC435	520.5242041405578
SLC35B3	CMUC439	447.8244410860389
SLC35B3	CMUC89	970
SLC35B3	CS219	750.8762110306677
SLC35B3	CS256	674.5254049747349
SLC35B3	CS257	349.02600919689996
SLC35B3	CS259	572.8840896220236
SLC35B3	CS261	350.3507388681011
SLC35B3	CS266	424.9150390890926
SLC35B3	CS270	477.19384289302525
SLC35B3	CS277	324.8985797057543
SLC35B3	CS288	568.083643812315
SLC35B3	CS290	631.0498984730167
SLC35B3	CS292	417.82614363954673
SLC35B3	CS293	393.67500448616147
SLC35B3	CS301	372.9615960348012
SLC35B3	CS306	357.66042752981423
SLC35B3	CS308	410.6262955314355
SLC35B3	CS315	388.62094299572686
SLC35B3	CS317	337.4369299872523
SLC35B3	CS322	462.0893351956615
SLC35B3	CS327	518.4508617104752
