Gene	sample	counts
SOX13	CM317	275.79752843630337
SOX13	CMCD140	375.5014646641742
SOX13	CMCD147	296.56535111482674
SOX13	CMCD152	634
SOX13	CMCD154	518.0466505149998
SOX13	CMCD159	234.9918321555737
SOX13	CMCD161	401.2374445474776
SOX13	CMCD174	250.72220353613474
SOX13	CMCD196	417.90379123332383
SOX13	CMCD198	283.2577893896332
SOX13	CMCD203	891.8440675415675
SOX13	CMCD211	577.8917960361829
SOX13	CMCD227	470.2472074491367
SOX13	CMCD240	559.4391662927213
SOX13	CMCD259	331
SOX13	CMCD270	429.2272334026583
SOX13	CMCD275	489.08840172172575
SOX13	CMCD282	323.2313566774702
SOX13	CMCD286	578.2263561987834
SOX13	CMCD287	687
SOX13	CMCD294	260.0055963715835
SOX13	CMCD327	382.9409916969888
SOX13	CMCD335	452.11598504607343
SOX13	CMCD337	485.2219131099949
SOX13	CMCD357	253.23914752880967
SOX13	CMCD398	433.5244551797564
SOX13	CMCD403	372.65062042679546
SOX13	CMCD422	567.1808375455273
SOX13	CMCD426	301.39126151224247
SOX13	CMCD71	366.3053746270667
SOX13	CMCD72	275.6883143257147
SOX13	CMCD76	344.80544554295136
SOX13	CMCD88	628.1129861370954
SOX13	CMSA256	890
SOX13	CMSA316	590.7190580654055
SOX13	CMUC110	665
SOX13	CMUC192	306.05917317701085
SOX13	CMUC199	287.05116878505794
SOX13	CMUC200	488.14026738202705
SOX13	CMUC208	344.8417325747933
SOX13	CMUC231	1279
SOX13	CMUC234	473
SOX13	CMUC285	276.01591633459554
SOX13	CMUC291	298.9526923455424
SOX13	CMUC295	541.4868431434783
SOX13	CMUC299	506.4866350157752
SOX13	CMUC301	573.3093282090365
SOX13	CMUC307	487.3563488744217
SOX13	CMUC313	315.7744710180623
SOX13	CMUC314	276.8220593135507
SOX13	CMUC323	270.3311832049608
SOX13	CMUC324	647.5338824461946
SOX13	CMUC331	310.78110531828247
SOX13	CMUC333	376.5506474283937
SOX13	CMUC334	390.812924739081
SOX13	CMUC346	560.9577872906118
SOX13	CMUC352	745.3995976906726
SOX13	CMUC360	289.39461543498953
SOX13	CMUC363	320.2957435949798
SOX13	CMUC365	462.0246512452892
SOX13	CMUC366	895.9697562557307
SOX13	CMUC368	395
SOX13	CMUC377	895.6194458804753
SOX13	CMUC379	275.67462695567315
SOX13	CMUC380	314.65166389383523
SOX13	CMUC383	239.34412706155692
SOX13	CMUC394	290.17643832766623
SOX13	CMUC419	333.21132780365343
SOX13	CMUC427	509
SOX13	CMUC428	393.4523219280449
SOX13	CMUC431	568.0209399847505
SOX13	CMUC435	402.95406536749744
SOX13	CMUC439	504.17987636877643
SOX13	CMUC89	490
SOX13	CS219	410.0245264506583
SOX13	CS256	620.4030099247561
SOX13	CS257	251.34262926443424
SOX13	CS259	290.44822725592104
SOX13	CS261	265.3240975638543
SOX13	CS266	314.02257766828063
SOX13	CS270	299.8925212236422
SOX13	CS277	274.1636663583092
SOX13	CS288	326.9255783218296
SOX13	CS290	310.48461458416796
SOX13	CS292	316.41203110567614
SOX13	CS293	283.812212536535
SOX13	CS301	287.68387572932323
SOX13	CS306	269.28503119250547
SOX13	CS308	286.41184113317627
SOX13	CS315	418.4357772467218
SOX13	CS317	237.4954188763782
SOX13	CS322	254.35180511866454
SOX13	CS327	299.4154201351194
SOX13	CS328	240.4279413004751
SOX13	CS330	253.72172158206277
SOX13	CS331	488.1945108351693
SOX13	CS335	123.29469797674946
SOX13	CS338	242.29683064380066
SOX13	CS339	278.36942908330434
SOX13	CS343	262.060739658051
SOX13	CS344	544.6475525541705
SOX13	CS350	250.85052059224117
SOX13	CS351	294.42148475366616
SOX13	CS361	271.37198083087344
SOX13	CS388	256.7160794888772
SOX13	CS396	278.9754482191164
SOX13	CS405	308.6739282943171
SOX13	CS415	255.74400830081532
SOX13	CS424	271.0830464094667
SOX13	IM293	394.08656398939263
SOX13	IM296	223.4941907770725
SOX13	IM297	232.50132001065344
SOX13	IM300	988
SOX13	IM305	380.76404581835794
SOX13	IM309	224.9209746614326
SOX13	IM310	250.38926976710886
SOX13	IM311	495.07924143906365
SOX13	IM316	410.09327284825963
SOX13	IM320	249.52468654436223
SOX13	IM330	386.047423960444
SOX13	IM332	220.7695262533338
SOX13	IM340	256.2692693613697
SOX13	IM348	399.6154822572128
SOX13	IM354	609.3675477918343
SOX13	IM356	233.08599156106638
SOX13	IM364	483.32125884819624
SOX13	IM372	275
SOX13	IM374	255.35117330270583
SOX13	IM376	373.74336607037844
SOX13	IM381	316.86653056390963
SOX13	IM382	289.0335758616552
SOX13	IM385	546
SOX13	IM390	309.7121640575868
SOX13	IM397	474.2959077065128
SOX13	IM404	856.3977231879305
SOX13	IM409	572.2056402301969
SOX13	IM412	267
SOX13	IM421	373.8651347832692
SOX13	IM425	219.6137832468689
SOX13	IM432	280.7126624555835
SOX13	IM438	366
SOX13	IM442	349.7253543300987
SOX13	IM445	382.4031110109373
SOX13	IM448	270.1626679294505
SOX13	IM449	401.31278450396024
SOX13	IM451	688.5012419184757
SOX13	IMSA256	481.9542027907493
SOX13	IMSA276	624
SOX13	IMSA286	538
SOX13	IMSA343	305.7493385425463
SOX13	IS_238	875
SOX13	IS238	1402.8419198216584
SOX13	IS243	1142
SOX13	IS253	571
SOX13	IS283	778
SOX13	IS322	282.93218293946256
SOX13	IS399	481.53339581175135
SOX13	IS418	276.63648578126464
SOX13	IS430	318.3930297351725
SOX13	IS437	286.18491502127443
SOX13	IS444	404.9252945641893
SOX13	R276CMSA	233.66634848277087
SOX13	R286CMSA	530
SOX13	R292CMSA	358.4741984837911
SOX13	R292IMSA	254.60199056413086
SOX13	R308CMSA	288.15517668560216
SOX13	R316IMSA	422.30420618575937
SOX13	R347CMSA	253.6024308480031
SOX13	R347IMSA	288.18540056441486
SOX13	R371CMSA	520.0842998647271
SOX13	SRR10104064	237.00668478610282
SOX13	SRR10104065	523.0484155517556
SOX13	SRR10104066	778.3550740178891
SOX13	SRR10104067	283.51557690667437
SOX13	SRR10104068	447.09247410111703
SOX13	SRR10104069	602.8587927357454
SOX13	SRR10104070	407.75365865719476
SOX13	SRR10104071	133.9203203772023
SOX13	SRR10104072	285.7650104455626
SOX13	SRR10104073	324.5179352176705
SOX13	SRR10104074	156.72944597430734
SOX13	SRR10104075	221.7123705748795
SOX13	SRR10104076	446.17719962308286
SOX13	SRR10104077	318.9527506894377
SOX13	SRR10104078	373.23344624350125
SOX13	SRR10104079	209.48117649701695
SOX13	SRR10104080	319.6954495750176
SOX13	SRR10104081	500.8380893246426
SOX13	SRR10104082	201.54120233537657
SOX13	SRR10104083	278.7854512118672
SOX13	SRR10104084	152.31647778220835
SOX13	SRR10104085	382.4639185930548
SOX13	SRR10104086	383.38412149488687
SOX13	SRR10104087	994.1975695228194
SOX13	SRR10104088	934.4399057475263
SOX13	SRR10104089	187.75907320631975
SOX13	SRR10104090	473.2431872645739
SOX13	SRR10104091	289.0692405470153
SOX13	SRR10104092	701.8566556140279
SOX13	SRR10104093	169.84310883171256
SOX13	SRR10104094	174.9467861820886
SOX13	SRR10104095	304.4783012761616
SOX13	SRR10104096	158.1079550951767
SOX13	SRR10104097	267.0451011904154
SOX13	SRR10104098	553.1596331895129
SOX13	SRR10104099	330.5581070441975
SOX13	SRR10104100	446.82422871766335
SOX13	SRR10104101	1143.3431153645045
SOX13	SRR10104102	539.1700784066268
SOX13	SRR10104103	412.1994537102811
SOX13	SRR10104104	534.1769687013642
SOX13	SRR10104105	242.4661507386524
SOX13	SRR10104106	149.10925296151518
SOX13	SRR10104107	410.95326497180594
SOX13	SRR10104108	975.663527756133
SOX13	SRR10104109	154.61064510915966
SOX13	SRR10104110	156.9715115221567
SOX13	SRR10104111	320.53984025706137
SOX13	SRR10104112	163.87274099260407
SOX13	SRR10104113	377.38309104081304
SOX13	SRR10104114	154.55051495204543
SOX13	SRR10104115	238.86351857405396
SOX13	SRR10104116	341.805731242714
SOX13	SRR10104117	411.7530825907533
SOX13	SRR10104118	169.52313263598222
SOX13	SRR10104119	124.39606647191744
SOX13	SRR10104120	362.7612592489219
SOX13	SRR10104121	283.86346649410376
SOX13	SRR10104122	316.05813622033855
SOX13	SRR10104123	254.8045776876812
SOX13	SRR10104124	147.22193219541415
SOX13	SRR10104125	264.7956775403367
SOX13	SRR10104126	350.9437164326859
SOX13	SRR10104127	195.9805665581355
SOX13	SRR10104128	451.83812604105543
SOX13	SRR10104129	600.4997981585149
SOX13	SRR10104130	368.1126607380167
SOX13	SRR10104131	350.96110315029364
SOX13	SRR10104132	676.8624533451369
SOX13	SRR10104133	224.27436384656858
SOX13	SRR10104134	525.6370010892239
SOX13	SRR10104135	235.10918652245914
SOX13	SRR10104136	379.6496169403684
SOX13	SRR10104137	273.34974949520387
SOX13	SRR10104138	176.8765951594168
SOX13	SRR10104139	957.7812743657571
SOX13	SRR10104140	200.46172852746471
SOX13	SRR10104141	272.12064597989746
SOX13	SRR10104142	315.26105984133847
SOX13	SRR10104143	623.0719807769192
SOX13	SRR10104144	196.6396549098895
SOX13	SRR10104145	180.39797187641767
SOX13	SRR10104146	923.8158744162369
SOX13	SRR10104147	1176.0260933510444
SOX13	SRR10104148	241.59163581524066
SOX13	SRR10104149	228.68828682077688
SOX13	SRR10104150	630.257445951553
SOX13	SRR10104151	808.1478202078792
SOX13	SRR10104152	1403.8499308296184
SOX13	SRR10104153	271.71597745005715
SOX13	SRR10104154	547.3683231284682
SOX13	SRR10104155	190.4481546530497
SOX13	SRR10104156	446.8117088372572
SOX13	SRR10104157	331.0817053555345
SOX13	SRR10104158	470.50772027328526
SOX13	SRR10104159	609.6354749226736
SOX13	SRR10104160	290.335280487164
SOX13	SRR10104161	905.560126396375
SOX13	SRR10104162	585.8060358012393
SOX13	SRR10104163	280.36065517089827
SOX13	SRR10104164	668.9359302808871
SOX13	SRR10104165	271.44594441782414
SOX13	SRR10104166	513.4343240386489
SOX13	SRR10104167	670.8736355689662
SOX13	SRR10104168	257.3895469087559
SOX13	SRR10104169	251.1426381264332
SOX13	SRR10104170	447.13963617231155
SOX13	SRR10104171	333.8897609656667
